<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;8300.0000000;8390.0000000;8300.0000000;8390.0000000;36
20130109;000000;8300.0000000;8345.0000000;8300.0000000;8345.0000000;4
20130110;000000;8322.0000000;8346.0000000;8322.0000000;8346.0000000;10
20130111;000000;8380.0000000;8380.0000000;8380.0000000;8380.0000000;1
20130114;000000;8285.0000000;8395.0000000;8285.0000000;8395.0000000;55
20130115;000000;8303.0000000;8450.0000000;8303.0000000;8450.0000000;53
20130117;000000;8449.0000000;8450.0000000;8449.0000000;8450.0000000;7
20130121;000000;8366.0000000;8554.0000000;8350.0000000;8550.0000000;34
20130122;000000;8490.0000000;8490.0000000;8490.0000000;8490.0000000;33
20130123;000000;8115.0000000;8115.0000000;8115.0000000;8115.0000000;1
20130124;000000;8400.0000000;8497.0000000;8400.0000000;8492.0000000;88
20130125;000000;8550.0000000;8550.0000000;8400.0000000;8497.0000000;57
20130128;000000;8421.0000000;8495.0000000;8419.0000000;8495.0000000;61
20130129;000000;8420.0000000;8490.0000000;8420.0000000;8490.0000000;83
20130130;000000;8399.0000000;8478.0000000;8399.0000000;8478.0000000;12
20130204;000000;8421.0000000;8487.0000000;8401.0000000;8401.0000000;23
20130208;000000;8450.0000000;8530.0000000;8450.0000000;8530.0000000;28
20130211;000000;8420.0000000;8499.0000000;8420.0000000;8499.0000000;16
20130214;000000;8106.0000000;8106.0000000;7900.0000000;7900.0000000;67
20130215;000000;7600.0000000;7600.0000000;5999.0000000;6005.0000000;573
20130218;000000;6005.0000000;6194.0000000;6000.0000000;6000.0000000;83
20130219;000000;5831.0000000;5831.0000000;5483.0000000;5648.0000000;48
20130220;000000;5300.0000000;5395.0000000;5200.0000000;5200.0000000;43
20130221;000000;5200.0000000;5500.0000000;5200.0000000;5500.0000000;38
20130228;000000;5599.0000000;5649.0000000;5400.0000000;5649.0000000;10
20130301;000000;5475.0000000;5476.0000000;5474.0000000;5476.0000000;6
20130305;000000;5599.0000000;5599.0000000;5599.0000000;5599.0000000;1
20130306;000000;5632.0000000;5632.0000000;5104.0000000;5600.0000000;20
20130307;000000;5457.0000000;5457.0000000;5301.0000000;5301.0000000;7
20130311;000000;5294.0000000;5294.0000000;4500.0000000;5164.0000000;35
20130312;000000;5000.0000000;5000.0000000;4985.0000000;4985.0000000;3
20130313;000000;4982.0000000;4982.0000000;4982.0000000;4982.0000000;1
20130314;000000;4950.0000000;4950.0000000;4900.0000000;4900.0000000;11
20130315;000000;4850.0000000;4862.0000000;4829.0000000;4850.0000000;14
20130318;000000;4686.0000000;4961.0000000;4565.0000000;4823.0000000;7
20130319;000000;4700.0000000;4800.0000000;4480.0000000;4800.0000000;118
20130322;000000;4532.0000000;4532.0000000;4532.0000000;4532.0000000;1
20130326;000000;4412.0000000;4412.0000000;4170.0000000;4170.0000000;38
20130327;000000;4394.0000000;4394.0000000;4394.0000000;4394.0000000;1
20130328;000000;3586.0000000;4200.0000000;3586.0000000;4200.0000000;12
20130329;000000;4100.0000000;4100.0000000;4100.0000000;4100.0000000;1
20130401;000000;4004.0000000;4100.0000000;4004.0000000;4100.0000000;57
20130405;000000;4001.0000000;4001.0000000;4000.0000000;4000.0000000;4
20130409;000000;4020.0000000;4020.0000000;3850.0000000;3850.0000000;29
20130411;000000;4000.0000000;4000.0000000;4000.0000000;4000.0000000;1
20130415;000000;3757.0000000;3757.0000000;3757.0000000;3757.0000000;1
20130419;000000;3999.0000000;3999.0000000;3999.0000000;3999.0000000;3
20130425;000000;4000.0000000;4000.0000000;4000.0000000;4000.0000000;3
20130426;000000;4123.0000000;4123.0000000;4123.0000000;4123.0000000;1
20130507;000000;4142.0000000;4350.0000000;4141.0000000;4350.0000000;4
20130513;000000;4444.0000000;4879.0000000;4444.0000000;4879.0000000;16
20130514;000000;4719.0000000;4880.0000000;4719.0000000;4880.0000000;101
20130516;000000;4600.0000000;4869.0000000;4600.0000000;4869.0000000;36
20130520;000000;4700.0000000;4870.0000000;4700.0000000;4870.0000000;46
20130521;000000;4849.0000000;4898.0000000;4849.0000000;4898.0000000;27
20130528;000000;4800.0000000;5000.0000000;4800.0000000;5000.0000000;24
