<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.0860400;0.0949700;0.0860400;0.0929700;80000
20130109;000000;0.0861300;0.0934900;0.0861300;0.0934900;2100000
20130110;000000;0.0890000;0.0899900;0.0865100;0.0865400;450000
20130111;000000;0.0899300;0.0899300;0.0899300;0.0899300;20000
20130114;000000;0.0899800;0.0919700;0.0871100;0.0880000;940000
20130115;000000;0.0884000;0.0900000;0.0879000;0.0900000;2120000
20130116;000000;0.0900100;0.0928900;0.0880000;0.0909500;8340000
20130117;000000;0.0880400;0.0905300;0.0880100;0.0904800;80000
20130118;000000;0.0890000;0.0900000;0.0890000;0.0900000;410000
20130121;000000;0.0899900;0.0917000;0.0883000;0.0900000;3360000
20130122;000000;0.0763200;0.0900000;0.0763200;0.0873100;1710000
20130123;000000;0.0880100;0.0899900;0.0880000;0.0880300;630000
20130124;000000;0.0880200;0.0880200;0.0879900;0.0880000;640000
20130125;000000;0.0880100;0.0919900;0.0880100;0.0919900;170000
20130128;000000;0.0887500;0.0919900;0.0887000;0.0887000;1020000
20130130;000000;0.0889000;0.0889000;0.0889000;0.0889000;10000
20130131;000000;0.0870200;0.0899400;0.0870200;0.0899400;100000
20130201;000000;0.0896700;0.0896700;0.0852100;0.0852100;230000
20130204;000000;0.0889600;0.0892700;0.0865100;0.0892700;70000
20130205;000000;0.0853300;0.0879700;0.0850000;0.0850500;1190000
20130206;000000;0.0855100;0.0855500;0.0855100;0.0855500;20000
20130207;000000;0.0861700;0.0870000;0.0861700;0.0870000;40000
20130208;000000;0.0851400;0.0851400;0.0802300;0.0830000;5090000
20130211;000000;0.0840100;0.0840100;0.0805200;0.0805200;1150000
20130212;000000;0.0830000;0.0830000;0.0821000;0.0821000;500000
20130213;000000;0.0820300;0.0830000;0.0820300;0.0830000;20000
20130214;000000;0.0830000;0.0849700;0.0820000;0.0820000;610000
20130218;000000;0.0820100;0.0820100;0.0801200;0.0801200;1540000
20130219;000000;0.0826500;0.0842500;0.0826500;0.0842500;160000
20130220;000000;0.0850000;0.0850000;0.0850000;0.0850000;10000
20130221;000000;0.0801600;0.0889800;0.0801600;0.0889800;260000
20130222;000000;0.0875000;0.0875000;0.0875000;0.0875000;80000
20130225;000000;0.0835000;0.0835000;0.0801000;0.0801100;4690000
20130226;000000;0.0820000;0.0820000;0.0792000;0.0792000;3810000
20130227;000000;0.0806000;0.0819000;0.0788100;0.0815500;250000
20130228;000000;0.0815500;0.0819500;0.0792300;0.0819500;300000
20130301;000000;0.0800000;0.0826000;0.0790900;0.0810900;530000
20130305;000000;0.0810900;0.0816400;0.0810900;0.0816400;450000
20130306;000000;0.0800600;0.0838100;0.0795900;0.0838100;130000
20130307;000000;0.0819600;0.0835000;0.0800300;0.0800300;90000
20130311;000000;0.0805400;0.0815200;0.0796200;0.0800000;1300000
20130312;000000;0.0800000;0.0810000;0.0797000;0.0800000;3130000
20130313;000000;0.0800000;0.0800000;0.0799800;0.0799900;1350000
20130314;000000;0.0800000;0.0800000;0.0795000;0.0800000;800000
20130315;000000;0.0800000;0.0800000;0.0790000;0.0790000;1050000
20130318;000000;0.0788500;0.0788500;0.0761600;0.0779900;810000
20130319;000000;0.0784400;0.0784400;0.0780000;0.0784400;140000
20130320;000000;0.0763100;0.0778200;0.0761200;0.0778200;850000
20130322;000000;0.0757900;0.0757900;0.0757800;0.0757900;100000
20130325;000000;0.0773000;0.0773000;0.0750000;0.0750000;1750000
20130326;000000;0.0750000;0.0757500;0.0705000;0.0705000;2780000
20130327;000000;0.0728700;0.0728700;0.0700400;0.0700400;20000
20130401;000000;0.0739200;0.0739200;0.0701100;0.0701100;150000
20130402;000000;0.0701200;0.0728000;0.0701000;0.0728000;220000
20130403;000000;0.0701200;0.0701200;0.0700100;0.0700100;780000
20130408;000000;0.0700000;0.0700000;0.0700000;0.0700000;10000
20130409;000000;0.0719700;0.0719700;0.0699900;0.0710000;40000
