<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;24.5980000;24.6000000;24.5980000;24.6000000;200
20130109;000000;24.0160000;24.0160000;23.0770000;23.6030000;17400
20130110;000000;23.9000000;23.9000000;23.7010000;23.7010000;6100
20130111;000000;23.9000000;23.9000000;23.9000000;23.9000000;1100
20130115;000000;23.5010000;23.5030000;22.9000000;23.5020000;49300
20130116;000000;23.9190000;23.9190000;20.1300000;23.7130000;549700
20130117;000000;23.7000000;24.0450000;23.7000000;24.0450000;7800
20130118;000000;24.0350000;24.6050000;24.0350000;24.2020000;12800
20130121;000000;24.1510000;24.4990000;24.1500000;24.4990000;58900
20130122;000000;24.2040000;24.2040000;24.2040000;24.2040000;100
20130123;000000;24.0010000;24.3970000;24.0000000;24.3970000;14100
20130124;000000;24.9990000;25.0000000;24.0000000;24.0000000;35600
20130125;000000;23.8010000;23.9930000;23.7000000;23.9920000;73400
20130128;000000;23.7070000;24.1530000;23.7000000;23.9860000;3500
20130129;000000;24.0450000;24.0450000;23.2000000;23.2000000;4191300
20130130;000000;23.2430000;23.2430000;22.7500000;22.7500000;54300
20130131;000000;22.5000000;22.7000000;21.5920000;21.9000000;4436500
20130201;000000;22.5440000;22.5440000;21.9010000;22.1580000;500
20130204;000000;22.6930000;22.6930000;20.8010000;21.5990000;137600
20130205;000000;21.0000000;22.1350000;21.0000000;21.5000000;22900
20130206;000000;22.0000000;22.2130000;22.0000000;22.0000000;3700
20130207;000000;22.1000000;22.1110000;22.1000000;22.1000000;51700
20130208;000000;23.0000000;23.0000000;22.0010000;22.1100000;6500
20130211;000000;22.4280000;22.4280000;22.0000000;22.0000000;28400
20130212;000000;22.0000000;22.3250000;21.9110000;22.3250000;176000
20130213;000000;22.3250000;23.0210000;22.2000000;23.0210000;48700
20130214;000000;23.0210000;23.2100000;22.7000000;23.2100000;54900
20130215;000000;23.6000000;25.0000000;23.5000000;24.0000000;141400
20130218;000000;24.0010000;24.0010000;23.5000000;23.5000000;17300
20130219;000000;22.1070000;23.8490000;22.0030000;23.5000000;40700
20130220;000000;23.4000000;23.7490000;23.4000000;23.4000000;10400
20130221;000000;23.0010000;23.3920000;23.0010000;23.3920000;14200
20130222;000000;23.3290000;23.3330000;23.2500000;23.2500000;32400
20130225;000000;23.3030000;23.5500000;23.3000000;23.5500000;31600
20130226;000000;23.1140000;23.1140000;22.2000000;22.4000000;60400
20130227;000000;22.4900000;22.5590000;22.3330000;22.5590000;700
20130228;000000;22.8200000;22.8200000;22.5000000;22.8190000;8200
20130301;000000;22.6500000;23.2060000;22.6500000;23.2060000;1744200
20130305;000000;23.5390000;23.5400000;23.2000000;23.5400000;36000
20130306;000000;22.2210000;23.8100000;22.1500000;23.5000000;30800
20130307;000000;23.8000000;24.2200000;22.1510000;24.0530000;55000
20130311;000000;25.0000000;27.8060000;23.4540000;24.1930000;24300
20130312;000000;24.5320000;24.5320000;24.0000000;24.0550000;3700
20130313;000000;24.0000000;24.0970000;23.7500000;24.0970000;68100
20130314;000000;23.8000000;24.0000000;23.8000000;24.0000000;13800
20130315;000000;23.8000000;23.8900000;23.8000000;23.8000000;1100
20130318;000000;23.7010000;23.7020000;23.7010000;23.7020000;400
20130319;000000;23.9000000;23.9000000;23.8000000;23.9000000;28500
20130320;000000;23.9000000;24.1400000;23.9000000;24.0000000;22500
20130321;000000;23.9500000;24.1480000;23.8000000;24.1480000;2533000
20130322;000000;23.9000000;23.9990000;23.2010000;23.6500000;42500
20130325;000000;23.7000000;23.7000000;23.7000000;23.7000000;10600
20130326;000000;23.6500000;23.6500000;23.1000000;23.1000000;64500
20130327;000000;23.5000000;23.5000000;23.5000000;23.5000000;1000
20130328;000000;23.4500000;23.5000000;22.8000000;23.4980000;50700
20130329;000000;23.6000000;23.6000000;19.0500000;23.4000000;18100
20130401;000000;23.5000000;23.7990000;23.5000000;23.7990000;8200
20130403;000000;23.3000000;23.3010000;23.3000000;23.3010000;800
20130405;000000;23.5000000;23.5000000;23.5000000;23.5000000;100
20130408;000000;23.5000000;23.5000000;23.3020000;23.3020000;10200
20130409;000000;22.0030000;23.6000000;22.0020000;23.6000000;20100
20130410;000000;23.7000000;23.7500000;23.6990000;23.7300000;404800
20130411;000000;23.7000000;23.7000000;23.5000000;23.5000000;753700
20130412;000000;23.7500000;23.7500000;23.4500000;23.4760000;3000700
20130415;000000;23.3010000;23.3010000;23.1000000;23.1000000;27700
20130417;000000;23.4000000;23.7490000;23.0000000;23.4000000;58700
20130418;000000;23.4000000;23.4000000;23.4000000;23.4000000;1100
20130419;000000;23.4500000;23.8000000;23.4500000;23.6500000;73800
20130422;000000;23.5000000;23.5000000;23.5000000;23.5000000;200
20130423;000000;23.5000000;23.5500000;23.5000000;23.5500000;2445300
20130424;000000;23.5000000;23.5500000;23.4990000;23.5500000;1150200
20130425;000000;23.5200000;23.8470000;23.5000000;23.8470000;1466800
20130426;000000;23.5000000;23.8440000;23.5000000;23.8440000;10200
20130429;000000;23.6000000;23.8480000;23.5010000;23.8480000;300
20130430;000000;23.4060000;23.8490000;23.4060000;23.8490000;20200
20130502;000000;23.5000000;23.5000000;23.3500000;23.3500000;29000
20130503;000000;23.6990000;23.6990000;23.6990000;23.6990000;500
20130507;000000;23.5000000;23.6690000;23.5000000;23.6690000;600
20130508;000000;23.7990000;23.7990000;23.7990000;23.7990000;400
20130510;000000;24.1820000;24.1830000;24.1820000;24.1830000;700
20130513;000000;23.7990000;23.7990000;23.7990000;23.7990000;100
20130514;000000;23.8490000;24.0990000;23.7510000;24.0990000;7700
20130515;000000;23.7010000;23.9980000;23.7000000;23.9980000;101900
20130516;000000;23.5000000;23.5000000;23.4990000;23.5000000;32400
20130520;000000;23.5000000;23.5000000;23.5000000;23.5000000;12000
20130523;000000;23.4000000;23.4000000;23.3000000;23.3000000;14000
20130524;000000;23.3010000;23.3010000;23.3000000;23.3000000;14100
20130528;000000;23.3000000;23.3000000;23.3000000;23.3000000;7500
20130529;000000;23.3000000;23.3000000;23.2000000;23.2000000;35700
20130530;000000;23.1500000;23.1500000;23.1500000;23.1500000;300
20130531;000000;23.2500000;23.5460000;23.2500000;23.5460000;1100
20130603;000000;23.4000000;23.4000000;23.3010000;23.3010000;4100
20130606;000000;23.5440000;23.5460000;23.1000000;23.1000000;60000
20130607;000000;23.1000000;23.1000000;23.1000000;23.1000000;1500
20130610;000000;23.0000000;23.0000000;23.0000000;23.0000000;200
20130611;000000;23.0000000;23.0980000;23.0000000;23.0980000;6500
20130613;000000;23.0000000;23.0000000;23.0000000;23.0000000;11000
20130614;000000;22.9000000;22.9000000;22.9000000;22.9000000;700
20130617;000000;23.3400000;23.3400000;22.8000000;23.1390000;57700
20130618;000000;23.0000000;23.0000000;23.0000000;23.0000000;8000
20130619;000000;23.1000000;23.4270000;20.1010000;22.8000000;56300
20130620;000000;22.8010000;22.8010000;22.8000000;22.8000000;1000
20130621;000000;22.9000000;24.0000000;22.7000000;23.1000000;150300
20130624;000000;22.9000000;23.2000000;22.9000000;23.2000000;15100
20130625;000000;24.0100000;24.0100000;23.0000000;23.0000000;200
20130626;000000;23.0000000;23.0000000;23.0000000;23.0000000;200
20130627;000000;23.0000000;23.0000000;23.0000000;23.0000000;1600
20130628;000000;23.1000000;23.3390000;23.0000000;23.0000000;51400
20130702;000000;23.4390000;23.4390000;23.1000000;23.1000000;300
20130703;000000;23.0000000;23.0000000;22.0000000;22.8000000;17000
20130704;000000;22.0000000;23.1390000;22.0000000;23.1390000;900
20130705;000000;23.0000000;23.0700000;22.9000000;23.0700000;687000
20130708;000000;23.1000000;23.1000000;23.0000000;23.0000000;482000
20130709;000000;23.1000000;23.1500000;23.0000000;23.0000000;926600
20130710;000000;23.0500000;23.1100000;21.0010000;23.0000000;1245100
20130711;000000;23.0000000;23.2000000;23.0000000;23.2000000;52000
20130712;000000;29.3250000;29.3250000;23.2500000;23.5790000;11800
20130715;000000;21.7000000;23.8000000;21.7000000;23.5010000;3895100
20130717;000000;23.8330000;23.8330000;23.5010000;23.7980000;1400
20130718;000000;23.4500000;23.4600000;23.2000000;23.2000000;558400
20130719;000000;23.0000000;23.2000000;22.9000000;23.0000000;529000
20130722;000000;24.0330000;24.0330000;23.1010000;23.1010000;300
20130723;000000;23.1000000;23.2000000;23.1000000;23.2000000;623300
20130724;000000;23.1800000;23.3370000;23.1500000;23.3370000;1669600
20130725;000000;23.3000000;23.7000000;23.3000000;23.7000000;2045200
20130726;000000;23.6000000;23.7200000;23.5500000;23.6900000;2621200
20130729;000000;23.5000000;23.7500000;23.5000000;23.7500000;936700
20130730;000000;23.5000000;23.7490000;23.4000000;23.7490000;5050900
20130731;000000;23.5000000;23.8000000;23.5000000;23.5000000;22700
20130801;000000;23.4000000;23.4000000;23.4000000;23.4000000;24000
20130802;000000;23.5000000;23.5000000;23.0030000;23.4970000;24300
20130806;000000;23.0100000;23.0110000;23.0000000;23.0000000;5600
20130807;000000;23.0000000;23.0000000;22.6020000;22.6020000;8700
20130808;000000;22.6000000;22.6000000;22.1010000;22.1010000;2500
20130809;000000;22.3300000;22.3300000;21.4500000;21.9960000;11900
20130812;000000;20.5570000;21.8990000;20.5560000;21.8990000;4100
20130813;000000;21.8200000;21.8200000;21.7100000;21.8200000;1600
20130814;000000;21.4510000;21.7670000;21.4510000;21.4560000;3474800
20130815;000000;21.4500000;21.7480000;21.4320000;21.5000000;102200
20130816;000000;21.6000000;21.8000000;21.6000000;21.8000000;1300
20130819;000000;21.8000000;21.8000000;21.8000000;21.8000000;100
20130821;000000;22.0000000;22.1010000;21.9990000;22.1010000;20400
20130822;000000;22.3000000;22.4290000;22.1000000;22.4290000;20100
20130823;000000;23.0500000;23.0500000;22.4000000;22.7290000;1900
20130826;000000;22.5000000;22.8290000;22.1000000;22.1000000;36700
20130828;000000;22.2010000;22.4970000;22.2000000;22.2000000;14400
20130829;000000;22.2000000;22.4970000;22.2000000;22.4970000;2100
20130830;000000;22.4990000;23.1000000;20.5880000;22.8000000;158000
20130902;000000;22.4000000;22.4000000;22.4000000;22.4000000;100
20130903;000000;22.4000000;22.4000000;22.4000000;22.4000000;100
20130904;000000;23.0000000;23.0000000;22.3500000;22.3510000;500
20130905;000000;22.7290000;22.7290000;22.7290000;22.7290000;100
20130906;000000;22.3000000;22.6300000;22.3000000;22.6300000;2000
20130909;000000;22.9280000;22.9280000;22.9280000;22.9280000;100
20130910;000000;22.3000000;22.3000000;22.3000000;22.3000000;300
20130911;000000;22.5000000;22.5000000;22.5000000;22.5000000;200
20130912;000000;22.5000000;22.5000000;22.5000000;22.5000000;400
20130916;000000;22.7000000;22.7000000;22.7000000;22.7000000;21000
20130918;000000;22.3010000;22.3010000;22.2000000;22.2000000;27000
20130919;000000;22.6960000;22.6960000;22.5000000;22.5000000;1100
20130920;000000;22.4990000;22.5000000;22.4990000;22.5000000;1500
20130923;000000;22.5500000;22.5510000;22.4990000;22.5000000;43600
20130925;000000;22.4990000;22.5000000;22.4990000;22.5000000;12200
20130926;000000;23.6000000;23.6000000;22.5000000;23.0000000;82500
20130927;000000;23.0000000;23.0000000;23.0000000;23.0000000;25100
20130930;000000;23.2990000;23.4500000;23.2990000;23.3500000;17700
20131002;000000;23.0010000;23.0010000;23.0010000;23.0010000;1100
20131003;000000;23.0010000;23.0010000;23.0000000;23.0000000;2300
20131004;000000;23.0010000;23.0010000;23.0000000;23.0000000;3900
20131007;000000;22.9000000;22.9000000;22.9000000;22.9000000;1000
20131008;000000;23.0000000;23.0000000;22.9000000;22.9000000;2600
20131009;000000;23.1100000;23.1100000;22.9980000;22.9980000;13400
20131010;000000;22.9000000;22.9000000;22.8000000;22.8000000;19800
20131011;000000;22.8010000;22.9000000;22.8000000;22.8000000;13100
20131014;000000;22.7500000;22.7500000;22.7500000;22.7500000;18000
20131016;000000;22.7000000;22.7000000;22.7000000;22.7000000;1000
20131017;000000;22.9990000;22.9990000;22.8010000;22.9090000;900
20131018;000000;22.7010000;22.7010000;22.7000000;22.7010000;6900
20131022;000000;22.7100000;22.8990000;22.7100000;22.8990000;1100
20131023;000000;22.7040000;22.7040000;22.7000000;22.7000000;20400
20131024;000000;22.0000000;22.8000000;22.0000000;22.8000000;21600
20131031;000000;22.8000000;22.8000000;22.8000000;22.8000000;400
20131101;000000;22.8000000;22.8000000;22.7000000;22.7000000;22300
20131105;000000;22.7000000;22.7000000;22.7000000;22.7000000;5000
20131107;000000;23.0390000;23.0390000;22.7000000;22.7000000;1600
20131108;000000;22.7000000;22.7000000;22.6000000;22.6000000;19200
20131111;000000;22.5100000;22.5100000;22.5100000;22.5100000;100
20131112;000000;22.3000000;22.3000000;22.3000000;22.3000000;200
20131113;000000;22.3500000;22.3500000;21.8500000;21.8500000;1100
20131114;000000;22.2000000;22.2000000;22.1020000;22.1020000;300
20131115;000000;22.2000000;22.2000000;21.9080000;21.9080000;2700
20131118;000000;21.7000000;21.8200000;21.7000000;21.7030000;12600
20131119;000000;21.7500000;21.7990000;21.3020000;21.3020000;12700
20131120;000000;21.3000000;21.3000000;21.0010000;21.0010000;200
20131121;000000;20.8000000;21.0000000;20.8000000;20.8020000;2600
20131122;000000;20.9000000;20.9000000;20.6010000;20.6010000;13600
20131125;000000;19.7000000;20.5990000;19.7000000;20.5990000;900
20131126;000000;19.5910000;20.4990000;19.5910000;20.4990000;5700
20131127;000000;20.2050000;20.4970000;20.2000000;20.4970000;800
20131128;000000;20.5000000;20.5990000;20.3010000;20.5990000;8000
20131202;000000;20.0000000;20.9500000;20.0000000;20.9500000;408300
20131203;000000;20.8500000;20.9000000;20.6000000;20.8990000;20200
20131204;000000;20.9000000;20.9990000;20.9000000;20.9980000;7400
20131205;000000;20.9990000;21.2000000;20.3020000;21.2000000;499700
20131206;000000;21.4990000;21.7500000;21.4990000;21.6800000;13700
20131209;000000;21.6610000;22.1000000;21.6610000;22.1000000;1900
20131210;000000;22.2500000;22.6300000;22.1000000;22.6300000;28700
20131211;000000;22.6000000;22.6000000;22.3000000;22.3000000;68500
20131212;000000;22.5000000;22.5000000;22.5000000;22.5000000;16100
20131213;000000;22.7000000;23.1580000;22.7000000;23.1580000;57400
20131216;000000;23.1500000;23.4500000;23.1500000;23.4500000;32400
20131217;000000;23.4000000;23.4000000;23.4000000;23.4000000;21400
20131218;000000;23.4000000;23.6500000;23.4000000;23.6500000;28700
20131219;000000;22.9000000;23.9980000;22.9000000;23.9900000;961100
20131220;000000;23.6500000;23.8500000;23.6500000;23.8500000;2200
20131223;000000;23.8500000;23.9200000;23.8500000;23.8500000;54500
20131224;000000;23.8500000;24.0000000;23.8000000;24.0000000;151600
20131225;000000;24.0000000;24.1000000;23.8000000;24.1000000;22800
20131226;000000;24.2850000;24.2850000;23.9500000;23.9500000;97100
20131227;000000;24.0000000;24.0000000;23.4900000;23.8000000;180900
20131230;000000;24.0000000;24.9000000;21.1460000;24.0000000;1670200
