<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;2.2001000;2.2003000;2.2000000;2.2000000;40000
20130109;000000;2.2100000;2.2100000;2.0000000;2.0450000;132000
20130110;000000;2.2696000;2.2696000;2.2686000;2.2686000;3000
20130114;000000;1.8401000;1.8401000;1.8401000;1.8401000;1000
20130115;000000;2.2784000;2.2785000;2.2784000;2.2785000;9000
20130116;000000;2.2585000;2.2585000;2.2585000;2.2585000;1000
20130117;000000;1.9002000;2.1634000;1.9000000;2.1634000;22000
20130118;000000;2.1343000;2.1343000;1.9001000;2.0700000;22000
20130121;000000;1.9850000;1.9897000;1.9201000;1.9897000;8000
20130122;000000;2.1000000;2.1097000;1.9617000;1.9900000;9000
20130123;000000;1.9899000;1.9899000;1.8500000;1.9500000;73000
20130124;000000;1.8800000;2.0487000;1.8800000;2.0487000;47000
20130125;000000;1.9849000;2.0300000;1.9849000;2.0300000;40000
20130128;000000;2.0202000;2.0202000;2.0000000;2.0000000;6000
20130130;000000;1.9979000;1.9980000;1.9891000;1.9891000;25000
20130131;000000;1.9001000;1.9001000;1.9000000;1.9000000;17000
20130204;000000;1.9999000;2.0000000;1.6689000;1.6689000;90000
20130205;000000;1.8999000;1.9000000;1.8999000;1.9000000;2000
20130206;000000;1.9245000;2.0000000;1.9245000;2.0000000;46000
20130214;000000;2.0000000;2.0000000;2.0000000;2.0000000;29000
20130215;000000;2.0000000;2.0000000;2.0000000;2.0000000;1000
20130222;000000;2.0600000;2.1000000;2.0600000;2.1000000;8000
20130227;000000;2.2277000;2.2277000;2.2277000;2.2277000;1000
20130301;000000;1.6689000;1.6689000;1.6689000;1.6689000;1000
20130307;000000;1.7501000;1.7501000;1.7501000;1.7501000;1000
20130314;000000;1.7882000;1.7882000;1.7800000;1.7800000;201000
20130318;000000;1.6600000;1.6600000;1.6600000;1.6600000;1000
20130319;000000;1.6500000;1.6500000;1.6500000;1.6500000;16000
20130320;000000;1.5100000;1.5100000;1.5100000;1.5100000;3000
20130321;000000;1.4847000;1.4847000;1.4000000;1.4000000;5000
20130325;000000;1.3300000;1.4000000;1.3300000;1.4000000;6000
20130326;000000;1.2855000;1.3099000;1.1800000;1.2500000;182000
20130328;000000;1.2499000;1.2499000;1.2000000;1.2000000;10000
20130329;000000;1.1505000;1.4000000;1.0900000;1.1100000;262000
20130401;000000;1.2299000;1.2470000;1.1549000;1.1550000;16000
20130402;000000;1.1999000;1.3692000;1.1823000;1.1823000;7000
20130403;000000;1.2900000;1.2900000;1.2900000;1.2900000;1000
20130404;000000;1.2886000;1.4796000;1.2117000;1.3484000;54000
20130405;000000;1.2300000;1.2999000;1.2300000;1.2999000;3000
20130408;000000;1.1380000;1.1380000;1.1380000;1.1380000;1000
20130409;000000;1.2500000;1.3548000;1.2500000;1.3548000;3000
20130411;000000;1.1411000;1.2300000;1.1000000;1.2000000;25000
20130412;000000;1.0755000;1.1589000;1.0601000;1.1200000;15000
20130415;000000;0.9604000;1.0800000;0.9603000;1.0800000;3000
20130417;000000;0.9510000;0.9999000;0.9000000;0.9999000;7000
20130419;000000;1.0300000;1.0300000;1.0300000;1.0300000;1000
20130422;000000;1.0300000;1.0398000;1.0300000;1.0398000;15000
20130423;000000;1.0001000;1.0002000;0.9500000;0.9500000;21000
