<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;2.2001000;2.2001000;2.2001000;2.2001000;6000
20130110;000000;1.8000000;2.1993000;1.5609000;2.1610000;32000
20130114;000000;2.0998000;2.1999000;2.0404000;2.0404000;7000
20130115;000000;1.9008000;2.1000000;1.9008000;2.1000000;12000
20130116;000000;2.2500000;2.2500000;2.1000000;2.1000000;3000
20130121;000000;1.7205000;2.2099000;1.7205000;2.1290000;28000
20130123;000000;1.9998000;1.9998000;1.9998000;1.9998000;1000
20130124;000000;1.6804000;1.9000000;1.6804000;1.7500000;12000
20130125;000000;1.9487000;1.9998000;1.9487000;1.9998000;14000
20130128;000000;1.9300000;2.0000000;1.9300000;2.0000000;7000
20130130;000000;2.0000000;2.0890000;2.0000000;2.0890000;6000
20130201;000000;1.9996000;2.0900000;1.9996000;2.0900000;12000
20130204;000000;2.0001000;2.0001000;1.9470000;1.9470000;34000
20130205;000000;1.8871000;1.8871000;1.8871000;1.8871000;1000
20130206;000000;1.9984000;2.0000000;1.9984000;2.0000000;10000
20130208;000000;1.9110000;1.9110000;1.8104000;1.8104000;3000
20130211;000000;1.6801000;1.7300000;1.6800000;1.7300000;23000
20130212;000000;1.7501000;1.7501000;1.7500000;1.7500000;30000
20130214;000000;1.8496000;1.9998000;1.8489000;1.9998000;42000
20130219;000000;2.0998000;2.1900000;2.0998000;2.1900000;6000
20130225;000000;1.8511000;1.8511000;1.8510000;1.8511000;51000
20130304;000000;1.8001000;1.8001000;1.8000000;1.8000000;10000
20130307;000000;1.8500000;2.0090000;1.8500000;2.0090000;6000
20130311;000000;1.6550000;1.6550000;1.6500000;1.6500000;5000
20130314;000000;1.6999000;1.7098000;1.6999000;1.7098000;3000
20130315;000000;1.7700000;1.9001000;1.7700000;1.9000000;8000
20130319;000000;1.7000000;1.7000000;1.6800000;1.6800000;2000
20130320;000000;1.4001000;1.4001000;1.2300000;1.2300000;36000
20130321;000000;1.6211000;1.6500000;1.5020000;1.6500000;8000
20130325;000000;1.9086000;1.9086000;1.9086000;1.9086000;1000
20130326;000000;1.2655000;1.6491000;1.2004000;1.2250000;21000
20130327;000000;1.4398000;1.4398000;1.4398000;1.4398000;1000
20130328;000000;1.4000000;1.5570000;1.4000000;1.5570000;4000
20130329;000000;1.2601000;1.3000000;1.2071000;1.2501000;74000
20130401;000000;1.4090000;1.4980000;1.2000000;1.2901000;82000
20130402;000000;1.3300000;1.3300000;1.3300000;1.3300000;1000
20130404;000000;1.1813000;1.2998000;1.1813000;1.2998000;19000
20130405;000000;1.1999000;1.2988000;1.1998000;1.2988000;5000
20130408;000000;1.1151000;1.2200000;1.1151000;1.2200000;6000
20130411;000000;1.1022000;1.1022000;1.1022000;1.1022000;2000
20130412;000000;1.0362000;1.1808000;1.0000000;1.1808000;25000
