<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.2060700;0.2100000;0.2060600;0.2060800;140000
20130109;000000;0.2060700;0.2189700;0.2033000;0.2099700;400000
20130110;000000;0.2053300;0.2184700;0.2012200;0.2069800;830000
20130111;000000;0.2050100;0.2059200;0.2030200;0.2059200;40000
20130114;000000;0.2029000;0.2129000;0.2025300;0.2049700;870000
20130115;000000;0.2022700;0.2149400;0.2022700;0.2110000;890000
20130116;000000;0.2050700;0.2137700;0.2050700;0.2050700;460000
20130117;000000;0.2037100;0.2198500;0.2037100;0.2195100;1230000
20130118;000000;0.2199700;0.2289000;0.2150000;0.2250000;1980000
20130121;000000;0.2250000;0.2250000;0.2138200;0.2200000;470000
20130122;000000;0.2150500;0.2199400;0.2100000;0.2115000;1210000
20130123;000000;0.2100000;0.2199400;0.2088300;0.2090000;780000
20130124;000000;0.2110200;0.2199000;0.2060000;0.2060000;500000
20130125;000000;0.2100000;0.2160000;0.2100000;0.2160000;1460000
20130128;000000;0.2110500;0.2155000;0.2110500;0.2128400;1060000
20130129;000000;0.2169800;0.2449800;0.2160000;0.2209600;7170000
20130130;000000;0.2209800;0.2219800;0.2160300;0.2180000;2810000
20130131;000000;0.2170000;0.2170000;0.2128100;0.2130300;680000
20130201;000000;0.2157900;0.2160000;0.2116000;0.2148600;580000
20130204;000000;0.2100400;0.2196400;0.2100400;0.2120900;320000
20130205;000000;0.2164900;0.2164900;0.2051100;0.2056400;500000
20130206;000000;0.2056500;0.2128400;0.2056500;0.2070000;1550000
20130207;000000;0.2110000;0.2177500;0.2100000;0.2110000;380000
20130208;000000;0.2119500;0.2119500;0.2052000;0.2089900;190000
20130211;000000;0.2080000;0.2158200;0.2000000;0.2000000;2740000
20130212;000000;0.2000000;0.2009300;0.1912200;0.1952000;2180000
20130213;000000;0.1925000;0.2079700;0.1920100;0.2079700;950000
20130214;000000;0.1990200;0.2065000;0.1928000;0.2028900;790000
20130215;000000;0.2000100;0.2039700;0.1990100;0.2000100;890000
20130218;000000;0.1929100;0.2064000;0.1929100;0.2028200;1110000
20130219;000000;0.1949000;0.2049900;0.1949000;0.2030000;580000
20130220;000000;0.2029900;0.2040000;0.2010400;0.2010400;150000
20130221;000000;0.1930900;0.2063500;0.1930900;0.1959300;1120000
20130222;000000;0.1958900;0.1999900;0.1958900;0.1959700;170000
20130225;000000;0.2009900;0.2010000;0.1972800;0.2000000;670000
20130226;000000;0.1958900;0.1958900;0.1870000;0.1870000;2110000
20130227;000000;0.1870100;0.1940000;0.1830000;0.1830000;3830000
20130228;000000;0.1899700;0.1899700;0.1660200;0.1710100;11840000
20130301;000000;0.1720000;0.1750000;0.1689700;0.1689700;810000
20130304;000000;0.1661100;0.1749500;0.1661100;0.1693100;660000
20130305;000000;0.1660300;0.1688600;0.1626700;0.1687600;590000
20130306;000000;0.1687900;0.1720600;0.1634800;0.1654900;700000
20130307;000000;0.1627000;0.1649800;0.1601800;0.1645400;600000
20130311;000000;0.1649000;0.1650000;0.1612500;0.1649900;760000
20130312;000000;0.1601800;0.1699700;0.1601800;0.1640000;610000
20130313;000000;0.1699400;0.1699400;0.1621000;0.1650000;5240000
20130314;000000;0.1601900;0.1649900;0.1600000;0.1619900;1340000
20130315;000000;0.1600100;0.1699400;0.1600000;0.1600000;3580000
20130318;000000;0.1620000;0.1620000;0.1588300;0.1588300;60000
20130319;000000;0.1588400;0.1638600;0.1560200;0.1618500;670000
20130320;000000;0.1560000;0.1698000;0.1503700;0.1650000;8080000
20130321;000000;0.1617100;0.1650000;0.1567000;0.1620000;1260000
20130322;000000;0.1568100;0.1649700;0.1568100;0.1646300;160000
20130325;000000;0.1639900;0.1650000;0.1585200;0.1585200;410000
20130326;000000;0.1586000;0.1643300;0.1500000;0.1539900;1350000
20130327;000000;0.1444500;0.1639900;0.1444500;0.1527900;420000
20130328;000000;0.1444600;0.1650000;0.1359400;0.1565600;3490000
20130329;000000;0.1560100;0.1600000;0.1560100;0.1600000;60000
20130401;000000;0.1589900;0.1589900;0.1580900;0.1580900;100000
20130403;000000;0.1510000;0.1588500;0.1510000;0.1588500;180000
20130404;000000;0.1335700;0.1590000;0.1335700;0.1520000;200000
20130405;000000;0.1509900;0.1638800;0.1430000;0.1430000;2290000
20130408;000000;0.1410000;0.1598900;0.1400100;0.1450000;530000
20130409;000000;0.1410000;0.1599000;0.1400600;0.1400600;530000
20130410;000000;0.1405000;0.1499800;0.1400600;0.1429600;330000
20130411;000000;0.1410100;0.1410100;0.1310000;0.1389900;290000
20130412;000000;0.1369900;0.1369900;0.1233300;0.1250000;370000
20130415;000000;0.1070000;0.1210100;0.1070000;0.1200000;530000
20130417;000000;0.1070100;0.1369000;0.1070100;0.1250000;350000
20130418;000000;0.1250000;0.1300000;0.1250000;0.1300000;780000
20130419;000000;0.1350000;0.1350000;0.1110200;0.1299500;730000
20130422;000000;0.1123600;0.1244900;0.1123600;0.1200000;140000
20130423;000000;0.1409700;0.1410000;0.1320000;0.1330000;960000
20130424;000000;0.1330000;0.1400000;0.1330000;0.1400000;100000
20130425;000000;0.1399000;0.1499800;0.1320000;0.1420000;600000
20130426;000000;0.1529900;0.1530000;0.1253000;0.1310000;460000
20130429;000000;0.1200200;0.1370000;0.1200100;0.1320000;190000
20130430;000000;0.1134000;0.1470000;0.1134000;0.1301000;300000
20130502;000000;0.1500000;0.1500000;0.1459900;0.1489400;1290000
20130503;000000;0.1549000;0.1549000;0.1549000;0.1549000;50000
20130506;000000;0.1331200;0.1629000;0.1331200;0.1540000;480000
20130507;000000;0.1628800;0.1628800;0.1400000;0.1540000;720000
20130508;000000;0.1500100;0.1599900;0.1500100;0.1530000;170000
20130510;000000;0.1500100;0.1500100;0.1499800;0.1500000;180000
20130513;000000;0.1590000;0.1590000;0.1333400;0.1412000;140000
20130514;000000;0.1450000;0.1590000;0.1261900;0.1589000;550000
20130515;000000;0.1450000;0.1587800;0.1350800;0.1459700;1580000
20130516;000000;0.1450000;0.1549700;0.1330000;0.1449900;2510000
20130517;000000;0.1455000;0.1499900;0.1268000;0.1310000;1450000
20130520;000000;0.1399700;0.1438300;0.1310100;0.1390000;510000
20130521;000000;0.1330000;0.1498000;0.1330000;0.1400400;1230000
20130522;000000;0.1590000;0.1590000;0.1251500;0.1445100;700000
20130523;000000;0.1520000;0.1520000;0.1400000;0.1470000;690000
20130527;000000;0.1350500;0.1389900;0.1350500;0.1389900;210000
20130528;000000;0.1360000;0.1490000;0.1360000;0.1488700;140000
20130529;000000;0.1350700;0.1370000;0.1350000;0.1370000;710000
20130530;000000;0.1200000;0.1405000;0.1200000;0.1300000;450000
20130531;000000;0.1300000;0.1320000;0.1212600;0.1270000;1560000
20130603;000000;0.1250000;0.1399000;0.1250000;0.1260000;380000
20130604;000000;0.1280000;0.1280000;0.1250000;0.1250000;530000
20130605;000000;0.1235000;0.1285000;0.1205400;0.1205400;800000
20130606;000000;0.1299900;0.1299900;0.1299900;0.1299900;110000
20130607;000000;0.1111100;0.1260100;0.1111100;0.1235000;90000
20130610;000000;0.1050000;0.1275700;0.1050000;0.1275700;200000
20130611;000000;0.1125000;0.1270000;0.1124500;0.1242700;1200000
20130613;000000;0.1057100;0.1299900;0.1057100;0.1160000;1570000
20130614;000000;0.1040000;0.1225000;0.1040000;0.1225000;920000
20130617;000000;0.1100000;0.1288900;0.1100000;0.1235000;130000
20130618;000000;0.1200100;0.1300000;0.1200100;0.1299900;170000
20130619;000000;0.1290000;0.1347200;0.1231100;0.1289300;370000
20130620;000000;0.1239900;0.1343100;0.1200000;0.1260000;640000
20130621;000000;0.1345700;0.1345700;0.1250000;0.1299600;480000
20130624;000000;0.1170000;0.1308900;0.1170000;0.1308900;180000
20130625;000000;0.1299900;0.1348400;0.1255100;0.1328900;300000
20130626;000000;0.1300000;0.1350000;0.1200000;0.1235000;550000
20130627;000000;0.1245100;0.1349500;0.1245100;0.1348900;220000
20130628;000000;0.1171500;0.1337700;0.1171500;0.1248000;410000
20130701;000000;0.1300000;0.1396500;0.1250000;0.1255000;400000
20130702;000000;0.1250000;0.1346000;0.1250000;0.1297800;350000
20130703;000000;0.1345000;0.1345000;0.1235100;0.1280000;610000
20130704;000000;0.1344500;0.1344500;0.1220100;0.1329600;710000
20130705;000000;0.1300000;0.1350000;0.1160500;0.1220500;690000
20130708;000000;0.1200000;0.1297500;0.1200000;0.1288700;500000
20130709;000000;0.1300000;0.1300000;0.1200200;0.1290000;220000
20130710;000000;0.1300000;0.1319900;0.1268400;0.1290000;150000
20130711;000000;0.1396200;0.1396200;0.1267500;0.1267500;80000
20130712;000000;0.1230100;0.1350000;0.1230100;0.1260000;710000
20130715;000000;0.1260000;0.1348700;0.1260000;0.1280000;1550000
20130716;000000;0.1334000;0.1334900;0.1274500;0.1280100;460000
20130717;000000;0.1270000;0.1270000;0.1260000;0.1260000;440000
20130718;000000;0.1300000;0.1339900;0.1270000;0.1270000;870000
20130719;000000;0.1270000;0.1299200;0.1261100;0.1299200;1300000
20130722;000000;0.1255100;0.1299100;0.1185200;0.1248800;3640000
20130723;000000;0.1230100;0.1299200;0.1220000;0.1260700;1820000
20130724;000000;0.1250000;0.1299500;0.1185800;0.1240300;440000
20130725;000000;0.1200000;0.1200000;0.1169000;0.1180000;5950000
20130726;000000;0.1194400;0.1194400;0.1011400;0.1184900;610000
20130729;000000;0.1150200;0.1200000;0.1150200;0.1197700;900000
20130730;000000;0.1085000;0.1199900;0.1085000;0.1170000;360000
20130731;000000;0.1293100;0.1293100;0.1199500;0.1200000;3970000
20130801;000000;0.1120100;0.1200000;0.1120100;0.1200000;340000
20130802;000000;0.1299200;0.1299200;0.1155500;0.1170000;550000
20130805;000000;0.1324500;0.1324500;0.1170000;0.1170100;4510000
20130806;000000;0.1199900;0.1199900;0.1199900;0.1199900;10000
20130807;000000;0.1115600;0.1171300;0.1115500;0.1171300;560000
20130809;000000;0.1113700;0.1220000;0.1113700;0.1200000;100000
20130812;000000;0.1130000;0.1146900;0.1071200;0.1100000;6160000
20130813;000000;0.1093000;0.1189500;0.1092100;0.1092400;1920000
20130814;000000;0.1157400;0.1157400;0.1100000;0.1100000;1840000
20130815;000000;0.1198400;0.1198400;0.1106500;0.1106500;120000
20130816;000000;0.1100000;0.1195000;0.1100000;0.1134400;220000
20130819;000000;0.1101100;0.1172000;0.1101000;0.1136100;170000
20130820;000000;0.1101400;0.1160000;0.1101400;0.1123000;250000
20130821;000000;0.1101100;0.1172500;0.1075800;0.1130000;110000
20130822;000000;0.1001200;0.1173900;0.1001200;0.1171200;390000
20130823;000000;0.1177000;0.1177000;0.1165400;0.1176800;510000
20130826;000000;0.1102000;0.1177000;0.1101700;0.1177000;440000
20130827;000000;0.1195000;0.1200000;0.1160000;0.1200000;12330000
