<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;15.0000000;17.0000000;15.0000000;15.9000000;30000
20130110;000000;16.9980000;16.9980000;16.9980000;16.9980000;1000
20130111;000000;15.5000000;15.5000000;15.5000000;15.5000000;1000
20130117;000000;15.0040000;15.7500000;15.0040000;15.7500000;3000
20130121;000000;15.7500000;15.7500000;15.7500000;15.7500000;2000
20130123;000000;15.3000000;15.3000000;15.3000000;15.3000000;3000
20130124;000000;15.5000000;15.5010000;15.5000000;15.5010000;2000
20130201;000000;15.7000000;15.7000000;15.7000000;15.7000000;5000
20130205;000000;15.0000000;15.7500000;15.0000000;15.7500000;26000
20130207;000000;15.7500000;15.7500000;15.7500000;15.7500000;12000
20130208;000000;15.5030000;15.5030000;15.5030000;15.5030000;2000
20130215;000000;15.0010000;15.4990000;14.9900000;15.1990000;21000
20130219;000000;15.8000000;15.9000000;15.5000000;15.8000000;63000
20130220;000000;16.4990000;16.4990000;16.4890000;16.4900000;184000
20130221;000000;16.4890000;16.4900000;16.2000000;16.2000000;14000
20130222;000000;16.2010000;16.2010000;16.2000000;16.2000000;6000
20130225;000000;16.2000000;16.2000000;16.2000000;16.2000000;4000
20130226;000000;16.5000000;16.5000000;16.5000000;16.5000000;5000
20130301;000000;16.0000000;16.0000000;16.0000000;16.0000000;3000
20130305;000000;16.0000000;16.0000000;16.0000000;16.0000000;4000
20130306;000000;16.0000000;16.0000000;16.0000000;16.0000000;49000
20130311;000000;15.0000000;15.0000000;15.0000000;15.0000000;2000
20130312;000000;15.0050000;15.0050000;15.0050000;15.0050000;1000
20130405;000000;14.0000000;14.0000000;14.0000000;14.0000000;3000
20130408;000000;14.3000000;16.5150000;14.1000000;16.5150000;12000
20130409;000000;15.9990000;15.9990000;15.9990000;15.9990000;1000
20130411;000000;16.9870000;16.9870000;16.9870000;16.9870000;1000
20130418;000000;15.0000000;15.0000000;15.0000000;15.0000000;1000
20130422;000000;11.5110000;11.5110000;11.5110000;11.5110000;1000
20130426;000000;16.1140000;16.1140000;16.1140000;16.1140000;1000
20130522;000000;14.0010000;14.0010000;14.0010000;14.0010000;1000
20130528;000000;15.7000000;15.7000000;15.7000000;15.7000000;8000
20130530;000000;14.0000000;14.0000000;14.0000000;14.0000000;1000
20130603;000000;16.0020000;16.0020000;16.0020000;16.0020000;44000
20130606;000000;16.0000000;16.0000000;16.0000000;16.0000000;5000
20130610;000000;16.0000000;16.0000000;16.0000000;16.0000000;4000
20130611;000000;15.0000000;15.0000000;15.0000000;15.0000000;8000
20130619;000000;15.0000000;16.2990000;15.0000000;16.2990000;13000
20130620;000000;16.9500000;16.9500000;16.9500000;16.9500000;5000
20130624;000000;17.5000000;18.0000000;17.5000000;18.0000000;8000
20130625;000000;18.3500000;18.4000000;18.3500000;18.4000000;10000
20130626;000000;18.5000000;18.5000000;18.5000000;18.5000000;5000
20130705;000000;17.7500000;18.0000000;17.7500000;18.0000000;8000
20130717;000000;17.7900000;17.7900000;16.5000000;16.5000000;4000
20130722;000000;16.5020000;16.5020000;16.5020000;16.5020000;1000
20130723;000000;18.5500000;18.5500000;18.4000000;18.4000000;3000
20130724;000000;17.5000000;18.0000000;17.5000000;17.5000000;6000
20130729;000000;17.5000000;17.5000000;17.5000000;17.5000000;1000
20130808;000000;15.0050000;15.0050000;15.0050000;15.0050000;1000
20130812;000000;14.0000000;15.0000000;14.0000000;15.0000000;10000
20130819;000000;15.0000000;15.0000000;15.0000000;15.0000000;1000
20130821;000000;16.0000000;16.4000000;16.0000000;16.4000000;9000
20130822;000000;16.4000000;16.4000000;16.4000000;16.4000000;1000
20130823;000000;16.0000000;16.4000000;16.0000000;16.4000000;8000
20130827;000000;16.4000000;16.4990000;13.0000000;16.0000000;30000
20130828;000000;16.0000000;16.0000000;16.0000000;16.0000000;9000
20130830;000000;16.0000000;16.0000000;16.0000000;16.0000000;3000
20130902;000000;13.2400000;15.0000000;13.2400000;15.0000000;2000
20130904;000000;16.4860000;16.4860000;16.4860000;16.4860000;1000
20130910;000000;15.6700000;15.6700000;15.6700000;15.6700000;1000
20130912;000000;15.3000000;15.8000000;15.3000000;15.8000000;6000
20130913;000000;15.5000000;15.5010000;15.5000000;15.5000000;7000
20130916;000000;15.5000000;15.5000000;15.5000000;15.5000000;5000
20130923;000000;16.0000000;16.0000000;16.0000000;16.0000000;1000
20130924;000000;16.0000000;16.0000000;16.0000000;16.0000000;4000
20130927;000000;16.0000000;16.0000000;16.0000000;16.0000000;1000
20131002;000000;17.0990000;17.0990000;17.0990000;17.0990000;12000
20131003;000000;16.7850000;16.9000000;16.7850000;16.9000000;4000
20131016;000000;16.0000000;16.0000000;16.0000000;16.0000000;123000
20131113;000000;16.5500000;16.5500000;16.5500000;16.5500000;10000
20131121;000000;16.0000000;16.5000000;16.0000000;16.5000000;20000
20131122;000000;14.5000000;14.5000000;14.5000000;14.5000000;1000
20131128;000000;16.0020000;16.0020000;16.0020000;16.0020000;1000
20131204;000000;16.3000000;16.3000000;15.5020000;16.3000000;7000
20131206;000000;15.0000000;15.0000000;14.3000000;14.3000000;2000
20131219;000000;16.1200000;16.1200000;16.1200000;16.1200000;2000
20131223;000000;16.4500000;16.4500000;16.4500000;16.4500000;2000
20131224;000000;16.1200000;16.1200000;16.1200000;16.1200000;1000
20131226;000000;16.1210000;16.1210000;16.1200000;16.1210000;10000
