<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;6399.0000000;6542.8000000;6208.7000000;6479.8000000;72
20130109;000000;6550.5000000;6550.5000000;6474.9000000;6475.0000000;388
20130110;000000;6451.3000000;6451.3000000;6223.5000000;6282.7000000;492
20130111;000000;6231.9000000;6269.9000000;6122.7000000;6199.9000000;312
20130114;000000;6133.3000000;6423.0000000;6100.0000000;6168.1000000;572
20130115;000000;6117.7000000;6248.5000000;6001.2000000;6134.8000000;649
20130116;000000;6086.7000000;6350.0000000;6024.0000000;6180.0000000;716
20130117;000000;6055.9000000;6250.0000000;6055.9000000;6071.9000000;848
20130118;000000;6140.0000000;6245.0000000;6101.9000000;6101.9000000;632
20130121;000000;6149.9000000;6150.0000000;6000.2000000;6029.9000000;474
20130122;000000;6046.9000000;6165.0000000;5853.0000000;5929.2000000;663
20130123;000000;5950.0000000;5985.7000000;5751.0000000;5862.2000000;953
20130124;000000;5832.2000000;5880.0000000;5763.0000000;5805.5000000;799
20130125;000000;5768.2000000;5888.4000000;5735.3000000;5780.0000000;1129
20130128;000000;5826.0000000;5870.0000000;5762.8000000;5850.1000000;823
20130129;000000;5881.9000000;5985.0000000;5881.9000000;5950.0000000;457
20130130;000000;5983.0000000;6000.0000000;5834.8000000;5850.1000000;1514
20130131;000000;5840.0000000;5855.0000000;5801.0000000;5850.0000000;973
20130201;000000;5884.9000000;5928.0000000;5850.0000000;5850.0000000;590
20130204;000000;5897.4000000;5912.9000000;5766.2000000;5840.2000000;596
20130205;000000;5751.2000000;5990.0000000;5751.2000000;5920.0000000;527
20130206;000000;5919.9000000;6000.0000000;5852.6000000;5905.0000000;1025
20130207;000000;5905.2000000;5987.0000000;5905.0000000;5960.0000000;991
20130208;000000;5939.6000000;5939.6000000;5905.0000000;5905.1000000;174
20130211;000000;6028.8000000;6028.8000000;5905.0000000;5928.9000000;679
20130212;000000;5878.9000000;5985.0000000;5878.9000000;5905.0000000;600
20130213;000000;5905.0000000;5991.9000000;5905.0000000;5986.0000000;91
20130214;000000;5885.0000000;6200.0000000;5885.0000000;6015.0000000;2489
20130215;000000;6079.8000000;6079.8000000;5950.1000000;6029.8000000;261
