<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;0.0550000;0.0554000;0.0548300;0.0549200;23315530000
20130109;000000;0.0549300;0.0550900;0.0544600;0.0547900;20438490000
20130110;000000;0.0549200;0.0552400;0.0547400;0.0552400;22117290000
20130111;000000;0.0554100;0.0580400;0.0554000;0.0575400;74638710000
20130114;000000;0.0578000;0.0585900;0.0574200;0.0577500;45667940000
20130115;000000;0.0575000;0.0583300;0.0572600;0.0574000;29531990000
20130116;000000;0.0575000;0.0579400;0.0570500;0.0577100;35018110000
20130117;000000;0.0576300;0.0581000;0.0574400;0.0577500;17530240000
20130118;000000;0.0580200;0.0584000;0.0579300;0.0582300;27035370000
20130121;000000;0.0582600;0.0584800;0.0578500;0.0583300;14435090000
20130122;000000;0.0584600;0.0596400;0.0574100;0.0593600;45105180000
20130123;000000;0.0596600;0.0603600;0.0591500;0.0594700;58331770000
20130124;000000;0.0593000;0.0593000;0.0585500;0.0589900;29836870000
20130125;000000;0.0589000;0.0593600;0.0586800;0.0591400;22136220000
20130128;000000;0.0593100;0.0595000;0.0590500;0.0592900;23146490000
20130129;000000;0.0594000;0.0594000;0.0579100;0.0580000;30776870000
20130130;000000;0.0582100;0.0585000;0.0560100;0.0560900;61480180000
20130131;000000;0.0559000;0.0559700;0.0551100;0.0558200;37943760000
20130201;000000;0.0559800;0.0568500;0.0558200;0.0561500;29959160000
20130204;000000;0.0565500;0.0566000;0.0548800;0.0550800;32876240000
20130205;000000;0.0548800;0.0553200;0.0545200;0.0553000;18461310000
20130206;000000;0.0555000;0.0558500;0.0540200;0.0540200;45195960000
20130207;000000;0.0541900;0.0544700;0.0536800;0.0542200;32235610000
20130208;000000;0.0543000;0.0543500;0.0534300;0.0536300;38860140000
20130211;000000;0.0538000;0.0538500;0.0530300;0.0531000;24924450000
20130212;000000;0.0529900;0.0534100;0.0524300;0.0528000;22671510000
20130213;000000;0.0530300;0.0556900;0.0530300;0.0556400;87126620000
20130214;000000;0.0557600;0.0584300;0.0556600;0.0564700;167828140000
20130215;000000;0.0567600;0.0569400;0.0551000;0.0559900;42592800000
20130218;000000;0.0559600;0.0566400;0.0555000;0.0559900;20277450000
20130219;000000;0.0561000;0.0565700;0.0557200;0.0564900;23253520000
20130220;000000;0.0566000;0.0578200;0.0559000;0.0568900;70505860000
20130221;000000;0.0560000;0.0562100;0.0542600;0.0546800;61540110000
20130222;000000;0.0548500;0.0551000;0.0541700;0.0543500;22433560000
20130225;000000;0.0546000;0.0549400;0.0537600;0.0548900;26042340000
20130226;000000;0.0538000;0.0558900;0.0535700;0.0547800;99517080000
20130227;000000;0.0547800;0.0553000;0.0542600;0.0551500;32541460000
20130228;000000;0.0557300;0.0566600;0.0555800;0.0558800;54774540000
20130301;000000;0.0555700;0.0565400;0.0552000;0.0557100;45778400000
20130304;000000;0.0555500;0.0561100;0.0551500;0.0555000;19957290000
20130305;000000;0.0557500;0.0563800;0.0555900;0.0562300;21061660000
20130306;000000;0.0564100;0.0565900;0.0557800;0.0558100;21010180000
20130307;000000;0.0559100;0.0560500;0.0556200;0.0558100;10120160000
20130311;000000;0.0560900;0.0564700;0.0558000;0.0558800;19398470000
