<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130109;000000;13.2920000;13.2920000;13.2100000;13.2100000;311000
20130110;000000;13.2690000;13.2690000;13.2200000;13.2200000;2200
20130111;000000;13.2000000;13.2500000;13.1700000;13.2500000;228900
20130114;000000;13.2000000;13.3100000;13.1580000;13.1580000;166700
20130115;000000;13.1580000;13.3790000;13.1200000;13.1200000;154100
20130116;000000;13.1800000;13.2600000;13.1100000;13.1700000;397600
20130117;000000;13.1990000;13.2840000;13.1210000;13.2840000;375500
20130118;000000;13.2900000;13.6020000;13.2900000;13.5820000;626600
20130121;000000;13.5500000;13.6500000;13.2710000;13.5570000;199100
20130122;000000;13.5990000;13.6000000;13.2580000;13.3800000;553200
20130123;000000;13.3380000;13.6000000;13.2770000;13.5750000;409200
20130124;000000;13.4100000;13.4100000;13.2010000;13.3770000;459700
20130125;000000;13.4000000;14.1000000;13.4000000;13.5700000;539700
20130128;000000;13.5500000;13.6560000;13.4000000;13.6400000;480000
20130129;000000;13.7700000;13.8200000;13.6860000;13.7010000;182600
20130130;000000;13.7020000;13.8200000;13.3910000;13.5500000;623900
20130131;000000;13.5500000;13.6100000;13.5280000;13.5610000;506500
20130201;000000;13.7230000;13.7230000;13.6000000;13.6270000;450700
20130204;000000;13.6210000;13.7770000;13.4420000;13.4490000;247300
20130205;000000;13.4050000;13.5300000;13.4050000;13.4900000;276400
20130206;000000;13.4910000;13.8900000;13.4910000;13.6260000;733900
20130207;000000;13.6000000;13.6070000;13.2460000;13.3710000;864300
20130208;000000;13.3310000;13.4690000;13.3200000;13.4460000;375600
20130211;000000;13.4750000;13.6130000;13.4280000;13.5500000;520800
20130212;000000;13.5150000;13.6870000;13.4080000;13.6290000;688600
20130213;000000;13.6270000;13.8510000;13.6100000;13.8510000;759100
20130214;000000;13.8500000;14.0000000;13.7190000;13.7200000;749300
20130215;000000;13.7210000;13.7210000;13.5170000;13.5810000;345100
20130218;000000;13.5810000;13.7300000;13.5630000;13.7290000;385100
20130219;000000;13.7300000;13.8530000;13.7300000;13.8530000;279100
20130220;000000;13.8840000;13.8840000;13.7300000;13.8010000;290900
20130221;000000;13.6250000;13.7370000;13.5540000;13.6700000;180000
20130222;000000;13.6700000;13.8100000;13.6700000;13.7310000;602400
20130225;000000;13.7240000;13.8150000;13.7010000;13.7830000;502100
20130226;000000;13.7800000;13.7800000;13.5440000;13.5580000;826500
20130227;000000;13.5670000;13.6270000;13.5670000;13.5930000;60000
20130228;000000;13.6010000;13.7350000;13.5960000;13.6030000;881600
20130301;000000;13.6080000;13.6080000;13.5010000;13.5720000;254600
20130304;000000;13.5330000;13.5700000;13.4700000;13.5060000;194200
20130305;000000;13.5790000;13.7290000;13.5120000;13.7290000;630400
20130306;000000;13.7000000;13.8410000;13.7000000;13.8410000;357100
20130307;000000;13.8230000;13.8500000;13.7560000;13.7620000;560900
20130311;000000;13.7420000;13.8600000;13.7420000;13.8600000;574800
20130312;000000;13.8600000;13.8600000;13.6160000;13.6230000;441700
20130313;000000;13.6330000;13.6780000;13.5940000;13.6070000;256500
20130314;000000;13.6170000;13.6480000;13.5620000;13.6480000;74300
20130315;000000;13.6600000;13.7570000;13.6080000;13.6080000;780900
20130318;000000;13.4680000;13.5690000;13.2870000;13.4990000;77700
20130319;000000;13.4330000;13.5600000;13.4330000;13.5600000;763600
20130320;000000;13.5130000;13.5620000;13.4400000;13.5620000;213100
20130321;000000;13.5600000;13.5820000;13.5590000;13.5750000;3900
20130322;000000;13.5700000;13.5700000;13.3500000;13.4210000;94800
20130325;000000;13.4200000;13.5300000;13.4200000;13.5040000;219200
20130326;000000;13.4300000;13.4740000;13.3500000;13.3500000;447800
20130327;000000;13.3500000;13.4720000;13.3100000;13.3640000;285400
20130328;000000;13.4010000;13.4910000;13.2930000;13.4910000;34200
20130329;000000;13.4800000;13.4970000;13.4800000;13.4970000;600
20130401;000000;13.4560000;13.5280000;13.4350000;13.5210000;24600
20130402;000000;13.4330000;13.4610000;13.3640000;13.4290000;377000
20130403;000000;13.4000000;13.4260000;13.3730000;13.4130000;64800
20130404;000000;13.4200000;13.4980000;13.3270000;13.3990000;346100
20130405;000000;13.3800000;13.3800000;13.2380000;13.2720000;17100
20130408;000000;13.2100000;13.3580000;13.2100000;13.3400000;57800
20130409;000000;13.3530000;13.3790000;13.3270000;13.3410000;510700
20130410;000000;13.3540000;13.4940000;13.3290000;13.4000000;482200
20130411;000000;13.4130000;13.4270000;13.4070000;13.4070000;33400
20130412;000000;13.4200000;13.4340000;13.2730000;13.2730000;49000
20130415;000000;13.2860000;13.7280000;13.2600000;13.7150000;132700
20130416;000000;13.7290000;13.8520000;13.6880000;13.7560000;67400
20130417;000000;13.7680000;13.9310000;13.7280000;13.7280000;35600
20130418;000000;13.7420000;13.8240000;13.7140000;13.7140000;90000
20130419;000000;13.7280000;13.7690000;13.7280000;13.7340000;14800
20130422;000000;13.7200000;14.2330000;13.7200000;14.1690000;98000
20130423;000000;14.1830000;14.1970000;14.1760000;14.1760000;39500
20130424;000000;14.1900000;14.2040000;14.1620000;14.1630000;57900
20130425;000000;14.1770000;14.3580000;14.1770000;14.2600000;38800
20130426;000000;14.2740000;14.3460000;14.2740000;14.3450000;39800
20130429;000000;14.3590000;14.3590000;14.3450000;14.3450000;77300
20130430;000000;14.3590000;14.3590000;14.3520000;14.3530000;81700
20130502;000000;14.3670000;14.3670000;14.3530000;14.3530000;76000
20130503;000000;14.3670000;14.3670000;14.3530000;14.3670000;57900
20130506;000000;14.3530000;14.5000000;13.2410000;13.7620000;70800
20130507;000000;13.7550000;14.3990000;13.5130000;14.0320000;125600
20130508;000000;14.0460000;14.0460000;12.8350000;13.1530000;130000
20130510;000000;13.2770000;13.2780000;13.2550000;13.2550000;4000
20130513;000000;13.1510000;13.1950000;12.3710000;12.3910000;101500
20130514;000000;12.5130000;12.5130000;10.4810000;10.6880000;334000
20130515;000000;11.1320000;11.2410000;10.7060000;10.7900000;102600
20130516;000000;10.8130000;10.9650000;10.7460000;10.9010000;65400
20130517;000000;10.9110000;11.0290000;10.8840000;11.0290000;12000
20130520;000000;11.0400000;11.0510000;10.8960000;10.8960000;106800
20130521;000000;10.8850000;10.9070000;10.7650000;10.8530000;52700
20130522;000000;10.8420000;10.8800000;10.6900000;10.8800000;155900
20130523;000000;10.8910000;10.9130000;10.8580000;10.8580000;90000
20130524;000000;10.8470000;10.8690000;10.8470000;10.8690000;153400
20130527;000000;10.8580000;10.8580000;10.6840000;10.8160000;116700
20130528;000000;10.8050000;10.9570000;10.5840000;10.5840000;212800
20130529;000000;10.5730000;10.5730000;10.4570000;10.4570000;125300
20130530;000000;10.4550000;10.4620000;10.2370000;10.2410000;269100
20130531;000000;10.2310000;10.2450000;10.2310000;10.2390000;332100
20130603;000000;9.8790000;10.2000000;9.8790000;10.1840000;44200
20130604;000000;10.1000000;10.3750000;10.0800000;10.3330000;55100
20130605;000000;10.1760000;10.4160000;10.1160000;10.3000000;55500
20130606;000000;10.4500000;10.4700000;10.1930000;10.4230000;73200
20130607;000000;10.4010000;10.6000000;10.3520000;10.5930000;73500
20130610;000000;10.4710000;10.7470000;10.4710000;10.5790000;19700
20130611;000000;10.4000000;10.7330000;10.3730000;10.5650000;96800
20130613;000000;10.6000000;10.6000000;10.3350000;10.3560000;27100
20130614;000000;10.4350000;10.5530000;10.3710000;10.5530000;11800
20130617;000000;10.5210000;10.7660000;10.5210000;10.7660000;12300
20130618;000000;10.7920000;11.1000000;10.7920000;10.9630000;38100
20130619;000000;10.9610000;10.9610000;10.7910000;10.7910000;12600
20130620;000000;10.6710000;10.6710000;10.5600000;10.5810000;10000
20130621;000000;10.6020000;10.6880000;10.6020000;10.6860000;12300
20130624;000000;10.6370000;10.6370000;10.5150000;10.5150000;19800
20130625;000000;10.7300000;10.7300000;10.5420000;10.6160000;21400
20130626;000000;10.6820000;10.7200000;10.6150000;10.7200000;7200
20130627;000000;10.7410000;10.7920000;10.6850000;10.6850000;11400
20130628;000000;10.5000000;10.7750000;10.5000000;10.7520000;30700
20130701;000000;10.7300000;10.8550000;10.7090000;10.8550000;17600
20130702;000000;10.8230000;10.8870000;10.8230000;10.8870000;6000
20130703;000000;10.8320000;10.9100000;10.7690000;10.8350000;59000
20130704;000000;10.8350000;10.9900000;10.7700000;10.9820000;65900
20130705;000000;11.0130000;11.0920000;10.8720000;11.0220000;18100
20130708;000000;10.9750000;11.1400000;10.9100000;10.9810000;63900
20130709;000000;11.0050000;11.0260000;11.0050000;11.0260000;1600
20130710;000000;11.0080000;11.0080000;10.9420000;10.9420000;2200
20130711;000000;10.9620000;11.1930000;10.8400000;11.1930000;79100
20130712;000000;11.2100000;11.4700000;11.0800000;11.4410000;94100
20130715;000000;11.4220000;11.6130000;11.3750000;11.5120000;95800
20130716;000000;11.5100000;11.6390000;11.3060000;11.3060000;56500
20130717;000000;11.2420000;11.4050000;11.1500000;11.4050000;27900
20130718;000000;11.3730000;11.4500000;10.9410000;11.0500000;167000
20130719;000000;10.9390000;10.9870000;10.6920000;10.6920000;66500
20130722;000000;10.8630000;10.8830000;10.4730000;10.4730000;232100
20130723;000000;11.5500000;11.5500000;10.4300000;10.4620000;90400
20130724;000000;10.6700000;10.6710000;10.1860000;10.2350000;133100
20130725;000000;10.2340000;10.5750000;10.1710000;10.2590000;134100
20130726;000000;10.3650000;10.3650000;10.1470000;10.1470000;93500
20130729;000000;10.2310000;10.2330000;10.0670000;10.1220000;110500
20130730;000000;10.1290000;10.4790000;9.9980000;10.3880000;173700
20130731;000000;10.3560000;10.3670000;10.1420000;10.1610000;89400
20130801;000000;10.2360000;10.3450000;10.0090000;10.3150000;153900
20130802;000000;10.2030000;10.2970000;10.1600000;10.1940000;112500
20130805;000000;10.1840000;10.2590000;10.1100000;10.1840000;175500
20130806;000000;10.1740000;10.3760000;10.1000000;10.2520000;80600
20130807;000000;10.2290000;10.3020000;10.0320000;10.2810000;80700
20130808;000000;10.2250000;10.2900000;9.9870000;9.9870000;61700
20130809;000000;10.0300000;10.3460000;10.0300000;10.2290000;53700
20130812;000000;10.2180000;10.2300000;10.1000000;10.1320000;64200
20130813;000000;10.2020000;10.3140000;10.1990000;10.3140000;24500
20130814;000000;10.2850000;10.4060000;10.2820000;10.3810000;91900
20130815;000000;10.3560000;10.4670000;10.3560000;10.4100000;66500
20130816;000000;10.3840000;10.3840000;10.2250000;10.3210000;62000
20130819;000000;10.3150000;10.3530000;10.3020000;10.3460000;58800
20130820;000000;10.3010000;10.3830000;10.2420000;10.3680000;44200
20130821;000000;10.3580000;10.5050000;10.3080000;10.5050000;56700
20130822;000000;10.4800000;10.5020000;10.4070000;10.4070000;60500
20130823;000000;10.4180000;10.4940000;10.4180000;10.4740000;55000
20130826;000000;10.4460000;10.5300000;10.4110000;10.4320000;33900
20130827;000000;10.4000000;10.8100000;10.3830000;10.3830000;32300
20130828;000000;10.3600000;10.4010000;10.2460000;10.2520000;44800
20130829;000000;10.3000000;10.3340000;10.2790000;10.3340000;5200
20130830;000000;10.3000000;10.3900000;10.2170000;10.2850000;33000
