<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;146.6100000;146.6200000;140.6200000;143.4900000;590
20130109;000000;144.9900000;145.8700000;144.0000000;145.6200000;890
20130110;000000;145.5900000;159.9600000;145.0000000;152.9700000;2990
20130111;000000;149.0300000;156.7900000;148.0100000;155.9700000;5590
20130114;000000;150.1700000;163.9800000;150.1700000;163.9000000;9480
20130115;000000;163.0000000;167.9700000;160.0000000;160.9900000;5940
20130116;000000;160.9800000;160.9800000;158.0300000;158.0300000;160
20130117;000000;160.9900000;161.0000000;159.0100000;159.0100000;90
20130118;000000;160.9900000;161.8100000;157.3100000;160.0000000;1080
20130121;000000;160.0000000;160.0000000;154.0600000;158.9900000;440
20130122;000000;155.5900000;156.0000000;154.9900000;156.0000000;730
20130123;000000;153.5000000;161.0000000;152.0500000;161.0000000;1890
20130124;000000;161.8000000;161.9700000;158.8700000;159.0100000;110
20130125;000000;152.8000000;159.6100000;152.8000000;156.9500000;310
20130128;000000;159.9600000;160.6800000;157.9900000;160.0500000;440
20130129;000000;159.3600000;165.0000000;159.0000000;160.0100000;1390
20130130;000000;161.1800000;164.0000000;159.0100000;159.9900000;1820
20130131;000000;166.9800000;166.9800000;159.0100000;159.6000000;530
20130201;000000;161.9900000;162.5000000;159.0600000;162.5000000;960
20130204;000000;162.4900000;162.4900000;159.2600000;160.0000000;1510
20130205;000000;160.0000000;161.9200000;150.0000000;159.0000000;2080
20130206;000000;158.8400000;158.8400000;157.0000000;157.0000000;170
20130207;000000;159.0000000;160.0000000;158.9800000;160.0000000;940
20130208;000000;153.0600000;159.9900000;153.0300000;159.9900000;460
20130211;000000;159.9900000;161.8400000;158.0200000;161.8400000;500
20130212;000000;155.3300000;161.4900000;155.3300000;161.2900000;560
20130213;000000;161.4900000;161.4900000;161.4900000;161.4900000;20
20130214;000000;161.8900000;161.8900000;158.0000000;159.9900000;360
20130215;000000;157.0100000;158.0000000;156.0000000;158.0000000;520
20130218;000000;157.0100000;158.2500000;156.5000000;158.2500000;1510
20130219;000000;157.5000000;158.8900000;157.5000000;158.8900000;140
20130220;000000;161.9500000;161.9500000;157.1100000;158.9700000;390
20130221;000000;160.0000000;160.0000000;154.2000000;155.0700000;240
20130222;000000;155.0100000;157.0000000;152.0000000;156.0000000;350
20130225;000000;159.5900000;159.5900000;159.5900000;159.5900000;20
20130226;000000;152.9700000;156.0000000;152.9700000;156.0000000;40
20130227;000000;151.3800000;153.9900000;150.0000000;151.9300000;1020
20130304;000000;151.9300000;151.9300000;151.9300000;151.9300000;40
20130305;000000;153.0000000;153.0000000;152.0000000;152.0000000;200
20130306;000000;156.8900000;156.8900000;156.8900000;156.8900000;30
20130307;000000;154.0000000;154.0000000;154.0000000;154.0000000;10
20130311;000000;154.0100000;156.1900000;151.0000000;155.8400000;470
20130312;000000;150.7200000;153.0100000;150.7200000;153.0000000;80
20130313;000000;153.3500000;153.3500000;153.3500000;153.3500000;20
20130314;000000;153.0000000;153.0000000;150.0000000;150.0000000;300
20130315;000000;150.0200000;150.0500000;146.0300000;147.0000000;1470
20130318;000000;146.0300000;147.8900000;142.0200000;144.0800000;1340
20130319;000000;144.0100000;144.9100000;140.0000000;143.1400000;1100
20130320;000000;144.0500000;144.0500000;143.5000000;143.5000000;170
20130321;000000;144.5000000;144.5000000;143.0100000;143.0100000;40
20130322;000000;140.0000000;140.0000000;138.0000000;138.0400000;990
20130325;000000;139.9900000;144.3600000;139.9900000;140.0000000;640
20130326;000000;140.0300000;140.0300000;135.0100000;135.0100000;660
20130327;000000;135.0800000;135.0800000;131.0000000;131.0000000;520
20130328;000000;135.0000000;138.5600000;133.3400000;134.6800000;80
20130329;000000;136.0100000;144.6700000;134.5500000;144.6700000;130
20130401;000000;142.0000000;145.2000000;137.0500000;137.0500000;290
20130402;000000;142.2900000;142.2900000;140.0100000;140.5000000;80
20130403;000000;136.1300000;141.8500000;136.1200000;139.0100000;100
20130404;000000;136.0500000;140.7800000;136.0500000;140.7800000;50
20130405;000000;138.0700000;140.0000000;138.0000000;140.0000000;1210
20130408;000000;139.3900000;139.3900000;139.3900000;139.3900000;50
20130409;000000;133.2400000;140.9300000;130.0400000;130.0400000;4360
20130410;000000;130.0300000;133.1900000;130.0300000;132.2400000;830
20130411;000000;133.0000000;134.2600000;132.0100000;132.3400000;170
20130412;000000;128.2200000;128.2200000;128.2200000;128.2200000;70
20130415;000000;128.1800000;128.1800000;122.2400000;127.6300000;640
20130416;000000;131.9200000;131.9500000;127.0000000;131.9500000;800
20130417;000000;131.9500000;131.9500000;124.0000000;124.0000000;300
20130418;000000;122.0000000;131.9900000;122.0000000;131.9900000;200
20130419;000000;122.0900000;129.8300000;122.0900000;124.5200000;260
20130422;000000;128.4400000;135.4500000;125.3700000;125.3700000;390
20130423;000000;132.9900000;132.9900000;131.5000000;131.5000000;20
20130424;000000;133.8600000;133.8600000;129.0000000;130.9900000;320
20130425;000000;133.3500000;133.3500000;133.3500000;133.3500000;10
20130426;000000;126.3100000;128.4900000;123.0800000;128.3000000;250
20130429;000000;132.9700000;132.9700000;132.9700000;132.9700000;80
20130430;000000;128.6000000;133.0800000;124.0700000;133.0800000;60
20130502;000000;125.0900000;125.0900000;123.5100000;123.5100000;210
20130503;000000;133.3000000;133.3000000;127.8700000;132.6700000;180
20130506;000000;129.9600000;132.3100000;129.9600000;132.3100000;20
20130507;000000;129.9100000;130.9900000;126.3000000;128.1000000;360
20130508;000000;128.9100000;129.8900000;128.9100000;129.8900000;80
20130510;000000;129.9500000;130.0000000;129.7500000;129.9400000;60
20130513;000000;131.9900000;137.0000000;130.0100000;130.4000000;840
20130514;000000;129.8600000;134.9400000;129.8600000;133.1400000;300
20130515;000000;137.0000000;137.0000000;132.2100000;132.2100000;220
20130516;000000;124.7800000;132.0000000;124.7800000;132.0000000;60
20130517;000000;137.8500000;137.8500000;134.0000000;134.0000000;100
20130521;000000;130.0100000;135.0000000;120.0000000;135.0000000;1490
20130522;000000;132.1900000;139.2000000;130.0000000;133.5500000;280
20130523;000000;128.0000000;137.0000000;128.0000000;132.5000000;290
20130527;000000;130.0200000;131.5000000;130.0100000;131.5000000;30
20130528;000000;132.8000000;132.8300000;129.2300000;132.8300000;290
20130529;000000;130.0100000;132.2400000;130.0000000;132.2400000;270
20130530;000000;132.7100000;132.7100000;132.7100000;132.7100000;10
20130531;000000;130.9700000;130.9700000;130.6000000;130.6000000;80
20130603;000000;130.0000000;131.9700000;130.0000000;131.9700000;300
20130604;000000;131.9800000;131.9800000;131.9800000;131.9800000;10
20130605;000000;127.1500000;131.8400000;127.1500000;127.2100000;250
20130606;000000;127.3600000;131.5000000;127.3600000;131.5000000;20
20130607;000000;131.6400000;131.6400000;131.6400000;131.6400000;10
20130610;000000;131.6900000;138.9900000;131.6900000;138.9900000;370
20130611;000000;137.9900000;140.0000000;128.1900000;135.9900000;400
20130614;000000;130.0000000;134.9300000;130.0000000;131.1300000;80
20130617;000000;129.6200000;134.6000000;128.9600000;134.6000000;400
20130618;000000;125.3500000;131.4900000;125.3500000;131.2300000;210
20130619;000000;131.1000000;131.1000000;130.2600000;130.2600000;30
20130620;000000;133.1600000;133.1600000;133.1600000;133.1600000;10
20130621;000000;132.8700000;135.1000000;132.8700000;135.1000000;400
20130624;000000;138.9600000;138.9600000;138.9600000;138.9600000;10
20130627;000000;132.0000000;132.0000000;132.0000000;132.0000000;780
20130701;000000;130.0500000;134.9900000;130.0400000;134.9900000;180
20130702;000000;130.0000000;130.0000000;130.0000000;130.0000000;110
20130703;000000;133.9900000;133.9900000;133.9900000;133.9900000;10
20130704;000000;130.0100000;131.6000000;130.0000000;131.6000000;250
20130705;000000;132.4600000;132.4800000;130.0000000;132.2900000;130
20130709;000000;138.1600000;138.1600000;129.0000000;133.9600000;150
20130710;000000;128.0100000;128.0100000;125.9900000;126.0000000;1450
20130711;000000;130.0000000;132.9000000;130.0000000;132.0500000;540
20130712;000000;127.0800000;132.9700000;127.0800000;132.9700000;20
20130715;000000;127.0000000;136.8500000;127.0000000;134.3900000;1110
20130716;000000;132.0000000;134.9700000;132.0000000;134.9700000;1040
20130717;000000;134.2200000;134.2200000;132.5300000;132.5300000;160
20130718;000000;133.2800000;133.5000000;131.3100000;133.5000000;50
20130719;000000;130.1700000;135.0000000;127.6200000;130.6700000;2070
20130723;000000;131.0000000;131.1900000;131.0000000;131.1900000;20
20130724;000000;130.7100000;135.0000000;124.0400000;129.9800000;1440
20130725;000000;134.8300000;134.9900000;131.1100000;134.9900000;300
20130726;000000;134.8400000;137.7700000;131.3200000;131.3200000;810
20130729;000000;135.9700000;135.9800000;129.9100000;133.3200000;700
20130730;000000;136.1600000;136.5900000;133.1900000;133.2900000;240
20130731;000000;134.6900000;136.0000000;107.1500000;129.9900000;2950
20130801;000000;129.9700000;131.3400000;128.4400000;131.3400000;90
20130802;000000;131.3400000;133.1700000;129.1400000;133.1500000;90
20130805;000000;130.0100000;133.2000000;130.0100000;133.2000000;130
20130806;000000;133.7800000;134.1100000;131.3400000;133.7900000;40
20130807;000000;131.9100000;133.7900000;131.9100000;132.0200000;100
20130808;000000;133.9900000;133.9900000;132.3800000;132.9000000;30
20130809;000000;127.2400000;132.9100000;127.2400000;132.9100000;60
20130812;000000;130.2100000;132.1900000;130.0000000;132.1900000;240
20130813;000000;132.9000000;133.9600000;131.0000000;133.9600000;640
20130814;000000;131.3600000;131.3600000;131.3600000;131.3600000;10
20130815;000000;133.3200000;133.3200000;131.6600000;131.6600000;250
20130816;000000;133.3300000;133.3300000;133.3300000;133.3300000;10
20130819;000000;132.4400000;132.4400000;130.2900000;130.2900000;40
20130820;000000;128.0200000;131.7900000;128.0200000;131.7800000;40
20130821;000000;132.0000000;132.9700000;131.5100000;132.9700000;330
20130822;000000;131.0300000;132.0900000;129.7200000;132.0900000;660
20130823;000000;134.5500000;134.5500000;130.8000000;131.8200000;500
20130826;000000;132.1300000;132.1300000;132.1300000;132.1300000;10
20130827;000000;128.9600000;131.9700000;128.9600000;129.5500000;770
20130828;000000;131.9900000;131.9900000;130.0000000;130.0000000;1230
20130829;000000;131.8900000;132.0000000;129.9000000;129.9000000;340
20130830;000000;131.9900000;131.9900000;129.9900000;129.9900000;430
20130903;000000;131.4900000;131.4900000;131.4900000;131.4900000;10
20130904;000000;131.4900000;131.4900000;130.4300000;130.4300000;90
20130905;000000;131.5000000;131.5000000;129.0000000;129.0000000;470
20130906;000000;131.0900000;131.0900000;129.0600000;129.0600000;130
20130910;000000;131.4400000;131.4400000;131.4400000;131.4400000;10
20130911;000000;130.0000000;130.0000000;130.0000000;130.0000000;10
20130912;000000;129.9200000;129.9200000;128.0300000;129.4900000;230
20130917;000000;126.7900000;126.7900000;123.2100000;126.5500000;480
20130918;000000;126.0000000;127.7700000;126.0000000;126.0000000;40
20130920;000000;126.9800000;126.9800000;124.0000000;124.3500000;2030
20130923;000000;126.3800000;126.7600000;126.3800000;126.7500000;190
20130924;000000;126.5000000;126.5000000;126.5000000;126.5000000;40
20130925;000000;126.5300000;126.5300000;126.5000000;126.5000000;1210
20130926;000000;121.3300000;127.3300000;121.2500000;126.0000000;760
20130927;000000;127.9500000;128.0000000;127.9500000;128.0000000;60
20130930;000000;122.3000000;125.4300000;122.3000000;125.4000000;220
20131001;000000;130.1100000;130.1100000;130.1100000;130.1100000;100
20131002;000000;126.9000000;126.9100000;126.9000000;126.9100000;40
20131004;000000;126.9700000;132.0700000;126.0000000;129.5800000;130
20131007;000000;130.1700000;131.8300000;130.1700000;131.8300000;400
20131008;000000;128.5100000;129.9900000;128.5000000;129.9900000;680
20131009;000000;126.7100000;132.4900000;126.7000000;128.9800000;440
20131010;000000;129.9700000;129.9700000;127.0200000;127.0200000;1000
20131011;000000;123.8200000;132.3500000;123.8200000;131.4800000;60
20131014;000000;128.1000000;128.1000000;128.1000000;128.1000000;10
20131015;000000;130.9700000;130.9700000;127.5400000;128.8700000;120
20131017;000000;128.9800000;130.9700000;126.7000000;129.3000000;500
20131018;000000;129.3000000;129.3000000;120.0000000;128.9700000;2430
20131021;000000;129.4800000;130.4800000;127.0200000;130.4800000;170
20131022;000000;127.2100000;127.2100000;127.0000000;127.0000000;1130
20131023;000000;128.8700000;128.8700000;126.0000000;127.9800000;2910
20131024;000000;125.4200000;129.9700000;125.0100000;125.0100000;70
20131029;000000;124.1200000;124.1200000;124.1200000;124.1200000;10
20131030;000000;126.9900000;127.6600000;125.0200000;126.9500000;280
20131031;000000;124.2900000;124.2900000;122.0000000;122.0800000;210
20131101;000000;125.0000000;125.0000000;125.0000000;125.0000000;100
20131105;000000;125.7700000;135.0100000;113.1100000;124.5600000;1890
20131106;000000;123.1900000;124.8800000;122.2900000;122.6000000;460
20131107;000000;121.5500000;121.5500000;117.0300000;119.5900000;450
20131108;000000;116.6500000;120.5600000;116.6500000;120.5600000;300
20131111;000000;124.4600000;124.4600000;120.0700000;121.3800000;310
20131112;000000;120.1300000;120.1300000;120.1300000;120.1300000;10
20131113;000000;121.1200000;121.1200000;115.2200000;116.3000000;500
20131114;000000;116.5000000;121.3400000;114.1200000;117.1200000;1690
20131115;000000;117.0000000;117.0000000;116.0000000;116.0000000;20
20131118;000000;116.0000000;116.0000000;116.0000000;116.0000000;10
