<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;4.4990000;4.4990000;4.4010000;4.4010000;6000
20130110;000000;4.4970000;4.4970000;4.4970000;4.4970000;2000
20130111;000000;4.4000000;4.4000000;4.4000000;4.4000000;16000
20130114;000000;4.4300000;4.4980000;4.4300000;4.4980000;5000
20130116;000000;4.4320000;4.4320000;4.4000000;4.4000000;28000
20130117;000000;4.3990000;4.5000000;4.3990000;4.5000000;10000
20130124;000000;4.7000000;5.5330000;4.3510000;4.3510000;2004000
20130125;000000;4.4020000;4.4020000;4.4020000;4.4020000;1000
20130128;000000;4.3560000;4.3560000;4.3560000;4.3560000;1000
20130129;000000;4.4400000;4.4400000;4.4400000;4.4400000;10000
20130213;000000;4.4610000;4.9930000;4.4610000;4.9930000;147000
20130218;000000;4.4670000;4.5010000;4.4500000;4.5010000;70000
20130220;000000;4.5000000;4.5000000;4.5000000;4.5000000;50000
20130306;000000;4.5500000;4.5500000;4.5500000;4.5500000;1000
20130307;000000;4.5500000;4.6500000;4.5500000;4.6500000;6000
20130311;000000;4.9460000;4.9460000;4.8000000;4.8740000;17000
20130312;000000;4.3390000;4.5000000;4.3300000;4.5000000;35000
20130314;000000;4.3570000;4.5000000;4.3500000;4.5000000;18000
20130315;000000;4.6700000;5.0000000;4.5000000;4.5320000;259000
20130326;000000;4.4010000;4.4010000;4.1500000;4.1500000;108000
20130327;000000;4.5000000;4.8280000;4.5000000;4.8280000;302000
20130328;000000;4.5000000;4.5000000;4.5000000;4.5000000;3000
20130403;000000;4.5000000;4.5000000;4.5000000;4.5000000;1000000
20130419;000000;4.4010000;4.4010000;4.4000000;4.4000000;4000
20130422;000000;4.7780000;4.7780000;4.7780000;4.7780000;1000
20130425;000000;4.4990000;4.5000000;4.4990000;4.5000000;12000
20130426;000000;4.5000000;4.5000000;4.5000000;4.5000000;898000
20130430;000000;4.8000000;4.9900000;4.3020000;4.5110000;42000
20130502;000000;4.5990000;4.9800000;4.1100000;4.1100000;26000
20130503;000000;4.9600000;4.9600000;4.9600000;4.9600000;22000
20130517;000000;4.5000000;4.5000000;4.5000000;4.5000000;2000
20130520;000000;4.5000000;4.5510000;4.5000000;4.5510000;22000
20130522;000000;4.5480000;4.5500000;4.5480000;4.5500000;34000
20130529;000000;4.4990000;4.4990000;4.4990000;4.4990000;1000
20130531;000000;4.4990000;4.4990000;4.4900000;4.4900000;101000
20130603;000000;4.4890000;4.5000000;4.4890000;4.5000000;26000
20130604;000000;4.6000000;4.6000000;4.6000000;4.6000000;26000
20130605;000000;4.5000000;4.5010000;4.5000000;4.5010000;43000
20130607;000000;4.8000000;4.8000000;4.8000000;4.8000000;128000
20130614;000000;4.8260000;4.8270000;4.8260000;4.8270000;2000
20130617;000000;4.3090000;4.3090000;4.3090000;4.3090000;2000
20130703;000000;4.6970000;4.6970000;4.6970000;4.6970000;1000
20130708;000000;4.5000000;4.5000000;4.5000000;4.5000000;1594000
20130718;000000;4.5000000;4.5000000;4.5000000;4.5000000;50000
20130719;000000;4.5490000;4.5500000;4.5000000;4.5000000;8000
20130722;000000;4.5000000;4.5000000;4.5000000;4.5000000;56000
20130723;000000;4.5000000;4.5000000;4.5000000;4.5000000;2000
20130726;000000;4.5000000;4.5000000;4.5000000;4.5000000;8000
20130730;000000;4.6960000;4.6970000;4.6960000;4.6970000;102000
20130731;000000;4.7000000;4.7000000;4.7000000;4.7000000;88000
20130801;000000;4.7000000;4.7000000;4.7000000;4.7000000;1000
20130802;000000;4.7000000;4.7000000;4.7000000;4.7000000;39000
20130805;000000;4.7000000;4.7000000;4.7000000;4.7000000;73000
20130806;000000;4.7000000;4.9500000;4.7000000;4.9500000;112000
20130816;000000;4.7000000;4.7000000;4.7000000;4.7000000;52000
20130820;000000;4.7000000;4.7000000;4.7000000;4.7000000;25000
20130822;000000;4.7000000;4.7000000;4.5000000;4.5000000;347000
20130913;000000;4.2560000;4.7500000;4.2550000;4.7500000;5000
20130916;000000;4.7500000;4.7500000;4.2500000;4.4400000;35000
20130917;000000;4.3000000;4.4000000;4.3000000;4.4000000;10000
20130919;000000;4.5000000;4.5000000;4.5000000;4.5000000;4000
20130920;000000;4.7900000;5.0000000;4.7900000;5.0000000;23000
20130925;000000;4.4000000;4.6000000;4.4000000;4.6000000;77000
20130926;000000;4.6000000;4.6500000;4.6000000;4.6500000;20000
20130930;000000;4.6000000;4.6000000;4.6000000;4.6000000;10000
20131004;000000;4.4000000;4.4000000;4.4000000;4.4000000;5000
20131007;000000;4.4010000;4.5000000;4.4000000;4.5000000;19000
20131008;000000;4.4010000;4.4010000;4.4000000;4.4000000;6000
20131009;000000;4.3990000;4.5000000;4.3990000;4.5000000;7000
20131010;000000;4.4010000;4.5000000;4.4000000;4.5000000;118000
20131011;000000;4.4010000;4.5010000;4.2000000;4.5010000;189000
20131015;000000;4.5990000;4.6500000;4.5990000;4.6500000;21000
20131018;000000;4.4500000;4.7000000;4.3510000;4.7000000;37000
20131021;000000;4.6990000;4.8010000;4.6990000;4.8000000;13000
20131022;000000;4.7000000;4.7000000;4.7000000;4.7000000;7000
20131023;000000;4.7980000;4.7990000;4.7980000;4.7990000;8000
20131024;000000;4.8010000;4.8010000;4.7000000;4.7000000;7000
20131108;000000;4.8000000;4.8000000;4.8000000;4.8000000;16000
20131118;000000;5.0000000;5.0000000;5.0000000;5.0000000;1000
20131126;000000;5.0000000;5.0000000;5.0000000;5.0000000;54000
20131205;000000;5.1500000;5.5000000;5.1500000;5.3000000;66000
20131206;000000;5.1600000;5.1600000;5.1600000;5.1600000;10000
20131212;000000;5.0000000;5.2000000;5.0000000;5.2000000;273000
20131218;000000;5.0030000;5.0030000;5.0000000;5.0000000;5000
20131219;000000;5.5010000;5.5010000;5.5010000;5.5010000;1000
20131230;000000;6.3990000;6.3990000;6.3990000;6.3990000;1000
