<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;9.5000000;9.5000000;9.2002000;9.2002000;3000
20130111;000000;9.0001000;9.0001000;9.0001000;9.0001000;2000
20130114;000000;9.1001000;9.1001000;9.1000000;9.1000000;16000
20130115;000000;9.2500000;9.5000000;8.9000000;9.5000000;42000
20130117;000000;9.2500000;9.2500000;9.2500000;9.2500000;6000
20130118;000000;9.2000000;10.0000000;9.2000000;10.0000000;120000
20130121;000000;9.9900000;10.2500000;9.9900000;10.0000000;20000
20130122;000000;10.2000000;10.4500000;10.2000000;10.4500000;19000
20130123;000000;10.0000000;10.8000000;10.0000000;10.2500000;93000
20130124;000000;10.5499000;11.2500000;10.2500000;11.2500000;94000
20130125;000000;11.5699000;11.9500000;11.0500000;11.9400000;56000
20130128;000000;11.9400000;13.8500000;11.4000000;11.4100000;76000
20130129;000000;11.4300000;12.3000000;11.4300000;12.3000000;9000
20130130;000000;11.7771000;12.6000000;11.7771000;12.5999000;60000
20130131;000000;12.4999000;12.4999000;12.4999000;12.4999000;2000
20130201;000000;12.0000000;12.5000000;10.0000000;11.0000000;179000
20130205;000000;10.9999000;10.9999000;10.6225000;10.8001000;8000
20130206;000000;10.7999000;11.5000000;10.7999000;10.8632000;26000
20130207;000000;15.2120000;15.2120000;15.2120000;15.2120000;176000
20130208;000000;18.2500000;20.8000000;16.0015000;20.2599000;528000
20130211;000000;22.3000000;28.3639000;20.0000000;28.3639000;140000
20130212;000000;30.0000000;39.7000000;30.0000000;34.5699000;103000
20130213;000000;28.0000000;36.0000000;20.4000000;28.1890000;200000
20130214;000000;28.1889000;29.5265000;17.3004000;17.3100000;167000
20130215;000000;18.2998000;22.8612000;16.1022000;19.9997000;105000
20130218;000000;21.9997000;21.9997000;19.0000000;20.2996000;19000
20130219;000000;18.5002000;19.6500000;17.8000000;19.3499000;14000
20130220;000000;17.5008000;27.0000000;17.5008000;26.7986000;53000
20130221;000000;25.9999000;25.9999000;21.0000000;21.0000000;53000
20130222;000000;21.7999000;23.0709000;21.7999000;23.0702000;4000
20130225;000000;22.5998000;24.5999000;21.3000000;23.0000000;18000
20130226;000000;23.1000000;23.1000000;23.1000000;23.1000000;1000
20130227;000000;22.6000000;22.9000000;21.6388000;22.0000000;6000
20130228;000000;23.1100000;23.1100000;21.0001000;21.0001000;4000
20130301;000000;21.9888000;24.0000000;21.6016000;24.0000000;19000
20130304;000000;22.0000000;22.9998000;21.7000000;21.7000000;30000
20130306;000000;22.0000000;22.5000000;20.0000000;20.0000000;6000
20130307;000000;19.0003000;21.5000000;19.0003000;21.5000000;14000
20130312;000000;20.6000000;21.0000000;20.4000000;21.0000000;5000
20130313;000000;20.2000000;20.2000000;20.2000000;20.2000000;1000
20130315;000000;19.0000000;19.0000000;19.0000000;19.0000000;1000
20130318;000000;18.9998000;19.0000000;18.9998000;19.0000000;7000
20130319;000000;19.0000000;19.0000000;18.5000000;18.8000000;4000
20130321;000000;19.5000000;19.5000000;19.5000000;19.5000000;1000
20130325;000000;17.0000000;17.0000000;17.0000000;17.0000000;1000
20130327;000000;19.4999000;19.4999000;19.4999000;19.4999000;1000
20130329;000000;18.4900000;18.4900000;18.4900000;18.4900000;2000
20130401;000000;18.5001000;18.5010000;18.5000000;18.5010000;26000
20130408;000000;18.5010000;18.5010000;18.5010000;18.5010000;5000
20130409;000000;18.5000000;18.5000000;18.4000000;18.4000000;4000
20130410;000000;18.4000000;20.9000000;18.4000000;18.5555000;13000
20130412;000000;18.4444000;19.0000000;18.4400000;19.0000000;17000
20130429;000000;18.0000000;19.0000000;18.0000000;19.0000000;7000
20130502;000000;19.9999000;19.9999000;19.9999000;19.9999000;1000
20130503;000000;20.8999000;20.8999000;20.8999000;20.8999000;1000
20130506;000000;21.0000000;21.5000000;21.0000000;21.5000000;4000
20130514;000000;15.4687000;17.2437000;14.5000000;15.5000000;23000
20130516;000000;13.5500000;15.0000000;13.5500000;15.0000000;6000
20130520;000000;16.0000000;16.0000000;16.0000000;16.0000000;1000
20130522;000000;17.9989000;17.9989000;17.9989000;17.9989000;1000
20130530;000000;15.0000000;15.0000000;15.0000000;15.0000000;2000
20130603;000000;14.0002000;15.3000000;12.1100000;12.6017000;10000
20130604;000000;12.7700000;12.7700000;12.7700000;12.7700000;1000
20130607;000000;12.1500000;13.1000000;12.1500000;13.0002000;7000
20130611;000000;15.1999000;15.1999000;13.0001000;13.9300000;6000
20130613;000000;12.9999000;13.0000000;12.7000000;13.0000000;9000
20130617;000000;13.9998000;16.0000000;13.9998000;16.0000000;6000
20130618;000000;16.9990000;16.9999000;16.9990000;16.9990000;3000
20130619;000000;16.9990000;16.9990000;15.0000000;15.0001000;4000
20130627;000000;15.0000000;15.0000000;15.0000000;15.0000000;9000
20130712;000000;15.1999000;15.1999000;15.1999000;15.1999000;1000
20130715;000000;14.0070000;14.0070000;14.0070000;14.0070000;1000
20130722;000000;15.0000000;15.0000000;15.0000000;15.0000000;1000
20130821;000000;12.5000000;12.5000000;11.5000000;11.5000000;32000
20130827;000000;11.9999000;12.0000000;11.9999000;12.0000000;4000
20130828;000000;12.0000000;12.0000000;12.0000000;12.0000000;10000
20130829;000000;13.0000000;13.1000000;12.5000000;12.8000000;18000
20130830;000000;13.0000000;13.0000000;13.0000000;13.0000000;1000
20130902;000000;10.1001000;10.3012000;10.0106000;10.3012000;3000
20130903;000000;11.0000000;11.0587000;11.0000000;11.0587000;2000
20130910;000000;12.0000000;15.4000000;12.0000000;15.4000000;2000
20130927;000000;11.4000000;11.4000000;11.1001000;11.2100000;3000
20130930;000000;12.9999000;13.0000000;12.9999000;13.0000000;4000
