<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130109;000000;0.2402000;0.2589000;0.2402000;0.2418000;650000
20130110;000000;0.2402000;0.2538000;0.2402000;0.2442000;270000
20130111;000000;0.2420000;0.2452000;0.2420000;0.2452000;130000
20130114;000000;0.2435000;0.2435000;0.2388000;0.2403000;1660000
20130115;000000;0.2409000;0.2412000;0.2408000;0.2411000;90000
20130116;000000;0.2320000;0.2517000;0.2320000;0.2480000;90000
20130117;000000;0.2417000;0.2495000;0.2417000;0.2440000;330000
20130118;000000;0.2430000;0.2430000;0.2430000;0.2430000;200000
20130121;000000;0.2425000;0.2494000;0.2350000;0.2420000;800000
20130122;000000;0.2417000;0.2417000;0.2399000;0.2400000;70000
20130123;000000;0.2391000;0.2463000;0.2380000;0.2450000;790000
20130124;000000;0.2320000;0.2497000;0.2320000;0.2424000;120000
20130125;000000;0.2360000;0.2396000;0.2360000;0.2396000;30000
20130128;000000;0.2428000;0.2500000;0.2428000;0.2463000;120000
20130129;000000;0.2441000;0.2523000;0.2441000;0.2523000;140000
20130130;000000;0.2490000;0.2537000;0.2405000;0.2497000;930000
20130131;000000;0.2400000;0.2494000;0.2400000;0.2412000;230000
20130201;000000;0.2401000;0.2492000;0.2401000;0.2452000;2140000
20130204;000000;0.2469000;0.2527000;0.2340000;0.2451000;330000
20130208;000000;0.2380000;0.2380000;0.2377000;0.2377000;60000
20130212;000000;0.2320000;0.2320000;0.2320000;0.2320000;10000
20130213;000000;0.2204000;0.2488000;0.2204000;0.2456000;660000
20130214;000000;0.2430000;0.2525000;0.2430000;0.2440000;120000
20130215;000000;0.2280000;0.2488000;0.2280000;0.2395000;370000
20130218;000000;0.2394000;0.2394000;0.2346000;0.2346000;20000
20130219;000000;0.2304000;0.2392000;0.2304000;0.2384000;200000
20130220;000000;0.2351000;0.2351000;0.2000000;0.2031000;23670000
20130221;000000;0.2041000;0.2050000;0.2005000;0.2050000;660000
20130222;000000;0.2003000;0.2058000;0.2003000;0.2051000;190000
20130225;000000;0.1891000;0.2069000;0.1891000;0.2011000;290000
20130226;000000;0.1754000;0.2164000;0.1754000;0.2057000;110000
20130227;000000;0.2098000;0.2199000;0.2066000;0.2126000;630000
20130228;000000;0.2100000;0.2101000;0.2082000;0.2082000;50000
20130301;000000;0.2122000;0.2122000;0.2122000;0.2122000;10000
20130304;000000;0.2081000;0.2081000;0.2081000;0.2081000;10000
20130306;000000;0.2080000;0.2122000;0.2080000;0.2122000;20000
20130307;000000;0.2100000;0.2100000;0.2050000;0.2080000;390000
20130311;000000;0.2079000;0.2080000;0.2040000;0.2040000;80000
20130312;000000;0.2080000;0.2857000;0.2080000;0.2635000;20750000
20130313;000000;0.2639000;0.2950000;0.2500000;0.2600000;7620000
20130314;000000;0.2633000;0.2739000;0.2525000;0.2590000;3440000
20130315;000000;0.2598000;0.2718000;0.2595000;0.2718000;660000
20130318;000000;0.2720000;0.2799000;0.2601000;0.2780000;1830000
20130319;000000;0.2887000;0.2887000;0.2701000;0.2769000;2740000
20130320;000000;0.2800000;0.2855000;0.2699000;0.2794000;1660000
20130321;000000;0.2701000;0.2787000;0.2695000;0.2711000;770000
20130322;000000;0.2706000;0.2799000;0.2688000;0.2791000;1480000
