<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130108;000000;89.0000000;89.0000000;89.0000000;89.0000000;100
20130109;000000;81.0000000;81.0000000;81.0000000;81.0000000;100
20130114;000000;85.0000000;85.0000000;85.0000000;85.0000000;100
20130116;000000;97.0000000;97.0000000;97.0000000;97.0000000;400
20130118;000000;97.9890000;97.9890000;96.4990000;96.4990000;11000
20130121;000000;87.0010000;87.0010000;87.0000000;87.0000000;400
20130128;000000;94.9990000;97.9900000;94.9990000;97.9900000;1000
20130130;000000;97.9800000;97.9800000;97.9800000;97.9800000;1600
20130201;000000;85.0000000;85.0000000;85.0000000;85.0000000;1800
20130204;000000;87.0000000;89.9900000;87.0000000;89.9900000;2400
20130205;000000;85.0000000;89.0000000;85.0000000;89.0000000;4600
20130206;000000;85.5010000;89.0000000;85.0000000;88.0000000;8800
20130207;000000;85.2500000;85.2500000;85.0000000;85.0000000;1200
20130208;000000;85.7900000;86.0000000;85.7900000;86.0000000;1200
20130212;000000;84.5010000;86.9500000;84.5010000;86.9500000;300
20130213;000000;83.0500000;84.0000000;83.0500000;84.0000000;200
20130222;000000;85.0000000;85.0000000;85.0000000;85.0000000;600
20130225;000000;80.1030000;80.1030000;80.1020000;80.1020000;200
20130226;000000;83.7000000;83.7000000;83.5000000;83.5000000;1000
20130304;000000;76.0160000;76.0160000;76.0150000;76.0150000;1300
20130305;000000;77.0000000;80.0000000;77.0000000;80.0000000;500
20130307;000000;82.5000000;82.6000000;80.9900000;81.9990000;8800
20130311;000000;80.0000000;82.0000000;80.0000000;82.0000000;2300
20130312;000000;82.0000000;83.0000000;82.0000000;83.0000000;2000
20130313;000000;82.0000000;82.0000000;82.0000000;82.0000000;900
20130314;000000;82.1000000;82.1000000;82.1000000;82.1000000;100
20130319;000000;82.0020000;82.0020000;82.0000000;82.0000000;300
20130320;000000;82.0000000;82.0000000;81.9990000;81.9990000;1300
20130321;000000;82.0000000;82.0000000;82.0000000;82.0000000;100
20130325;000000;82.9980000;82.9980000;82.9980000;82.9980000;1400
20130326;000000;84.9900000;84.9900000;81.5000000;81.5000000;500
20130328;000000;82.2100000;82.2100000;82.2100000;82.2100000;100
20130329;000000;82.0000000;82.0000000;82.0000000;82.0000000;500
20130401;000000;85.0000000;85.0000000;85.0000000;85.0000000;1200
20130402;000000;80.0040000;80.0040000;79.9900000;79.9900000;1100
20130404;000000;79.9900000;79.9900000;79.9900000;79.9900000;800
20130411;000000;80.9800000;83.4990000;79.9990000;79.9990000;1200
20130415;000000;82.9000000;82.9980000;82.9000000;82.9980000;300
20130416;000000;82.9890000;82.9890000;82.9800000;82.9800000;200
20130417;000000;82.4900000;82.4990000;82.4900000;82.4980000;300
20130418;000000;82.9890000;82.9890000;82.9870000;82.9870000;200
20130419;000000;82.9700000;82.9700000;82.9700000;82.9700000;100
20130422;000000;72.3100000;81.9900000;72.3100000;81.7990000;5200
20130423;000000;78.0100000;78.0100000;78.0100000;78.0100000;100
20130424;000000;77.0010000;77.0010000;77.0010000;77.0010000;300
20130425;000000;78.0100000;78.0100000;69.9990000;69.9990000;4400
20130426;000000;72.9990000;76.9880000;69.9990000;71.4980000;3600
20130429;000000;71.5000000;71.5000000;65.0010000;65.0010000;200
20130430;000000;66.5000000;70.0000000;66.5000000;70.0000000;400
20130503;000000;70.0000000;71.0000000;70.0000000;71.0000000;200
20130507;000000;72.0000000;72.0000000;72.0000000;72.0000000;100
20130520;000000;70.0000000;73.5000000;70.0000000;73.5000000;500
20130523;000000;75.0000000;75.0000000;75.0000000;75.0000000;100
20130528;000000;81.9990000;81.9990000;81.9990000;81.9990000;100
20130605;000000;79.9990000;79.9990000;79.9990000;79.9990000;100
20130606;000000;79.0000000;79.0000000;79.0000000;79.0000000;12500
20130613;000000;70.0010000;70.0010000;70.0010000;70.0010000;100
20130614;000000;70.0000000;70.0000000;70.0000000;70.0000000;200
20130617;000000;70.0000000;79.9990000;70.0000000;70.0010000;600
20130618;000000;70.0010000;77.9990000;70.0010000;77.9990000;800
20130620;000000;80.9980000;82.3400000;80.9980000;82.3400000;1700
20130621;000000;82.2990000;82.2990000;75.0070000;75.0070000;900
20130624;000000;79.9990000;80.0000000;75.0060000;75.0060000;8300
20130626;000000;78.0000000;82.0000000;78.0000000;82.0000000;19500
20130705;000000;80.0000000;80.0000000;80.0000000;80.0000000;500
20130716;000000;80.0000000;80.0000000;80.0000000;80.0000000;4700
20130718;000000;80.0000000;80.0000000;80.0000000;80.0000000;100
20130723;000000;81.0000000;81.0000000;81.0000000;81.0000000;500
20130801;000000;78.0000000;78.0000000;70.9910000;70.9910000;3200
20130816;000000;73.0030000;73.0030000;73.0000000;73.0000000;1900
20130827;000000;70.0100000;70.0100000;70.0090000;70.0090000;400
20130904;000000;68.0000000;68.0000000;68.0000000;68.0000000;100
20130906;000000;70.0500000;70.0500000;70.0500000;70.0500000;100
20130910;000000;70.0000000;70.0000000;70.0000000;70.0000000;100
20130917;000000;71.0000000;71.0000000;71.0000000;71.0000000;100
20130919;000000;72.9980000;72.9980000;71.0000000;71.0000000;200
20130923;000000;70.0000000;70.0030000;70.0000000;70.0000000;18000
20130924;000000;70.0010000;72.0000000;70.0010000;72.0000000;200
20131021;000000;72.0060000;72.0060000;72.0000000;72.0000000;300
20131022;000000;73.0000000;73.0000000;73.0000000;73.0000000;200
20131024;000000;71.0020000;71.0020000;71.0010000;71.0010000;300
20131028;000000;71.9990000;72.0000000;71.9990000;72.0000000;5200
20131112;000000;63.0040000;69.0000000;63.0040000;69.0000000;18900
20131115;000000;72.9980000;73.9990000;72.9980000;73.9990000;200
20131127;000000;70.5000000;70.5000000;70.5000000;70.5000000;1000
20131128;000000;70.5000000;70.5000000;70.5000000;70.5000000;6600
20131204;000000;71.5000000;71.5000000;71.5000000;71.5000000;200
20131205;000000;71.0000000;71.0000000;71.0000000;71.0000000;1700
20131209;000000;75.0000000;75.0000000;75.0000000;75.0000000;23800
20131230;000000;73.1200000;73.1200000;73.1200000;73.1200000;100
