<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130109;000000;83.0400000;83.0500000;83.0300000;83.0300000;800
20130111;000000;91.9900000;91.9900000;91.9900000;91.9900000;500
20130114;000000;91.9700000;91.9800000;91.7900000;91.8000000;900
20130118;000000;92.9800000;92.9800000;92.9800000;92.9800000;1100
20130122;000000;90.0000000;95.0000000;90.0000000;95.0000000;1900
20130125;000000;95.5300000;95.5300000;95.5300000;95.5300000;400
20130128;000000;94.9900000;95.0000000;94.9900000;95.0000000;500
20130129;000000;90.0100000;90.0100000;90.0000000;90.0000000;1400
20130130;000000;90.9900000;91.7900000;90.9900000;91.2000000;1700
20130131;000000;90.8800000;91.0000000;90.8800000;91.0000000;1200
20130201;000000;93.0000000;93.0000000;92.9700000;92.9700000;1900
20130204;000000;92.9900000;92.9900000;92.9900000;92.9900000;500
20130205;000000;92.0000000;92.0000000;85.5100000;87.9900000;1900
20130206;000000;87.9900000;89.0000000;87.9900000;89.0000000;1000
20130207;000000;86.2500000;86.5000000;86.2500000;86.5000000;300
20130208;000000;86.0200000;86.0200000;86.0000000;86.0000000;1700
20130211;000000;85.0000000;85.0000000;85.0000000;85.0000000;100
20130213;000000;87.4900000;87.4900000;87.4900000;87.4900000;200
20130214;000000;85.0100000;85.9900000;85.0100000;85.9900000;1300
20130215;000000;85.0100000;87.1900000;85.0100000;87.1900000;1000
20130219;000000;86.1100000;86.1100000;86.1100000;86.1100000;500
20130220;000000;83.0100000;84.9900000;83.0000000;84.9900000;1100
20130221;000000;82.0200000;82.1200000;80.1000000;82.1200000;700
20130222;000000;85.0000000;85.0000000;85.0000000;85.0000000;800
20130225;000000;81.1100000;81.1100000;81.1100000;81.1100000;100
20130301;000000;82.5000000;82.5000000;82.5000000;82.5000000;500
20130307;000000;80.0000000;82.0000000;77.0100000;82.0000000;3800
20130311;000000;85.9900000;85.9900000;85.9900000;85.9900000;600
20130319;000000;85.0000000;85.0000000;82.0000000;82.0000000;2700
20130326;000000;77.0000000;81.9900000;77.0000000;81.9900000;200
20130328;000000;85.9500000;85.9500000;85.9500000;85.9500000;100
20130329;000000;85.9500000;85.9500000;84.0000000;84.0000000;1600
20130402;000000;80.0200000;80.0200000;75.0400000;79.9900000;2600
20130403;000000;79.9800000;79.9900000;79.0000000;79.0000000;1100
20130404;000000;79.7500000;80.9900000;79.7500000;80.9900000;2800
20130410;000000;80.9900000;80.9900000;80.9900000;80.9900000;700
20130411;000000;80.0100000;80.0100000;80.0100000;80.0100000;300
20130412;000000;80.0000000;80.0000000;80.0000000;80.0000000;400
20130415;000000;75.0500000;78.9900000;75.0500000;78.9900000;200
20130416;000000;80.0000000;80.0000000;79.9800000;79.9800000;300
20130417;000000;80.1500000;80.1500000;78.9900000;79.1900000;300
20130418;000000;79.3000000;79.3200000;78.9900000;79.3200000;1200
20130419;000000;83.5500000;83.5500000;83.5500000;83.5500000;100
20130423;000000;78.0000000;78.0000000;78.0000000;78.0000000;100
20130424;000000;79.7800000;79.8900000;76.8100000;76.8100000;500
20130425;000000;74.0100000;80.1000000;70.0000000;70.0000000;2700
20130426;000000;73.9400000;75.0000000;70.0000000;72.0000000;2100
20130429;000000;66.0000000;69.0000000;65.0000000;66.0300000;23100
20130430;000000;66.9900000;78.0000000;66.9900000;78.0000000;2300
20130502;000000;68.0100000;68.0100000;68.0100000;68.0100000;100
20130503;000000;70.0000000;70.0000000;60.0000000;70.0000000;2500
20130506;000000;68.0000000;74.9500000;68.0000000;70.0200000;2400
20130507;000000;70.0100000;72.0000000;70.0000000;70.0000000;1600
20130508;000000;68.0000000;71.0000000;66.0000000;71.0000000;2000
20130514;000000;70.9600000;70.9600000;70.9600000;70.9600000;100
20130520;000000;69.9900000;74.8000000;69.0000000;72.0000000;2900
20130521;000000;70.0100000;70.0100000;70.0100000;70.0100000;200
20130522;000000;70.0100000;70.0100000;70.0000000;70.0000000;300
20130523;000000;70.0000000;72.9900000;70.0000000;72.9900000;800
20130527;000000;72.9900000;72.9900000;72.9900000;72.9900000;100
20130528;000000;74.8000000;74.8000000;74.8000000;74.8000000;100
20130529;000000;70.0300000;70.0300000;70.0300000;70.0300000;100
20130530;000000;70.0300000;70.0300000;70.0300000;70.0300000;500
20130531;000000;70.0000000;70.0000000;70.0000000;70.0000000;300
20130604;000000;72.9700000;74.9900000;72.9700000;74.9900000;700
20130605;000000;74.8000000;75.0000000;74.8000000;75.0000000;200
20130613;000000;70.0300000;70.0300000;70.0000000;70.0000000;700
20130617;000000;70.0000000;72.0000000;70.0000000;72.0000000;600
20130618;000000;72.0000000;78.9800000;72.0000000;78.9800000;1500
20130620;000000;78.0000000;82.9800000;78.0000000;82.9800000;800
20130624;000000;80.0000000;80.0000000;75.0500000;75.0500000;3200
20130625;000000;75.0600000;75.0600000;75.0400000;75.0400000;2100
20130626;000000;80.0000000;81.8800000;80.0000000;81.8800000;4700
20130628;000000;76.0500000;76.0500000;76.0500000;76.0500000;500
20130701;000000;79.0000000;79.0000000;79.0000000;79.0000000;100
20130703;000000;79.9900000;79.9900000;79.0000000;79.0000000;600
20130705;000000;80.0000000;80.0000000;80.0000000;80.0000000;100
20130708;000000;79.0100000;79.0100000;78.0000000;78.0000000;600
20130709;000000;77.0100000;77.0100000;77.0000000;77.0000000;200
20130712;000000;77.0000000;77.0000000;77.0000000;77.0000000;300
20130716;000000;76.0000000;76.0000000;75.0300000;75.0300000;900
20130717;000000;80.0000000;80.0000000;80.0000000;80.0000000;100
20130718;000000;80.0000000;80.0000000;80.0000000;80.0000000;700
20130719;000000;80.0000000;80.0000000;80.0000000;80.0000000;200
20130729;000000;76.0200000;77.5000000;75.0000000;77.5000000;4800
20130730;000000;77.5100000;77.5100000;77.5000000;77.5000000;300
20130801;000000;77.5200000;77.5200000;77.5000000;77.5000000;2100
20130805;000000;78.5000000;81.5000000;78.5000000;81.5000000;500
20130807;000000;72.0100000;72.0100000;72.0000000;72.0000000;1400
20130808;000000;75.0000000;75.0000000;72.0400000;72.0400000;800
20130813;000000;75.0000000;75.0000000;75.0000000;75.0000000;400
20130816;000000;73.0100000;73.0100000;73.0000000;73.0000000;1300
20130819;000000;71.0500000;71.0500000;71.0500000;71.0500000;200
20130827;000000;71.0300000;71.0300000;70.1700000;70.1700000;900
20130904;000000;76.0000000;76.0000000;76.0000000;76.0000000;100
20130906;000000;70.0500000;76.9700000;70.0500000;72.0000000;300
20130909;000000;71.0100000;71.0100000;70.0000000;70.0000000;12300
20130912;000000;70.1000000;70.1000000;70.0000000;70.0000000;400
20130916;000000;70.0000000;70.0000000;70.0000000;70.0000000;100
20130919;000000;70.0100000;70.0100000;70.0100000;70.0100000;100
20130920;000000;71.0000000;71.0000000;71.0000000;71.0000000;100
20130926;000000;73.9900000;74.4700000;73.9900000;74.4700000;400
20130930;000000;72.0100000;72.0100000;72.0100000;72.0100000;100
20131007;000000;76.0000000;76.9900000;76.0000000;76.8000000;400
20131014;000000;75.0000000;75.0000000;75.0000000;75.0000000;100
20131024;000000;72.0100000;72.0100000;70.0000000;70.0000000;1200
20131028;000000;72.0000000;72.0000000;72.0000000;72.0000000;5200
20131112;000000;65.6100000;65.6100000;65.6100000;65.6100000;100
20131115;000000;71.9900000;73.9900000;71.9900000;73.9900000;200
20131118;000000;70.0000000;70.0100000;70.0000000;70.0000000;18100
