<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130110;000000;65.5600000;65.7700000;64.0200000;65.2900000;1770
20130111;000000;65.6200000;65.6200000;63.0200000;63.0200000;2520
20130114;000000;69.0000000;69.0000000;64.4900000;64.4900000;2070
20130115;000000;65.0600000;65.4000000;63.3500000;64.0900000;1740
20130116;000000;68.5000000;68.5000000;64.0100000;65.3100000;1970
20130117;000000;63.5500000;64.8000000;63.5500000;63.6800000;390
20130118;000000;69.8000000;69.8000000;64.5900000;64.6400000;2700
20130121;000000;65.2800000;67.6000000;63.5100000;64.1900000;2170
20130122;000000;66.6000000;66.6000000;64.0000000;64.0000000;610
20130123;000000;63.1000000;65.0000000;63.1000000;65.0000000;1740
20130124;000000;65.6000000;65.6000000;63.9800000;63.9800000;2390
20130125;000000;64.5100000;65.5700000;63.1000000;63.1000000;570
20130128;000000;63.2000000;64.9800000;63.0100000;64.9800000;860
20130129;000000;68.9000000;68.9000000;63.1600000;63.9900000;2560
20130130;000000;68.8000000;68.8000000;63.3100000;63.9400000;2110
20130131;000000;63.6100000;63.6100000;63.6000000;63.6000000;670
20130201;000000;63.1200000;63.7500000;63.1200000;63.2400000;440
20130204;000000;63.2100000;63.2100000;63.2000000;63.2000000;1000
20130205;000000;63.2200000;64.4900000;63.2200000;64.4900000;260
20130206;000000;65.6000000;65.6000000;63.3900000;63.4400000;2910
20130208;000000;65.3500000;65.3700000;63.4200000;63.7900000;420
20130211;000000;63.7600000;63.7600000;63.7600000;63.7600000;460
20130212;000000;62.0100000;65.3700000;62.0100000;64.4000000;290
20130213;000000;65.3700000;65.3700000;62.0400000;65.3200000;790
20130214;000000;64.9900000;64.9900000;63.5000000;63.5000000;30
20130215;000000;64.9000000;64.9800000;63.7000000;63.7000000;50
20130219;000000;62.2700000;62.2700000;62.2600000;62.2600000;180
20130220;000000;63.0000000;63.0100000;63.0000000;63.0100000;970
20130221;000000;63.0100000;64.0000000;63.0100000;64.0000000;2730
20130222;000000;61.5500000;65.4000000;61.5500000;63.0200000;3400
20130228;000000;63.0200000;63.0200000;63.0100000;63.0100000;480
20130301;000000;64.1100000;64.6100000;64.1100000;64.6100000;2170
20130304;000000;61.0500000;64.0100000;52.8900000;64.0100000;1030
20130311;000000;55.0000000;64.0000000;55.0000000;64.0000000;1020
20130312;000000;65.4100000;65.4400000;65.4100000;65.4400000;100
20130313;000000;60.0000000;64.0000000;56.7200000;64.0000000;300
20130318;000000;60.1000000;64.0000000;60.1000000;64.0000000;760
20130319;000000;64.0100000;65.0000000;64.0100000;65.0000000;400
20130320;000000;68.7700000;68.7700000;64.0100000;64.0100000;120
20130322;000000;64.3000000;64.5100000;64.3000000;64.4100000;100
20130326;000000;65.5000000;67.0000000;64.8500000;64.8600000;2500
20130405;000000;64.9000000;66.2600000;64.9000000;66.2600000;3020
20130410;000000;63.2600000;63.2600000;63.2500000;63.2600000;1550
20130411;000000;46.7000000;65.8800000;46.7000000;62.8600000;1880
20130412;000000;63.0100000;63.0100000;63.0000000;63.0000000;240
20130415;000000;63.0100000;65.0000000;63.0100000;63.9000000;3940
20130417;000000;68.9900000;68.9900000;62.0200000;64.0100000;2110
20130418;000000;63.0200000;63.1000000;63.0200000;63.1000000;20
20130419;000000;63.8400000;63.8400000;63.8400000;63.8400000;360
20130422;000000;63.0100000;63.0200000;63.0100000;63.0100000;1030
20130425;000000;63.6500000;65.9800000;63.6500000;63.9000000;1420
20130426;000000;63.0200000;63.1500000;63.0200000;63.1500000;20
20130429;000000;63.0100000;63.0100000;63.0100000;63.0100000;10
20130430;000000;50.0100000;62.5000000;50.0100000;62.5000000;350
20130503;000000;63.0100000;63.0100000;63.0100000;63.0100000;10
