<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;90.0000000;90.0000000;90.0000000;90.0000000;3000
20140108;000000;91.0000000;91.0000000;91.0000000;91.0000000;3400
20140109;000000;91.2000000;91.3000000;91.2000000;91.2000000;6000
20140110;000000;90.0000000;90.1500000;90.0000000;90.0500000;3600
20140113;000000;90.5000000;90.9500000;90.5000000;90.9500000;3600
20140114;000000;91.0000000;91.1800000;91.0000000;91.1800000;3600
20140115;000000;91.5000000;91.6500000;91.3000000;91.3000000;3000
20140116;000000;91.3000000;91.8000000;91.3000000;91.8000000;3600
20140117;000000;90.5000000;90.7000000;90.5000000;90.7000000;3600
20140120;000000;90.0000000;90.4500000;89.0000000;90.4500000;3600
20140121;000000;88.0000000;91.5000000;87.0000000;91.5000000;3600
20140122;000000;94.0000000;94.0000000;89.0000000;91.6000000;3600
20140123;000000;90.0000000;93.0000000;87.0000000;91.8000000;3800
20140124;000000;95.6000000;95.6000000;86.0000000;94.8800000;3600
20140127;000000;87.0000000;94.0000000;87.0000000;93.5000000;4400
20140128;000000;94.0000000;96.3000000;89.5000000;93.8000000;3700
20140129;000000;94.0000000;97.0000000;90.0000000;96.7000000;4700
20140130;000000;95.0300000;100.4800000;95.0300000;100.4800000;3600
20140131;000000;100.0000000;102.0000000;94.0000000;102.0000000;3000
20140203;000000;101.9800000;101.9800000;96.1000000;100.1800000;3200
20140204;000000;100.1000000;100.1000000;95.2000000;99.0000000;3800
20140205;000000;99.3000000;104.2000000;94.7000000;102.0000000;3900
20140206;000000;103.0000000;104.0000000;95.1000000;104.0000000;3000
20140207;000000;102.0000000;106.0000000;99.0000000;104.0000000;3200
20140210;000000;101.0000000;101.0000000;101.0000000;101.0000000;5000
20140211;000000;100.5000000;109.0000000;100.5000000;104.1000000;3600
20140212;000000;110.0000000;110.0000000;102.0000000;104.5000000;2800
20140213;000000;103.1000000;106.3000000;103.1000000;106.3000000;2800
20140214;000000;105.0000000;108.1000000;105.0000000;108.1000000;3400
20140217;000000;108.0000000;108.7000000;105.0000000;106.1000000;4000
20140218;000000;105.0000000;114.0000000;104.0000000;107.0000000;9600
20140219;000000;108.0000000;108.0000000;106.1000000;107.8000000;4500
20140220;000000;106.0000000;106.9000000;104.1000000;104.5000000;4000
20140221;000000;106.1000000;108.9000000;106.1000000;106.1000000;4200
20140224;000000;106.1000000;107.9900000;106.1000000;107.9900000;3800
20140225;000000;105.1000000;107.9900000;105.0500000;107.0000000;4400
20140226;000000;108.1000000;109.9000000;108.1000000;108.5000000;4600
20140227;000000;108.4000000;108.4000000;105.9000000;107.0000000;3200
20140228;000000;106.5000000;108.9000000;106.5000000;107.0000000;3600
20140304;000000;108.0000000;108.0000000;108.0000000;108.0000000;2400
20140305;000000;108.0000000;108.0000000;105.2000000;107.0000000;3200
20140306;000000;105.9000000;105.9000000;103.1000000;104.0000000;4200
20140307;000000;104.9000000;104.9000000;102.3000000;104.9000000;4600
20140311;000000;103.1000000;103.1000000;101.2000000;103.1000000;4000
20140312;000000;102.9000000;102.9000000;100.5000000;102.8000000;3800
20140313;000000;101.9000000;101.9000000;100.0100000;101.0000000;4200
20140314;000000;100.0100000;104.3000000;100.0000000;102.0000000;6400
20140317;000000;99.0000000;100.4900000;99.0000000;99.9000000;4600
20140318;000000;98.0100000;100.5000000;98.0000000;98.0000000;4900
