<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;1130.0000000;1135.5000000;1099.0000000;1120.0000000;9180
20140108;000000;1111.0000000;1111.7000000;1085.1000000;1094.3000000;3998
20140109;000000;1092.0000000;1127.5000000;1086.0000000;1120.0000000;17830
20140110;000000;1109.9000000;1125.1000000;1096.5000000;1112.0000000;6228
20140113;000000;1119.7000000;1133.5000000;1112.9000000;1114.7000000;7258
20140114;000000;1117.0000000;1120.0000000;1106.0000000;1118.7000000;12186
20140115;000000;1118.5000000;1157.7000000;1108.9000000;1120.0000000;32429
20140116;000000;1126.9000000;1128.6000000;1087.1000000;1100.0000000;11099
20140117;000000;1099.0000000;1111.9000000;1000.0000000;1106.6000000;7405
20140120;000000;1107.0000000;1108.1000000;1085.0000000;1087.0000000;10912
20140121;000000;1102.9000000;1105.6000000;1085.0000000;1098.6000000;14396
20140122;000000;1095.1000000;1107.5000000;1075.1000000;1096.0000000;14849
20140123;000000;1085.0000000;1150.5000000;1080.2000000;1149.0000000;30192
20140124;000000;1145.1000000;1149.8000000;1124.8000000;1146.0000000;9590
20140127;000000;1132.4000000;1144.5000000;1122.0000000;1130.9000000;22988
20140128;000000;1125.1000000;1155.0000000;1125.0000000;1150.0000000;13226
20140129;000000;1149.5000000;1178.1000000;1149.5000000;1153.9000000;8603
20140130;000000;1163.0000000;1163.0000000;1140.9000000;1155.7000000;7086
20140131;000000;1155.7000000;1168.1000000;1139.7000000;1167.7000000;22216
20140203;000000;1169.0000000;1177.3000000;1146.1000000;1156.9000000;15272
20140204;000000;1148.2000000;1166.5000000;1140.0000000;1165.9000000;6745
20140205;000000;1177.6000000;1184.9000000;1166.9000000;1175.0000000;15414
20140206;000000;1164.9000000;1184.9000000;1161.0000000;1177.0000000;1184
20140207;000000;1176.0000000;1180.0000000;1162.0000000;1172.8000000;6398
20140210;000000;1172.8000000;1182.8000000;1167.8000000;1182.8000000;3245
20140211;000000;1182.8000000;1184.8000000;1171.9000000;1184.0000000;4820
20140212;000000;1189.0000000;1189.0000000;1161.2000000;1175.0000000;4806
20140213;000000;1179.5000000;1179.5000000;1165.0000000;1174.9000000;1640
20140214;000000;1167.1000000;1174.9000000;1156.6000000;1161.9000000;2983
20140217;000000;1161.9000000;1169.7000000;1155.8000000;1164.9000000;4379
20140218;000000;1153.3000000;1164.0000000;1117.5000000;1150.0000000;27310
20140219;000000;1134.9000000;1145.7000000;1124.3000000;1138.5000000;4767
20140220;000000;1130.0000000;1147.5000000;1125.8000000;1147.2000000;6811
20140221;000000;1149.0000000;1170.0000000;1132.1000000;1159.9000000;5586
20140224;000000;1160.1000000;1169.0000000;1150.6000000;1169.0000000;2897
20140225;000000;1168.0000000;1169.7000000;1145.0000000;1146.0000000;6218
20140226;000000;1147.4000000;1160.0000000;1147.3000000;1160.0000000;2451
20140227;000000;1165.1000000;1165.1000000;1114.9000000;1116.0000000;8162
20140228;000000;1122.1000000;1150.0000000;1080.0000000;1150.0000000;18707
20140303;000000;1066.9000000;1120.0000000;968.0000000;1000.0000000;48516
20140304;000000;995.0000000;1060.0000000;995.0000000;1060.0000000;17083
20140305;000000;1045.1000000;1083.0000000;1042.6000000;1076.2000000;14218
20140306;000000;1080.0000000;1099.8000000;1060.0000000;1065.0000000;24005
20140307;000000;1077.9000000;1097.5000000;1065.0000000;1080.0000000;5071
20140311;000000;1085.0000000;1098.3000000;1072.5000000;1083.7000000;7042
20140312;000000;1075.1000000;1083.1000000;1050.0000000;1050.0000000;15867
20140313;000000;1056.0000000;1058.7000000;1011.3000000;1016.4000000;24785
20140314;000000;995.8000000;1010.0000000;980.0000000;990.4000000;19773
20140317;000000;1010.0000000;1044.9000000;985.5000000;1007.6000000;26986
20140318;000000;1017.7000000;1060.5000000;1001.0000000;1044.4000000;26166
20140319;000000;1042.0000000;1060.0000000;1040.0000000;1047.1000000;10961
