<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;34.4800000;34.4800000;30.1500000;31.2000000;4000
20140108;000000;32.0700000;35.9800000;32.0700000;33.0000000;8300
20140109;000000;33.8900000;38.2000000;32.0000000;32.7800000;25300
20140110;000000;33.2200000;34.8500000;32.9800000;33.0000000;21200
20140113;000000;32.2000000;32.2000000;31.3900000;31.9700000;13300
20140114;000000;31.5100000;36.0000000;31.5000000;33.0000000;242200
20140115;000000;33.0100000;33.0100000;32.0100000;32.2200000;2600
20140116;000000;32.3300000;32.3300000;31.3200000;31.3200000;6000
20140117;000000;31.5000000;31.5100000;31.0000000;31.0000000;6400
20140120;000000;30.9900000;31.0000000;30.5000000;30.5000000;2700
20140121;000000;30.5000000;31.0000000;30.5000000;30.9900000;7300
20140122;000000;30.6800000;35.1100000;30.2000000;35.1100000;140900
20140123;000000;35.0000000;35.0000000;33.3000000;34.8000000;2700
20140124;000000;34.5100000;34.5200000;32.8400000;34.5100000;4900
20140127;000000;34.0000000;36.5000000;33.4600000;36.5000000;156200
20140128;000000;37.4900000;40.0000000;36.0000000;36.0000000;51400
20140129;000000;35.2000000;35.2000000;35.0000000;35.0000000;7100
20140130;000000;32.8200000;33.9900000;32.8000000;33.9900000;7900
20140131;000000;34.0100000;35.0000000;33.9700000;35.0000000;500
20140203;000000;35.0000000;35.3900000;33.5800000;33.8000000;1400
20140204;000000;33.9700000;33.9800000;33.0100000;33.0100000;300
20140205;000000;32.0300000;32.5000000;32.0100000;32.0300000;1600
20140206;000000;32.0300000;32.0300000;32.0300000;32.0300000;2000
20140207;000000;32.0000000;32.2000000;32.0000000;32.2000000;400
20140210;000000;33.7500000;33.7500000;33.7500000;33.7500000;100
20140212;000000;33.4900000;33.5000000;32.9900000;32.9900000;1200
20140213;000000;32.9900000;32.9900000;30.3000000;32.4900000;4400
20140214;000000;31.3500000;32.9900000;31.2000000;32.9900000;1000
20140217;000000;31.5500000;32.0000000;31.5500000;32.0000000;700
20140218;000000;31.0000000;33.0000000;31.0000000;32.2000000;3000
20140219;000000;33.0000000;33.0000000;31.5000000;32.0000000;4400
20140220;000000;31.1600000;31.1600000;31.0600000;31.0600000;700
