<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;2.8010000;2.8540000;2.8000000;2.8290000;178600
20140108;000000;2.8360000;2.8440000;2.8080000;2.8320000;92400
20140109;000000;2.8220000;3.0470000;2.8220000;3.0350000;1996800
20140110;000000;3.0250000;3.5400000;3.0090000;3.2070000;7418600
20140113;000000;3.2620000;3.3770000;3.1120000;3.1600000;1895300
20140114;000000;3.1370000;3.1850000;3.0780000;3.1490000;1250600
20140115;000000;3.1590000;3.1980000;3.1390000;3.1880000;621400
20140116;000000;3.1940000;3.3750000;3.1940000;3.2810000;2843500
20140117;000000;3.2820000;3.6000000;3.2820000;3.5470000;7993900
20140120;000000;3.5770000;3.6870000;3.3850000;3.4650000;1678200
20140121;000000;3.4650000;3.4650000;3.3350000;3.4340000;1543800
20140122;000000;3.3600000;3.4790000;3.3030000;3.3680000;696400
20140123;000000;3.3500000;3.4870000;3.3500000;3.4420000;874500
20140124;000000;3.4700000;3.4990000;3.4250000;3.4440000;699400
20140127;000000;3.4100000;3.4700000;3.4000000;3.4390000;587100
20140128;000000;3.4490000;3.4830000;3.3900000;3.4190000;369100
20140129;000000;3.4200000;3.5400000;3.3900000;3.4800000;1346800
20140130;000000;3.4790000;3.4940000;3.3810000;3.4230000;682500
20140131;000000;3.4210000;3.4770000;3.3520000;3.4690000;794900
20140203;000000;3.4800000;3.4800000;3.3980000;3.4190000;336900
20140204;000000;3.3180000;3.3970000;3.1010000;3.3260000;1407900
20140205;000000;3.2980000;3.3000000;3.1490000;3.2490000;1529300
20140206;000000;3.2550000;3.3390000;3.2320000;3.3170000;385300
20140207;000000;3.3260000;3.3620000;3.2000000;3.3200000;437300
20140210;000000;3.3230000;3.3840000;3.2930000;3.3400000;384000
20140211;000000;3.3460000;3.3580000;3.2560000;3.3360000;347300
20140212;000000;3.3210000;3.3900000;3.3000000;3.3520000;424800
20140213;000000;3.3390000;3.3880000;3.3150000;3.3390000;256300
20140214;000000;3.3210000;3.5000000;3.3210000;3.4150000;1987900
20140217;000000;3.4700000;3.5730000;3.4130000;3.4500000;1247800
20140218;000000;3.4500000;3.5470000;3.4350000;3.4500000;442500
20140219;000000;3.4030000;3.5010000;3.3770000;3.3830000;547600
20140220;000000;3.4010000;3.5210000;3.3700000;3.4360000;395600
20140221;000000;3.4150000;3.4580000;3.4020000;3.4540000;164500
20140224;000000;3.4430000;3.4700000;3.2320000;3.4200000;249700
20140225;000000;3.4220000;3.4300000;3.3200000;3.3730000;359000
20140226;000000;3.4190000;3.5500000;3.3770000;3.4380000;852900
20140227;000000;3.4800000;3.4800000;3.2670000;3.3150000;1134400
20140228;000000;3.2840000;3.3010000;3.0100000;3.0920000;1388200
20140303;000000;2.9000000;2.9080000;2.3000000;2.5500000;2233300
20140304;000000;2.4550000;2.7760000;2.4550000;2.7200000;785600
20140305;000000;2.7690000;2.8080000;2.5230000;2.7810000;811100
20140306;000000;2.8220000;2.8280000;2.6000000;2.7590000;678000
20140307;000000;2.7000000;2.7960000;2.6350000;2.7870000;107000
20140311;000000;2.7870000;2.7870000;2.6250000;2.7500000;128700
20140312;000000;2.7730000;2.7730000;2.5500000;2.5970000;1033200
20140313;000000;2.5950000;2.5950000;2.4040000;2.4940000;990800
20140314;000000;2.4030000;2.4420000;2.2120000;2.3500000;1471500
20140317;000000;2.3990000;2.4990000;2.2990000;2.4250000;1232000
20140318;000000;2.4600000;2.6000000;2.4000000;2.5580000;1349300
20140319;000000;2.5600000;2.6580000;2.4800000;2.5590000;1585700
20140320;000000;2.5010000;2.6390000;2.5000000;2.6100000;851600
20140321;000000;2.5050000;2.6000000;2.5010000;2.5960000;734600
20140324;000000;2.6680000;2.7130000;2.5790000;2.6430000;421200
20140325;000000;2.6020000;2.6740000;2.6010000;2.6670000;227900
20140326;000000;2.6880000;2.7090000;2.4500000;2.6870000;2227500
20140327;000000;2.6270000;2.7000000;2.6260000;2.6900000;267600
20140328;000000;2.6930000;2.7320000;2.6640000;2.6950000;369800
20140331;000000;2.6520000;2.7200000;2.6500000;2.7000000;338100
20140401;000000;2.7150000;2.7340000;2.6800000;2.6990000;549800
20140402;000000;2.7020000;2.7060000;2.6760000;2.6900000;241800
20140403;000000;2.6900000;2.7000000;2.5620000;2.6800000;669900
20140404;000000;2.6690000;2.7900000;2.6500000;2.7500000;1436200
20140407;000000;2.7190000;2.7770000;2.6490000;2.7010000;1472800
20140408;000000;2.6710000;2.7100000;2.6400000;2.7100000;496000
20140409;000000;2.7000000;2.7300000;2.6820000;2.7100000;79300
20140410;000000;2.7410000;2.7480000;2.6650000;2.7110000;102900
20140411;000000;2.6850000;2.7290000;2.6800000;2.7090000;876600
20140414;000000;2.6850000;2.6900000;2.6500000;2.6800000;212500
20140415;000000;2.7000000;2.7000000;2.6290000;2.6300000;453500
20140416;000000;2.6720000;2.6980000;2.6230000;2.6920000;315500
20140417;000000;2.6960000;2.7100000;2.6600000;2.6900000;230000
20140418;000000;2.7300000;2.7340000;2.6910000;2.7090000;95100
20140421;000000;2.7070000;2.9700000;2.6800000;2.7940000;1079000
20140422;000000;2.7650000;2.8580000;2.7380000;2.7970000;228900
20140423;000000;2.7850000;2.7870000;2.7400000;2.7870000;241800
20140424;000000;2.7820000;2.7840000;2.6710000;2.7000000;342700
20140425;000000;2.6860000;2.7000000;2.6460000;2.6830000;216100
20140428;000000;2.6010000;2.7190000;2.6000000;2.7100000;62600
20140429;000000;2.7490000;2.7700000;2.6990000;2.7240000;82000
20140430;000000;2.7200000;2.7270000;2.6500000;2.6980000;151000
20140502;000000;2.7300000;2.7300000;2.6160000;2.7020000;32400
20140505;000000;2.6820000;2.7200000;2.6720000;2.7060000;59300
20140506;000000;2.7000000;2.7600000;2.7000000;2.7260000;76900
20140507;000000;2.7160000;2.7530000;2.6800000;2.7500000;175500
20140508;000000;2.7480000;2.7800000;2.7000000;2.7500000;299400
20140512;000000;2.7170000;2.7760000;2.7080000;2.7290000;163300
20140513;000000;2.7340000;3.0100000;2.7100000;2.9000000;1111800
20140514;000000;2.9000000;2.9430000;2.8230000;2.9110000;354800
20140515;000000;2.9730000;2.9730000;2.8100000;2.8400000;323500
20140516;000000;2.8070000;2.8220000;2.8010000;2.8100000;405000
20140519;000000;2.8240000;2.8590000;2.8040000;2.8440000;319000
20140520;000000;2.8160000;2.8480000;2.7800000;2.8100000;309300
20140521;000000;2.8000000;2.8450000;2.7990000;2.8400000;283800
20140522;000000;2.8300000;2.9300000;2.8250000;2.8750000;620300
20140523;000000;2.8700000;2.9000000;2.8410000;2.8990000;247700
20140526;000000;2.9010000;2.9150000;2.8500000;2.9150000;511300
20140527;000000;2.8920000;2.9050000;2.8500000;2.8600000;410100
20140528;000000;2.8510000;2.9410000;2.8510000;2.8750000;389600
20140529;000000;2.8800000;2.9470000;2.8520000;2.9080000;599400
20140530;000000;2.9070000;2.9510000;2.8680000;2.8890000;290300
20140602;000000;2.8670000;2.9100000;2.8650000;2.9000000;269500
20140603;000000;2.9200000;2.9240000;2.8600000;2.8770000;542000
20140604;000000;2.9000000;2.9510000;2.8770000;2.9510000;647000
20140605;000000;2.9360000;3.0750000;2.9160000;2.9800000;889000
20140606;000000;3.0000000;3.0500000;2.9740000;3.0200000;273700
20140609;000000;3.0210000;3.1710000;2.9500000;3.1710000;961200
20140610;000000;3.1510000;3.3600000;3.1000000;3.2020000;1213400
20140611;000000;3.2120000;3.2890000;3.1430000;3.1430000;607000
20140616;000000;3.1110000;3.2000000;3.0030000;3.1770000;922500
20140617;000000;3.1970000;3.1970000;3.0810000;3.1500000;111800
20140618;000000;3.0930000;3.1880000;3.0900000;3.1730000;137800
20140619;000000;3.1620000;3.1790000;3.1210000;3.1540000;147200
20140620;000000;3.1510000;3.2080000;3.1490000;3.1860000;689800
20140623;000000;3.1660000;3.2420000;3.1530000;3.1980000;121500
20140624;000000;3.1580000;3.2840000;3.1580000;3.2480000;316600
20140625;000000;3.2230000;3.2430000;3.1160000;3.1790000;472400
20140626;000000;3.2020000;3.2420000;3.1060000;3.1850000;382600
20140627;000000;3.2220000;3.2410000;3.0580000;3.1540000;449800
20140630;000000;3.1670000;3.1670000;3.0750000;3.1100000;116400
20140701;000000;3.0680000;3.2000000;3.0100000;3.1420000;222400
20140702;000000;3.1950000;3.1950000;3.1000000;3.1350000;114000
20140703;000000;3.1080000;3.1500000;3.0800000;3.1370000;264100
20140704;000000;3.1330000;3.1350000;3.0030000;3.0280000;262300
20140707;000000;3.0010000;3.1100000;2.9620000;3.0970000;288500
20140708;000000;3.0990000;3.1200000;3.0430000;3.1200000;410900
20140709;000000;3.0990000;3.1290000;3.0070000;3.0460000;115300
20140710;000000;3.0190000;3.0580000;2.9800000;3.0360000;272700
20140711;000000;3.0300000;3.0430000;2.8750000;2.9650000;520200
20140714;000000;2.9260000;2.9750000;2.9000000;2.9560000;86800
20140715;000000;2.9860000;2.9870000;2.9000000;2.9630000;114900
20140716;000000;2.9330000;2.9780000;2.9210000;2.9580000;173800
20140717;000000;2.9210000;2.9800000;2.9200000;2.9800000;446100
20140718;000000;2.9440000;3.0200000;2.9000000;2.9800000;326200
20140721;000000;2.9710000;3.0000000;2.8980000;3.0000000;656400
20140722;000000;3.0480000;3.2000000;2.9700000;3.1750000;357700
20140723;000000;3.1120000;3.1790000;3.0240000;3.0940000;118800
20140724;000000;3.0370000;3.1010000;3.0200000;3.0960000;33400
20140725;000000;3.0490000;3.1000000;3.0450000;3.0970000;223400
20140728;000000;3.0580000;3.1050000;2.9820000;3.0020000;294500
20140729;000000;3.0040000;3.0120000;2.8980000;3.0100000;240000
20140730;000000;2.9510000;3.0300000;2.9500000;3.0000000;191400
20140731;000000;2.9530000;3.1890000;2.9530000;3.0010000;304500
20140801;000000;2.9950000;3.0390000;2.9620000;3.0390000;39300
20140804;000000;3.0030000;3.0560000;3.0010000;3.0320000;84000
20140805;000000;3.0110000;3.1600000;2.9500000;2.9900000;1225400
20140806;000000;2.9550000;3.2140000;2.9100000;3.1160000;1734600
20140807;000000;3.1130000;3.2000000;2.9910000;3.1510000;414500
20140808;000000;3.1460000;3.1500000;3.0300000;3.0780000;99500
20140811;000000;3.0520000;3.1500000;3.0510000;3.1130000;189600
20140812;000000;3.1140000;3.1470000;3.0840000;3.1140000;36900
20140813;000000;3.0760000;3.1140000;3.0760000;3.0880000;81900
20140814;000000;3.0790000;3.1400000;3.0620000;3.1050000;56000
20140815;000000;3.1100000;3.1270000;3.0600000;3.1090000;34300
20140818;000000;3.0910000;3.1270000;3.0800000;3.0980000;28400
20140819;000000;3.1420000;3.1750000;3.1050000;3.1550000;78700
20140820;000000;3.1730000;3.3720000;3.1070000;3.2210000;2301600
20140821;000000;3.2010000;3.3670000;3.1700000;3.1850000;223000
20140822;000000;3.2000000;3.2600000;3.1450000;3.1750000;382000
20140825;000000;3.1750000;3.2770000;3.1750000;3.2090000;281000
