<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;1406.0000000;1416.6000000;1391.8000000;1412.5000000;21678
20140108;000000;1412.0000000;1420.2000000;1410.1000000;1417.0000000;16689
20140109;000000;1415.0000000;1424.6000000;1410.1000000;1421.0000000;8996
20140110;000000;1410.7000000;1447.0000000;1410.5000000;1433.8000000;35259
20140113;000000;1435.0000000;1435.0000000;1416.1000000;1423.1000000;29947
20140114;000000;1415.0000000;1430.0000000;1405.0000000;1427.1000000;36830
20140115;000000;1429.9000000;1449.0000000;1420.1000000;1441.9000000;57121
20140116;000000;1433.8000000;1459.8000000;1424.2000000;1443.6000000;20574
20140117;000000;1449.6000000;1459.0000000;1437.0000000;1450.0000000;23047
20140120;000000;1452.5000000;1470.0000000;1450.9000000;1463.9000000;37380
20140121;000000;1469.5000000;1474.9000000;1456.1000000;1460.3000000;7984
20140122;000000;1459.0000000;1464.5000000;1441.0000000;1445.0000000;29188
20140123;000000;1448.8000000;1459.9000000;1435.0000000;1440.8000000;51287
20140124;000000;1429.8000000;1444.9000000;1411.6000000;1440.0000000;11765
20140127;000000;1434.9000000;1491.0000000;1430.0000000;1478.9000000;22918
20140128;000000;1477.0000000;1489.9000000;1452.2000000;1468.5000000;19634
20140129;000000;1460.2000000;1490.4000000;1440.0000000;1445.9000000;50039
20140130;000000;1449.9000000;1480.0000000;1445.1000000;1467.0000000;30153
20140131;000000;1453.0000000;1480.0000000;1441.1000000;1453.0000000;23613
20140203;000000;1459.9000000;1464.9000000;1440.0000000;1443.0000000;14146
20140204;000000;1429.8000000;1449.8000000;1410.2000000;1430.1000000;15423
20140205;000000;1435.1000000;1459.7000000;1430.9000000;1453.1000000;9835
20140206;000000;1460.0000000;1466.4000000;1435.1000000;1465.0000000;6831
20140207;000000;1452.3000000;1475.0000000;1452.0000000;1473.4000000;9542
20140210;000000;1464.6000000;1474.9000000;1451.0000000;1471.0000000;6584
20140211;000000;1461.6000000;1473.7000000;1453.2000000;1460.3000000;6491
20140212;000000;1469.6000000;1473.6000000;1460.2000000;1464.0000000;7047
20140213;000000;1462.0000000;1468.0000000;1449.5000000;1457.0000000;10212
20140214;000000;1461.9000000;1471.5000000;1456.6000000;1468.8000000;16260
20140217;000000;1469.9000000;1475.3000000;1455.1000000;1472.1000000;9759
20140218;000000;1460.1000000;1477.0000000;1459.8000000;1466.1000000;14188
20140219;000000;1468.8000000;1474.5000000;1450.0000000;1450.5000000;20511
20140220;000000;1450.1000000;1452.9000000;1440.3000000;1445.7000000;10561
20140221;000000;1455.5000000;1460.0000000;1445.3000000;1446.8000000;19778
20140224;000000;1447.0000000;1449.4000000;1440.3000000;1445.5000000;5724
20140225;000000;1449.8000000;1460.0000000;1429.1000000;1429.3000000;24541
20140226;000000;1436.9000000;1444.7000000;1412.6000000;1420.0000000;18232
20140227;000000;1415.6000000;1430.5000000;1399.5000000;1419.7000000;26272
20140228;000000;1418.8000000;1429.9000000;1405.0000000;1412.0000000;30502
20140303;000000;1129.7000000;1364.1000000;1129.7000000;1328.5000000;37791
20140304;000000;1351.0000000;1415.0000000;1320.0000000;1344.9000000;35876
20140305;000000;1345.1000000;1380.1000000;1320.5000000;1365.0000000;7850
20140306;000000;1377.1000000;1378.8000000;1322.7000000;1336.9000000;23412
20140307;000000;1330.4000000;1372.0000000;1330.4000000;1350.0000000;51582
20140311;000000;1359.1000000;1362.2000000;1325.0000000;1325.5000000;22402
20140312;000000;1320.1000000;1354.9000000;1310.2000000;1320.9000000;19660
20140313;000000;1320.7000000;1340.1000000;1318.0000000;1325.0000000;22312
20140314;000000;1300.1000000;1312.0000000;1235.1000000;1251.4000000;19162
20140317;000000;1260.3000000;1399.0000000;1248.0000000;1384.9000000;53379
20140318;000000;1353.3000000;1373.0000000;1320.3000000;1338.2000000;27443
20140319;000000;1347.1000000;1379.9000000;1322.5000000;1349.9000000;14125
20140320;000000;1353.8000000;1394.0000000;1350.0000000;1389.9000000;17356
20140321;000000;1370.0000000;1400.1000000;1350.0000000;1400.0000000;40090
20140324;000000;1400.0000000;1434.0000000;1384.8000000;1385.2000000;9712
20140325;000000;1390.9000000;1414.8000000;1381.0000000;1399.6000000;14160
20140326;000000;1395.4000000;1434.0000000;1385.1000000;1427.7000000;14738
20140327;000000;1420.6000000;1430.0000000;1395.4000000;1404.0000000;13960
20140328;000000;1418.7000000;1420.3000000;1395.2000000;1401.6000000;7162
20140331;000000;1412.0000000;1435.4000000;1400.0000000;1435.4000000;7347
20140401;000000;1420.1000000;1435.1000000;1405.1000000;1415.0000000;18533
20140402;000000;1417.2000000;1426.0000000;1415.0000000;1424.3000000;8391
20140403;000000;1428.9000000;1435.3000000;1420.3000000;1425.1000000;50340
20140404;000000;1430.0000000;1474.9000000;1421.1000000;1474.9000000;51122
20140407;000000;1465.1000000;1469.5000000;1404.3000000;1430.0000000;72297
20140408;000000;1434.8000000;1458.3000000;1429.6000000;1458.3000000;42934
20140409;000000;1452.8000000;1460.0000000;1442.5000000;1460.0000000;12593
20140410;000000;1455.0000000;1489.0000000;1453.2000000;1485.0000000;15822
20140411;000000;1470.6000000;1499.9000000;1460.6000000;1482.0000000;8562
20140414;000000;1475.8000000;1481.0000000;1452.5000000;1464.1000000;14097
20140415;000000;1469.9000000;1480.0000000;1415.0000000;1422.5000000;22368
20140416;000000;1434.9000000;1484.5000000;1429.7000000;1479.0000000;18716
20140417;000000;1480.1000000;1503.9000000;1476.5000000;1487.1000000;18531
20140418;000000;1500.0000000;1555.4000000;1500.0000000;1539.0000000;11055
20140421;000000;1539.0000000;1574.7000000;1525.1000000;1551.4000000;13019
20140506;000000;1648.9000000;1648.9000000;1505.1000000;1525.0000000;40821
20140507;000000;1535.0000000;1568.0000000;1526.1000000;1553.7000000;38888
20140508;000000;1565.0000000;1565.0000000;1530.0000000;1545.0000000;13548
20140512;000000;1559.7000000;1559.7000000;1512.2000000;1515.6000000;8630
20140513;000000;1520.8000000;1545.0000000;1500.0000000;1510.5000000;19169
20140514;000000;1519.0000000;1555.0000000;1516.0000000;1540.0000000;30293
20140515;000000;1556.0000000;1567.0000000;1525.3000000;1533.6000000;21364
20140516;000000;1542.3000000;1542.8000000;1523.0000000;1534.7000000;10505
20140519;000000;1534.7000000;1556.0000000;1532.3000000;1540.0000000;28761
20140520;000000;1545.0000000;1560.0000000;1539.0000000;1540.0000000;34160
20140521;000000;1550.0000000;1555.3000000;1541.0000000;1555.0000000;17234
20140522;000000;1555.0000000;1559.9000000;1546.6000000;1551.0000000;13404
20140523;000000;1551.5000000;1560.0000000;1546.9000000;1554.5000000;21602
20140526;000000;1554.5000000;1574.2000000;1554.5000000;1570.0000000;21598
20140527;000000;1574.5000000;1597.0000000;1560.1000000;1597.0000000;20703
20140528;000000;1596.0000000;1640.0000000;1577.7000000;1631.0000000;22120
20140529;000000;1642.0000000;1652.0000000;1634.5000000;1647.2000000;21169
20140530;000000;1655.0000000;1680.0000000;1646.8000000;1680.0000000;25326
20140602;000000;1679.0000000;1747.0000000;1671.5000000;1715.0000000;22129
20140603;000000;1710.1000000;1746.3000000;1710.0000000;1737.6000000;15973
20140604;000000;1737.5000000;1793.7000000;1728.7000000;1773.0000000;19336
20140605;000000;1775.3000000;1817.7000000;1743.8000000;1815.0000000;53232
20140606;000000;1803.5000000;1827.7000000;1792.1000000;1817.9000000;31132
20140609;000000;1818.9000000;1847.4000000;1803.3000000;1835.3000000;20364
20140610;000000;1835.1000000;1840.0000000;1826.0000000;1833.0000000;17660
20140611;000000;1833.5000000;1838.9000000;1815.1000000;1833.2000000;23064
20140616;000000;1830.0000000;1880.0000000;1815.0000000;1848.1000000;86103
20140617;000000;1845.0000000;1869.0000000;1801.1000000;1832.0000000;52039
20140618;000000;1838.0000000;1843.8000000;1820.1000000;1831.0000000;47665
20140619;000000;1830.0000000;1840.0000000;1816.0000000;1829.4000000;86456
20140620;000000;1620.1000000;1700.0000000;1580.4000000;1654.0000000;43983
20140623;000000;1661.5000000;1687.0000000;1601.0000000;1632.4000000;12760
20140624;000000;1620.2000000;1682.0000000;1603.1000000;1674.7000000;38931
20140625;000000;1663.1000000;1698.3000000;1663.1000000;1676.5000000;21022
20140626;000000;1676.7000000;1694.9000000;1653.1000000;1666.7000000;21442
20140627;000000;1669.9000000;1674.9000000;1642.2000000;1651.1000000;42798
20140630;000000;1653.1000000;1653.1000000;1618.0000000;1632.2000000;16600
20140701;000000;1634.6000000;1638.0000000;1616.7000000;1626.1000000;8588
20140702;000000;1628.0000000;1696.9000000;1625.3000000;1686.9000000;31758
20140703;000000;1670.6000000;1735.4000000;1670.6000000;1695.0000000;23365
20140704;000000;1655.1000000;1715.3000000;1655.1000000;1709.0000000;34991
20140707;000000;1708.8000000;1770.0000000;1708.8000000;1770.0000000;27899
20140708;000000;1753.0000000;1826.0000000;1753.0000000;1826.0000000;31424
20140709;000000;1807.0000000;1848.0000000;1754.9000000;1810.0000000;31033
20140710;000000;1812.0000000;1837.0000000;1805.0000000;1825.1000000;30471
20140711;000000;1824.1000000;1837.6000000;1815.8000000;1830.0000000;11502
20140714;000000;1815.4000000;1838.1000000;1780.1000000;1794.9000000;13965
20140715;000000;1800.0000000;1800.0000000;1716.3000000;1769.3000000;46791
20140716;000000;1740.5000000;1768.0000000;1699.9000000;1745.0000000;43647
