<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;24.0020000;27.9770000;21.5770000;27.9770000;3000
20140108;000000;22.3180000;26.7550000;22.3110000;26.1750000;12000
20140109;000000;25.3770000;27.9770000;25.3770000;27.9770000;2000
20140110;000000;23.1900000;27.9970000;23.1900000;27.0000000;8000
20140113;000000;24.5770000;27.7990000;24.5770000;27.7990000;4000
20140114;000000;22.5870000;27.5000000;22.5000000;27.5000000;6000
20140115;000000;24.5990000;27.0070000;24.5990000;27.0070000;4000
20140116;000000;25.0000000;27.0070000;23.1200000;23.1200000;6000
20140117;000000;24.0000000;24.0000000;24.0000000;24.0000000;1000
20140120;000000;23.0080000;23.5820000;20.0000000;23.0210000;105000
20140123;000000;22.0000000;22.0000000;22.0000000;22.0000000;1000
20140127;000000;21.9990000;23.2300000;21.9990000;23.2300000;5000
20140129;000000;21.5000000;22.9990000;21.5000000;22.9990000;2000
20140205;000000;22.9980000;22.9980000;22.4900000;22.4900000;3000
20140206;000000;21.4900000;21.4900000;21.4900000;21.4900000;2000
20140207;000000;22.4890000;22.4900000;22.4890000;22.4900000;2000
20140211;000000;21.5900000;22.5900000;21.5900000;22.5900000;5000
20140213;000000;21.7560000;21.7560000;21.7560000;21.7560000;1000
20140214;000000;19.5700000;22.4900000;19.5700000;22.4700000;8000
20140217;000000;20.0100000;20.0100000;20.0100000;20.0100000;1000
20140218;000000;23.4330000;23.4900000;22.0500000;22.0500000;3000
20140219;000000;21.1000000;24.9970000;21.1000000;24.9970000;2000
20140220;000000;21.1500000;22.3700000;21.1500000;22.3700000;2000
20140221;000000;21.4000000;21.4000000;20.5030000;20.5030000;2000
20140224;000000;20.5050000;22.2500000;20.5050000;20.6100000;3000
20140225;000000;25.4900000;25.4900000;22.0020000;22.0020000;2000
20140226;000000;23.0010000;23.0010000;23.0010000;23.0010000;2000
20140227;000000;23.0050000;23.0120000;23.0010000;23.0010000;4000
20140228;000000;21.6000000;21.6000000;21.6000000;21.6000000;1000
20140303;000000;22.9990000;23.0000000;21.0000000;21.9980000;11000
20140304;000000;21.9950000;21.9970000;19.0000000;20.0200000;96000
20140305;000000;21.0020000;21.0020000;21.0020000;21.0020000;1000
20140312;000000;15.9930000;15.9930000;15.9930000;15.9930000;1000
20140314;000000;21.0000000;21.0000000;21.0000000;21.0000000;1000
20140317;000000;16.0000000;22.9890000;16.0000000;22.9890000;2000
20140318;000000;22.9900000;22.9900000;22.9900000;22.9900000;1000
20140319;000000;22.9900000;22.9900000;22.9900000;22.9900000;4000
20140321;000000;20.0010000;20.0010000;20.0010000;20.0010000;1000
20140324;000000;19.0050000;19.0050000;19.0050000;19.0050000;1000
20140325;000000;22.9960000;23.4970000;22.9960000;23.4970000;11000
20140331;000000;21.0100000;21.0100000;21.0100000;21.0100000;1000
20140401;000000;22.0000000;22.5000000;22.0000000;22.5000000;17000
20140416;000000;21.0000000;21.0000000;21.0000000;21.0000000;23000
20140428;000000;24.6990000;24.9970000;24.6990000;24.9970000;7000
20140507;000000;24.9990000;25.0000000;24.9990000;25.0000000;4000
20140513;000000;24.7000000;24.8900000;24.7000000;24.8900000;3000
20140522;000000;25.4500000;25.4970000;25.4500000;25.4970000;5000
20140602;000000;24.0000000;24.0000000;24.0000000;24.0000000;7000
20140618;000000;25.6000000;25.6000000;25.6000000;25.6000000;4000
20140707;000000;26.0000000;26.0000000;26.0000000;26.0000000;5000
20140708;000000;26.0000000;26.0000000;26.0000000;26.0000000;5000
20140711;000000;24.0000000;24.0000000;24.0000000;24.0000000;4000
20140714;000000;22.1000000;22.1000000;22.1000000;22.1000000;43000
20140723;000000;22.0000000;26.0000000;22.0000000;26.0000000;4000
20140731;000000;26.9000000;27.0000000;26.9000000;27.0000000;2000
20140804;000000;28.0000000;28.0000000;28.0000000;28.0000000;4000
20140813;000000;26.0000000;26.0000000;26.0000000;26.0000000;1000
20140814;000000;27.0000000;27.0000000;27.0000000;27.0000000;3000
20140828;000000;28.0000000;28.0000000;28.0000000;28.0000000;2000
20140829;000000;28.0000000;28.0000000;28.0000000;28.0000000;7000
20140903;000000;28.0000000;28.0000000;28.0000000;28.0000000;1000
20140930;000000;20.0710000;25.0000000;17.0000000;25.0000000;9000
20141003;000000;24.9000000;25.0000000;24.9000000;25.0000000;6000
20141013;000000;20.7000000;25.0000000;20.7000000;25.0000000;5000
20141023;000000;27.0000000;27.0000000;27.0000000;27.0000000;5000
20141024;000000;27.0000000;27.0000000;27.0000000;27.0000000;5000
20141105;000000;27.0000000;27.0000000;27.0000000;27.0000000;5000
20141113;000000;25.0000000;25.0000000;25.0000000;25.0000000;5000
20141114;000000;27.0000000;27.0000000;27.0000000;27.0000000;33000
20141119;000000;29.2000000;29.2000000;29.2000000;29.2000000;8000
20141128;000000;26.3000000;26.3000000;26.3000000;26.3000000;1000
20141225;000000;21.3000000;21.3000000;21.3000000;21.3000000;1000
20141226;000000;26.0000000;26.0000000;26.0000000;26.0000000;1000
