<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140109;000000;1090.0000000;1090.0000000;1085.0000000;1087.0000000;8
20140227;000000;1080.0000000;1080.0000000;1080.0000000;1080.0000000;5
20140307;000000;1090.0000000;1090.0000000;1080.0000000;1080.0000000;2
20140327;000000;1090.0000000;1090.0000000;1083.0000000;1083.0000000;2
20140403;000000;1090.0000000;1090.0000000;1090.0000000;1090.0000000;1
20140411;000000;1080.0000000;1080.0000000;1080.0000000;1080.0000000;1
20140418;000000;1080.0000000;1080.0000000;1080.0000000;1080.0000000;1
20140717;000000;1119.0000000;1119.0000000;1119.0000000;1119.0000000;1
20140827;000000;1680.0000000;1680.0000000;1680.0000000;1680.0000000;4
20141017;000000;1900.0000000;2000.0000000;1900.0000000;2000.0000000;56
20141020;000000;1900.0000000;1900.0000000;1900.0000000;1900.0000000;70
20141029;000000;1850.0000000;1850.0000000;1850.0000000;1850.0000000;116
20141107;000000;1900.0000000;1900.0000000;1900.0000000;1900.0000000;116
