<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;3.9910000;4.7000000;3.9510000;4.5000000;46400
20140108;000000;4.0210000;4.5000000;4.0210000;4.5000000;40800
20140109;000000;4.3310000;4.7300000;4.3300000;4.7300000;16400
20140110;000000;4.7000000;5.1310000;4.4020000;5.1310000;59600
20140113;000000;4.8000000;5.0500000;4.7150000;5.0500000;17200
20140114;000000;5.1500000;5.1500000;4.8800000;5.0500000;3200
20140115;000000;5.0550000;5.3990000;4.8000000;5.3000000;54200
20140116;000000;4.8270000;5.4590000;4.8270000;5.3400000;15200
20140117;000000;5.3100000;5.4290000;5.2110000;5.4290000;24400
20140120;000000;5.4600000;5.6580000;5.4010000;5.5000000;11100
20140121;000000;5.4020000;5.6120000;5.4010000;5.4620000;3300
20140122;000000;5.2500000;5.5000000;5.1090000;5.5000000;35000
20140123;000000;5.4950000;5.4980000;5.4950000;5.4980000;1600
20140124;000000;5.5750000;5.6110000;5.4900000;5.4900000;2400
20140127;000000;5.6090000;5.6090000;5.0180000;5.3500000;22000
20140128;000000;5.0550000;5.1120000;5.0550000;5.1010000;3600
20140129;000000;5.3500000;5.4620000;5.2500000;5.4100000;29600
20140130;000000;5.4810000;5.4810000;5.4810000;5.4810000;100
20140131;000000;5.3110000;5.3110000;5.3100000;5.3100000;500
20140203;000000;5.0750000;5.4500000;5.0700000;5.4500000;10600
20140204;000000;5.0880000;5.4800000;5.0100000;5.0100000;10100
20140205;000000;5.2190000;5.2190000;5.0300000;5.0300000;400
20140206;000000;5.0210000;5.2300000;5.0000000;5.2300000;45100
20140207;000000;5.3970000;5.3970000;4.5010000;5.1150000;7500
20140210;000000;5.0450000;5.2000000;5.0450000;5.2000000;2500
20140211;000000;4.9010000;5.1980000;4.9000000;5.0000000;4300
20140212;000000;4.9020000;5.0550000;4.7050000;4.9000000;10600
20140213;000000;5.0420000;5.1800000;5.0420000;5.1800000;3000
20140214;000000;5.0200000;5.2660000;4.9990000;5.2660000;47200
20140217;000000;5.0330000;5.3000000;5.0300000;5.3000000;2200
20140218;000000;5.2740000;5.2900000;5.0700000;5.0700000;3900
20140219;000000;5.0500000;5.0500000;4.8930000;5.0490000;400
20140220;000000;5.1960000;5.1960000;5.0490000;5.0490000;300
20140224;000000;5.0000000;5.3300000;5.0000000;5.3300000;3600
20140225;000000;5.1100000;5.1650000;5.1100000;5.1600000;300
20140226;000000;5.2600000;5.2800000;5.1500000;5.1500000;800
20140227;000000;5.2000000;5.2040000;5.0000000;5.0000000;7700
20140228;000000;4.8560000;4.8990000;4.7700000;4.7700000;19500
20140303;000000;4.6110000;4.6110000;4.0020000;4.4950000;17500
20140304;000000;4.4960000;4.4990000;4.2010000;4.4880000;2700
20140307;000000;4.1020000;4.8560000;4.1020000;4.4500000;500
20140311;000000;4.3160000;4.3160000;4.3120000;4.3120000;400
20140312;000000;4.4000000;4.4000000;4.4000000;4.4000000;100
20140313;000000;4.3000000;4.3000000;4.1050000;4.3000000;14400
20140314;000000;4.1040000;4.2550000;3.6000000;4.0000000;37400
20140317;000000;4.0990000;4.2000000;4.0990000;4.2000000;2000
20140318;000000;4.2000000;4.3100000;4.2000000;4.3100000;1100
20140319;000000;4.4000000;4.4010000;4.2010000;4.2010000;15900
20140320;000000;4.3350000;5.5350000;4.2620000;4.5000000;22600
20140321;000000;4.2500000;4.4900000;4.1500000;4.4900000;1500
20140324;000000;4.6000000;4.6010000;4.6000000;4.6000000;300
20140325;000000;4.8990000;4.8990000;4.3660000;4.3660000;400
20140328;000000;4.2340000;4.4690000;4.2000000;4.2000000;7200
20140331;000000;4.4800000;4.4800000;4.4800000;4.4800000;100
20140401;000000;4.2000000;5.0000000;4.2000000;4.6550000;24400
20140402;000000;4.4230000;4.5980000;4.4220000;4.5980000;300
20140403;000000;4.5650000;4.5980000;4.5650000;4.5980000;200
20140404;000000;4.4010000;4.6000000;4.3020000;4.3600000;3700
20140407;000000;4.3050000;4.3500000;4.1250000;4.1250000;11400
20140408;000000;4.1820000;4.1820000;4.1760000;4.1760000;400
20140409;000000;4.7790000;4.7790000;4.2100000;4.6450000;12500
20140411;000000;4.4410000;4.5000000;4.4400000;4.5000000;9000
20140414;000000;4.2110000;4.4690000;3.9010000;4.4690000;7200
20140415;000000;4.0000000;4.2470000;4.0000000;4.2470000;700
20140416;000000;4.2000000;4.4990000;4.2000000;4.4990000;5300
20140417;000000;4.0400000;4.5100000;4.0400000;4.2500000;1100
20140418;000000;4.3530000;4.5220000;4.3000000;4.5220000;1000
