<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;1.1199000;1.1548000;1.1195000;1.1198000;160000
20140108;000000;1.1201000;1.1529000;1.1165000;1.1529000;1561000
20140109;000000;1.1500000;1.1745000;1.1486000;1.1743000;19991000
20140110;000000;1.1670000;1.1790000;1.1379000;1.1452000;32825000
20140113;000000;1.1475000;1.1649000;1.1400000;1.1479000;682000
20140114;000000;1.1430000;1.1549000;1.1430000;1.1501000;18965000
20140115;000000;1.1502000;1.1601000;1.1500000;1.1600000;7015000
20140116;000000;1.1649000;1.1699000;1.1550000;1.1596000;5634000
20140117;000000;1.1630000;1.1640000;1.1551000;1.1637000;95389000
20140120;000000;1.1684000;1.2104000;1.1684000;1.1890000;14501000
20140121;000000;1.1880000;1.1949000;1.1758000;1.1800000;19875000
20140122;000000;1.1979000;1.2100000;1.1780000;1.2100000;3745000
20140123;000000;1.2068000;1.2399000;1.1856000;1.1860000;24116000
20140124;000000;1.1813000;1.2083000;1.1802000;1.1900000;960000
20140127;000000;1.1806000;1.1848000;1.1651000;1.1800000;15645000
20140128;000000;1.1807000;1.1827000;1.1771000;1.1800000;491000
20140129;000000;1.1849000;1.2300000;1.1800000;1.1800000;1749000
20140130;000000;1.1800000;1.1898000;1.1560000;1.1573000;3959000
20140131;000000;1.1530000;1.1741000;1.1317000;1.1400000;798000
20140203;000000;1.1400000;1.1420000;1.1310000;1.1353000;260000
20140204;000000;1.1301000;1.1301000;1.1126000;1.1219000;247000
20140205;000000;1.1241000;1.1315000;1.1190000;1.1274000;3005000
20140206;000000;1.1349000;1.1376000;1.1201000;1.1255000;603000
20140207;000000;1.1299000;1.1350000;1.1256000;1.1256000;163000
20140210;000000;1.1347000;1.1387000;1.1221000;1.1387000;37845000
20140211;000000;1.1399000;1.1599000;1.1196000;1.1200000;100093000
20140212;000000;1.1256000;1.1359000;1.1150000;1.1248000;903000
20140213;000000;1.1157000;1.1180000;1.1110000;1.1110000;1281000
20140214;000000;1.1091000;1.1203000;1.1091000;1.1200000;3520000
20140217;000000;1.1151000;1.1229000;1.1148000;1.1225000;833000
20140218;000000;1.1111000;1.1274000;1.1104000;1.1274000;1252000
20140219;000000;1.1180000;1.1270000;1.1080000;1.1110000;238000
20140220;000000;1.1100000;1.1146000;1.1090000;1.1145000;20000
20140221;000000;1.1201000;1.1201000;1.1148000;1.1149000;144291000
20140224;000000;1.1131000;1.1187000;1.1102000;1.1140000;322000
20140225;000000;1.1202000;1.1202000;1.0925000;1.0950000;2666000
20140226;000000;1.1069000;1.1089000;1.1000000;1.1000000;1098000
20140227;000000;1.1000000;1.1065000;1.0900000;1.0955000;1103000
20140228;000000;1.0900000;1.0940000;1.0741000;1.0800000;925000
20140303;000000;1.0600000;1.0700000;0.9051000;0.9051000;10241000
20140304;000000;0.9685000;0.9698000;0.9078000;0.9613000;6894000
20140305;000000;0.9579000;0.9942000;0.9578000;0.9749000;4167000
20140306;000000;0.9625000;1.0410000;0.9625000;0.9701000;3216000
20140307;000000;0.9627000;0.9778000;0.9536000;0.9690000;2136000
20140311;000000;0.9691000;0.9691000;0.8735000;0.9294000;37489000
20140312;000000;0.9101000;0.9209000;0.8782000;0.8812000;13306000
20140313;000000;0.8950000;0.9086000;0.8383000;0.8504000;14445000
20140314;000000;0.8030000;0.8367000;0.7512000;0.7823000;47842000
20140317;000000;0.7998000;0.8341000;0.7998000;0.8300000;1406000
20140318;000000;0.8499000;0.8955000;0.8387000;0.8551000;4512000
20140319;000000;0.8503000;0.8599000;0.8254000;0.8487000;9681000
20140320;000000;0.8265000;0.8698000;0.8255000;0.8698000;7185000
20140321;000000;0.8460000;0.8598000;0.8364000;0.8500000;248000
20140324;000000;0.8550000;0.8800000;0.8506000;0.8584000;10707000
20140325;000000;0.8516000;0.9158000;0.8516000;0.9153000;16216000
20140326;000000;0.9199000;0.9250000;0.8929000;0.9060000;9700000
20140327;000000;0.8940000;0.9054000;0.8711000;0.8778000;9937000
20140328;000000;0.8878000;0.9100000;0.8768000;0.8810000;7657000
20140331;000000;0.8973000;0.8989000;0.8872000;0.8960000;5909000
20140401;000000;0.8901000;0.8994000;0.8800000;0.8950000;3402000
20140402;000000;0.8902000;0.8902000;0.8750000;0.8811000;2218000
20140403;000000;0.8840000;0.8854000;0.8705000;0.8790000;3806000
20140404;000000;0.8800000;0.8800000;0.8700000;0.8800000;1834000
20140407;000000;0.8700000;0.8800000;0.8351000;0.8550000;2954000
20140408;000000;0.8549000;0.8590000;0.8300000;0.8590000;3536000
20140409;000000;0.8502000;0.8597000;0.8463000;0.8591000;1185000
20140410;000000;0.8531000;0.8597000;0.8407000;0.8597000;1888000
20140411;000000;0.8500000;0.8598000;0.8450000;0.8520000;1179000
20140414;000000;0.8500000;0.8510000;0.8413000;0.8440000;3794000
20140415;000000;0.8432000;0.8450000;0.8038000;0.8100000;2499000
20140416;000000;0.8119000;0.8300000;0.8100000;0.8167000;241000
20140417;000000;0.8209000;0.8236000;0.8052000;0.8194000;285000
20140418;000000;0.8300000;0.8470000;0.8281000;0.8350000;2479000
20140421;000000;0.8300000;0.8678000;0.8259000;0.8400000;7874000
20140422;000000;0.8251000;0.8401000;0.8250000;0.8399000;3470000
20140423;000000;0.8342000;0.8578000;0.8210000;0.8493000;2243000
20140424;000000;0.8461000;0.8492000;0.8200000;0.8201000;2508000
20140425;000000;0.8107000;0.8150000;0.7910000;0.7960000;1770000
20140428;000000;0.7813000;0.8160000;0.7706000;0.8159000;1635000
20140429;000000;0.8280000;0.8290000;0.8062000;0.8269000;1009000
20140430;000000;0.8350000;0.8666000;0.8297000;0.8612000;8640000
20140502;000000;0.8503000;0.8659000;0.8325000;0.8551000;1768000
20140505;000000;0.8374000;0.8502000;0.8291000;0.8500000;2171000
20140506;000000;0.8662000;0.8744000;0.8600000;0.8629000;3132000
20140507;000000;0.8601000;0.9360000;0.8600000;0.9030000;5289000
20140508;000000;0.9074000;0.9200000;0.8852000;0.8992000;1850000
20140512;000000;0.8854000;0.9030000;0.8851000;0.8916000;359000
20140513;000000;0.9003000;0.9011000;0.8621000;0.8835000;1473000
20140514;000000;0.8742000;0.9200000;0.8742000;0.8901000;5680000
20140515;000000;0.8955000;0.9040000;0.8843000;0.8843000;4646000
20140516;000000;0.8862000;0.9000000;0.8830000;0.8900000;769000
20140519;000000;0.8900000;0.9000000;0.8829000;0.9000000;730000
20140520;000000;0.8940000;0.8975000;0.8900000;0.8912000;1085000
20140521;000000;0.8957000;0.9399000;0.8922000;0.9283000;12344000
20140522;000000;0.9255000;0.9399000;0.9145000;0.9154000;1441000
20140523;000000;0.9323000;0.9323000;0.9001000;0.9001000;2177000
20140526;000000;0.9049000;0.9300000;0.9048000;0.9158000;1488000
20140527;000000;0.9390000;0.9398000;0.8890000;0.9014000;706000
20140528;000000;0.8933000;0.9400000;0.8932000;0.9400000;2557000
20140529;000000;0.9350000;0.9500000;0.9075000;0.9151000;1511000
20140530;000000;0.9271000;0.9390000;0.9050000;0.9300000;2369000
20140602;000000;0.9202000;0.9500000;0.9110000;0.9289000;1458000
20140603;000000;0.9200000;0.9268000;0.9150000;0.9267000;571000
20140604;000000;0.9114000;0.9337000;0.9113000;0.9292000;1805000
20140605;000000;0.9330000;0.9450000;0.9130000;0.9358000;4890000
20140606;000000;0.9354000;0.9449000;0.9216000;0.9391000;1132000
20140609;000000;0.9303000;0.9450000;0.9300000;0.9340000;1788000
20140610;000000;0.9479000;0.9480000;0.9171000;0.9400000;4120000
20140611;000000;0.9400000;0.9637000;0.9374000;0.9600000;6335000
20140616;000000;0.9600000;0.9800000;0.9368000;0.9552000;699000
20140617;000000;0.9600000;0.9600000;0.9101000;0.9224000;1655000
20140618;000000;0.9215000;0.9444000;0.9214000;0.9351000;661000
20140619;000000;0.9352000;0.9480000;0.9345000;0.9440000;1321000
20140620;000000;0.9351000;0.9535000;0.9340000;0.9440000;11313000
20140623;000000;0.9435000;0.9494000;0.9400000;0.9464000;2211000
20140624;000000;0.9460000;0.9660000;0.9401000;0.9612000;1744000
20140625;000000;0.9518000;0.9608000;0.9500000;0.9600000;2033000
20140626;000000;0.9561000;0.9887000;0.9421000;0.9800000;9133000
20140627;000000;0.9897000;1.0281000;0.9807000;1.0277000;3661000
20140630;000000;1.0200000;1.0360000;1.0150000;1.0326000;686000
20140701;000000;1.0300000;1.0399000;1.0093000;1.0338000;1417000
20140702;000000;1.0338000;1.0499000;1.0338000;1.0489000;1585000
20140703;000000;1.0500000;1.0597000;1.0200000;1.0341000;2089000
20140704;000000;0.9782000;1.0194000;0.9511000;0.9982000;3960000
20140707;000000;1.0098000;1.0242000;0.9900000;1.0200000;3788000
20140708;000000;1.0200000;1.0200000;0.9921000;1.0004000;1462000
20140709;000000;1.0071000;1.0400000;0.9986000;1.0206000;1504000
20140710;000000;1.0283000;1.0283000;1.0003000;1.0045000;872000
20140711;000000;1.0018000;1.0348000;1.0016000;1.0260000;1392000
20140714;000000;1.0300000;1.0300000;1.0061000;1.0200000;141000
20140715;000000;1.0234000;1.0505000;1.0184000;1.0400000;2571000
20140716;000000;1.0395000;1.0578000;1.0328000;1.0500000;600000
20140717;000000;1.0347000;1.0680000;1.0324000;1.0545000;1706000
20140718;000000;1.0679000;1.0679000;0.9712000;1.0100000;1992000
20140721;000000;0.9855000;1.0000000;0.9576000;0.9600000;2111000
20140722;000000;0.9763000;0.9870000;0.9601000;0.9820000;704000
20140723;000000;0.9800000;1.0150000;0.9749000;1.0100000;1908000
20140724;000000;1.0005000;1.0298000;0.9895000;0.9895000;756000
20140725;000000;1.0002000;1.0056000;0.9802000;0.9830000;868000
20140728;000000;0.9849000;0.9975000;0.9527000;0.9553000;9845000
20140729;000000;0.9642000;0.9964000;0.9540000;0.9700000;442000
20140730;000000;0.9751000;1.0065000;0.9751000;0.9905000;3012000
20140731;000000;1.0200000;1.0200000;0.9953000;0.9999000;5208000
20140801;000000;1.0000000;1.0006000;0.9700000;0.9968000;2508000
20140804;000000;0.9966000;1.0140000;0.9933000;1.0140000;329000
20140805;000000;1.0141000;1.0250000;1.0013000;1.0080000;739000
20140806;000000;1.0060000;1.0100000;0.9764000;0.9764000;272000
20140807;000000;0.9850000;1.0200000;0.9653000;1.0151000;18362000
20140808;000000;1.0154000;1.0247000;0.9918000;1.0243000;546000
20140811;000000;1.0259000;1.0318000;1.0032000;1.0223000;1047000
20140812;000000;1.0308000;1.0317000;1.0111000;1.0280000;531000
20140813;000000;1.0299000;1.0380000;1.0234000;1.0300000;549000
20140814;000000;1.0253000;1.0335000;1.0153000;1.0253000;349000
20140815;000000;1.0253000;1.0443000;1.0013000;1.0226000;13289000
20140818;000000;1.0226000;1.0231000;1.0062000;1.0062000;113000
20140819;000000;1.0065000;1.0100000;0.9990000;1.0100000;6742000
20140820;000000;1.0080000;1.0130000;1.0021000;1.0128000;875000
20140821;000000;1.0350000;1.0383000;0.9966000;1.0130000;1186000
20140822;000000;1.0062000;1.0144000;1.0005000;1.0080000;393000
20140825;000000;1.0300000;1.0450000;1.0075000;1.0172000;2422000
20140826;000000;1.0160000;1.0254000;1.0160000;1.0253000;1056000
20140827;000000;1.0400000;1.0586000;1.0092000;1.0133000;5254000
20140828;000000;0.9625000;1.0278000;0.9625000;1.0278000;1525000
20140829;000000;1.0300000;1.0349000;1.0101000;1.0122000;1200000
20140901;000000;1.0102000;1.0350000;1.0001000;1.0124000;765000
20140902;000000;1.0202000;1.0202000;1.0112000;1.0112000;79000
20140903;000000;1.0112000;1.0350000;1.0112000;1.0298000;621000
20140904;000000;1.0239000;1.0394000;1.0204000;1.0300000;203000
20140905;000000;1.0246000;1.0371000;1.0246000;1.0292000;277000
20140908;000000;1.0355000;1.0355000;1.0201000;1.0201000;689000
20140909;000000;1.0345000;1.0345000;1.0244000;1.0244000;1550000
