<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;943.0000000;943.0000000;940.0000000;940.5000000;23
20140108;000000;904.7000000;936.0000000;904.7000000;935.0000000;484
20140109;000000;919.9000000;959.0000000;919.9000000;935.0000000;745
20140110;000000;918.0000000;934.5000000;916.6000000;932.5000000;220
20140113;000000;933.0000000;935.7000000;930.0000000;935.7000000;4853
20140114;000000;935.0000000;943.6000000;916.5000000;930.0000000;1240
20140115;000000;929.9000000;975.0000000;929.9000000;966.9000000;686
20140116;000000;966.0000000;969.9000000;815.0000000;900.0000000;1008
20140117;000000;880.0000000;938.5000000;855.4000000;935.0000000;456
20140120;000000;935.3000000;959.8000000;919.1000000;935.0000000;1463
20140121;000000;944.8000000;944.8000000;915.8000000;930.0000000;2802
20140122;000000;890.5000000;953.0000000;875.1000000;950.0000000;4501
20140123;000000;930.6000000;960.0000000;930.6000000;960.0000000;1734
20140124;000000;959.6000000;985.0000000;959.6000000;960.0000000;1303
20140127;000000;970.0000000;976.0000000;945.0000000;965.1000000;4274
20140128;000000;945.4000000;974.6000000;945.4000000;964.0000000;46
20140129;000000;974.7000000;978.9000000;902.5000000;974.0000000;4756
20140130;000000;935.0000000;1020.0000000;935.0000000;977.0000000;785
20140131;000000;979.6000000;985.0000000;965.0000000;965.0000000;505
20140203;000000;965.6000000;965.6000000;945.3000000;960.1000000;1305
20140204;000000;940.9000000;989.3000000;940.1000000;960.0000000;1242
20140205;000000;945.0000000;980.0000000;940.0000000;960.0000000;1764
20140206;000000;962.0000000;983.4000000;962.0000000;965.1000000;288
20140207;000000;960.0000000;1039.1000000;960.0000000;1039.1000000;3427
20140210;000000;1018.1000000;1038.1000000;982.1000000;1003.2000000;716
20140211;000000;985.5000000;1048.8000000;962.1000000;1048.8000000;1007
20140212;000000;1027.2000000;1040.0000000;1027.2000000;1027.2000000;567
20140213;000000;1024.9000000;1035.0000000;986.8000000;1009.0000000;1091
20140214;000000;1031.3000000;1045.0000000;1000.1000000;1020.3000000;110774
20140217;000000;1024.6000000;1026.0000000;999.1000000;1010.0000000;75982
20140218;000000;995.3000000;1019.7000000;995.0000000;1011.1000000;232327
20140219;000000;982.1000000;1028.8000000;965.0000000;1005.0000000;149727
20140220;000000;1016.9000000;1017.0000000;969.1000000;975.0000000;677
20140221;000000;981.0000000;1010.0000000;977.0000000;1010.0000000;1112
20140224;000000;991.0000000;1005.0000000;960.4000000;970.0000000;111
20140225;000000;995.9000000;1010.0000000;995.9000000;1005.0000000;40093
20140226;000000;1010.0000000;1019.0000000;1000.0000000;1019.0000000;1127
20140227;000000;1033.2000000;1033.2000000;995.7000000;1010.0000000;39312
20140228;000000;1000.1000000;1060.0000000;1000.0000000;1050.0000000;15400
20140303;000000;1030.0000000;1030.0000000;807.7000000;950.0000000;6018
