<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140109;000000;300.0000000;300.0000000;300.0000000;300.0000000;8
20140110;000000;333.0000000;333.0000000;329.9000000;329.9000000;3
20140114;000000;328.0000000;328.0000000;328.0000000;328.0000000;1
20140122;000000;320.0000000;320.0000000;320.0000000;320.0000000;1
20140128;000000;331.7000000;331.7000000;331.7000000;331.7000000;1
20140203;000000;206.8000000;206.8000000;206.8000000;206.8000000;1
20140205;000000;330.0000000;330.0000000;303.0000000;303.0000000;4
20140206;000000;330.0000000;340.0000000;330.0000000;340.0000000;20
20140207;000000;240.9000000;323.8000000;240.9000000;323.8000000;2
20140210;000000;328.9000000;328.9000000;318.0000000;318.0000000;2
20140211;000000;323.3000000;323.3000000;316.0000000;316.0000000;2
20140212;000000;321.3000000;321.3000000;316.0000000;316.0000000;3
20140213;000000;320.2000000;320.2000000;320.2000000;320.2000000;6
20140214;000000;321.3000000;339.0000000;321.3000000;323.8000000;5
20140217;000000;323.8000000;323.8000000;323.8000000;323.8000000;1
20140307;000000;337.0000000;340.0000000;337.0000000;340.0000000;5
20140311;000000;380.0000000;380.0000000;380.0000000;380.0000000;1
20140403;000000;399.0000000;399.0000000;399.0000000;399.0000000;1
20140424;000000;300.0000000;300.0000000;300.0000000;300.0000000;4
20140505;000000;350.0000000;350.0000000;350.0000000;350.0000000;1
20140514;000000;250.0000000;250.0000000;243.0000000;243.0000000;130
20140527;000000;299.8000000;339.9000000;299.8000000;339.9000000;31
20140602;000000;251.0000000;251.0000000;249.7000000;249.7000000;2
20140605;000000;340.0000000;340.0000000;235.0000000;235.0000000;12
20140611;000000;235.6000000;285.0000000;218.6000000;218.8000000;102
20140617;000000;270.0000000;270.0000000;267.9000000;267.9000000;9
20140627;000000;258.0000000;258.0000000;257.6000000;257.6000000;8
20140630;000000;248.0000000;248.0000000;248.0000000;248.0000000;1
20140701;000000;248.0000000;328.0000000;248.0000000;286.0000000;123
20140711;000000;225.5000000;225.5000000;225.5000000;225.5000000;5
20140717;000000;292.6000000;292.6000000;292.6000000;292.6000000;1
20140728;000000;293.0000000;349.3000000;293.0000000;349.3000000;61
20140729;000000;419.1000000;419.1000000;300.0000000;419.1000000;55
20140730;000000;418.0000000;418.0000000;300.0000000;300.0000000;601
20140804;000000;380.0000000;419.1000000;300.0000000;300.0000000;28
20140805;000000;385.0000000;385.0000000;300.0000000;300.0000000;102
20140806;000000;385.0000000;385.0000000;385.0000000;385.0000000;1
20140807;000000;419.1000000;419.1000000;300.0000000;300.0000000;2
20140811;000000;285.7000000;285.7000000;231.1000000;231.1000000;26
20140814;000000;231.3000000;300.0000000;231.1000000;233.3000000;184
20140819;000000;250.0000000;250.0000000;250.0000000;250.0000000;4
20140820;000000;250.0000000;250.0000000;225.6000000;230.1000000;15
20140826;000000;222.0000000;222.0000000;222.0000000;222.0000000;1
20140902;000000;223.0000000;223.3000000;223.0000000;223.3000000;2
20140903;000000;264.9000000;264.9000000;264.9000000;264.9000000;6
20140905;000000;236.0000000;240.0000000;203.5000000;240.0000000;24
20140910;000000;275.0000000;275.0000000;269.9000000;269.9000000;32
20140911;000000;232.3000000;300.0000000;232.3000000;250.0000000;590
20140912;000000;250.0000000;300.0000000;250.0000000;300.0000000;474
20140915;000000;299.0000000;370.0000000;299.0000000;340.0000000;844
20140916;000000;320.0000000;474.1000000;320.0000000;401.0000000;259
20140917;000000;305.0000000;305.0000000;305.0000000;305.0000000;5
20140918;000000;440.0000000;440.0000000;440.0000000;440.0000000;3
20140923;000000;399.0000000;430.0000000;399.0000000;430.0000000;6
20141003;000000;400.0000000;439.0000000;400.0000000;439.0000000;9
20141014;000000;322.0000000;430.0000000;322.0000000;430.0000000;3
20141015;000000;322.0000000;418.0000000;321.0000000;418.0000000;5
20141020;000000;410.0000000;410.0000000;410.0000000;410.0000000;1
20141111;000000;340.0000000;390.0000000;301.0000000;390.0000000;46
20141112;000000;410.0000000;410.0000000;410.0000000;410.0000000;1
20141118;000000;261.0000000;350.0000000;261.0000000;349.0000000;6
20141119;000000;280.0000000;425.0000000;271.0000000;425.0000000;11
20141121;000000;371.0000000;423.0000000;273.0000000;423.0000000;8
20141208;000000;281.0000000;281.0000000;276.0000000;276.0000000;20
20141209;000000;350.0000000;352.0000000;274.0000000;352.0000000;1398
20141210;000000;440.0000000;440.0000000;440.0000000;440.0000000;1
20141211;000000;439.0000000;439.0000000;332.0000000;420.0000000;3
20141216;000000;274.0000000;345.0000000;256.0000000;274.0000000;65
20141219;000000;348.0000000;348.0000000;346.0000000;347.0000000;31
20141224;000000;258.0000000;330.0000000;252.0000000;256.0000000;91
