<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140212;000000;300.0000000;300.0000000;300.0000000;300.0000000;10
20140307;000000;187.2000000;399.9800000;187.2000000;399.9800000;20
20140506;000000;398.0000000;399.0000000;398.0000000;399.0000000;30
20140701;000000;512.0000000;512.0000000;250.0000000;318.0000000;1430
20140702;000000;320.0000000;340.0000000;320.0000000;340.0000000;20
20140703;000000;316.0000000;316.0000000;308.0000000;308.0000000;630
20140704;000000;306.0000000;308.0000000;306.0000000;306.0000000;40
20140707;000000;304.0000000;308.0000000;304.0000000;308.0000000;20
20140711;000000;300.0000000;300.0000000;300.0000000;300.0000000;20
20140731;000000;300.0000000;300.0000000;300.0000000;300.0000000;100
20140805;000000;300.0000000;300.0000000;300.0000000;300.0000000;10
20140912;000000;300.0000000;300.0000000;300.0000000;300.0000000;10
20140915;000000;255.0000000;255.0000000;250.0000000;250.0000000;20
20140916;000000;299.0000000;299.0000000;299.0000000;299.0000000;10
20140918;000000;255.0000000;275.0000000;217.1500000;275.0000000;110
20140919;000000;277.0000000;277.0000000;277.0000000;277.0000000;30
20140930;000000;300.0000000;300.0000000;300.0000000;300.0000000;10
20141010;000000;228.0000000;228.0000000;228.0000000;228.0000000;10
20141023;000000;271.0000000;271.0000000;271.0000000;271.0000000;10
20141029;000000;299.0000000;299.0000000;299.0000000;299.0000000;10
20141111;000000;235.0000000;235.0000000;235.0000000;235.0000000;440
20141120;000000;214.0000000;214.0000000;214.0000000;214.0000000;10
20141121;000000;298.0000000;301.0000000;255.0000000;255.0000000;40
20141124;000000;303.0000000;303.0000000;303.0000000;303.0000000;10
20141125;000000;303.0000000;303.0000000;303.0000000;303.0000000;10
20141126;000000;309.0000000;309.0000000;309.0000000;309.0000000;10
20141203;000000;309.0000000;370.0000000;309.0000000;340.0000000;100
20141208;000000;270.0000000;350.0000000;270.0000000;350.0000000;50
