<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140129;000000;83.5200000;83.5200000;82.0200000;82.0200000;300
20140130;000000;92.0000000;108.9900000;92.0000000;108.9900000;200
20140211;000000;110.0000000;110.0000000;86.2200000;86.2200000;1200
20140212;000000;114.7500000;114.7500000;99.9500000;99.9500000;200
20140217;000000;88.0500000;88.0500000;88.0500000;88.0500000;100
20140218;000000;90.0000000;90.0000000;90.0000000;90.0000000;26500
20140220;000000;90.0000000;109.9500000;90.0000000;109.9500000;1100
20140224;000000;92.0000000;92.0000000;92.0000000;92.0000000;1500
20140227;000000;90.0000000;90.0000000;90.0000000;90.0000000;300
20140228;000000;90.0000000;90.0000000;89.5000000;89.5000000;9200
20140303;000000;77.0000000;90.0000000;77.0000000;90.0000000;4200
20140307;000000;76.0500000;89.9800000;76.0500000;89.0000000;300
20140319;000000;88.0000000;88.0000000;88.0000000;88.0000000;200
20140328;000000;89.0000000;89.0000000;89.0000000;89.0000000;100
20140404;000000;82.5200000;82.5200000;82.5200000;82.5200000;100
20140410;000000;99.9500000;100.0100000;99.9500000;100.0100000;2400
20140411;000000;100.0000000;100.0000000;75.6800000;99.9900000;19400
20140414;000000;81.2500000;90.0000000;81.2500000;88.0000000;565400
20140418;000000;82.3500000;95.9900000;82.3500000;95.9900000;200
20140421;000000;83.0000000;92.9600000;81.0000000;92.9600000;784800
20140422;000000;90.0000000;93.0000000;90.0000000;92.0000000;151200
20140428;000000;91.0000000;91.0000000;91.0000000;91.0000000;6800
20140429;000000;92.0000000;100.0000000;92.0000000;100.0000000;1400
20140506;000000;100.0000000;100.0000000;100.0000000;100.0000000;100
20140514;000000;89.5200000;89.5200000;89.5200000;89.5200000;100
20140522;000000;99.9800000;99.9800000;99.9800000;99.9800000;100
20140526;000000;88.0200000;88.0200000;88.0200000;88.0200000;100
20140602;000000;99.9800000;99.9800000;99.9800000;99.9800000;100
20140618;000000;86.0200000;86.1100000;86.0100000;86.1000000;800
20140619;000000;88.9000000;93.2600000;88.9000000;93.2600000;2500
20140620;000000;90.0000000;90.0000000;83.0000000;90.0000000;2100
20140623;000000;90.0000000;98.3000000;83.0000000;98.3000000;1200
20140624;000000;85.0000000;85.0000000;85.0000000;85.0000000;100
20140626;000000;92.0000000;92.0000000;92.0000000;92.0000000;100
20140703;000000;86.1300000;86.1300000;86.1300000;86.1300000;100
20140704;000000;86.8600000;86.8600000;86.3000000;86.3000000;200
20140709;000000;86.0000000;86.0000000;85.0100000;86.0000000;300
20140711;000000;82.1500000;91.0000000;82.1500000;85.0000000;1600
20140714;000000;85.2000000;87.7000000;85.2000000;87.7000000;1600
20140716;000000;91.8100000;96.0000000;91.8100000;96.0000000;5000
20140718;000000;99.9300000;99.9300000;99.9300000;99.9300000;100
20140721;000000;86.1000000;89.0000000;86.1000000;89.0000000;1800
20140728;000000;99.0000000;99.0000000;99.0000000;99.0000000;100
20140804;000000;86.0000000;89.3000000;86.0000000;89.3000000;1800
20140808;000000;81.0500000;84.0200000;81.0500000;84.0200000;1800
20140814;000000;82.0200000;82.0200000;82.0200000;82.0200000;100
20140821;000000;85.0000000;89.3000000;85.0000000;89.3000000;1400
20140828;000000;84.0000000;87.3000000;83.0000000;87.3000000;2000
20140902;000000;87.0000000;92.5000000;87.0000000;92.5000000;20000
20140903;000000;87.0000000;87.0000000;87.0000000;87.0000000;1400
20141001;000000;99.3000000;99.3000000;85.0000000;85.0000000;200
20141006;000000;85.0000000;85.0000000;85.0000000;85.0000000;100
20141008;000000;90.0000000;90.0000000;82.0000000;82.0000000;200
20141014;000000;91.9000000;91.9000000;91.9000000;91.9000000;100
20141023;000000;92.0000000;95.0000000;92.0000000;95.0000000;2000
20141024;000000;78.2000000;90.0000000;73.0000000;90.0000000;4600
20141027;000000;89.9000000;90.0000000;89.9000000;90.0000000;3000
20141028;000000;94.9000000;95.0000000;90.0000000;90.0000000;2000
20141105;000000;92.0000000;94.0000000;90.0000000;90.0000000;1100
20141106;000000;85.0000000;85.0000000;84.0000000;84.0000000;1900
20141107;000000;88.0000000;93.9000000;88.0000000;93.9000000;1000
20141110;000000;87.1000000;87.1000000;87.1000000;87.1000000;100
20141120;000000;91.0000000;94.0000000;91.0000000;94.0000000;138900
20141127;000000;88.2000000;88.2000000;88.2000000;88.2000000;19600
20141201;000000;90.0000000;90.0000000;90.0000000;90.0000000;500
20141202;000000;87.0000000;90.0000000;86.0000000;86.0000000;7200
20141203;000000;88.8000000;88.8000000;88.8000000;88.8000000;100
20141204;000000;90.0000000;90.0000000;90.0000000;90.0000000;500
20141205;000000;90.0000000;90.0000000;90.0000000;90.0000000;1000
20141210;000000;90.0000000;90.0000000;90.0000000;90.0000000;100
20141215;000000;87.0000000;87.0000000;87.0000000;87.0000000;5000
20141217;000000;87.0000000;90.0000000;74.0000000;90.0000000;156400
20141222;000000;87.0000000;90.0000000;87.0000000;90.0000000;200
20141225;000000;86.0000000;87.0000000;84.0000000;84.0000000;50100
20141226;000000;85.9000000;87.0000000;85.9000000;87.0000000;10000
20141229;000000;79.6000000;85.0000000;78.0000000;85.0000000;300
20141230;000000;85.9000000;85.9000000;85.9000000;85.9000000;200
