<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.0580500;0.0810000;0.0575100;0.0810000;140000
20140115;000000;0.0800000;0.0999300;0.0800000;0.0999300;30000
20140123;000000;0.0850000;0.0979900;0.0850000;0.0979900;80000
20140124;000000;0.0890000;0.1222000;0.0890000;0.1222000;340000
20140127;000000;0.0740200;0.0878400;0.0718100;0.0849500;600000
20140128;000000;0.0868500;0.0879900;0.0868500;0.0879900;110000
20140130;000000;0.0777700;0.0777800;0.0777600;0.0777700;260000
20140131;000000;0.0870000;0.0870000;0.0870000;0.0870000;50000
20140203;000000;0.0677900;0.0866900;0.0677800;0.0866900;30000
20140207;000000;0.0864900;0.0864900;0.0864900;0.0864900;10000
20140218;000000;0.0862900;0.0862900;0.0862900;0.0862900;50000
20140227;000000;0.0860000;0.0860000;0.0860000;0.0860000;40000
20140307;000000;0.0666600;0.0869700;0.0666600;0.0846000;30000
20140327;000000;0.0610600;0.0800000;0.0610500;0.0799000;50000
20140331;000000;0.0666600;0.0739900;0.0610500;0.0739900;40000
20140401;000000;0.0610600;0.0750000;0.0610500;0.0750000;50000
20140402;000000;0.0700000;0.0700000;0.0700000;0.0700000;10000
20140404;000000;0.0575800;0.0575800;0.0575800;0.0575800;10000
20140408;000000;0.0749800;0.0749800;0.0749800;0.0749800;10000
20140409;000000;0.0740000;0.0740000;0.0740000;0.0740000;10000
20140513;000000;0.0700000;0.0700000;0.0700000;0.0700000;10000
20140514;000000;0.0650000;0.0650000;0.0650000;0.0650000;40000
20140515;000000;0.0650000;0.0650000;0.0650000;0.0650000;10000
20140523;000000;0.0650000;0.0650000;0.0650000;0.0650000;10000
20140526;000000;0.0859800;0.0859800;0.0859800;0.0859800;10000
20140527;000000;0.0850000;0.0850000;0.0850000;0.0850000;100000
20140529;000000;0.0750000;0.0859900;0.0750000;0.0859900;40000
20140609;000000;0.0555800;0.0849500;0.0555500;0.0601300;50000
20140610;000000;0.0839700;0.0840000;0.0839300;0.0840000;160000
20140611;000000;0.0860000;0.0860000;0.0600000;0.0600000;150000
20140616;000000;0.0613100;0.0839700;0.0562000;0.0839700;120000
20140617;000000;0.0600200;0.1090000;0.0600200;0.0745700;1000000
20140619;000000;0.0745700;0.0745700;0.0745700;0.0745700;10000
20140620;000000;0.0746600;0.1039900;0.0620200;0.0700000;90000
20140623;000000;0.0739800;0.0739800;0.0739800;0.0739800;10000
20140624;000000;0.0740000;0.0740000;0.0740000;0.0740000;10000
20140701;000000;0.0819800;0.0819800;0.0819800;0.0819800;50000
20140709;000000;0.0621400;0.0747900;0.0580000;0.0747900;140000
20140724;000000;0.0581100;0.0746300;0.0581000;0.0746300;40000
20140806;000000;0.0581600;0.0581600;0.0535000;0.0553000;570000
20140807;000000;0.0650000;0.0650000;0.0650000;0.0650000;270000
20140808;000000;0.0536000;0.0600000;0.0535500;0.0535500;270000
20140813;000000;0.0620000;0.0620000;0.0537300;0.0537300;70000
20140814;000000;0.0600000;0.0600000;0.0600000;0.0600000;30000
20140818;000000;0.0684000;0.0684000;0.0684000;0.0684000;200000
20140820;000000;0.0697600;0.0697600;0.0697600;0.0697600;10000
20140828;000000;0.0699900;0.0699900;0.0698700;0.0698700;60000
20140901;000000;0.0580000;0.0580000;0.0580000;0.0580000;20000
20140903;000000;0.0551700;0.0689600;0.0512200;0.0670000;410000
20140905;000000;0.0684400;0.0685000;0.0684400;0.0685000;50000
20140909;000000;0.0512100;0.0684900;0.0512100;0.0684900;20000
20140918;000000;0.0520600;0.0520600;0.0520600;0.0520600;10000
20140919;000000;0.0680000;0.0729700;0.0680000;0.0729700;20000
20140922;000000;0.0532200;0.0532200;0.0532200;0.0532200;10000
20140926;000000;0.0543800;0.0688800;0.0543800;0.0688800;20000
20141006;000000;0.0749000;0.0749000;0.0749000;0.0749000;10000
20141007;000000;0.0750000;0.0750000;0.0750000;0.0750000;10000
20141008;000000;0.0533000;0.0779000;0.0533000;0.0779000;20000
20141013;000000;0.0778000;0.0778000;0.0778000;0.0778000;10000
20141014;000000;0.0780000;0.0780000;0.0780000;0.0780000;10000
20141015;000000;0.0560000;0.0560000;0.0550000;0.0560000;150000
20141016;000000;0.0600000;0.0600000;0.0600000;0.0600000;10000
20141020;000000;0.0664000;0.0664000;0.0664000;0.0664000;10000
20141022;000000;0.0700000;0.0700000;0.0700000;0.0700000;60000
20141103;000000;0.0679000;0.0679000;0.0679000;0.0679000;10000
20141111;000000;0.0680000;0.0680000;0.0680000;0.0680000;10000
20141114;000000;0.0680000;0.0680000;0.0680000;0.0680000;10000
20141121;000000;0.0580000;0.0680000;0.0580000;0.0680000;170000
20141204;000000;0.0580000;0.0580000;0.0580000;0.0580000;10000
20141205;000000;0.0586000;0.0586000;0.0580000;0.0580000;110000
20141216;000000;0.0577000;0.0577000;0.0550000;0.0550000;20000
20141219;000000;0.0445000;0.0668000;0.0419000;0.0530000;170000
20141222;000000;0.0555000;0.0555000;0.0555000;0.0555000;20000
20141224;000000;0.0659000;0.0699000;0.0560000;0.0560000;110000
