<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;599.0000000;599.0000000;505.0000000;505.0000000;2
20140114;000000;537.9000000;540.0000000;537.9000000;540.0000000;2
20140115;000000;530.0000000;549.0000000;530.0000000;545.0000000;28
20140116;000000;540.0000000;540.0000000;540.0000000;540.0000000;2
20140117;000000;550.0000000;550.0000000;550.0000000;550.0000000;1
20140120;000000;550.0000000;583.5000000;540.8000000;540.8000000;29
20140121;000000;549.3000000;588.9000000;549.3000000;588.9000000;2
20140122;000000;540.1000000;540.1000000;540.1000000;540.1000000;3
20140127;000000;579.9000000;579.9000000;579.9000000;579.9000000;1
20140128;000000;545.0000000;545.0000000;545.0000000;545.0000000;2
20140129;000000;542.1000000;542.1000000;542.0000000;542.0000000;8
20140203;000000;488.1000000;500.0000000;485.6000000;500.0000000;5
20140204;000000;521.0000000;521.0000000;500.1000000;500.1000000;5
20140207;000000;540.0000000;572.0000000;540.0000000;572.0000000;98
20140211;000000;555.0000000;555.0000000;555.0000000;555.0000000;1
20140212;000000;555.0000000;563.0000000;540.0000000;563.0000000;356
20140213;000000;540.0000000;565.0000000;540.0000000;546.9000000;416
20140214;000000;549.5000000;549.5000000;525.0000000;525.0000000;12
20140218;000000;540.0000000;549.0000000;540.0000000;549.0000000;2
20140219;000000;570.0000000;570.0000000;520.0000000;520.0000000;5
20140225;000000;443.7000000;455.8000000;407.2000000;455.8000000;29
20140226;000000;520.0000000;520.0000000;520.0000000;520.0000000;1
20140227;000000;515.0000000;520.0000000;485.1000000;485.1000000;5
20140228;000000;444.0000000;517.0000000;444.0000000;517.0000000;3
20140304;000000;410.6000000;537.9000000;410.0000000;435.0000000;14
20140305;000000;535.5000000;535.5000000;535.5000000;535.5000000;1
20140307;000000;425.0000000;533.0000000;425.0000000;500.0000000;16
20140311;000000;490.0000000;490.0000000;490.0000000;490.0000000;2
20140312;000000;485.0000000;485.0000000;485.0000000;485.0000000;2
20140313;000000;467.0000000;467.0000000;400.0000000;400.0000000;9
20140314;000000;350.0000000;375.0000000;340.2000000;375.0000000;65
20140318;000000;400.0000000;400.0000000;400.0000000;400.0000000;4
20140319;000000;410.0000000;410.0000000;410.0000000;410.0000000;1
20140320;000000;420.0000000;475.0000000;420.0000000;475.0000000;4
