<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140108;000000;16000.0000000;16900.0000000;10201.0000000;16000.0000000;40
20140109;000000;15800.0000000;16900.0000000;15800.0000000;16900.0000000;67
20140113;000000;16790.0000000;16899.0000000;12577.0000000;12577.0000000;19
20140115;000000;16900.0000000;16900.0000000;11730.0000000;13556.0000000;14
20140117;000000;15000.0000000;15000.0000000;15000.0000000;15000.0000000;1
20140120;000000;16500.0000000;16898.0000000;16500.0000000;16898.0000000;3
20140121;000000;16000.0000000;16895.0000000;16000.0000000;16895.0000000;6
20140122;000000;16000.0000000;16895.0000000;16000.0000000;16895.0000000;6
20140123;000000;16000.0000000;16798.0000000;16000.0000000;16798.0000000;10
20140124;000000;16000.0000000;16890.0000000;16000.0000000;16890.0000000;18
20140131;000000;16699.0000000;16699.0000000;16699.0000000;16699.0000000;22
20140207;000000;15000.0000000;15000.0000000;15000.0000000;15000.0000000;1
20140214;000000;13037.0000000;13400.0000000;12612.0000000;13400.0000000;58
20140217;000000;13496.0000000;13496.0000000;12500.0000000;12503.0000000;3
20140225;000000;11504.0000000;12000.0000000;11504.0000000;11850.0000000;6
20140304;000000;10999.0000000;11000.0000000;10999.0000000;11000.0000000;2
20140314;000000;13000.0000000;13000.0000000;13000.0000000;13000.0000000;10
20140327;000000;13800.0000000;13800.0000000;13800.0000000;13800.0000000;23
20140425;000000;11201.0000000;11201.0000000;11201.0000000;11201.0000000;1
20140513;000000;11209.0000000;11209.0000000;11209.0000000;11209.0000000;1
20140519;000000;14150.0000000;14150.0000000;14150.0000000;14150.0000000;7
20140604;000000;14077.0000000;14200.0000000;14077.0000000;14200.0000000;34
20140611;000000;14112.0000000;14200.0000000;11000.0000000;14200.0000000;5
20140616;000000;10800.0000000;10800.0000000;10800.0000000;10800.0000000;1
20140617;000000;14200.0000000;14200.0000000;12520.0000000;14000.0000000;56
20140625;000000;14000.0000000;14000.0000000;14000.0000000;14000.0000000;18
20140704;000000;14500.0000000;14500.0000000;14500.0000000;14500.0000000;120
20140708;000000;11000.0000000;11000.0000000;11000.0000000;11000.0000000;20
20140709;000000;11500.0000000;12001.0000000;11500.0000000;11800.0000000;96
20140711;000000;10150.0000000;10150.0000000;10150.0000000;10150.0000000;32
20140717;000000;11000.0000000;11000.0000000;11000.0000000;11000.0000000;40
20140722;000000;11983.0000000;11983.0000000;11983.0000000;11983.0000000;1
20140725;000000;9500.0000000;9500.0000000;9500.0000000;9500.0000000;4
20140728;000000;10500.0000000;10500.0000000;10500.0000000;10500.0000000;7
20140729;000000;10800.0000000;10800.0000000;10800.0000000;10800.0000000;10
20140730;000000;11000.0000000;11200.0000000;11000.0000000;11200.0000000;18
20140731;000000;11060.0000000;11196.0000000;11060.0000000;11196.0000000;42
20140806;000000;10401.0000000;10500.0000000;10150.0000000;10450.0000000;29
20140807;000000;10000.0000000;10000.0000000;10000.0000000;10000.0000000;1
20140808;000000;10900.0000000;10900.0000000;10798.0000000;10800.0000000;3
20140812;000000;10033.0000000;10600.0000000;10001.0000000;10500.0000000;9
20140813;000000;10700.0000000;11000.0000000;10700.0000000;11000.0000000;11
20140814;000000;11000.0000000;11000.0000000;11000.0000000;11000.0000000;1
20140818;000000;10106.0000000;10150.0000000;10106.0000000;10106.0000000;6
20140822;000000;10200.0000000;10200.0000000;10200.0000000;10200.0000000;50
20140826;000000;10105.0000000;10110.0000000;10100.0000000;10110.0000000;4
20140827;000000;10799.0000000;10799.0000000;10799.0000000;10799.0000000;1
20140903;000000;10850.0000000;10850.0000000;10850.0000000;10850.0000000;1
20140910;000000;10850.0000000;11350.0000000;10850.0000000;11350.0000000;14
20140911;000000;11300.0000000;11300.0000000;11300.0000000;11300.0000000;10
20140919;000000;10800.0000000;10800.0000000;10800.0000000;10800.0000000;1
20140922;000000;10800.0000000;10800.0000000;9051.0000000;9051.0000000;26
20140923;000000;9100.0000000;10290.0000000;9100.0000000;10290.0000000;7
20140925;000000;10999.0000000;10999.0000000;10000.0000000;10000.0000000;2
20141003;000000;9650.0000000;9650.0000000;9500.0000000;9500.0000000;12
20141006;000000;9800.0000000;9800.0000000;9800.0000000;9800.0000000;1
20141009;000000;10200.0000000;10200.0000000;9950.0000000;9950.0000000;2
20141013;000000;9200.0000000;9950.0000000;9200.0000000;9950.0000000;2
20141016;000000;9900.0000000;9900.0000000;9900.0000000;9900.0000000;1
