<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;4.4310000;4.4310000;4.4310000;4.4310000;100
20140108;000000;6.2000000;6.2000000;6.2000000;6.2000000;100
20140113;000000;6.0000000;6.0000000;6.0000000;6.0000000;200
20140128;000000;6.0000000;6.0000000;5.7000000;5.7000000;200
20140131;000000;5.7000000;5.7000000;5.7000000;5.7000000;100
20140203;000000;5.0000000;5.0000000;5.0000000;5.0000000;6000
20140207;000000;6.4980000;6.4980000;6.4980000;6.4980000;100
20140304;000000;5.1000000;5.1000000;5.1000000;5.1000000;100
20140317;000000;5.8500000;5.8500000;5.2510000;5.2510000;3200
20140318;000000;5.3000000;5.6000000;5.2100000;5.6000000;500
20140319;000000;5.2120000;5.4000000;5.0000000;5.3990000;56600
20140331;000000;5.0000000;5.0020000;5.0000000;5.0020000;4700
20140402;000000;4.6000000;4.6000000;4.6000000;4.6000000;3000
20140411;000000;4.3000000;4.3000000;4.2500000;4.2500000;14000
20140505;000000;4.0020000;4.0020000;4.0020000;4.0020000;100
20140506;000000;5.6000000;5.6000000;5.6000000;5.6000000;100
20140507;000000;6.4800000;6.4800000;6.4800000;6.4800000;19700
20140515;000000;6.4500000;6.4500000;5.3500000;5.3500000;102100
20140516;000000;5.5000000;5.5000000;5.3000000;5.3000000;1400
20140520;000000;5.4990000;5.4990000;5.4990000;5.4990000;100
20140522;000000;4.5000000;4.7000000;4.3300000;4.5000000;68600
20140523;000000;4.2000000;4.2500000;4.1000000;4.1000000;46200
20140602;000000;4.0000000;4.0000000;4.0000000;4.0000000;100
20140603;000000;4.6000000;4.6000000;4.5990000;4.5990000;1600
20140606;000000;3.7000000;3.8000000;3.7000000;3.8000000;20000
20140609;000000;4.6000000;4.6000000;4.6000000;4.6000000;100
20140610;000000;4.6000000;4.6000000;4.6000000;4.6000000;900
20140616;000000;4.0000000;4.0000000;4.0000000;4.0000000;100
20140623;000000;4.1000000;4.1000000;4.1000000;4.1000000;100
20140701;000000;3.6020000;3.6020000;3.6020000;3.6020000;100
20140703;000000;4.0010000;4.1010000;4.0010000;4.1010000;200
20140708;000000;3.8000000;4.5000000;3.1020000;4.5000000;11700
20140715;000000;4.1000000;4.1000000;3.2700000;3.3300000;37300
20140716;000000;3.7770000;3.9970000;3.3990000;3.3990000;8500
20140717;000000;3.3980000;3.3980000;3.3980000;3.3980000;100
20140721;000000;3.3980000;3.3980000;3.3970000;3.3970000;1000
20140724;000000;3.4000000;3.4000000;3.4000000;3.4000000;2100
20140730;000000;3.4000000;3.4000000;3.4000000;3.4000000;100
20140731;000000;3.0070000;3.3060000;2.8920000;3.3000000;2100
20140801;000000;3.2000000;3.2000000;2.9000000;3.1000000;12200
20140804;000000;3.0000000;3.0000000;3.0000000;3.0000000;9900
20140805;000000;2.9000000;2.9000000;2.9000000;2.9000000;300
20140806;000000;2.9000000;2.9000000;2.9000000;2.9000000;100
20140807;000000;3.7900000;3.7900000;2.9000000;2.9000000;1400
20140808;000000;2.8830000;2.8830000;2.8510000;2.8510000;900
20140811;000000;2.8520000;2.8520000;2.8000000;2.8000000;3500
20140812;000000;2.9970000;3.0000000;2.9900000;2.9900000;6100
20140813;000000;2.9880000;3.5000000;2.9880000;3.3000000;4700
20140818;000000;2.6700000;2.6900000;2.6700000;2.6900000;6500
20140819;000000;3.0000000;3.0000000;3.0000000;3.0000000;5100
20140825;000000;3.1000000;3.1000000;3.1000000;3.1000000;1000
20140826;000000;3.0000000;3.0000000;3.0000000;3.0000000;1000
20140828;000000;3.0000000;3.0000000;3.0000000;3.0000000;3000
20140903;000000;2.6900000;2.8000000;2.5700000;2.8000000;10600
20140904;000000;2.8000000;2.8000000;2.8000000;2.8000000;100
20140908;000000;2.8000000;2.8000000;2.8000000;2.8000000;100
20140910;000000;2.6000000;2.6000000;2.6000000;2.6000000;23400
20140915;000000;2.5700000;2.7900000;2.5000000;2.5000000;29600
20140916;000000;2.4800000;2.4800000;2.0000000;2.4400000;13200
20140918;000000;2.8000000;2.8000000;2.8000000;2.8000000;100
20140919;000000;2.6000000;2.6000000;2.6000000;2.6000000;100
20140922;000000;2.6000000;2.6000000;2.5000000;2.5000000;200
20140929;000000;2.5000000;2.5000000;2.5000000;2.5000000;100
20141006;000000;2.5000000;2.5000000;2.5000000;2.5000000;2000
20141009;000000;2.3000000;2.3000000;2.3000000;2.3000000;7300
20141010;000000;2.3000000;2.3000000;2.3000000;2.3000000;3200
20141017;000000;2.3000000;2.3000000;2.3000000;2.3000000;100
20141021;000000;2.3000000;2.3000000;2.3000000;2.3000000;100
20141024;000000;2.1000000;2.1000000;2.1000000;2.1000000;1200
20141027;000000;2.2900000;2.2900000;2.2900000;2.2900000;100
20141028;000000;2.2200000;2.2200000;2.2200000;2.2200000;100
20141106;000000;2.2000000;2.2000000;2.2000000;2.2000000;200
20141110;000000;2.4900000;2.4900000;2.4900000;2.4900000;3200
20141202;000000;2.2000000;2.2000000;1.9100000;2.0000000;47800
20141203;000000;2.0300000;2.0300000;2.0100000;2.0100000;9700
20141204;000000;2.2000000;2.2000000;2.1900000;2.2000000;2300
20141208;000000;2.1900000;2.2000000;2.1900000;2.2000000;1100
20141226;000000;2.1900000;2.1900000;2.1900000;2.1900000;100
20141229;000000;2.1900000;2.3400000;2.1900000;2.3400000;3500
