<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140110;000000;0.4802000;0.4802000;0.4800000;0.4800000;30000
20140128;000000;0.4850000;0.4850000;0.4850000;0.4850000;20000
20140204;000000;0.4470000;0.4470000;0.4470000;0.4470000;20000
20140210;000000;0.4997000;0.4997000;0.4989000;0.4989000;20000
20140226;000000;0.4998000;0.4998000;0.4500000;0.4500000;60000
20140303;000000;0.4500000;0.4500000;0.4500000;0.4500000;10000
20140305;000000;0.4750000;0.4750000;0.3350000;0.3350000;60000
20140307;000000;0.3521000;0.4700000;0.3521000;0.4700000;20000
20140507;000000;0.4070000;0.4070000;0.4070000;0.4070000;10000
20140605;000000;0.3510000;0.3510000;0.3510000;0.3510000;10000
20140701;000000;0.3301000;0.3301000;0.3301000;0.3301000;10000
20140708;000000;0.3310000;0.3310000;0.3310000;0.3310000;20000
20141017;000000;0.3010000;0.3010000;0.3010000;0.3010000;20000
20141103;000000;0.3400000;0.3400000;0.3400000;0.3400000;10000
20141113;000000;0.3610000;0.3610000;0.2420000;0.2420000;40000
20141118;000000;0.2940000;0.2950000;0.2940000;0.2950000;20000
20141229;000000;0.3610000;0.3610000;0.3570000;0.3570000;690000
20141230;000000;0.2450000;0.2450000;0.2440000;0.2440000;20000
