<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;75.0000000;75.0000000;75.0000000;75.0000000;10
20140109;000000;80.9900000;80.9900000;80.9900000;80.9900000;10
20140110;000000;79.9900000;79.9900000;79.9900000;79.9900000;10
20140113;000000;75.0000000;78.8900000;75.0000000;78.8900000;20
20140114;000000;77.9900000;77.9900000;77.9800000;77.9800000;20
20140115;000000;79.9900000;79.9900000;77.7700000;77.7800000;230
20140116;000000;77.0000000;77.0000000;77.0000000;77.0000000;20
20140117;000000;80.0200000;80.0200000;77.0000000;77.1200000;30
20140120;000000;77.0000000;79.5400000;75.0400000;79.5400000;3940
20140122;000000;79.9800000;79.9800000;75.9000000;75.9000000;40
20140123;000000;77.8900000;77.8900000;77.8900000;77.8900000;10
20140124;000000;74.2500000;76.0000000;74.1100000;76.0000000;1580
20140127;000000;78.8900000;80.0000000;76.9800000;79.9900000;3290
20140128;000000;76.0700000;78.9900000;72.6200000;78.9900000;4980
20140129;000000;77.0000000;77.0000000;77.0000000;77.0000000;10
20140130;000000;76.6300000;76.6300000;76.6300000;76.6300000;10
20140131;000000;77.0000000;77.0000000;74.0000000;74.0000000;620
20140203;000000;79.7000000;79.7000000;71.0000000;77.0000000;1230
20140204;000000;75.9800000;75.9800000;70.0000000;75.0000000;620
20140205;000000;77.4000000;77.4000000;72.7800000;75.0000000;460
20140206;000000;78.7200000;78.7200000;73.0600000;73.3500000;160
20140207;000000;74.4600000;74.4600000;74.0000000;74.0000000;50
20140210;000000;76.8900000;76.8900000;73.1600000;73.1600000;60
20140211;000000;75.8700000;75.8700000;73.0600000;73.0600000;70
20140212;000000;73.3400000;76.0000000;73.0600000;73.2000000;1770
20140213;000000;73.0900000;73.3500000;72.0000000;73.3500000;300
20140214;000000;73.3500000;73.3500000;68.1000000;71.4000000;3070
20140217;000000;73.8900000;74.3800000;69.8600000;72.2000000;6240
20140218;000000;71.6500000;71.6500000;70.0100000;71.3700000;4290
20140219;000000;71.3800000;79.6500000;69.1700000;73.5000000;7280
20140220;000000;73.5000000;74.7900000;71.0000000;73.3400000;1690
20140221;000000;72.7800000;73.0600000;70.0000000;71.6500000;6720
20140224;000000;70.0000000;73.5000000;70.0000000;71.1100000;2210
20140225;000000;70.5900000;72.1000000;70.5600000;71.3800000;270
20140226;000000;71.1000000;71.6400000;70.0000000;71.6300000;4020
20140227;000000;71.1000000;71.3700000;69.2600000;70.0800000;2580
20140228;000000;69.2800000;70.1100000;69.2800000;70.0900000;1510
20140303;000000;70.1400000;70.1400000;59.9100000;65.0500000;7440
20140304;000000;71.4300000;71.4300000;60.3200000;60.3200000;270
20140305;000000;65.0000000;69.2700000;62.0100000;62.0700000;2450
20140306;000000;65.0100000;69.0500000;62.0000000;63.7100000;110
20140307;000000;66.7600000;66.7600000;60.5500000;61.1700000;630
20140311;000000;64.7100000;66.1600000;60.0400000;60.0400000;110
20140312;000000;64.7400000;64.7400000;60.0300000;60.9900000;300
20140313;000000;61.0000000;65.9200000;60.0000000;60.0000000;4910
20140314;000000;54.5500000;60.0100000;54.5500000;60.0100000;3050
20140317;000000;61.7100000;62.8900000;56.0300000;60.0000000;6200
20140318;000000;60.0000000;63.0000000;58.0000000;63.0000000;300
20140319;000000;60.0000000;63.9600000;52.5000000;60.0000000;2690
20140320;000000;59.9900000;60.0000000;59.9900000;60.0000000;160
20140321;000000;61.9900000;63.9700000;61.9900000;63.9700000;30
20140324;000000;61.0100000;62.9800000;61.0100000;62.9800000;20
20140325;000000;64.0000000;70.5300000;62.0000000;63.1000000;250
20140326;000000;71.6200000;71.6200000;63.0000000;63.0000000;180
20140327;000000;64.9700000;64.9700000;63.9000000;63.9000000;60
20140328;000000;70.8600000;70.8600000;62.0200000;62.0200000;80
20140331;000000;65.1000000;65.1000000;65.1000000;65.1000000;10
20140401;000000;66.1300000;69.9900000;62.0200000;62.0200000;210
20140402;000000;68.5100000;68.5100000;68.5100000;68.5100000;10
20140403;000000;62.0600000;73.6300000;60.0100000;70.0700000;2390
20140404;000000;68.0200000;68.2900000;67.7300000;67.7300000;60
20140407;000000;66.1300000;67.6200000;66.1200000;67.6200000;120
20140408;000000;66.6700000;66.6700000;66.6700000;66.6700000;10
20140409;000000;67.3000000;67.3300000;62.0100000;62.1600000;1850
20140410;000000;61.3000000;69.8700000;60.1400000;65.0000000;3140
20140411;000000;62.7000000;62.7000000;61.5200000;62.6000000;1120
20140414;000000;63.3000000;63.3000000;63.3000000;63.3000000;110
20140415;000000;60.1200000;84.9600000;60.0000000;63.0000000;2360
20140416;000000;62.6900000;62.9800000;60.0000000;62.4300000;4940
20140417;000000;60.9500000;63.2100000;60.9100000;61.4300000;1050
20140418;000000;62.9900000;65.2000000;60.8600000;61.2000000;750
20140421;000000;60.0400000;63.0000000;60.0400000;60.5400000;150
20140422;000000;62.2200000;62.9000000;58.2300000;61.0000000;740
20140423;000000;61.1800000;61.1800000;58.3400000;60.4800000;1010
20140424;000000;59.0200000;61.0000000;58.0200000;59.8100000;1400
20140428;000000;59.1700000;59.9600000;57.0900000;59.3800000;960
20140429;000000;54.7000000;59.9800000;54.7000000;57.6000000;4130
20140430;000000;55.9900000;59.0000000;55.0000000;57.5000000;1290
20140502;000000;54.0300000;62.9600000;54.0300000;55.5000000;200
20140505;000000;58.9900000;58.9900000;52.5700000;58.8600000;1140
20140506;000000;57.1100000;57.9600000;56.0000000;57.9000000;870
20140507;000000;57.0000000;61.9500000;55.3200000;57.0000000;200
20140508;000000;59.0000000;59.0000000;55.6000000;57.0100000;2110
20140512;000000;57.9700000;57.9700000;57.9700000;57.9700000;10
20140513;000000;59.9600000;59.9600000;57.9700000;58.0000000;6100
20140514;000000;57.3900000;58.9700000;57.3900000;58.9500000;50
20140515;000000;56.0900000;59.8700000;56.0400000;59.0000000;230
20140519;000000;61.9300000;64.5600000;57.0500000;57.0500000;470
20140520;000000;58.9900000;63.3300000;58.2800000;63.3300000;380
20140521;000000;60.4900000;60.7900000;58.0200000;60.7900000;1520
20140522;000000;60.4200000;60.6100000;57.1000000;60.0000000;5350
20140523;000000;60.6100000;60.6100000;58.6800000;59.5700000;330
20140526;000000;61.0100000;62.0000000;58.7000000;62.0000000;720
20140527;000000;57.5200000;61.9700000;57.4300000;61.4300000;270
20140528;000000;61.0100000;61.0100000;58.9900000;59.8900000;310
20140529;000000;61.0000000;62.9400000;58.7900000;60.5000000;440
20140530;000000;60.0000000;61.9100000;60.0000000;61.1100000;250
20140602;000000;62.2600000;68.4000000;60.4500000;62.2800000;690
20140603;000000;64.9000000;64.9000000;62.6000000;62.6000000;550
20140604;000000;64.9800000;64.9800000;61.1500000;62.2200000;690
20140605;000000;63.0100000;65.0000000;62.9100000;64.0000000;720
20140606;000000;65.3000000;65.8100000;63.4600000;64.4100000;670
20140609;000000;65.5300000;65.5300000;62.2000000;62.2000000;170
20140610;000000;65.8100000;65.8100000;62.3500000;63.9500000;720
20140611;000000;64.7000000;64.7000000;64.3100000;64.3100000;120
20140616;000000;61.1500000;61.1500000;61.1400000;61.1400000;150
20140617;000000;61.5000000;63.4100000;60.9900000;61.8100000;250
20140618;000000;63.0000000;64.3100000;61.0200000;63.5900000;620
20140619;000000;62.9900000;65.0100000;62.9900000;64.1000000;600
20140623;000000;64.0000000;64.0000000;63.8000000;63.8000000;120
20140624;000000;64.5100000;69.0000000;64.4900000;68.0000000;1890
20140625;000000;63.0400000;63.0400000;63.0000000;63.0000000;80
20140626;000000;62.6400000;65.2500000;62.5600000;65.2500000;430
20140627;000000;67.9900000;67.9900000;67.9900000;67.9900000;10
20140630;000000;66.6100000;67.9800000;65.2900000;66.5000000;260
20140701;000000;64.5400000;67.9900000;63.3000000;63.9700000;500
20140702;000000;68.0000000;68.0000000;63.5000000;65.9000000;820
20140704;000000;65.5000000;65.5000000;64.6500000;64.6500000;20
20140707;000000;64.2900000;65.6100000;60.2200000;62.9900000;1440
20140708;000000;64.0100000;64.6400000;62.0000000;63.8000000;1530
20140709;000000;63.0200000;74.7200000;63.0200000;65.0000000;1060
20140710;000000;68.5000000;72.5400000;65.0000000;65.0000000;750
20140711;000000;70.0800000;70.0800000;66.0000000;66.0000000;4020
20140714;000000;66.6900000;69.9300000;66.5900000;68.5000000;580
20140715;000000;67.6100000;67.6100000;66.5200000;66.5200000;100
20140717;000000;66.6000000;66.6000000;64.6900000;65.0900000;180
20140718;000000;67.0000000;67.0000000;64.5000000;65.0000000;500
20140721;000000;65.2900000;68.0000000;63.0200000;65.1100000;990
20140722;000000;65.5000000;67.6100000;65.2000000;66.0000000;630
20140723;000000;62.8000000;62.8000000;62.5100000;62.5100000;30
20140724;000000;63.5000000;63.5000000;63.5000000;63.5000000;10
20140728;000000;65.5000000;65.5000000;62.5000000;63.3000000;40
20140729;000000;63.0300000;63.0300000;62.9900000;63.0000000;1020
20140730;000000;64.9900000;64.9900000;60.2300000;64.9400000;170
20140731;000000;63.9800000;64.0000000;63.9800000;64.0000000;30
20140801;000000;62.0000000;64.0000000;62.0000000;64.0000000;20
20140804;000000;63.0100000;64.0000000;63.0000000;64.0000000;850
20140805;000000;62.0100000;62.0100000;62.0000000;62.0000000;20
20140806;000000;61.4000000;63.8900000;59.0200000;60.0000000;1240
20140807;000000;59.0200000;61.9900000;59.0100000;60.2900000;1430
20140808;000000;60.6900000;61.9800000;59.5000000;59.5000000;840
20140811;000000;61.9900000;61.9900000;52.5900000;58.5000000;3600
20140812;000000;57.0000000;60.9700000;55.0000000;56.9300000;1560
20140813;000000;59.7000000;61.9700000;56.9900000;61.9700000;530
20140815;000000;56.0200000;63.0000000;56.0200000;63.0000000;330
20140818;000000;63.0000000;64.4700000;63.0000000;63.9900000;60
20140819;000000;62.0000000;63.9000000;59.9900000;63.7300000;130
20140820;000000;63.9900000;64.7800000;60.0300000;64.7800000;30
20140821;000000;64.7900000;64.7900000;63.0000000;63.0000000;20
20140822;000000;64.8000000;64.8000000;58.6700000;64.3000000;270
20140825;000000;60.7000000;64.3700000;58.0100000;60.4000000;660
20140826;000000;61.3900000;63.9200000;59.1300000;60.0000000;3650
20140827;000000;59.9900000;60.0000000;56.7100000;56.7100000;2260
20140828;000000;60.9700000;60.9700000;55.7000000;59.8500000;1660
20140829;000000;55.7100000;60.9900000;54.0200000;60.9900000;610
20140901;000000;57.0000000;60.0000000;57.0000000;60.0000000;540
20140903;000000;59.9900000;59.9900000;59.9900000;59.9900000;60
20140904;000000;59.9600000;59.9600000;59.9400000;59.9400000;60
20140905;000000;61.9900000;61.9900000;59.3500000;59.9700000;330
20140908;000000;61.0000000;61.9200000;57.0500000;61.9200000;30
20140910;000000;58.0000000;61.9000000;57.0000000;59.9600000;310
20140911;000000;57.0100000;59.0000000;57.0000000;59.0000000;160
20140915;000000;58.0100000;59.0000000;57.0000000;59.0000000;90
20140916;000000;59.9800000;59.9800000;59.9800000;59.9800000;10
20140917;000000;61.0000000;61.0000000;56.9900000;58.0000000;3060
20140918;000000;59.0000000;60.9700000;58.0000000;58.0000000;80
20140919;000000;56.0000000;57.0000000;55.0000000;56.0000000;1060
20140922;000000;58.0000000;58.0000000;52.7600000;56.0000000;170
20140923;000000;58.4900000;58.4900000;55.0100000;56.9800000;450
20140924;000000;56.0000000;57.0000000;56.0000000;57.0000000;20
20140925;000000;56.0000000;56.9900000;54.9900000;55.0000000;2160
20140926;000000;55.9400000;56.9900000;53.0300000;56.0000000;620
20140929;000000;54.0000000;55.8700000;52.6100000;55.7200000;490
20140930;000000;55.0000000;55.5700000;54.0100000;55.4300000;80
20141001;000000;53.1000000;56.5000000;52.2000000;53.4000000;1190
20141002;000000;52.7000000;53.4000000;52.5000000;53.4000000;620
20141003;000000;53.0000000;53.2000000;52.4000000;52.4000000;100
20141006;000000;53.9000000;53.9000000;53.9000000;53.9000000;10
20141007;000000;52.3000000;52.6000000;51.6000000;52.6000000;210
20141008;000000;51.4000000;53.8000000;51.4000000;52.9000000;450
20141009;000000;52.0000000;53.7000000;52.0000000;53.7000000;970
20141010;000000;55.1000000;55.1000000;50.7000000;53.3000000;260
20141013;000000;50.8000000;53.3000000;50.7000000;53.3000000;210
20141014;000000;50.8000000;52.0000000;50.7000000;52.0000000;230
20141015;000000;50.9000000;53.6000000;50.9000000;53.6000000;70
20141022;000000;53.2000000;54.7000000;53.2000000;54.7000000;300
20141023;000000;54.9000000;55.5000000;50.9000000;53.0000000;260
20141024;000000;52.0000000;54.7000000;51.0000000;52.4000000;280
20141027;000000;53.7000000;55.8000000;51.4000000;51.5000000;190
20141028;000000;52.0000000;52.9000000;52.0000000;52.0000000;110
20141029;000000;53.9000000;53.9000000;52.0000000;52.8000000;130
20141030;000000;52.8000000;52.8000000;52.0000000;52.0000000;20
20141031;000000;50.8000000;52.6000000;49.0000000;52.6000000;310
20141103;000000;50.2000000;54.7000000;50.0000000;54.7000000;140
20141105;000000;50.7000000;53.0000000;50.5000000;51.3000000;870
