<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140109;000000;7.1810000;7.1810000;6.8097000;7.0100000;52000
20140113;000000;7.6500000;7.6500000;7.6500000;7.6500000;1000
20140114;000000;7.0000000;7.0000000;7.0000000;7.0000000;45000
20140115;000000;6.5100000;7.0500000;6.5100000;7.0500000;25000
20140116;000000;7.1998000;7.1998000;7.0000000;7.1111000;14000
20140117;000000;7.0400000;7.0400000;7.0400000;7.0400000;1000
20140120;000000;7.0300000;7.0400000;7.0300000;7.0400000;36000
20140121;000000;7.0300000;7.1200000;6.9001000;7.1200000;293000
20140124;000000;7.0000000;7.0000000;7.0000000;7.0000000;7000
20140130;000000;6.6004000;6.9988000;6.6000000;6.9988000;8000
20140131;000000;6.9992000;6.9992000;6.9992000;6.9992000;1000
20140204;000000;6.6001000;6.8497000;6.6000000;6.8497000;11000
20140205;000000;6.6520000;6.6520000;6.6000000;6.6000000;18000
20140206;000000;6.6000000;6.6001000;6.6000000;6.6001000;5000
20140207;000000;6.6600000;6.7100000;6.6600000;6.7000000;8000
20140210;000000;6.7000000;6.7000000;6.7000000;6.7000000;3000
20140211;000000;6.9988000;7.0000000;6.9988000;7.0000000;12000
20140212;000000;6.8000000;6.8000000;6.7000000;6.7000000;44000
20140213;000000;6.8497000;6.8498000;6.8497000;6.8498000;4000
20140214;000000;6.7999000;6.8000000;6.7000000;6.7200000;36000
20140217;000000;6.8000000;6.8001000;6.7000000;6.7101000;46000
20140218;000000;6.7999000;6.8000000;6.7200000;6.7200000;18000
20140224;000000;6.7000000;6.9825000;6.7000000;6.9825000;2000
20140225;000000;6.9500000;6.9500000;6.9500000;6.9500000;1000
20140227;000000;6.5102000;6.5102000;6.2000000;6.2000000;11000
20140228;000000;6.1500000;7.4000000;6.1000000;6.6030000;177000
20140303;000000;6.2800000;7.2000000;5.7000000;6.1000000;493000
20140304;000000;5.7501000;6.3995000;5.7501000;6.1500000;100000
20140306;000000;6.3900000;6.4000000;6.1100000;6.1100000;13000
20140307;000000;5.8100000;6.3788000;5.8100000;6.3788000;4000
20140311;000000;6.0501000;6.0501000;6.0501000;6.0501000;1000
20140312;000000;6.2997000;6.2997000;5.9500000;5.9500000;116000
20140313;000000;5.9300000;5.9500000;5.8507000;5.8507000;104000
20140314;000000;5.7000000;6.0000000;5.7000000;6.0000000;1838000
20140320;000000;5.8601000;6.0000000;5.8601000;5.9000000;4000
20140325;000000;5.9899000;6.0003000;5.9899000;6.0002000;5000
20140327;000000;6.1000000;6.1000000;6.1000000;6.1000000;1000
20140328;000000;6.1000000;6.3988000;5.5000000;6.3988000;6000
20140331;000000;6.3992000;7.4900000;6.0101000;7.4000000;607000
20140401;000000;5.8030000;5.8030000;5.8030000;5.8030000;1000
20140402;000000;6.1700000;6.1700000;6.1700000;6.1700000;1000
20140407;000000;6.5000000;6.5000000;6.5000000;6.5000000;1000
20140408;000000;6.0303000;7.3000000;6.0303000;7.3000000;52000
20140410;000000;7.1970000;7.2000000;7.1970000;7.2000000;30000
20140415;000000;6.4000000;6.4000000;6.4000000;6.4000000;2000
20140417;000000;6.5000000;6.5000000;6.5000000;6.5000000;50000
20140421;000000;6.0005000;6.4099000;6.0000000;6.4099000;41000
20140422;000000;6.4500000;6.7500000;6.4200000;6.4201000;70000
20140423;000000;6.4001000;6.9750000;6.2002000;6.6000000;18000
20140424;000000;6.9988000;7.1500000;6.5017000;7.1500000;655000
20140425;000000;6.6000000;7.1000000;6.6000000;7.1000000;163000
20140428;000000;6.6300000;7.2000000;6.6300000;7.2000000;15000
20140430;000000;7.1000000;7.3700000;6.8500000;7.3500000;297000
20140506;000000;7.4000000;7.4000000;7.4000000;7.4000000;1000
20140507;000000;7.0300000;7.0300000;7.0001000;7.0001000;2000
20140508;000000;7.5000000;7.5000000;7.5000000;7.5000000;4000
20140512;000000;7.4899000;7.5000000;7.4899000;7.5000000;102000
20140514;000000;6.9500000;7.2500000;6.9500000;7.2500000;9000
20140516;000000;6.9501000;7.2000000;6.9500000;7.2000000;104000
20140520;000000;6.9300000;6.9300000;6.9300000;6.9300000;1000
20140526;000000;7.0000000;7.0000000;7.0000000;7.0000000;1000
20140527;000000;6.5002000;7.1000000;6.5000000;7.1000000;61000
20140529;000000;7.0997000;7.5000000;6.6000000;7.3000000;965000
20140530;000000;6.7530000;6.7530000;6.7530000;6.7530000;1000
20140603;000000;7.0999000;7.0999000;7.0999000;7.0999000;1000
20140604;000000;7.0999000;7.0999000;6.5731000;6.5731000;2000
20140605;000000;6.4534000;6.4534000;6.4534000;6.4534000;1000
20140606;000000;6.5719000;6.5719000;6.2500000;6.2500000;130000
20140609;000000;6.4502000;6.9986000;6.4500000;6.4500000;29000
20140610;000000;6.4500000;6.4500000;6.4500000;6.4500000;9000
20140611;000000;6.6999000;6.6999000;6.3718000;6.3718000;13000
20140616;000000;6.5000000;6.5100000;6.3505000;6.3505000;179000
20140617;000000;6.3102000;6.3102000;6.2501000;6.2501000;207000
20140620;000000;6.6998000;6.7000000;6.4000000;6.4000000;30000
20140624;000000;6.6935000;6.6935000;6.3526000;6.3526000;2000
20140627;000000;6.6997000;6.6997000;6.6997000;6.6997000;10000
20140630;000000;6.3210000;6.3210000;6.2501000;6.2501000;2000
20140701;000000;6.2222000;6.2222000;6.2000000;6.2000000;8000
20140702;000000;6.5200000;6.6997000;6.5000000;6.6997000;37000
20140704;000000;6.4997000;6.5500000;6.4700000;6.4700000;180000
20140707;000000;6.5000000;6.5500000;6.5000000;6.5499000;12000
20140708;000000;6.5000000;6.5000000;6.5000000;6.5000000;19000
20140709;000000;6.5000000;6.5500000;6.5000000;6.5500000;10000
20140710;000000;6.5000000;6.5000000;6.5000000;6.5000000;70000
20140716;000000;6.5000000;6.5012000;6.5000000;6.5011000;35000
20140717;000000;6.5011000;6.7284000;6.5011000;6.5780000;40000
20140718;000000;6.5995000;6.5995000;6.5995000;6.5995000;1000
20140721;000000;6.5012000;6.5996000;6.5000000;6.5996000;35000
20140722;000000;6.5970000;6.5997000;6.5970000;6.5997000;39000
20140725;000000;6.7000000;6.7000000;6.7000000;6.7000000;80000
20140729;000000;6.5990000;7.1200000;6.2500000;6.6000000;161000
20140730;000000;6.7000000;7.0997000;6.7000000;6.7001000;58000
20140731;000000;6.7875000;6.7875000;6.5001000;6.5001000;17000
20140804;000000;7.1098000;7.1098000;6.7500000;6.7500000;321000
20140805;000000;6.7500000;7.1300000;6.7500000;7.1099000;15000
20140806;000000;6.4013000;6.4013000;6.4010000;6.4010000;5000
20140807;000000;6.7000000;6.7000000;6.7000000;6.7000000;2000
20140808;000000;6.6497000;6.6497000;6.6497000;6.6497000;8000
20140811;000000;6.4011000;6.9100000;6.0000000;6.3013000;383000
20140813;000000;6.2960000;6.4500000;6.2960000;6.4500000;3000
20140814;000000;6.5494000;6.5497000;6.3500000;6.3999000;59000
20140815;000000;6.4201000;6.4201000;6.4200000;6.4200000;4000
20140819;000000;6.4100000;6.4100000;6.4000000;6.4000000;4000
20140820;000000;6.5000000;6.6997000;6.4999000;6.5997000;153000
20140821;000000;6.5497000;6.5497000;6.5496000;6.5496000;11000
20140822;000000;6.4998000;6.4998000;6.3502000;6.3511000;5000
20140825;000000;6.3651000;6.3999000;6.3600000;6.3999000;58000
20140826;000000;6.5400000;6.6497000;6.4600000;6.5997000;123000
20140827;000000;6.6997000;6.7999000;6.6496000;6.7999000;7000
20140828;000000;6.7998000;6.7998000;6.4500000;6.4500000;461000
20140829;000000;6.4500000;6.5500000;6.4500000;6.5012000;413000
20140901;000000;6.5000000;6.5000000;6.5000000;6.5000000;54000
20140902;000000;6.4501000;6.9999000;6.4500000;6.9999000;420000
20140905;000000;6.5055000;6.5055000;6.5055000;6.5055000;1000
20140910;000000;6.9995000;7.0000000;6.7000000;6.7010000;371000
20140911;000000;6.9998000;7.0000000;6.7000000;6.7000000;490000
20140912;000000;7.2000000;7.5000000;6.8040000;6.9000000;69000
20140915;000000;6.6700000;6.9999000;6.6700000;6.9999000;80000
20140916;000000;7.0000000;7.0500000;7.0000000;7.0000000;14000
20140918;000000;6.8500000;6.9999000;6.8500000;6.9999000;5000
20140922;000000;6.9990000;6.9990000;6.9990000;6.9990000;1000
20140923;000000;7.1000000;7.1000000;6.7500000;7.1000000;118000
20140924;000000;7.1167000;7.6000000;7.0500000;7.2500000;1919000
20140925;000000;7.2499000;7.2500000;7.2000000;7.2500000;14000
20140926;000000;7.2500000;7.2500000;7.2000000;7.2300000;9000
20140929;000000;7.2500000;7.2500000;7.1002000;7.1002000;17000
20140930;000000;7.1005000;7.1005000;7.1002000;7.1002000;100000
20141001;000000;7.0000000;7.0000000;7.0000000;7.0000000;7000
20141002;000000;7.0500000;7.0500000;7.0000000;7.0000000;7000
20141003;000000;7.0000000;7.2000000;6.9000000;7.1000000;84000
20141006;000000;7.1000000;7.1000000;7.1000000;7.1000000;85000
20141007;000000;7.1000000;7.1000000;7.0000000;7.1000000;409000
20141008;000000;7.0100000;7.3300000;7.0000000;7.0500000;448000
20141009;000000;7.1000000;7.1000000;7.0000000;7.0000000;294000
20141010;000000;7.0300000;7.0300000;7.0300000;7.0300000;31000
20141013;000000;7.1000000;7.2000000;7.1000000;7.2000000;63000
20141014;000000;7.2000000;8.0000000;7.2000000;8.0000000;1696000
20141015;000000;7.7500000;8.0000000;7.3100000;8.0000000;88000
20141016;000000;7.6500000;7.9000000;7.5500000;7.6000000;68000
20141017;000000;7.8000000;8.9900000;7.8000000;8.1600000;378000
20141020;000000;8.4500000;8.8000000;8.4500000;8.8000000;81000
20141021;000000;8.9500000;8.9500000;8.9500000;8.9500000;10000
