<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;3.2000000;3.2000000;3.2000000;3.2000000;11000
20140108;000000;3.1799000;3.1900000;3.1500000;3.1500000;36000
20140109;000000;3.1500000;3.1500000;3.1500000;3.1500000;76000
20140110;000000;3.1601000;3.1601000;3.1601000;3.1601000;1000
20140113;000000;3.1976000;3.1984000;3.1900000;3.1900000;14000
20140114;000000;3.1994000;3.2000000;3.1751000;3.2000000;15000
20140115;000000;3.1900000;3.2200000;3.1683000;3.1683000;7000
20140117;000000;3.1890000;3.2000000;3.1890000;3.2000000;21000
20140120;000000;3.2000000;3.2000000;3.2000000;3.2000000;1000
20140121;000000;3.2097000;3.2098000;3.2000000;3.2000000;4000
20140122;000000;3.2485000;3.2494000;3.1600000;3.2377000;37000
20140123;000000;3.2000000;3.2000000;3.2000000;3.2000000;4000
20140124;000000;3.2000000;3.2287000;3.1890000;3.2287000;3000
20140127;000000;3.1615000;3.1615000;3.1000000;3.1000000;176000
20140128;000000;3.1000000;3.1986000;3.1000000;3.1986000;8000
20140129;000000;3.1001000;3.1106000;3.1001000;3.1050000;14000
20140130;000000;3.1001000;3.1400000;3.1000000;3.1400000;12000
20140131;000000;3.1399000;3.1399000;3.1399000;3.1399000;2000
20140203;000000;3.1999000;3.2000000;3.1500000;3.1500000;197000
20140205;000000;3.2000000;3.2000000;3.1499000;3.1500000;103000
20140207;000000;3.1101000;3.1103000;3.0999000;3.1050000;460000
20140210;000000;3.1050000;3.1050000;3.1050000;3.1050000;3000
20140211;000000;3.1998000;3.1999000;3.0000000;3.1760000;20000
20140212;000000;3.0991000;3.0995000;3.0534000;3.0995000;164000
20140213;000000;3.0700000;3.0700000;3.0505000;3.0505000;5000
20140214;000000;3.0505000;3.1050000;3.0000000;3.1050000;617000
20140217;000000;3.1500000;3.1500000;3.1500000;3.1500000;3000
20140218;000000;3.1500000;3.1500000;3.1500000;3.1500000;1000
20140220;000000;3.0501000;3.0501000;3.0500000;3.0500000;5000
20140224;000000;3.0502000;3.1500000;3.0501000;3.1400000;227000
20140225;000000;3.1400000;3.1500000;3.1400000;3.1489000;138000
20140226;000000;3.1487000;3.1489000;3.1000000;3.1033000;64000
20140227;000000;3.0501000;3.0501000;3.0501000;3.0501000;6000
20140228;000000;3.1484000;3.2700000;3.1200000;3.1202000;432000
20140303;000000;3.0000000;3.0001000;2.9500000;3.0000000;17000
20140304;000000;2.9505000;3.0697000;2.9501000;3.0697000;28000
20140305;000000;3.1390000;3.1390000;3.1390000;3.1390000;10000
20140306;000000;3.1100000;3.1100000;3.1100000;3.1100000;1000
20140307;000000;3.0002000;3.1990000;3.0002000;3.1002000;23000
20140311;000000;3.1299000;3.2000000;3.0801000;3.0801000;207000
20140312;000000;3.0836000;3.1995000;3.0800000;3.0802000;38000
20140313;000000;3.0000000;3.1500000;3.0000000;3.0800000;9000
20140314;000000;3.0800000;3.0800000;2.7502000;2.8150000;255000
20140318;000000;3.1299000;3.1300000;3.1299000;3.1300000;3000
