<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140306;000000;400.0000000;501.0000000;335.0600000;343.4000000;12613
20140307;000000;415.0000000;415.0000000;305.0000000;349.0000000;13373
20140311;000000;372.0000000;372.0000000;337.5000000;337.5000000;18455
20140312;000000;311.0000000;359.0000000;301.0000000;328.0000000;15378
20140313;000000;331.0000000;331.0000000;321.5000000;324.6000000;4343
20140314;000000;319.0000000;321.0000000;290.0000000;311.9000000;45235
20140317;000000;315.0000000;315.0000000;300.0000000;303.0000000;41656
20140318;000000;308.5000000;344.9900000;306.8000000;327.0000000;62047
20140319;000000;324.0000000;329.5000000;319.8000000;329.2000000;47467
20140320;000000;327.0100000;331.0000000;326.0000000;329.0100000;15093
20140321;000000;320.0000000;334.2500000;320.0000000;329.0000000;10087
20140324;000000;331.0000000;335.0000000;330.0000000;333.0000000;25324
20140325;000000;334.2500000;400.0000000;321.1100000;331.0000000;40345
20140326;000000;337.9700000;338.0000000;331.2200000;333.0000000;14018
20140327;000000;337.9000000;337.9000000;334.0000000;334.0000000;2137
20140328;000000;334.5600000;338.2000000;334.0100000;334.0100000;2042
20140331;000000;331.0000000;345.0000000;331.0000000;345.0000000;28545
20140401;000000;339.0000000;342.2000000;338.0000000;338.0000000;4375
20140402;000000;339.0000000;348.4500000;339.0000000;348.4500000;31282
20140403;000000;350.0000000;352.3000000;350.0000000;352.1000000;1455
20140404;000000;353.0500000;355.0000000;350.1100000;355.0000000;284
20140407;000000;357.4200000;357.4200000;353.6200000;356.0000000;49704
20140408;000000;354.0100000;357.3900000;352.9300000;352.9300000;894
20140409;000000;354.3000000;358.1000000;352.8000000;352.8000000;21703
20140410;000000;355.5000000;356.5000000;353.0100000;353.0500000;10633
20140411;000000;353.0000000;355.0000000;351.6000000;354.0000000;10633
20140414;000000;333.0300000;356.0000000;212.6600000;352.5000000;36458
20140415;000000;351.0100000;354.4900000;322.0100000;343.1500000;49739
20140416;000000;342.0100000;346.4000000;342.0000000;343.0000000;10019
20140417;000000;348.4000000;357.0000000;348.4000000;354.3000000;33156
20140418;000000;358.5500000;366.5000000;358.5500000;362.5000000;3092
20140421;000000;352.5000000;353.5000000;352.0000000;353.5000000;2086
20140422;000000;351.1000000;352.5000000;342.0000000;345.3000000;30083
20140423;000000;343.5000000;345.3000000;341.0100000;342.9900000;11556
20140424;000000;343.0000000;345.3000000;338.0000000;338.0000000;33213
20140425;000000;330.0000000;340.0000000;330.0000000;338.0000000;32878
20140428;000000;334.0000000;337.3000000;334.0000000;337.3000000;21286
20140429;000000;335.0000000;342.3000000;330.0100000;342.3000000;55921
20140430;000000;364.9000000;365.0000000;301.0100000;342.5000000;24455
20140502;000000;341.4000000;341.4000000;339.0000000;339.0000000;12202
20140505;000000;341.4800000;341.5000000;341.4800000;341.4800000;14045
20140506;000000;341.4900000;342.0000000;340.0000000;342.0000000;27404
20140507;000000;340.0000000;344.3000000;340.0000000;344.3000000;38025
20140508;000000;343.0000000;349.9000000;343.0000000;349.9000000;30111
20140512;000000;350.0000000;351.0000000;348.0000000;350.0000000;55186
20140513;000000;351.0000000;351.0000000;348.5000000;349.0000000;42727
20140514;000000;350.0000000;350.0000000;347.5000000;349.9900000;42820
20140515;000000;349.0000000;349.0000000;346.5000000;346.5000000;42233
20140516;000000;346.0000000;348.0000000;345.5000000;347.0000000;26994
20140519;000000;346.0000000;346.0000000;337.5000000;339.3000000;50514
20140520;000000;339.3000000;339.3000000;338.0000000;338.0000000;25906
20140521;000000;338.3000000;338.3000000;335.0000000;337.5000000;28543
20140522;000000;337.0000000;359.5000000;336.0000000;358.5000000;116266
20140523;000000;370.0000000;379.3800000;358.5000000;361.0000000;84081
20140526;000000;363.5000000;363.5000000;361.0000000;363.5000000;13142
20140527;000000;364.5000000;368.4500000;364.0000000;368.4500000;43101
20140528;000000;365.4000000;399.8500000;363.0000000;385.0000000;58930
20140529;000000;390.0000000;468.2900000;389.0000000;411.0000000;58766
20140530;000000;417.2200000;436.5300000;401.1800000;414.5000000;22624
20140602;000000;416.9000000;430.0000000;414.0000000;415.0000000;86534
20140603;000000;429.9800000;430.0000000;413.0000000;419.0000000;67438
20140604;000000;425.0000000;435.0000000;418.0000000;429.0000000;145286
20140605;000000;430.0000000;430.0000000;400.1300000;419.0000000;39785
20140606;000000;419.0000000;420.0000000;412.0000000;413.0000000;24694
20140609;000000;429.9000000;444.0000000;392.2100000;400.0000000;55806
20140610;000000;401.0000000;419.0000000;396.0000000;412.0000000;97780
20140611;000000;417.7000000;421.0000000;410.0000000;418.0000000;96121
20140616;000000;414.0000000;447.5700000;414.0000000;422.0000000;54188
20140617;000000;422.4900000;428.0000000;422.4900000;427.0000000;46888
20140618;000000;424.0100000;430.0000000;423.3000000;425.0000000;46155
20140619;000000;424.0000000;426.0200000;420.0000000;424.8000000;89393
20140620;000000;424.5000000;431.5000000;422.0300000;431.5000000;69671
20140623;000000;433.0000000;450.5000000;428.0000000;431.9800000;103463
20140624;000000;433.0000000;445.0000000;427.0000000;438.0000000;64993
20140625;000000;436.0000000;500.0000000;435.7100000;440.0000000;101984
20140626;000000;442.0000000;456.8800000;437.0000000;449.5800000;63750
20140627;000000;448.0000000;448.0000000;437.0000000;442.4000000;11182
20140630;000000;442.1100000;442.1200000;434.0000000;438.2000000;49003
20140701;000000;442.2000000;454.8000000;438.0000000;438.9900000;51764
20140702;000000;440.0100000;448.0000000;427.0000000;429.9000000;78566
20140703;000000;431.3800000;431.5000000;425.0100000;428.9900000;36174
20140704;000000;425.8900000;429.0000000;421.0000000;426.9700000;31577
20140707;000000;405.0100000;442.0000000;405.0000000;440.9900000;68504
20140708;000000;443.0000000;444.2000000;431.0000000;435.0000000;33582
20140709;000000;438.0200000;438.0200000;431.0000000;432.0000000;47120
20140710;000000;431.9900000;441.9900000;429.0000000;429.0300000;35349
20140711;000000;433.9900000;458.0000000;430.1100000;455.0000000;61180
20140714;000000;463.0000000;475.0000000;451.0000000;465.7300000;56074
20140715;000000;468.0000000;497.5900000;467.0500000;490.0700000;83471
20140716;000000;479.9900000;520.0000000;471.0600000;478.0000000;101881
20140717;000000;470.0000000;482.4900000;452.0000000;460.0000000;113536
20140718;000000;465.0000000;468.0000000;440.1100000;462.0000000;108083
20140721;000000;451.1300000;468.0000000;450.0000000;455.0000000;62537
20140722;000000;453.0200000;467.9600000;453.0000000;461.0000000;5953
20140723;000000;466.4700000;482.2300000;465.0100000;482.2300000;12243
20140724;000000;482.2400000;490.0300000;467.1000000;470.0000000;34814
20140725;000000;477.9800000;477.9800000;453.0100000;457.0000000;53437
20140728;000000;455.0300000;457.0000000;440.0000000;446.0000000;42625
20140729;000000;455.7900000;455.8000000;445.1400000;452.0100000;48254
20140730;000000;451.0300000;464.8400000;446.0700000;450.0000000;46818
20140731;000000;448.4000000;453.1500000;430.0000000;435.0000000;40518
20140801;000000;421.0500000;437.1800000;421.0500000;432.9800000;10380
20140804;000000;429.0200000;432.2000000;425.4600000;430.0000000;16460
20140805;000000;427.0000000;444.9800000;427.0000000;433.1100000;18581
20140806;000000;431.9900000;432.0000000;405.1100000;420.0000000;23757
20140807;000000;405.1200000;427.1100000;316.6600000;403.0000000;48395
20140808;000000;399.9900000;409.9800000;399.9900000;407.0000000;41113
20140811;000000;410.0000000;430.9900000;407.0100000;414.9800000;32674
20140812;000000;410.0300000;419.9900000;408.0000000;419.9900000;16442
20140813;000000;413.2100000;432.0000000;413.2000000;422.0000000;88168
20140814;000000;429.9900000;429.9900000;418.0200000;422.0000000;68402
20140815;000000;419.8300000;430.0000000;416.0000000;426.1500000;48610
20140818;000000;428.0000000;447.9700000;424.0000000;434.9600000;15819
20140819;000000;430.2300000;446.9800000;430.2300000;443.0000000;67931
20140820;000000;446.0000000;468.9900000;446.0000000;460.0000000;51260
20140821;000000;456.5100000;458.4000000;438.6400000;456.9900000;14393
