<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.7770000;0.7850000;0.7660000;0.7700000;229500
20140108;000000;0.7730000;0.7840000;0.7510000;0.7580000;55100
20140109;000000;0.7700000;0.7800000;0.7500000;0.7700000;321700
20140110;000000;0.7740000;0.8270000;0.7650000;0.7840000;820000
20140113;000000;0.7990000;0.8040000;0.7190000;0.7590000;1230900
20140114;000000;0.7550000;0.7550000;0.7350000;0.7400000;148400
20140115;000000;0.7480000;0.7490000;0.7030000;0.7250000;829300
20140116;000000;0.7290000;0.7340000;0.7050000;0.7250000;217500
20140117;000000;0.7000000;0.7360000;0.7000000;0.7270000;243100
20140120;000000;0.7380000;0.7380000;0.7030000;0.7150000;234700
20140121;000000;0.7240000;0.7250000;0.6600000;0.6800000;1095300
20140122;000000;0.6790000;0.7150000;0.6650000;0.7150000;817500
20140123;000000;0.7100000;0.8220000;0.6760000;0.7440000;2859700
20140124;000000;0.4740000;0.7620000;0.4740000;0.7250000;343000
20140127;000000;0.7240000;0.7300000;0.6900000;0.7200000;574500
20140128;000000;0.7500000;0.7500000;0.6840000;0.6990000;353000
20140129;000000;0.7090000;0.7090000;0.6850000;0.6900000;105300
20140130;000000;0.7230000;0.7230000;0.6700000;0.6850000;124300
20140131;000000;0.6920000;0.6920000;0.6600000;0.6670000;164900
20140203;000000;0.6750000;0.6750000;0.6450000;0.6510000;154900
20140204;000000;0.6570000;0.6580000;0.6240000;0.6560000;242300
20140205;000000;0.6620000;0.7220000;0.6500000;0.6720000;780800
20140206;000000;0.6800000;0.6820000;0.6700000;0.6810000;44900
20140207;000000;0.6730000;0.6910000;0.6700000;0.6910000;116500
20140210;000000;0.6890000;0.7400000;0.6770000;0.6980000;375500
20140211;000000;0.6990000;0.7100000;0.6690000;0.7070000;239100
20140212;000000;0.6900000;0.8210000;0.6800000;0.8200000;2900000
20140213;000000;0.8230000;1.1470000;0.8200000;1.0070000;8675800
20140214;000000;1.0180000;1.1500000;0.9410000;0.9730000;1860800
20140217;000000;0.9890000;1.0030000;0.8810000;0.9530000;1672300
20140218;000000;1.0000000;1.0300000;0.9110000;0.9580000;2102000
20140219;000000;0.9010000;0.9600000;0.8850000;0.9000000;488300
20140220;000000;0.9000000;0.9460000;0.8520000;0.8670000;509700
20140221;000000;0.8750000;0.8940000;0.8400000;0.8570000;182200
20140224;000000;0.8420000;0.8540000;0.8150000;0.8460000;118400
20140225;000000;0.9600000;0.9600000;0.8020000;0.8250000;576000
20140226;000000;0.8240000;0.8750000;0.7810000;0.7810000;431600
20140227;000000;0.7750000;0.7980000;0.7610000;0.7770000;180800
20140228;000000;0.8160000;0.8160000;0.7040000;0.7250000;1176700
20140303;000000;0.6700000;0.6820000;0.5600000;0.5790000;1001800
20140304;000000;0.6070000;0.6600000;0.5690000;0.6600000;430000
20140305;000000;0.6610000;0.6790000;0.6500000;0.6720000;383400
20140306;000000;0.6770000;0.7000000;0.6400000;0.6630000;1017400
20140307;000000;0.6660000;0.6780000;0.6400000;0.6640000;130100
20140311;000000;0.6400000;0.6980000;0.6400000;0.6550000;527300
20140312;000000;0.6550000;0.6700000;0.6450000;0.6650000;195400
20140313;000000;0.6700000;0.6700000;0.6410000;0.6590000;174300
20140314;000000;0.6030000;0.6300000;0.5710000;0.6000000;144700
20140317;000000;0.6400000;0.6400000;0.6090000;0.6320000;34000
20140318;000000;0.6420000;0.6500000;0.6220000;0.6500000;357800
20140319;000000;0.6600000;0.6710000;0.6310000;0.6460000;458100
20140320;000000;0.6350000;0.6500000;0.6300000;0.6400000;183800
