<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.0678000;0.0682500;0.0671500;0.0672000;3300000
20140108;000000;0.0680000;0.0688500;0.0669000;0.0687700;6320000
20140109;000000;0.0693800;0.0693800;0.0686000;0.0693700;1400000
20140110;000000;0.0682500;0.0697700;0.0682500;0.0697700;2610000
20140113;000000;0.0694700;0.0708900;0.0690200;0.0700000;19560000
20140114;000000;0.0692400;0.0705700;0.0692400;0.0702200;1510000
20140115;000000;0.0707500;0.0707500;0.0702000;0.0704500;2430000
20140116;000000;0.0701100;0.0701200;0.0670100;0.0686900;17740000
20140117;000000;0.0683700;0.0692500;0.0679900;0.0692400;38470000
20140120;000000;0.0695900;0.0695900;0.0679600;0.0686000;9580000
20140121;000000;0.0686000;0.0691700;0.0685500;0.0690000;4940000
20140122;000000;0.0689900;0.0697900;0.0689900;0.0697900;22520000
20140123;000000;0.0697500;0.0700000;0.0691200;0.0699500;47550000
20140124;000000;0.0693100;0.0698000;0.0687000;0.0687000;11930000
20140127;000000;0.0680000;0.0692300;0.0680000;0.0689300;7420000
20140128;000000;0.0682800;0.0690000;0.0682000;0.0685000;9220000
20140129;000000;0.0692000;0.0706900;0.0692000;0.0704000;130140000
20140130;000000;0.0705200;0.0705700;0.0691400;0.0700000;78420000
20140131;000000;0.0700000;0.0705000;0.0700000;0.0700000;109680000
20140203;000000;0.0704000;0.0704000;0.0694000;0.0694000;3050000
20140204;000000;0.0688800;0.0713500;0.0688000;0.0713500;65410000
20140205;000000;0.0695100;0.0720000;0.0695100;0.0720000;89690000
20140206;000000;0.0719900;0.0742800;0.0719900;0.0722600;11140000
20140207;000000;0.0733800;0.0750000;0.0710000;0.0743700;521570000
20140210;000000;0.0739400;0.0744000;0.0731400;0.0740000;2440000
20140211;000000;0.0739800;0.0758500;0.0733200;0.0758500;6450000
20140212;000000;0.0750100;0.0759900;0.0730000;0.0730000;426470000
20140213;000000;0.0730100;0.0746200;0.0730000;0.0741400;401040000
20140214;000000;0.0736300;0.0749600;0.0730300;0.0730500;3030000
20140217;000000;0.0740400;0.0741400;0.0730000;0.0731000;14900000
20140218;000000;0.0737100;0.0737100;0.0710000;0.0732800;372180000
20140219;000000;0.0722400;0.0733300;0.0720100;0.0720200;4320000
20140220;000000;0.0715200;0.0727300;0.0715000;0.0721000;13970000
20140221;000000;0.0724800;0.0728700;0.0716300;0.0728400;4550000
20140224;000000;0.0720000;0.0747900;0.0715900;0.0747900;27230000
20140225;000000;0.0738100;0.0749300;0.0738000;0.0743000;7740000
20140226;000000;0.0740100;0.0747000;0.0738000;0.0738200;14870000
20140227;000000;0.0739000;0.0739600;0.0731000;0.0731000;23010000
20140228;000000;0.0725600;0.0729700;0.0723600;0.0725500;39070000
20140303;000000;0.0688500;0.0699900;0.0600000;0.0657900;148300000
20140304;000000;0.0662900;0.0681900;0.0660300;0.0681900;30750000
20140305;000000;0.0696600;0.0700000;0.0680000;0.0700000;18970000
20140306;000000;0.0704900;0.0722000;0.0699200;0.0700300;90230000
20140307;000000;0.0698300;0.0723000;0.0697200;0.0722500;11400000
20140311;000000;0.0711100;0.0721800;0.0683000;0.0700000;22860000
20140312;000000;0.0691200;0.0692400;0.0682500;0.0682500;4690000
20140313;000000;0.0703400;0.0703400;0.0677400;0.0677400;52860000
20140314;000000;0.0675700;0.0678300;0.0650000;0.0660100;87460000
20140317;000000;0.0696900;0.0696900;0.0672000;0.0672100;15010000
20140318;000000;0.0679000;0.0719800;0.0679000;0.0688600;5050000
20140319;000000;0.0698600;0.0698700;0.0680000;0.0688500;23720000
20140320;000000;0.0669900;0.0698000;0.0669900;0.0680600;20450000
20140321;000000;0.0683200;0.0685000;0.0678000;0.0685000;5650000
20140324;000000;0.0710000;0.0710000;0.0699900;0.0700200;3240000
20140325;000000;0.0705800;0.0711900;0.0705800;0.0711900;1400000
20140326;000000;0.0719000;0.0719000;0.0699900;0.0700000;17340000
20140327;000000;0.0701000;0.0701000;0.0695000;0.0700000;1490000
20140328;000000;0.0700000;0.0702400;0.0685100;0.0702400;1240000
20140331;000000;0.0711400;0.0713000;0.0700000;0.0709400;1030000
20140401;000000;0.0709800;0.0714000;0.0699500;0.0709300;4880000
20140402;000000;0.0705200;0.0707900;0.0701100;0.0707900;24940000
20140403;000000;0.0710000;0.0710000;0.0695000;0.0707900;9680000
20140404;000000;0.0705600;0.0730000;0.0700000;0.0704600;10130000
20140407;000000;0.0705100;0.0713900;0.0701000;0.0701100;9400000
20140408;000000;0.0701300;0.0714000;0.0700000;0.0703000;3130000
20140409;000000;0.0713500;0.0713500;0.0713500;0.0713500;10000
20140410;000000;0.0713600;0.0757700;0.0713400;0.0746300;473920000
20140411;000000;0.0759200;0.0759500;0.0731700;0.0744500;10830000
20140414;000000;0.0743900;0.0768600;0.0743900;0.0755000;8010000
20140415;000000;0.0768400;0.0775000;0.0731000;0.0736900;5310000
20140416;000000;0.0749900;0.0749900;0.0713000;0.0727200;2770000
20140417;000000;0.0734300;0.0748600;0.0720000;0.0720000;5120000
20140418;000000;0.0753900;0.0753900;0.0728000;0.0728000;5530000
20140421;000000;0.0731500;0.0731500;0.0728500;0.0728500;510000
20140422;000000;0.0738000;0.0738000;0.0738000;0.0738000;40000
20140423;000000;0.0730000;0.0730000;0.0720000;0.0728900;2610000
20140424;000000;0.0724500;0.0749000;0.0720700;0.0720700;7420000
20140425;000000;0.0723100;0.0723100;0.0699700;0.0700000;21540000
20140428;000000;0.0700100;0.0711400;0.0700000;0.0711400;85580000
20140429;000000;0.0724000;0.0740000;0.0724000;0.0740000;8480000
20140430;000000;0.0728200;0.0775000;0.0722900;0.0740000;14400000
20140502;000000;0.0725800;0.0725800;0.0725700;0.0725700;1780000
20140505;000000;0.0739900;0.0794900;0.0735000;0.0790000;23320000
20140506;000000;0.0782300;0.0790000;0.0782000;0.0782000;2210000
20140507;000000;0.0775100;0.0795000;0.0775000;0.0790000;3390000
20140508;000000;0.0771100;0.0785000;0.0771100;0.0780000;2990000
20140512;000000;0.0781000;0.0828300;0.0781000;0.0821100;5530000
20140513;000000;0.0815400;0.0827000;0.0815100;0.0827000;260000
20140514;000000;0.0830500;0.0835000;0.0820100;0.0825100;3900000
20140515;000000;0.0829900;0.0840000;0.0823000;0.0836900;6190000
20140516;000000;0.0829800;0.0829800;0.0829800;0.0829800;10000
