<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.0639200;0.0664400;0.0627900;0.0656900;1310000
20140108;000000;0.0650000;0.0650000;0.0570000;0.0630000;9940000
20140109;000000;0.0620300;0.0650000;0.0620200;0.0631100;4020000
20140110;000000;0.0635900;0.0649300;0.0635900;0.0636000;440000
20140113;000000;0.0636500;0.0650000;0.0634600;0.0646700;510000
20140114;000000;0.0639200;0.0640200;0.0637000;0.0640000;50520000
20140115;000000;0.0646600;0.0671500;0.0632000;0.0641000;490000
20140116;000000;0.0645500;0.0649200;0.0631500;0.0644500;13480000
20140117;000000;0.0645500;0.0649500;0.0630000;0.0643700;140000
20140120;000000;0.0649800;0.0679300;0.0649800;0.0653100;100000
20140121;000000;0.0645100;0.0669900;0.0620100;0.0643700;2500000
20140122;000000;0.0644400;0.0649900;0.0619500;0.0638000;13510000
20140123;000000;0.0630900;0.0649400;0.0627600;0.0639900;2140000
20140124;000000;0.0644300;0.0644400;0.0621500;0.0631400;190000
20140127;000000;0.0633300;0.0633300;0.0603000;0.0633300;240000
20140128;000000;0.0614800;0.0630000;0.0614800;0.0630000;13910000
20140129;000000;0.0666800;0.0666800;0.0622000;0.0622000;48430000
20140130;000000;0.0615000;0.0616000;0.0590000;0.0598000;23890000
20140131;000000;0.0599700;0.0599700;0.0586300;0.0587700;3310000
20140203;000000;0.0589900;0.0595500;0.0582400;0.0595500;1490000
20140204;000000;0.0582300;0.0589100;0.0567300;0.0577700;4760000
20140205;000000;0.0567100;0.0596900;0.0567100;0.0590000;240000
20140206;000000;0.0577600;0.0612100;0.0577600;0.0602500;1290000
20140207;000000;0.0615000;0.0615000;0.0584100;0.0593700;20280000
20140210;000000;0.0614700;0.0614700;0.0614700;0.0614700;10000
20140211;000000;0.0600200;0.0611000;0.0594200;0.0611000;1590000
20140212;000000;0.0616800;0.0619900;0.0605900;0.0605900;170000
20140213;000000;0.0600100;0.0603900;0.0585200;0.0585600;7850000
20140214;000000;0.0580000;0.0609000;0.0566600;0.0589800;3250000
20140217;000000;0.0599300;0.0599300;0.0570600;0.0597700;1240000
20140218;000000;0.0597600;0.0597600;0.0586600;0.0594300;1000000
20140219;000000;0.0579000;0.0588900;0.0574100;0.0574100;240000
20140221;000000;0.0560700;0.0597600;0.0560700;0.0570000;1840000
20140224;000000;0.0571100;0.0589600;0.0571100;0.0589600;20000
20140225;000000;0.0568300;0.0599600;0.0511100;0.0575300;1530000
20140226;000000;0.0567700;0.0577000;0.0556400;0.0556400;870000
20140227;000000;0.0550500;0.0570600;0.0515100;0.0558000;1870000
20140228;000000;0.0540400;0.0567800;0.0515200;0.0535000;4940000
20140303;000000;0.0510000;0.0520000;0.0431800;0.0458600;3800000
20140304;000000;0.0522100;0.0592100;0.0432000;0.0469000;1850000
20140305;000000;0.0469800;0.0519900;0.0457500;0.0519900;5310000
20140306;000000;0.0477400;0.0519800;0.0477400;0.0519800;240000
20140307;000000;0.0519800;0.0519800;0.0470000;0.0492800;32080000
20140311;000000;0.0450100;0.0474200;0.0446600;0.0460000;4990000
20140312;000000;0.0445000;0.0445000;0.0438800;0.0440100;4790000
20140313;000000;0.0440100;0.0444400;0.0400000;0.0435000;60140000
20140314;000000;0.0401800;0.0448000;0.0390400;0.0400100;1570000
20140317;000000;0.0406900;0.0448900;0.0406900;0.0423400;17240000
20140318;000000;0.0433300;0.0465900;0.0429900;0.0455500;13220000
20140319;000000;0.0454600;0.0454600;0.0410000;0.0410000;9250000
20140320;000000;0.0411200;0.0440000;0.0401100;0.0430000;5820000
20140321;000000;0.0446800;0.0446800;0.0440000;0.0440000;1560000
20140324;000000;0.0448900;0.0454500;0.0404100;0.0454500;30000
20140325;000000;0.0416000;0.0440000;0.0400000;0.0440000;7010000
20140326;000000;0.0438000;0.0440100;0.0438000;0.0440100;470000
20140327;000000;0.0440100;0.0440100;0.0420600;0.0440000;440000
20140328;000000;0.0453000;0.0459200;0.0428500;0.0435000;200000
20140331;000000;0.0440000;0.0449100;0.0434500;0.0449100;7150000
20140401;000000;0.0448900;0.0498500;0.0448900;0.0454000;340000
20140402;000000;0.0415400;0.0465100;0.0400000;0.0464000;15300000
20140403;000000;0.0470800;0.0470800;0.0441200;0.0470000;30000
20140404;000000;0.0435500;0.0464000;0.0430200;0.0440000;6060000
20140407;000000;0.0449900;0.0460000;0.0435900;0.0435900;8220000
20140408;000000;0.0458900;0.0460400;0.0433500;0.0433500;32420000
20140409;000000;0.0450000;0.0450000;0.0430000;0.0444500;1830000
20140410;000000;0.0449000;0.0455000;0.0435300;0.0435300;50000
20140411;000000;0.0455000;0.0469700;0.0455000;0.0455000;210000
20140414;000000;0.0435300;0.0476900;0.0427500;0.0459800;1060000
20140415;000000;0.0437500;0.0460500;0.0437300;0.0437300;4220000
20140416;000000;0.0455100;0.0455100;0.0455100;0.0455100;10000
20140418;000000;0.0450100;0.0450100;0.0437200;0.0446800;540000
20140421;000000;0.0445400;0.0450000;0.0445400;0.0445500;5570000
20140422;000000;0.0445500;0.0445500;0.0445400;0.0445400;3150000
20140423;000000;0.0437300;0.0445000;0.0437300;0.0444700;670000
20140424;000000;0.0437500;0.0437500;0.0430000;0.0430000;950000
20140425;000000;0.0426000;0.0439400;0.0420000;0.0422500;100000
20140428;000000;0.0437900;0.0438000;0.0420000;0.0420000;91170000
20140429;000000;0.0421300;0.0439700;0.0392400;0.0406600;26350000
20140430;000000;0.0404900;0.0419800;0.0403100;0.0413800;120000
20140502;000000;0.0428700;0.0428700;0.0391700;0.0409300;600000
20140505;000000;0.0424600;0.0424600;0.0390000;0.0409800;1580000
20140506;000000;0.0426000;0.0426000;0.0400700;0.0414500;1500000
20140507;000000;0.0400400;0.0428600;0.0400400;0.0428600;1470000
20140508;000000;0.0401700;0.0480000;0.0401400;0.0435800;3580000
20140512;000000;0.0438500;0.0438500;0.0430000;0.0430500;690000
20140513;000000;0.0435000;0.0435000;0.0435000;0.0435000;10000
20140514;000000;0.0455400;0.0460000;0.0441300;0.0444300;790000
20140516;000000;0.0435000;0.0443000;0.0430000;0.0443000;5510000
20140519;000000;0.0459900;0.0459900;0.0459900;0.0459900;120000
20140520;000000;0.0444700;0.0490000;0.0444700;0.0480000;6330000
20140521;000000;0.0480000;0.0485000;0.0472600;0.0485000;1680000
20140522;000000;0.0480000;0.0626800;0.0466800;0.0559900;15370000
20140523;000000;0.0567000;0.0584700;0.0550000;0.0550000;21980000
20140526;000000;0.0559600;0.0619800;0.0551000;0.0582000;6830000
20140527;000000;0.0555600;0.0607000;0.0528100;0.0559900;11370000
20140528;000000;0.0555000;0.0599700;0.0555000;0.0595000;1330000
20140529;000000;0.0555200;0.0590000;0.0547200;0.0579900;7490000
20140530;000000;0.0545000;0.0591900;0.0541100;0.0555000;5820000
20140602;000000;0.0569600;0.0600000;0.0569600;0.0600000;2050000
20140603;000000;0.0569400;0.0569400;0.0569400;0.0569400;10000
20140604;000000;0.0600000;0.0600100;0.0598800;0.0598800;4050000
20140605;000000;0.0589800;0.0590000;0.0580000;0.0580000;7830000
20140606;000000;0.0583500;0.0607800;0.0577600;0.0594100;1260000
20140609;000000;0.0565200;0.0580600;0.0565200;0.0580000;540000
20140610;000000;0.0580100;0.0584000;0.0565000;0.0570000;5910000
20140611;000000;0.0565000;0.0570100;0.0565000;0.0570100;320000
20140616;000000;0.0567100;0.0570100;0.0565100;0.0568500;11670000
20140617;000000;0.0565100;0.0565500;0.0550200;0.0560000;1660000
20140619;000000;0.0589500;0.0592500;0.0580000;0.0580000;3150000
20140620;000000;0.0580000;0.0580000;0.0566000;0.0578800;200000
20140623;000000;0.0570200;0.0570300;0.0565000;0.0565000;820000
20140624;000000;0.0561900;0.0585000;0.0490300;0.0566000;4220000
20140625;000000;0.0578000;0.0578000;0.0559800;0.0570000;240000
20140627;000000;0.0576200;0.0600900;0.0575200;0.0594000;3320000
20140630;000000;0.0556100;0.0563300;0.0556100;0.0563300;180000
20140701;000000;0.0579700;0.0579700;0.0563600;0.0569800;2870000
20140702;000000;0.0558600;0.0568500;0.0555400;0.0568500;1630000
20140703;000000;0.0566500;0.0567000;0.0555500;0.0567000;1670000
20140704;000000;0.0574900;0.0607900;0.0567000;0.0570200;5410000
20140707;000000;0.0599600;0.0599600;0.0573100;0.0588600;240000
20140708;000000;0.0594500;0.0594500;0.0594500;0.0594500;30000
20140709;000000;0.0589500;0.0610400;0.0584900;0.0606000;14290000
20140710;000000;0.0590700;0.0590700;0.0571700;0.0581900;750000
20140711;000000;0.0584900;0.0590000;0.0575000;0.0580300;5610000
20140714;000000;0.0571900;0.0592500;0.0570000;0.0570000;2800000
20140715;000000;0.0589000;0.0592700;0.0571000;0.0585300;133980000
20140716;000000;0.0587400;0.0609800;0.0587400;0.0596200;4020000
20140717;000000;0.0572300;0.0590000;0.0572300;0.0590000;3670000
20140718;000000;0.0587400;0.0590500;0.0564600;0.0590500;133450000
20140721;000000;0.0583200;0.0583200;0.0583200;0.0583200;70000
20140722;000000;0.0564800;0.0577400;0.0564800;0.0577400;20000
20140723;000000;0.0588500;0.0588500;0.0588500;0.0588500;30000
20140724;000000;0.0570500;0.0602700;0.0570200;0.0602700;340000
20140725;000000;0.0578600;0.0594600;0.0563600;0.0594600;180000
20140728;000000;0.0581900;0.0589800;0.0534000;0.0565000;2650000
20140729;000000;0.0570100;0.0580000;0.0555800;0.0580000;4200000
20140730;000000;0.0525400;0.0589000;0.0525400;0.0589000;980000
20140731;000000;0.0579400;0.0584400;0.0579400;0.0584400;2750000
20140801;000000;0.0580000;0.0580000;0.0566500;0.0570000;2830000
20140804;000000;0.0571400;0.0571400;0.0571400;0.0571400;10000
20140805;000000;0.0570900;0.0590700;0.0544500;0.0565100;4080000
20140806;000000;0.0565000;0.0568900;0.0565000;0.0565700;1450000
20140807;000000;0.0569300;0.0573400;0.0565600;0.0570800;950000
20140808;000000;0.0572700;0.0588900;0.0563000;0.0588900;230000
20140811;000000;0.0568300;0.0603900;0.0567100;0.0603600;2420000
20140812;000000;0.0599900;0.0608900;0.0599900;0.0600100;6170000
20140813;000000;0.0600000;0.0639900;0.0600000;0.0610700;1340000
