<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.0226900;0.0229600;0.0222300;0.0229000;2430000
20140108;000000;0.0227100;0.0227600;0.0222100;0.0227200;160000
20140109;000000;0.0227300;0.0231500;0.0220100;0.0231400;2500000
20140110;000000;0.0226800;0.0231700;0.0224700;0.0228000;10810000
20140113;000000;0.0227300;0.0231600;0.0225000;0.0231500;15250000
20140114;000000;0.0228000;0.0231000;0.0221300;0.0229800;10310000
20140115;000000;0.0230900;0.0232000;0.0227400;0.0230000;2340000
20140116;000000;0.0231000;0.0231000;0.0228500;0.0230500;11170000
20140117;000000;0.0230000;0.0234800;0.0228500;0.0234800;40090000
20140120;000000;0.0234700;0.0237000;0.0226300;0.0230600;27530000
20140121;000000;0.0230500;0.0231900;0.0227600;0.0228000;10940000
20140122;000000;0.0228000;0.0238700;0.0227200;0.0238700;128950000
20140123;000000;0.0232200;0.0235000;0.0229800;0.0232000;261110000
20140124;000000;0.0228600;0.0234000;0.0228000;0.0228600;32260000
20140127;000000;0.0227000;0.0228000;0.0225900;0.0226000;26800000
20140128;000000;0.0227900;0.0227900;0.0224000;0.0226800;7720000
20140129;000000;0.0226800;0.0231000;0.0226000;0.0226100;67900000
20140130;000000;0.0230500;0.0231000;0.0224000;0.0224900;28480000
20140131;000000;0.0225000;0.0227900;0.0220500;0.0223400;20910000
20140203;000000;0.0224400;0.0224600;0.0215000;0.0217700;15980000
20140204;000000;0.0217000;0.0218000;0.0210000;0.0212000;15390000
20140205;000000;0.0216900;0.0217800;0.0210300;0.0215900;19850000
20140206;000000;0.0217000;0.0224200;0.0214000;0.0217800;35090000
20140207;000000;0.0216700;0.0220000;0.0215000;0.0218500;25390000
20140210;000000;0.0217700;0.0222400;0.0217300;0.0219700;11770000
20140211;000000;0.0219100;0.0222000;0.0217200;0.0219800;18330000
20140212;000000;0.0218800;0.0223500;0.0218000;0.0219000;14750000
20140213;000000;0.0219900;0.0220000;0.0211300;0.0216000;17320000
20140214;000000;0.0215600;0.0217700;0.0214900;0.0215500;37630000
20140217;000000;0.0216000;0.0217400;0.0214500;0.0215000;38740000
20140218;000000;0.0218300;0.0218300;0.0213000;0.0215000;16510000
20140219;000000;0.0214100;0.0215600;0.0212300;0.0214700;33890000
20140220;000000;0.0214400;0.0215000;0.0211300;0.0211900;26110000
20140221;000000;0.0214500;0.0214500;0.0208300;0.0209000;44480000
20140224;000000;0.0206500;0.0209400;0.0193300;0.0208000;32710000
20140225;000000;0.0209700;0.0210200;0.0205100;0.0209000;60680000
20140226;000000;0.0206800;0.0208700;0.0205000;0.0205000;50620000
20140227;000000;0.0205200;0.0205200;0.0197000;0.0200000;63390000
