<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.8746000;0.8775000;0.8651000;0.8693000;1562000
20140108;000000;0.8703000;0.8770000;0.8650000;0.8756000;4360000
20140109;000000;0.8770000;0.8798000;0.8702000;0.8720000;6013000
20140110;000000;0.8703000;0.8739000;0.8606000;0.8695000;11627000
20140113;000000;0.8720000;0.8735000;0.8635000;0.8733000;5170000
20140114;000000;0.8660000;0.8701000;0.8640000;0.8673000;5878000
20140115;000000;0.8675000;0.8987000;0.8576000;0.8895000;26115000
20140116;000000;0.8895000;0.8903000;0.8688000;0.8758000;12607000
20140117;000000;0.8779000;0.8890000;0.8737000;0.8820000;11822000
20140120;000000;0.8790000;0.8849000;0.8700000;0.8779000;8516000
20140121;000000;0.8800000;0.8834000;0.8701000;0.8738000;9819000
20140122;000000;0.8760000;0.8800000;0.8660000;0.8787000;24409000
20140123;000000;0.8836000;0.8944000;0.8759000;0.8857000;44559000
20140124;000000;0.8887000;0.8887000;0.8681000;0.8681000;20714000
20140127;000000;0.8651000;0.8712000;0.8556000;0.8581000;6976000
20140128;000000;0.8569000;0.8600000;0.8224000;0.8330000;48860000
20140129;000000;0.8369000;0.8517000;0.8351000;0.8428000;13893000
20140130;000000;0.8455000;0.8455000;0.8351000;0.8406000;5261000
20140131;000000;0.8371000;0.8463000;0.8215000;0.8216000;5582000
20140203;000000;0.8286000;0.8372000;0.8190000;0.8247000;13698000
20140204;000000;0.8190000;0.8340000;0.8080000;0.8320000;10695000
20140205;000000;0.8292000;0.8465000;0.8280000;0.8419000;15116000
20140206;000000;0.8420000;0.8719000;0.8420000;0.8662000;18627000
20140207;000000;0.8662000;0.8735000;0.8613000;0.8725000;13410000
20140210;000000;0.8733000;0.8800000;0.8600000;0.8709000;5379000
20140211;000000;0.8727000;0.8735000;0.8653000;0.8713000;6288000
20140212;000000;0.8733000;0.8789000;0.8692000;0.8775000;11865000
20140213;000000;0.8778000;0.8788000;0.8700000;0.8710000;18161000
20140214;000000;0.8710000;0.8778000;0.8628000;0.8736000;4778000
20140217;000000;0.8780000;0.8875000;0.8749000;0.8835000;14711000
20140218;000000;0.8850000;0.8883000;0.8716000;0.8800000;16068000
20140219;000000;0.8724000;0.8789000;0.8600000;0.8621000;8786000
20140220;000000;0.8580000;0.8690000;0.8524000;0.8575000;3143000
20140221;000000;0.8585000;0.8650000;0.8576000;0.8608000;1360000
20140224;000000;0.8625000;0.8633000;0.8512000;0.8617000;3496000
20140225;000000;0.8660000;0.8697000;0.8585000;0.8618000;3582000
20140226;000000;0.8649000;0.8652000;0.8500000;0.8525000;7470000
20140227;000000;0.8500000;0.8556000;0.8280000;0.8303000;8319000
20140228;000000;0.8328000;0.8339000;0.8200000;0.8309000;9700000
20140303;000000;0.7950000;0.7999000;0.6900000;0.7078000;49390000
20140304;000000;0.7078000;0.7773000;0.7026000;0.7717000;31476000
20140305;000000;0.7717000;0.7773000;0.7473000;0.7758000;9077000
20140306;000000;0.7701000;0.7949000;0.7420000;0.7600000;15936000
20140307;000000;0.7536000;0.7619000;0.7373000;0.7543000;6817000
20140311;000000;0.7500000;0.7643000;0.7100000;0.7392000;12129000
20140312;000000;0.7300000;0.7329000;0.7210000;0.7249000;10509000
20140313;000000;0.7301000;0.7328000;0.6968000;0.7000000;15834000
20140314;000000;0.6961000;0.6961000;0.6398000;0.6504000;65260000
20140317;000000;0.6519000;0.6727000;0.6519000;0.6699000;17709000
20140318;000000;0.6744000;0.7256000;0.6744000;0.7225000;19385000
20140319;000000;0.7225000;0.7445000;0.7112000;0.7330000;13944000
20140320;000000;0.7240000;0.7697000;0.7109000;0.7620000;15631000
20140321;000000;0.7499000;0.7700000;0.7322000;0.7518000;13984000
20140324;000000;0.7592000;0.7881000;0.7402000;0.7535000;37455000
20140325;000000;0.7564000;0.7800000;0.7450000;0.7700000;26686000
20140326;000000;0.7797000;0.7834000;0.7712000;0.7735000;23864000
20140327;000000;0.7743000;0.7743000;0.7630000;0.7640000;13621000
20140328;000000;0.7697000;0.7738000;0.7610000;0.7720000;9285000
20140331;000000;0.7688000;0.7800000;0.7619000;0.7799000;12380000
20140401;000000;0.7800000;0.7800000;0.7693000;0.7740000;9376000
20140402;000000;0.7697000;0.7750000;0.7642000;0.7701000;12014000
20140403;000000;0.7735000;0.7738000;0.7678000;0.7709000;5510000
20140404;000000;0.7710000;0.7762000;0.7644000;0.7748000;12878000
20140407;000000;0.7683000;0.7736000;0.7575000;0.7617000;10944000
20140408;000000;0.7617000;0.7680000;0.7552000;0.7633000;7450000
20140409;000000;0.7650000;0.7690000;0.7570000;0.7610000;9932000
20140410;000000;0.7650000;0.7830000;0.7625000;0.7830000;13875000
20140411;000000;0.7740000;0.7820000;0.7702000;0.7756000;24380000
20140414;000000;0.7720000;0.7727000;0.7661000;0.7690000;3821000
20140415;000000;0.7750000;0.7750000;0.7480000;0.7513000;25542000
20140416;000000;0.7532000;0.7546000;0.7237000;0.7426000;36358000
20140417;000000;0.7466000;0.7480000;0.7323000;0.7450000;5127000
20140418;000000;0.7537000;0.7588000;0.7492000;0.7557000;11390000
20140421;000000;0.7517000;0.7539000;0.7478000;0.7518000;1512000
20140422;000000;0.7493000;0.7534000;0.7466000;0.7505000;7110000
20140423;000000;0.7544000;0.7544000;0.7480000;0.7499000;21443000
20140424;000000;0.7486000;0.7550000;0.7202000;0.7449000;28555000
20140425;000000;0.7356000;0.7437000;0.7107000;0.7107000;13837000
20140428;000000;0.7112000;0.7252000;0.7009000;0.7240000;21523000
20140429;000000;0.7270000;0.7304000;0.7220000;0.7270000;10839000
20140430;000000;0.7310000;0.7326000;0.7163000;0.7265000;18918000
20140502;000000;0.7171000;0.7378000;0.7166000;0.7355000;1276000
