<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;1.3521000;1.4196000;1.3130000;1.3930000;10273000
20140108;000000;1.4088000;1.4216000;1.3521000;1.3999000;4362000
20140109;000000;1.4200000;1.4600000;1.3704000;1.3940000;2921000
20140110;000000;1.3940000;1.4550000;1.3765000;1.3800000;2779523000
20140113;000000;1.3557000;1.3720000;1.3420000;1.3539000;2782000
20140114;000000;1.3423000;1.3505000;1.2931000;1.2980000;3548000
20140115;000000;1.3120000;1.3196000;1.2968000;1.3022000;2320000
20140116;000000;1.3180000;1.3210000;1.0166000;1.2497000;12749000
20140117;000000;1.2351000;1.2800000;1.2062000;1.2800000;9544000
20140120;000000;1.2810000;1.3010000;1.2803000;1.2900000;320000
20140121;000000;1.3000000;1.3280000;1.2902000;1.3200000;7306000
20140122;000000;1.3089000;1.3240000;1.3030000;1.3220000;2609000
20140123;000000;1.3246000;1.3380000;1.3193000;1.3300000;15503000
20140124;000000;1.3190000;1.3301000;1.2942000;1.3000000;11651000
20140127;000000;1.3047000;1.3247000;1.3047000;1.3228000;436000
20140128;000000;1.3120000;1.3300000;1.3022000;1.3200000;1294000
20140129;000000;1.3071000;1.3845000;1.3051000;1.3051000;3287000
20140130;000000;1.3228000;1.3515000;1.3112000;1.3222000;999000
20140131;000000;1.3170000;1.3670000;1.2900000;1.3130000;2952000
20140203;000000;1.3183000;1.3290000;1.3002000;1.3050000;1146000
20140204;000000;1.3041000;1.3051000;1.2785000;1.3051000;400000
20140205;000000;1.2850000;1.3289000;1.2809000;1.3289000;813000
20140206;000000;1.3138000;1.3192000;1.2980000;1.3189000;591000
20140207;000000;1.3226000;1.3229000;1.3000000;1.3177000;1801000
20140210;000000;1.3071000;1.3169000;1.3014000;1.3155000;1069000
20140211;000000;1.3041000;1.3180000;1.3020000;1.3180000;176000
20140212;000000;1.3198000;1.3460000;1.3100000;1.3450000;3679000
20140213;000000;1.3260000;1.3471000;1.3240000;1.3240000;1335000
20140214;000000;1.3338000;1.3500000;1.3262000;1.3400000;2512000
20140217;000000;1.3509000;1.3598000;1.3280000;1.3300000;1340000
20140218;000000;1.3350000;1.3510000;1.3259000;1.3330000;2033000
20140219;000000;1.3436000;1.3709000;1.3300000;1.3300000;455000
20140220;000000;1.3489000;1.3489000;1.3160000;1.3200000;1771000
20140221;000000;1.3295000;1.3295000;1.3200000;1.3259000;115000
20140224;000000;1.3277000;1.3285000;1.3183000;1.3279000;8000
20140225;000000;1.3298000;1.3378000;1.3210000;1.3300000;4566000
