<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.1749000;0.2446800;0.1400000;0.2297900;90000
20140108;000000;0.2300000;0.2798800;0.2300000;0.2798800;20000
20140113;000000;0.1588900;0.2498800;0.1555100;0.1699000;470000
20140115;000000;0.1600000;0.1600000;0.1600000;0.1600000;10000
20140116;000000;0.1555500;0.1555500;0.1539500;0.1539500;40000
20140117;000000;0.1500100;0.1500100;0.1500100;0.1500100;10000
20140121;000000;0.1655500;0.1655500;0.1655500;0.1655500;10000
20140123;000000;0.1500100;0.1500100;0.1500000;0.1500000;40000
20140128;000000;0.1180100;0.1180100;0.1180100;0.1180100;10000
20140130;000000;0.1500000;0.1500000;0.1151000;0.1151000;130000
20140131;000000;0.1500100;0.1500100;0.1500100;0.1500100;10000
20140207;000000;0.1600000;0.1600000;0.1600000;0.1600000;10000
20140210;000000;0.1600100;0.1600100;0.1600100;0.1600100;10000
20140211;000000;0.1621100;0.1621100;0.1611100;0.1611100;20000
20140217;000000;0.1650000;0.1700000;0.1600000;0.1600000;130000
20140218;000000;0.1699000;0.1699000;0.1600000;0.1600000;120000
20140221;000000;0.1787000;0.1787000;0.1787000;0.1787000;10000
20140227;000000;0.1666600;0.1666600;0.1644000;0.1644000;30000
20140304;000000;0.1357900;0.1357900;0.1357900;0.1357900;10000
20140305;000000;0.1600000;0.1700000;0.1600000;0.1700000;50000
20140307;000000;0.1234500;0.1924400;0.1234500;0.1924400;20000
20140313;000000;0.1555500;0.1555500;0.1555000;0.1555000;20000
20140317;000000;0.1894300;0.1894400;0.1666600;0.1666600;30000
20140321;000000;0.1750000;0.1750000;0.1750000;0.1750000;10000
20140328;000000;0.1732100;0.1732100;0.1732100;0.1732100;20000
20140331;000000;0.1801100;0.2000000;0.1791100;0.2000000;60000
20140402;000000;0.2000000;0.2000000;0.2000000;0.2000000;10000
20140403;000000;0.2000000;0.2000000;0.2000000;0.2000000;10000
20140410;000000;0.2650000;0.2700000;0.2000000;0.2000000;940000
20140522;000000;0.2000600;0.2000600;0.2000600;0.2000600;40000
20140707;000000;0.2450000;0.2509800;0.2450000;0.2509800;30000
20140722;000000;0.2448900;0.2448900;0.2000000;0.2000000;50000
20140723;000000;0.2388900;0.2388900;0.2354900;0.2354900;30000
20140724;000000;0.2000000;0.2000000;0.2000000;0.2000000;10000
20140725;000000;0.2000000;0.2000000;0.2000000;0.2000000;20000
20140728;000000;0.2000000;0.2000000;0.2000000;0.2000000;20000
20140729;000000;0.2000000;0.2000000;0.2000000;0.2000000;10000
20140818;000000;0.2199500;0.2199500;0.2199500;0.2199500;2340000
20140820;000000;0.1989800;0.1989800;0.1781500;0.1781500;350000
20140904;000000;0.1899900;0.1899900;0.1456800;0.1456800;20000
20140905;000000;0.1801500;0.1801500;0.1801500;0.1801500;20000
20140923;000000;0.1850000;0.1850000;0.1850000;0.1850000;10000
20141024;000000;0.1830000;0.1830000;0.1830000;0.1830000;10000
20141031;000000;0.1805000;0.1805000;0.1805000;0.1805000;10000
20141210;000000;0.1700000;0.1700000;0.1700000;0.1700000;20000
20141219;000000;0.1600000;0.1600000;0.1600000;0.1600000;200000
20141223;000000;0.1345000;0.1345000;0.1230000;0.1230000;70000
