<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;85.1700000;85.1700000;85.1700000;85.1700000;10
20140116;000000;94.6900000;94.6900000;94.6900000;94.6900000;10
20140122;000000;94.6900000;94.6900000;94.6900000;94.6900000;10
20140124;000000;96.1800000;104.9800000;96.1800000;104.9800000;40
20140129;000000;95.0000000;96.5000000;90.0000000;94.5000000;50
20140130;000000;94.9500000;94.9500000;94.9500000;94.9500000;5370
20140203;000000;93.0000000;93.0000000;93.0000000;93.0000000;40
20140207;000000;90.0000000;90.0000000;87.0000000;87.0000000;110
20140210;000000;95.9800000;95.9800000;90.0000000;93.9500000;80
20140211;000000;93.9500000;93.9500000;93.9500000;93.9500000;10
20140212;000000;95.6000000;110.0000000;95.6000000;107.1000000;7440
20140213;000000;91.0000000;91.0000000;90.0000000;90.0000000;380
20140214;000000;89.0000000;97.9900000;89.0000000;97.9900000;360
20140217;000000;97.9900000;109.9900000;97.9900000;102.9900000;30
20140218;000000;98.0100000;98.9900000;97.9900000;98.9900000;50
20140219;000000;95.0100000;110.0000000;95.0000000;110.0000000;50
20140225;000000;104.0000000;105.4000000;100.0000000;100.0000000;120
20140227;000000;110.0000000;112.0000000;107.0000000;109.9000000;160
20140228;000000;109.9000000;119.0000000;101.1800000;118.9000000;370
20140303;000000;118.0000000;119.0000000;105.0000000;105.0000000;120
20140304;000000;113.9800000;126.0000000;106.5000000;126.0000000;400
20140305;000000;112.0200000;125.0000000;112.0200000;125.0000000;40
20140306;000000;130.0000000;158.0000000;117.0000000;158.0000000;60
20140307;000000;112.0900000;150.0000000;112.0900000;150.0000000;310
20140311;000000;112.1900000;150.0000000;112.1900000;150.0000000;50
20140313;000000;117.0000000;145.0000000;117.0000000;145.0000000;20
20140319;000000;109.3000000;109.3000000;109.3000000;109.3000000;10
20140401;000000;110.0200000;114.0000000;110.0000000;110.0000000;70
20140402;000000;110.0000000;110.0000000;110.0000000;110.0000000;50
20140407;000000;105.0000000;105.0000000;91.0000000;95.0100000;70
20140408;000000;91.0000000;91.0000000;91.0000000;91.0000000;10
20140410;000000;85.0600000;85.0600000;85.0500000;85.0500000;70
20140411;000000;85.1000000;99.7000000;85.1000000;99.3000000;60
20140416;000000;93.0000000;99.1000000;93.0000000;99.1000000;140
20140417;000000;112.0000000;124.7000000;108.4000000;124.7000000;110
20140418;000000;129.0000000;163.3500000;129.0000000;163.3500000;20
20140421;000000;130.0100000;172.0000000;130.0000000;158.0000000;130
20140422;000000;154.7700000;154.7700000;154.7700000;154.7700000;10
20140424;000000;163.4000000;163.4000000;163.4000000;163.4000000;10
20140428;000000;160.0000000;172.0000000;160.0000000;172.0000000;20
20140429;000000;117.0100000;164.9900000;117.0100000;164.9900000;80
20140430;000000;118.0100000;153.9900000;118.0000000;153.9900000;50
20140519;000000;176.0000000;176.0000000;176.0000000;176.0000000;30
20140528;000000;170.0000000;170.0000000;150.0000000;150.0000000;160
20140604;000000;135.0100000;179.0000000;135.0000000;179.0000000;60
20140619;000000;208.9900000;208.9900000;208.9900000;208.9900000;10
20140701;000000;206.0000000;231.0000000;140.0000000;154.0000000;5920
20140702;000000;152.0000000;175.5500000;148.0000000;175.5000000;140
20140703;000000;199.9700000;199.9700000;140.0000000;169.9900000;9460
20140704;000000;172.9900000;172.9900000;140.0000000;150.0000000;280
20140707;000000;160.0000000;186.2200000;155.0000000;161.5000000;380
20140708;000000;148.0000000;160.6500000;148.0000000;160.6500000;100
20140709;000000;160.8900000;160.9000000;152.0000000;159.9800000;480
20140710;000000;159.9800000;174.9500000;155.0000000;159.7700000;270
20140711;000000;173.7300000;173.7300000;173.7300000;173.7300000;70
20140714;000000;178.0000000;178.0000000;178.0000000;178.0000000;10
20140717;000000;122.0000000;179.9600000;122.0000000;179.9600000;20
20140721;000000;151.5000000;151.5000000;151.5000000;151.5000000;140
20140722;000000;151.9900000;159.7000000;151.9900000;159.7000000;290
20140723;000000;159.5400000;159.5400000;159.5400000;159.5400000;50
20140725;000000;154.5300000;167.7000000;154.5300000;167.7000000;510
20140730;000000;172.2500000;172.3000000;172.2500000;172.3000000;210
20140731;000000;172.3000000;188.0000000;172.3000000;188.0000000;150
20140801;000000;184.9900000;184.9900000;184.9900000;184.9900000;10
20140804;000000;185.9900000;185.9900000;185.9900000;185.9900000;390
20140805;000000;187.0000000;187.0000000;187.0000000;187.0000000;30
20140806;000000;188.0000000;188.0000000;188.0000000;188.0000000;10
20140818;000000;197.0000000;197.0000000;197.0000000;197.0000000;10
20140821;000000;189.0000000;189.0000000;189.0000000;189.0000000;10
20140826;000000;189.0000000;189.0000000;189.0000000;189.0000000;130
20140904;000000;149.0000000;149.0000000;149.0000000;149.0000000;10
20140905;000000;149.8500000;149.9000000;149.8500000;149.9000000;20
20140908;000000;139.1500000;139.8500000;139.1500000;139.1500000;260
20140909;000000;159.0000000;159.0000000;159.0000000;159.0000000;10
20140912;000000;159.0500000;159.0500000;159.0500000;159.0500000;10
20141006;000000;161.0000000;177.0000000;145.0000000;145.0000000;100
20141009;000000;139.0000000;140.0000000;139.0000000;139.5000000;100
20141013;000000;142.5000000;142.5000000;139.5000000;142.5000000;80
20141020;000000;159.5000000;159.5000000;139.0000000;139.0000000;370
20141024;000000;138.0000000;138.0000000;138.0000000;138.0000000;200
20141027;000000;138.0000000;145.0000000;137.0000000;138.0000000;260
20141105;000000;140.0000000;140.0000000;136.0000000;136.5000000;120
20141106;000000;140.0000000;140.0000000;140.0000000;140.0000000;20
20141107;000000;149.0000000;149.0000000;149.0000000;149.0000000;10
20141112;000000;136.0000000;139.0000000;131.0000000;139.0000000;90
20141113;000000;136.0000000;137.5000000;135.0000000;137.5000000;170
20141117;000000;136.0000000;140.0000000;136.0000000;140.0000000;30
20141118;000000;136.0000000;138.0000000;136.0000000;138.0000000;50
20141120;000000;136.0000000;136.0000000;136.0000000;136.0000000;10
20141121;000000;139.0000000;139.0000000;139.0000000;139.0000000;10
20141124;000000;139.0000000;139.0000000;135.0000000;135.0000000;20
20141202;000000;136.0000000;137.0000000;134.0000000;137.0000000;380
20141204;000000;138.0000000;138.0000000;138.0000000;138.0000000;10
20141205;000000;136.0000000;136.0000000;136.0000000;136.0000000;10
20141209;000000;134.5000000;134.5000000;134.5000000;134.5000000;10
20141219;000000;137.5000000;138.0000000;137.5000000;138.0000000;20
