<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;70.1300000;70.1300000;67.6200000;67.7000000;161200
20140108;000000;67.7300000;69.3700000;67.1000000;69.3700000;67220
20140109;000000;68.1800000;69.3200000;67.6100000;68.4400000;89420
20140110;000000;67.9400000;68.9300000;67.1600000;68.6100000;115850
20140113;000000;68.5000000;71.3200000;68.0600000;70.6000000;98170
20140114;000000;69.7000000;72.4500000;67.7000000;72.0500000;122330
20140115;000000;69.5100000;74.7400000;69.2700000;72.5000000;642080
20140116;000000;73.5900000;73.5900000;70.0700000;70.3600000;182900
20140117;000000;70.3000000;71.0000000;69.5500000;69.7000000;83100
20140120;000000;69.6100000;70.0000000;68.6800000;68.8900000;126250
20140121;000000;69.2700000;69.7000000;68.0500000;68.8000000;98470
20140122;000000;69.0000000;69.7300000;67.7400000;67.9100000;86430
20140123;000000;67.9900000;68.5400000;66.8800000;66.8800000;77920
20140124;000000;66.1000000;67.6700000;65.1500000;67.6700000;46270
20140127;000000;67.0000000;67.5000000;65.2500000;65.7000000;96390
20140128;000000;65.7500000;66.4400000;65.1100000;66.2400000;83060
20140129;000000;65.4500000;67.0000000;64.5100000;64.6000000;185420
20140130;000000;65.2800000;65.5800000;63.7700000;64.2400000;251080
20140131;000000;64.5600000;67.0500000;63.0400000;67.0000000;1049300
20140203;000000;66.9900000;66.9900000;64.8000000;65.0000000;331800
20140204;000000;64.8800000;68.9400000;64.3500000;68.5000000;444420
20140205;000000;68.5000000;72.5800000;68.3100000;72.4300000;2531660
20140206;000000;71.8600000;72.9500000;70.6400000;71.5500000;121310
20140207;000000;71.9900000;76.0500000;70.9000000;76.0300000;508420
20140210;000000;75.9900000;76.7900000;74.0900000;76.4900000;951560
20140211;000000;76.4900000;78.4800000;75.2300000;78.3000000;692540
20140212;000000;78.5000000;79.4400000;77.0500000;78.9700000;717800
20140213;000000;78.3600000;79.9600000;77.0700000;79.8000000;586850
20140214;000000;79.8900000;83.3000000;79.0000000;80.5200000;445750
20140217;000000;81.0000000;81.3500000;78.8700000;80.5000000;671250
20140218;000000;80.1600000;81.5100000;80.1100000;80.7000000;133370
20140219;000000;81.2200000;81.5000000;79.4000000;81.5000000;405170
20140220;000000;80.0900000;81.9000000;79.3200000;81.0000000;543220
20140221;000000;80.5700000;81.5000000;80.5000000;81.5000000;345260
20140224;000000;81.4200000;81.5000000;80.5000000;81.3000000;475680
20140225;000000;82.0000000;82.8000000;81.6200000;82.3000000;549630
20140226;000000;82.3000000;82.5000000;81.8300000;81.9500000;484600
20140227;000000;82.0000000;82.8000000;80.4000000;82.8000000;1460900
20140228;000000;81.5100000;82.9500000;79.6000000;82.4000000;404140
20140303;000000;79.7000000;81.5000000;74.0000000;78.0000000;1645820
20140304;000000;78.9800000;79.2000000;75.0000000;79.0100000;307610
20140305;000000;78.1100000;79.0100000;76.0400000;79.0100000;348250
20140306;000000;78.6300000;81.7000000;77.0000000;81.0000000;542970
20140307;000000;81.3000000;82.1000000;80.4000000;80.6000000;113460
20140311;000000;80.0000000;84.4000000;79.1300000;83.8600000;383120
20140312;000000;83.8600000;86.9000000;79.3500000;79.3500000;344980
20140313;000000;78.7000000;79.8800000;76.1400000;78.0500000;280560
20140314;000000;76.0000000;79.0000000;71.2100000;78.0000000;412440
20140317;000000;79.7300000;82.2900000;75.7000000;76.5800000;389890
20140318;000000;77.3700000;78.9000000;76.2000000;77.7400000;149690
20140319;000000;77.7800000;82.8900000;76.0000000;80.5000000;10238030
20140320;000000;78.2000000;81.9900000;78.2000000;81.7500000;193890
20140321;000000;80.0000000;81.8800000;78.1900000;81.8800000;112230
20140324;000000;82.0000000;82.0000000;78.6300000;79.5100000;140530
20140325;000000;79.0400000;80.9900000;78.5400000;79.8600000;135650
20140326;000000;78.8900000;81.5600000;78.4900000;81.5000000;266680
20140327;000000;79.8200000;81.5000000;79.8200000;81.3600000;40330
20140328;000000;79.5500000;81.4900000;79.5500000;81.3800000;51410
20140331;000000;81.9900000;82.0000000;80.0200000;80.8400000;83750
20140401;000000;80.8000000;83.4400000;79.9700000;81.5000000;68970
20140402;000000;81.0700000;83.8800000;81.0300000;82.4500000;46570
20140403;000000;83.4400000;83.9000000;80.5000000;81.0100000;54640
20140404;000000;80.3900000;82.4800000;80.3900000;81.9100000;31250
20140407;000000;80.9900000;82.7500000;80.3200000;81.8200000;186690
20140408;000000;81.8400000;82.6900000;80.6800000;81.5000000;197990
20140409;000000;82.2600000;83.4300000;81.7500000;82.0100000;68330
20140410;000000;82.5100000;86.9900000;82.5000000;86.9800000;369780
20140411;000000;84.9000000;89.9800000;84.2600000;87.9900000;312620
20140414;000000;87.0900000;87.8500000;86.0000000;87.3400000;16510
20140415;000000;87.0000000;88.0000000;83.6500000;83.6500000;61430
20140416;000000;84.6500000;84.7300000;82.0100000;83.0700000;52650
20140417;000000;83.4100000;85.9500000;82.6700000;83.5000000;19060
20140418;000000;84.8000000;86.5000000;83.7700000;86.0000000;49980
20140421;000000;85.4800000;85.9900000;85.0000000;85.0000000;13200
20140422;000000;85.5500000;85.7400000;83.7500000;84.0000000;116760
20140423;000000;84.9500000;85.1200000;83.0000000;83.9600000;30560
20140424;000000;84.0000000;84.0300000;83.5000000;84.0000000;178200
20140425;000000;83.0800000;83.8900000;82.1000000;83.8900000;218560
20140428;000000;84.4500000;84.4900000;82.0800000;82.9100000;14690
20140429;000000;83.9800000;85.0000000;80.0400000;80.4600000;108880
20140430;000000;80.4600000;83.3500000;80.4600000;82.3100000;180240
20140502;000000;81.4500000;84.8300000;80.7600000;84.8300000;13730
20140505;000000;82.7100000;83.5300000;81.5100000;82.4000000;6630
20140506;000000;83.0000000;83.6000000;82.0100000;83.0100000;8210
20140507;000000;82.7400000;85.0000000;82.4400000;84.8800000;16290
20140508;000000;85.0000000;86.0000000;83.0000000;84.5000000;40610
20140512;000000;84.0800000;84.9900000;82.4900000;83.5200000;45150
20140513;000000;83.3400000;85.3000000;83.3400000;83.3500000;13770
20140514;000000;84.3500000;84.3500000;79.8500000;81.9000000;173160
20140515;000000;81.7000000;83.5300000;81.7000000;81.8900000;48660
20140516;000000;82.6500000;83.0000000;81.7800000;82.5100000;360090
20140519;000000;82.4000000;85.0000000;82.0000000;84.5100000;860280
20140520;000000;84.3500000;85.0000000;83.2800000;85.0000000;59650
20140521;000000;84.5300000;85.6500000;83.7400000;85.6500000;112530
20140522;000000;84.7100000;87.0000000;83.2300000;87.0000000;76330
20140523;000000;86.5700000;86.9200000;84.1600000;84.7000000;42760
20140526;000000;84.9300000;85.0400000;84.2200000;84.2200000;8890
20140527;000000;84.0000000;88.0000000;81.0000000;88.0000000;1137820
20140528;000000;87.1000000;89.6800000;86.2100000;89.0000000;235540
20140529;000000;89.8300000;89.8300000;88.4600000;89.5700000;64610
20140530;000000;89.7500000;93.9800000;88.1500000;93.9800000;158880
20140602;000000;93.9700000;95.7300000;93.0200000;94.9900000;198730
20140603;000000;93.1400000;94.9700000;92.6100000;94.7000000;88260
20140604;000000;94.7000000;94.9000000;93.4000000;94.0000000;16350
20140605;000000;94.9000000;95.7000000;91.1100000;91.2900000;33480
20140606;000000;92.0000000;93.1100000;90.0000000;90.0000000;34690
20140609;000000;90.0000000;93.1000000;87.7600000;87.7600000;56310
20140610;000000;89.1300000;89.1300000;84.0000000;84.3500000;256450
20140611;000000;83.6900000;84.7900000;81.1100000;81.4200000;378790
20140616;000000;81.9300000;83.6200000;77.2700000;80.2300000;708500
20140617;000000;80.1200000;80.3900000;78.7100000;79.9000000;99670
20140618;000000;80.4800000;81.9000000;79.0500000;79.9400000;117410
20140619;000000;80.4900000;80.8900000;79.0500000;79.4000000;124780
20140620;000000;79.3500000;81.0000000;79.0300000;79.6900000;220400
20140623;000000;80.4400000;80.4400000;78.2300000;79.0100000;73590
20140624;000000;79.7300000;79.7300000;78.2400000;79.2200000;39840
20140625;000000;78.9800000;79.7500000;78.1200000;78.1200000;38400
20140626;000000;78.6700000;80.0000000;78.2800000;79.7600000;36490
20140627;000000;79.3100000;80.4700000;79.3100000;79.7800000;28000
20140630;000000;79.9800000;80.8100000;78.8100000;79.4500000;39840
20140701;000000;80.4800000;80.4800000;78.5000000;78.5000000;26440
20140702;000000;79.2800000;81.8000000;78.8000000;81.6900000;241460
20140703;000000;81.7000000;83.4800000;80.1200000;80.2000000;94870
20140704;000000;80.5100000;81.7000000;80.0000000;81.0000000;186260
20140707;000000;81.0000000;83.4000000;80.9600000;81.2800000;934570
20140708;000000;81.8900000;83.9700000;80.6300000;80.6500000;1038450
20140709;000000;80.9900000;81.8500000;79.1100000;79.9900000;188480
20140710;000000;79.2500000;80.1700000;78.2300000;79.6600000;77740
20140711;000000;78.5100000;79.2800000;77.8800000;78.3300000;32580
20140714;000000;78.4600000;78.9000000;77.2200000;77.4000000;55880
20140715;000000;77.7800000;78.0800000;77.2000000;77.6500000;16580
20140716;000000;78.1000000;78.7800000;76.0200000;78.0500000;103040
20140717;000000;77.0400000;78.4300000;75.5000000;75.5000000;95020
20140718;000000;75.5000000;77.6800000;73.7900000;76.6000000;72310
20140721;000000;76.9900000;77.4600000;76.0000000;76.3500000;12480
20140722;000000;77.1200000;78.2200000;77.0500000;77.8700000;29100
20140723;000000;77.7100000;78.7000000;75.1400000;78.7000000;60290
20140724;000000;78.0100000;78.7800000;76.0600000;78.0000000;37240
20140725;000000;77.0000000;77.6500000;76.0200000;76.0200000;25120
20140728;000000;75.2900000;76.2900000;72.2000000;74.0000000;207620
