<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;56.2300000;61.5000000;56.2300000;61.4000000;50
20140109;000000;60.8800000;60.8800000;60.8500000;60.8500000;40
20140114;000000;58.3900000;58.3900000;58.3900000;58.3900000;10
20140115;000000;58.0100000;58.0100000;58.0100000;58.0100000;20
20140116;000000;57.1100000;57.1100000;57.1100000;57.1100000;10
20140120;000000;60.1000000;60.1000000;56.2000000;57.1000000;340
20140124;000000;58.7500000;58.9700000;58.7500000;58.9700000;60
20140203;000000;56.2000000;56.2000000;56.2000000;56.2000000;10
20140205;000000;56.2100000;56.2100000;53.0000000;53.0000000;7670
20140206;000000;54.4400000;54.4400000;52.0000000;52.9900000;2050
20140207;000000;52.3200000;52.3200000;51.0000000;51.8000000;17560
20140210;000000;52.1100000;52.1100000;52.1100000;52.1100000;60
20140211;000000;52.5000000;52.5000000;52.4900000;52.5000000;270
20140212;000000;53.4300000;53.4300000;53.4300000;53.4300000;10
20140213;000000;52.0000000;52.0000000;51.3900000;52.0000000;2990
20140214;000000;51.2900000;51.7000000;47.4700000;51.2200000;17260
20140217;000000;50.1500000;51.7700000;50.1500000;51.7700000;110
20140219;000000;51.2300000;51.2300000;50.4500000;50.4500000;90
20140220;000000;52.5200000;53.2300000;52.5200000;53.2300000;50
20140221;000000;52.9700000;53.0000000;52.9700000;53.0000000;80
20140224;000000;53.0000000;53.0000000;50.6600000;50.6600000;110
20140225;000000;53.3300000;53.3300000;53.3000000;53.3200000;40
20140227;000000;53.4000000;53.6100000;53.4000000;53.6100000;420
20140228;000000;53.4000000;53.4000000;53.4000000;53.4000000;110
20140303;000000;51.5900000;51.5900000;49.5500000;49.5500000;1510
20140304;000000;53.0000000;53.0000000;53.0000000;53.0000000;10
20140305;000000;50.2600000;52.0200000;50.0000000;51.3300000;180
20140306;000000;53.3100000;53.3400000;53.3100000;53.3400000;60
20140307;000000;51.6000000;52.2800000;51.6000000;52.2800000;20
20140311;000000;50.3000000;52.2100000;49.9900000;52.2100000;1080
20140312;000000;50.5100000;51.0000000;50.5000000;50.9300000;310
20140313;000000;49.9000000;51.0000000;49.9000000;51.0000000;20
20140314;000000;49.2600000;49.9500000;48.9000000;48.9000000;3300
20140317;000000;48.5600000;50.4900000;48.5500000;50.4900000;220
20140318;000000;50.4000000;55.0500000;50.3700000;53.8600000;1310
20140319;000000;53.1300000;53.1300000;50.5100000;50.5100000;150
20140320;000000;52.6200000;52.6200000;52.0100000;52.0100000;60
20140321;000000;52.0200000;52.0200000;52.0200000;52.0200000;50
20140326;000000;52.9900000;53.0000000;52.9900000;53.0000000;20
20140327;000000;52.7500000;52.7500000;52.7200000;52.7200000;40
20140328;000000;52.6000000;52.6000000;50.4100000;52.4900000;50
20140331;000000;52.7000000;52.7800000;52.3800000;52.3900000;110
20140404;000000;51.2900000;51.2900000;50.2200000;50.2200000;120
20140407;000000;50.7400000;50.7400000;50.2000000;50.2000000;390
20140408;000000;51.1400000;51.1500000;49.9100000;50.4800000;390
20140409;000000;50.0200000;50.0200000;50.0200000;50.0200000;50
20140410;000000;50.7500000;50.7500000;49.0000000;49.9700000;950
20140411;000000;49.7200000;50.2000000;49.7200000;50.2000000;480
20140414;000000;49.5000000;49.5000000;49.5000000;49.5000000;500
20140418;000000;50.0000000;50.0000000;50.0000000;50.0000000;220
20140421;000000;50.0000000;50.8700000;50.0000000;50.8700000;160
20140422;000000;50.0000000;50.0300000;49.7500000;50.0000000;1290
20140423;000000;50.0000000;50.0000000;49.8800000;49.8800000;1310
20140428;000000;48.7200000;49.0000000;47.9900000;49.0000000;2020
20140430;000000;48.3100000;49.4900000;48.2200000;49.4900000;60
20140505;000000;49.5000000;49.5000000;49.5000000;49.5000000;10
20140506;000000;49.4900000;49.4900000;45.0000000;48.7500000;1400
20140507;000000;49.9600000;49.9600000;48.0000000;48.8000000;100
20140508;000000;48.7900000;48.7900000;48.0000000;48.0000000;400
20140512;000000;48.0000000;48.9900000;48.0000000;48.9900000;120
20140514;000000;48.8900000;48.9800000;48.8900000;48.9800000;30
20140515;000000;48.2000000;48.9900000;48.2000000;48.9600000;260
20140519;000000;48.2000000;48.5000000;48.0000000;48.1000000;2080
20140521;000000;48.0000000;48.6900000;48.0000000;48.6900000;20
20140522;000000;49.0900000;49.4900000;49.0000000;49.0000000;760
20140526;000000;51.6300000;54.5600000;49.5100000;53.5300000;2470
20140527;000000;53.1900000;53.1900000;51.6200000;52.9000000;3030
20140529;000000;52.8000000;52.8000000;52.8000000;52.8000000;20
20140530;000000;52.3500000;52.3500000;52.2100000;52.2100000;30
20140602;000000;53.3900000;53.9600000;53.1300000;53.1300000;180
20140603;000000;53.2600000;53.2600000;52.6500000;52.6600000;70
20140604;000000;53.0000000;53.0000000;52.9700000;52.9700000;30
20140605;000000;53.0000000;53.2000000;53.0000000;53.2000000;40
20140606;000000;53.3000000;53.3000000;53.3000000;53.3000000;20
20140610;000000;53.4800000;53.4800000;53.4800000;53.4800000;10
20140617;000000;53.5100000;53.5100000;52.0000000;52.0000000;400
20140620;000000;51.6100000;51.6100000;50.5000000;50.5000000;1830
20140624;000000;51.4200000;51.5000000;51.4200000;51.5000000;30
20140625;000000;52.0000000;52.0000000;52.0000000;52.0000000;10
20140626;000000;50.6000000;51.4400000;50.5700000;51.4400000;390
20140627;000000;52.0000000;52.0000000;52.0000000;52.0000000;10
20140702;000000;52.0000000;52.0000000;52.0000000;52.0000000;80
20140703;000000;51.1200000;51.1200000;51.0500000;51.0500000;340
20140704;000000;51.5000000;51.7900000;51.5000000;51.7800000;40
20140707;000000;50.5800000;52.0500000;50.0000000;52.0500000;280
20140708;000000;50.0100000;51.3000000;50.0000000;51.3000000;30
20140709;000000;50.0700000;51.4900000;50.0400000;51.4900000;320
20140710;000000;50.1500000;50.5500000;50.0000000;50.5400000;110
20140711;000000;49.6100000;50.5100000;49.6100000;50.5100000;30
20140714;000000;50.4800000;50.5000000;50.4800000;50.4800000;60
20140717;000000;49.5400000;50.4900000;49.5100000;50.4900000;40
20140718;000000;48.6300000;50.4300000;47.0000000;50.4300000;1920
20140721;000000;48.9800000;48.9800000;48.8700000;48.8700000;20
20140722;000000;48.0200000;50.0000000;48.0200000;50.0000000;2100
20140723;000000;49.0400000;49.0400000;49.0400000;49.0400000;10
20140725;000000;49.0400000;49.0400000;49.0000000;49.0000000;830
20140730;000000;49.2000000;49.2000000;49.2000000;49.2000000;10
20140801;000000;47.3900000;47.4000000;47.3900000;47.4000000;1600
20140808;000000;48.9900000;48.9900000;48.9900000;48.9900000;20
20140812;000000;49.0000000;49.0000000;48.0000000;48.0000000;40
