<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;56.9600000;58.3800000;55.6100000;56.3900000;180
20140109;000000;56.6500000;57.0000000;56.6500000;56.6500000;1650
20140110;000000;57.4400000;57.4700000;57.4100000;57.4700000;160
20140113;000000;57.4700000;57.5100000;56.6600000;57.5100000;470
20140115;000000;57.3000000;57.3000000;56.5200000;56.5200000;9610
20140116;000000;57.3800000;57.7700000;57.2000000;57.7700000;10000
20140117;000000;57.7700000;57.7700000;56.0000000;56.0000000;18180
20140120;000000;56.9900000;57.0000000;56.1100000;56.5600000;220
20140121;000000;56.0000000;56.0000000;56.0000000;56.0000000;2410
20140122;000000;56.0000000;56.0000000;54.8000000;54.8000000;3210
20140123;000000;55.9600000;56.0000000;55.9000000;55.9900000;44690
20140124;000000;56.0000000;56.0000000;56.0000000;56.0000000;50
20140127;000000;56.0000000;56.0000000;56.0000000;56.0000000;560
20140129;000000;56.0000000;56.0000000;56.0000000;56.0000000;4270
20140203;000000;56.0000000;56.0000000;56.0000000;56.0000000;20
20140204;000000;55.3100000;56.1800000;55.3000000;56.0000000;970
20140205;000000;54.9700000;55.0000000;53.0000000;53.0000000;2270
20140206;000000;52.8700000;53.8300000;52.7000000;53.8300000;360
20140207;000000;54.8900000;54.9400000;52.0500000;52.9500000;790
20140210;000000;54.0000000;54.0000000;53.5000000;53.5000000;100
20140211;000000;53.4000000;53.4000000;52.8800000;52.8800000;120
20140212;000000;53.0300000;53.0300000;53.0300000;53.0300000;10
20140213;000000;53.0000000;53.8800000;52.1200000;52.2000000;1100
20140214;000000;52.2100000;52.3300000;48.2000000;52.0500000;4810
20140217;000000;52.0800000;52.5000000;51.0600000;52.0800000;660
20140218;000000;52.0800000;52.7200000;52.0200000;52.7100000;240
20140219;000000;52.0100000;52.0100000;52.0000000;52.0000000;50
20140220;000000;52.5600000;54.7700000;52.2300000;52.2300000;820
20140221;000000;53.8100000;53.8100000;53.8100000;53.8100000;40
20140225;000000;54.4600000;54.4700000;54.4600000;54.4700000;30
20140226;000000;54.0000000;54.0000000;54.0000000;54.0000000;10
20140227;000000;54.5000000;54.5000000;53.3500000;53.3500000;70
20140228;000000;54.1500000;54.2100000;54.0000000;54.2100000;130
20140303;000000;53.6600000;53.6600000;49.0500000;49.9800000;3570
20140304;000000;49.1200000;53.3700000;49.0500000;52.0000000;580
20140305;000000;51.0400000;52.0000000;50.7000000;51.9900000;340
20140306;000000;51.9900000;52.0000000;51.9900000;52.0000000;530
20140307;000000;51.5300000;51.5800000;51.5300000;51.5800000;620
20140311;000000;51.1200000;51.1200000;50.1500000;50.9500000;550
20140312;000000;50.9700000;51.2600000;50.1200000;51.2600000;1030
20140314;000000;49.1300000;50.0000000;48.5000000;49.7600000;5290
20140317;000000;48.8900000;49.9600000;48.4000000;49.0000000;6140
20140318;000000;50.0000000;53.0000000;49.3900000;53.0000000;1890
20140319;000000;53.0000000;53.0000000;53.0000000;53.0000000;50
20140321;000000;51.3500000;51.5000000;51.0000000;51.0000000;220
20140324;000000;50.0600000;51.8500000;50.0000000;50.9800000;1860
20140325;000000;50.1600000;51.8700000;49.0200000;51.8700000;100
20140327;000000;50.0100000;52.3000000;49.7600000;51.0000000;210
20140328;000000;49.5100000;51.4700000;49.0300000;51.1400000;170
20140331;000000;51.0000000;52.5900000;49.1200000;49.1200000;6670
20140401;000000;50.8700000;50.8700000;50.8700000;50.8700000;20
20140404;000000;49.9500000;50.9900000;49.9000000;50.0000000;1260
20140407;000000;50.0000000;50.0000000;49.9900000;50.0000000;550
20140408;000000;50.0000000;50.0000000;49.5000000;50.0000000;1990
20140409;000000;49.1800000;50.0000000;49.1800000;50.0000000;280
20140410;000000;50.0100000;50.0100000;49.0100000;50.0000000;3370
20140411;000000;49.9900000;50.0000000;49.9900000;50.0000000;30
20140414;000000;49.5000000;49.5000000;49.5000000;49.5000000;500
20140416;000000;50.9400000;50.9700000;50.0000000;50.0000000;520
20140417;000000;50.0000000;50.0100000;50.0000000;50.0000000;320
20140418;000000;50.0000000;50.0000000;50.0000000;50.0000000;110
20140421;000000;50.0000000;50.0000000;50.0000000;50.0000000;260
20140422;000000;50.0000000;50.9600000;49.2200000;50.9600000;1480
20140424;000000;49.1100000;50.0000000;49.0100000;50.0000000;170
20140425;000000;49.0100000;49.6400000;48.2000000;48.6700000;2400
20140428;000000;48.2100000;48.3000000;48.0000000;48.0000000;3400
20140429;000000;48.9700000;48.9700000;48.9700000;48.9700000;20
20140430;000000;48.0400000;50.3800000;46.5000000;50.3800000;600
20140505;000000;48.3200000;50.2500000;48.3200000;50.2500000;130
20140506;000000;47.4700000;50.0000000;46.5500000;48.8800000;1230
20140508;000000;48.0000000;48.7300000;48.0000000;48.7000000;240
20140512;000000;47.4400000;48.6900000;47.4100000;48.6900000;1410
20140513;000000;48.4800000;48.8800000;48.4800000;48.8800000;250
20140514;000000;48.9900000;48.9900000;48.8000000;48.8000000;120
20140515;000000;48.8800000;49.9900000;48.8800000;49.9200000;320
20140519;000000;48.5000000;48.5100000;48.5000000;48.5000000;2800
20140520;000000;48.6200000;49.0000000;48.5000000;49.0000000;1440
20140522;000000;49.5000000;50.0000000;49.5000000;50.0000000;1670
20140526;000000;50.0000000;55.0000000;50.0000000;55.0000000;380
20140527;000000;54.0000000;54.0100000;53.0000000;53.0000000;2050
20140528;000000;52.0400000;52.9800000;52.0000000;52.0000000;600
20140529;000000;52.3000000;53.0000000;52.0000000;53.0000000;1880
20140530;000000;54.7900000;54.8000000;53.9900000;53.9900000;40
20140602;000000;53.9400000;53.9900000;53.9400000;53.9900000;100
20140603;000000;54.9400000;54.9500000;53.5000000;53.5000000;40
20140606;000000;51.9400000;53.9500000;51.7700000;53.9500000;410
20140609;000000;53.8900000;53.9000000;53.8900000;53.9000000;50
20140611;000000;53.0100000;53.0100000;53.0100000;53.0100000;100
20140616;000000;53.2800000;53.4900000;53.2800000;53.4900000;110
20140618;000000;53.5000000;53.5000000;52.0000000;52.0000000;200
20140619;000000;52.0100000;52.0100000;51.3000000;51.3000000;490
20140620;000000;51.9400000;51.9400000;51.0000000;51.0000000;720
20140623;000000;53.4000000;53.4000000;53.4000000;53.4000000;10
20140624;000000;52.7000000;52.7300000;52.7000000;52.7300000;30
20140625;000000;52.0200000;52.5000000;51.9900000;51.9900000;340
20140626;000000;51.9600000;52.0000000;51.9600000;52.0000000;250
20140630;000000;51.1000000;51.1500000;50.0700000;50.0700000;1250
20140703;000000;52.9500000;52.9500000;50.5100000;50.5100000;220
20140704;000000;52.4100000;52.4100000;52.3600000;52.3600000;40
20140707;000000;50.1100000;50.2500000;50.0000000;50.0400000;2000
20140710;000000;50.9100000;50.9100000;50.9000000;50.9000000;60
20140714;000000;50.6000000;50.6000000;50.6000000;50.6000000;200
20140715;000000;50.5500000;50.5500000;50.5500000;50.5500000;80
20140717;000000;50.0000000;50.0000000;49.3000000;49.3000000;70
20140718;000000;49.3100000;49.9800000;48.9900000;49.9800000;720
20140721;000000;48.2400000;50.4700000;48.0000000;49.0000000;390
20140722;000000;49.9900000;50.0000000;49.0100000;50.0000000;850
20140723;000000;48.4000000;48.4000000;48.4000000;48.4000000;10
20140729;000000;50.2000000;50.2000000;50.2000000;50.2000000;10
20140730;000000;49.5000000;49.5000000;49.5000000;49.5000000;10
20140731;000000;49.0200000;49.0200000;49.0000000;49.0000000;540
