<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;50.0000000;50.4900000;49.0000000;49.0000000;1300
20140108;000000;49.2000000;49.2700000;49.1700000;49.2500000;6600
20140109;000000;49.2600000;49.8900000;49.2500000;49.5300000;62300
20140110;000000;49.3100000;50.0000000;49.2500000;50.0000000;64900
20140113;000000;50.0100000;50.2000000;48.2800000;49.3100000;34100
20140114;000000;48.5700000;49.3600000;47.8700000;48.4900000;212400
20140115;000000;48.9100000;48.9600000;47.7700000;48.5000000;124100
20140116;000000;48.0100000;48.5000000;48.0100000;48.5000000;9600
20140117;000000;48.0400000;48.4800000;48.0000000;48.3700000;17400
20140120;000000;48.0100000;48.7700000;48.0000000;48.5000000;57100
20140121;000000;48.8200000;48.9800000;48.2500000;48.7300000;2500
20140122;000000;48.5200000;48.9000000;48.4900000;48.9000000;31100
20140123;000000;48.9900000;49.0000000;48.8000000;48.8000000;16500
20140124;000000;48.5100000;49.0100000;48.2500000;49.0000000;25700
20140127;000000;48.1800000;48.2000000;48.1500000;48.1500000;13500
20140128;000000;48.7600000;48.7600000;48.0000000;48.0000000;28600
20140129;000000;48.4700000;48.5000000;47.2500000;47.2900000;33400
20140130;000000;47.5900000;47.6000000;46.6300000;47.0000000;8900
20140131;000000;47.0000000;47.5000000;46.0500000;46.9300000;58100
20140203;000000;46.3700000;46.8600000;46.0000000;46.4500000;66900
20140204;000000;45.8700000;46.9800000;45.1500000;46.9800000;9900
20140205;000000;48.7000000;48.7000000;46.9700000;46.9700000;1700
20140207;000000;46.1500000;46.6800000;46.0000000;46.0100000;24700
20140210;000000;47.1800000;47.1800000;46.3100000;46.3100000;500
20140211;000000;46.9200000;47.3700000;46.1900000;47.3700000;3300
20140212;000000;46.6300000;46.6300000;46.0000000;46.2500000;53400
20140213;000000;46.9300000;47.2800000;46.0000000;46.0000000;1300
20140214;000000;46.0000000;46.2500000;46.0000000;46.2500000;6100
20140217;000000;46.1200000;46.5000000;45.8500000;46.1900000;229500
20140218;000000;46.1800000;46.6400000;45.8500000;46.0300000;10100
20140219;000000;46.5300000;46.5300000;46.0000000;46.0100000;1500
20140220;000000;45.5100000;45.9400000;45.5000000;45.9400000;19900
20140221;000000;46.0000000;46.0000000;46.0000000;46.0000000;100
20140224;000000;45.9700000;46.9700000;45.9700000;46.9700000;54800
20140225;000000;47.0100000;47.0100000;45.6300000;46.0100000;9300
20140226;000000;46.0100000;46.4900000;45.5600000;45.5600000;8000
20140227;000000;45.0000000;45.5000000;44.0900000;45.0000000;66200
20140228;000000;46.9200000;47.4900000;45.0000000;47.4900000;156400
20140303;000000;39.9900000;44.9800000;39.9900000;42.2500000;112900
20140304;000000;42.5000000;43.7200000;42.5000000;43.0000000;2100
20140305;000000;43.4800000;43.7000000;43.0000000;43.1900000;47600
20140306;000000;42.8300000;43.2900000;42.7500000;43.2000000;78800
20140307;000000;43.2900000;43.5000000;43.0000000;43.0000000;68100
20140311;000000;43.1000000;43.3000000;42.5000000;42.5000000;32400
20140312;000000;42.5000000;42.9000000;42.0000000;42.8000000;33000
20140313;000000;37.2300000;43.4500000;37.2300000;40.0000000;48100
20140314;000000;39.9600000;39.9800000;37.3000000;38.5000000;148000
20140317;000000;38.5100000;40.2500000;38.0500000;38.5500000;8200
20140318;000000;38.3200000;40.9900000;38.2500000;40.0000000;13900
20140319;000000;40.4700000;40.5000000;40.2000000;40.5000000;1900
20140320;000000;40.5000000;40.5000000;39.8200000;40.4800000;21900
20140321;000000;39.9500000;43.0000000;38.8400000;39.8500000;26900
20140324;000000;40.9600000;41.0000000;40.5000000;40.5000000;4200
20140325;000000;39.9000000;41.4800000;39.9000000;40.3000000;2100
20140326;000000;40.4900000;40.4900000;39.5000000;40.1100000;30200
20140327;000000;39.3800000;40.4300000;39.0400000;40.0000000;13700
20140328;000000;40.0300000;40.0300000;38.9600000;40.0000000;4400
20140331;000000;40.0100000;43.0000000;39.9000000;40.9800000;10900
20140401;000000;40.5800000;42.7500000;39.9900000;42.7500000;5300
20140402;000000;42.0000000;42.5000000;41.0500000;41.7900000;3000
20140403;000000;41.9800000;42.9900000;40.4600000;40.9300000;23100
20140404;000000;40.3500000;40.4000000;40.0000000;40.4000000;600
20140407;000000;39.5100000;39.5100000;39.5100000;39.5100000;100
20140408;000000;40.0100000;40.5100000;40.0100000;40.5100000;600
20140409;000000;39.1600000;41.0000000;39.1600000;40.9900000;7500
20140410;000000;41.3600000;44.1000000;41.3600000;43.1000000;6800
20140411;000000;42.1200000;43.0600000;42.1200000;42.6500000;25000
20140414;000000;42.3000000;43.1500000;42.3000000;42.7000000;51600
20140415;000000;43.3700000;43.3700000;40.7000000;40.7000000;22600
20140416;000000;40.4500000;40.6000000;40.0000000;40.0500000;8200
20140417;000000;42.0000000;42.0000000;38.5200000;40.5000000;105400
20140418;000000;40.3200000;41.4900000;40.0100000;40.2300000;5000
20140421;000000;40.6100000;40.6100000;39.5000000;39.9600000;6300
20140422;000000;39.7700000;39.8000000;39.0000000;39.5000000;15600
20140423;000000;39.7600000;39.7600000;39.3200000;39.7500000;2000
20140424;000000;39.4500000;39.4500000;38.4200000;38.4200000;12300
20140425;000000;38.9900000;38.9900000;37.1700000;38.2900000;10600
20140428;000000;38.0100000;38.2000000;38.0000000;38.0000000;2700
20140429;000000;38.6700000;38.8900000;38.2600000;38.2600000;2400
20140430;000000;38.0000000;38.0000000;38.0000000;38.0000000;300
20140502;000000;38.0000000;38.9300000;38.0000000;38.9300000;200
20140505;000000;38.7100000;39.2500000;38.0000000;38.2500000;26500
20140506;000000;38.7500000;38.7500000;37.6400000;38.2000000;4100
20140507;000000;38.2000000;38.2900000;37.5000000;38.0200000;6900
20140508;000000;38.0600000;38.1600000;37.9900000;38.1600000;2900
20140512;000000;38.0000000;38.9600000;38.0000000;38.0000000;10400
20140513;000000;38.5200000;39.0500000;38.5200000;39.0000000;8900
20140514;000000;39.0000000;39.0000000;38.7600000;39.0000000;4500
20140515;000000;38.9400000;39.0200000;38.9400000;39.0000000;3100
20140516;000000;38.4000000;38.8500000;38.2400000;38.8500000;3500
20140519;000000;38.9300000;39.3200000;38.2000000;39.2700000;18100
20140520;000000;39.0100000;39.0100000;39.0000000;39.0000000;10000
20140521;000000;38.9900000;39.2100000;38.9900000;39.0000000;10800
20140522;000000;39.0500000;39.1000000;39.0000000;39.0000000;19100
20140523;000000;39.8500000;41.0000000;38.0000000;40.5000000;133500
20140526;000000;39.8500000;40.2500000;38.6100000;40.0000000;145500
20140527;000000;40.0000000;40.0000000;38.2100000;39.0500000;44900
20140528;000000;39.1100000;39.6000000;38.5000000;38.9000000;52500
20140529;000000;38.5200000;39.2200000;38.1100000;38.7000000;164600
20140530;000000;38.5400000;39.9000000;38.5300000;38.6000000;62600
20140602;000000;38.6800000;39.3000000;38.6000000;38.7200000;55800
20140603;000000;38.6700000;39.0000000;38.3600000;39.0000000;2500
20140604;000000;38.8900000;39.4100000;38.8900000;38.9500000;18900
20140605;000000;38.7200000;38.7300000;38.6900000;38.7000000;11200
20140606;000000;38.5900000;38.8400000;38.5400000;38.8200000;2900
20140609;000000;39.8300000;41.4000000;38.8400000;39.8100000;72600
20140610;000000;38.9000000;39.2300000;38.5000000;38.5000000;8200
20140611;000000;38.5500000;38.7500000;38.2500000;38.6700000;13800
20140616;000000;38.6400000;38.9100000;38.5800000;38.8000000;25100
20140617;000000;38.8200000;39.2700000;38.7200000;38.9000000;14100
20140618;000000;39.0500000;39.0500000;38.6900000;38.7700000;8900
20140619;000000;38.9900000;39.4700000;38.7200000;39.3000000;30400
20140620;000000;38.7600000;38.7600000;38.5000000;38.5000000;17600
20140623;000000;38.5300000;39.3400000;38.5300000;39.0000000;14300
20140624;000000;39.1600000;40.1500000;39.1600000;40.1000000;60900
20140625;000000;40.0200000;40.5000000;38.8000000;40.4100000;68100
20140627;000000;40.5000000;42.0000000;40.5000000;41.0000000;81900
20140630;000000;40.9700000;42.1000000;40.0000000;40.6800000;40400
20140701;000000;40.4200000;40.4200000;40.4000000;40.4000000;1300
20140702;000000;40.6900000;41.7700000;40.6900000;41.7100000;22800
20140703;000000;41.9900000;42.2000000;39.7300000;41.2500000;26500
20140704;000000;41.2600000;41.2600000;41.2500000;41.2500000;5900
20140707;000000;41.0300000;42.0000000;41.0300000;42.0000000;13400
20140708;000000;41.9900000;42.1000000;41.9900000;42.1000000;76400
20140710;000000;41.3600000;41.3600000;41.2500000;41.2500000;10900
20140711;000000;41.9600000;41.9700000;41.2500000;41.3500000;4300
20140714;000000;41.4100000;41.5000000;40.4100000;40.4100000;17000
20140715;000000;40.3500000;40.7500000;40.3500000;40.5200000;24100
20140716;000000;40.3300000;40.5000000;40.3300000;40.5000000;300
20140717;000000;40.0200000;40.0200000;38.6400000;40.0000000;22900
20140718;000000;39.7600000;39.7600000;38.9300000;39.4200000;1900
20140721;000000;39.1100000;39.1100000;38.6300000;38.6300000;800
20140722;000000;39.2500000;39.5200000;39.2500000;39.5000000;2900
20140723;000000;39.0100000;39.3500000;39.0000000;39.3500000;300
20140724;000000;39.3400000;39.3400000;39.0000000;39.3300000;10200
20140725;000000;39.0000000;40.3400000;38.6300000;40.3400000;7300
20140728;000000;41.2900000;41.8000000;39.2500000;39.7600000;106600
20140729;000000;39.2100000;39.9700000;39.1200000;39.9700000;4000
20140730;000000;39.6000000;39.6400000;39.0000000;39.4500000;38700
20140731;000000;39.3500000;39.3500000;39.0000000;39.0700000;3500
20140801;000000;38.7900000;39.4200000;38.7000000;39.3100000;4500
20140804;000000;39.3200000;39.8200000;39.1300000;39.1500000;4800
20140805;000000;39.1500000;39.2900000;38.8300000;39.1800000;2900
20140806;000000;39.2800000;39.5700000;38.7600000;39.3100000;72400
20140807;000000;39.3100000;39.3100000;37.7900000;38.2000000;37600
20140808;000000;37.8000000;38.1200000;37.2100000;38.0000000;8600
20140811;000000;37.8200000;38.7700000;36.7500000;37.9600000;84600
20140812;000000;37.2900000;38.1200000;36.1500000;36.5500000;76000
20140813;000000;39.0000000;39.0000000;36.5100000;37.7700000;19100
20140814;000000;37.7500000;38.0000000;36.7600000;37.1100000;42200
20140815;000000;37.4500000;37.5100000;37.0400000;37.2700000;11200
20140818;000000;37.2600000;37.5700000;37.2000000;37.5700000;8600
