<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;5.5700000;5.6600000;5.4700000;5.4950000;102000
20140108;000000;5.5060000;5.5270000;5.4060000;5.5030000;226700
20140109;000000;5.5490000;5.5590000;5.4860000;5.5090000;338500
20140110;000000;5.4720000;5.5190000;5.4510000;5.5080000;160000
20140113;000000;5.5100000;5.7560000;5.4300000;5.7560000;557500
20140114;000000;5.6660000;5.7300000;5.6030000;5.6490000;248600
20140115;000000;5.7490000;5.8980000;5.6410000;5.6490000;196100
20140116;000000;5.6510000;5.7980000;5.6160000;5.6510000;215900
20140117;000000;5.6500000;5.7000000;5.5820000;5.6500000;442800
20140120;000000;5.6900000;5.6970000;5.6320000;5.6860000;142100
20140121;000000;5.7160000;5.8500000;5.6030000;5.6400000;2343500
20140122;000000;5.6800000;5.8160000;5.6800000;5.7440000;261900
20140123;000000;5.7010000;5.9300000;5.6820000;5.8720000;642700
20140124;000000;5.8210000;5.9490000;5.7800000;5.8380000;430500
20140127;000000;5.7990000;5.8590000;5.6710000;5.7450000;262300
20140128;000000;5.7500000;5.8350000;5.7500000;5.7570000;184100
20140129;000000;5.7900000;5.8000000;5.7000000;5.7000000;185200
20140130;000000;5.7580000;5.7580000;5.6510000;5.7300000;194800
20140131;000000;5.7300000;6.0970000;5.6610000;5.8000000;1074300
20140203;000000;5.8000000;6.1480000;5.7700000;5.9250000;863900
20140204;000000;5.9000000;6.1490000;5.7610000;5.9490000;767800
20140205;000000;5.9900000;6.0090000;5.8690000;5.9000000;284700
20140206;000000;5.9700000;6.1000000;5.8500000;5.9590000;424200
20140207;000000;6.0190000;6.0500000;5.8800000;5.8900000;164700
20140210;000000;5.9900000;5.9990000;5.8750000;5.8820000;24200
20140211;000000;5.9490000;5.9900000;5.8310000;5.8890000;839300
20140212;000000;5.9000000;5.9460000;5.7760000;5.8120000;618000
20140213;000000;5.8460000;5.8950000;5.7510000;5.8120000;232400
20140214;000000;5.7810000;5.8700000;5.7810000;5.8240000;83900
20140217;000000;5.8150000;5.8500000;5.7000000;5.7810000;399500
20140218;000000;5.7890000;5.8000000;5.7600000;5.7780000;129200
20140219;000000;5.8200000;5.9000000;5.5990000;5.6300000;501200
20140220;000000;5.6400000;5.6890000;5.5620000;5.6300000;274000
20140221;000000;5.6300000;5.6840000;5.6010000;5.6700000;120900
20140224;000000;5.6480000;5.7200000;5.6480000;5.6950000;199500
20140225;000000;5.6600000;5.7010000;5.6300000;5.6690000;103900
20140226;000000;5.6610000;5.7000000;5.5800000;5.6170000;138300
20140227;000000;5.6110000;5.6180000;5.1630000;5.1990000;909200
20140228;000000;5.2380000;5.2550000;4.9810000;5.0000000;683800
20140303;000000;4.8960000;4.9000000;4.0390000;4.2380000;630400
20140304;000000;4.3790000;4.6000000;4.1000000;4.5000000;802900
20140305;000000;4.5990000;4.6980000;4.0000000;4.4200000;1509600
20140306;000000;4.4320000;4.5380000;4.2400000;4.3970000;418600
20140307;000000;4.3720000;4.4890000;4.3700000;4.4300000;199200
20140311;000000;4.4200000;4.4200000;4.1050000;4.1820000;980300
20140312;000000;4.1220000;4.1660000;4.0070000;4.1290000;656200
20140313;000000;4.1500000;4.1500000;3.9680000;3.9950000;1117100
20140314;000000;3.9040000;4.0000000;3.6010000;3.7840000;1795700
20140317;000000;3.9980000;4.1290000;3.8050000;4.1000000;797600
20140318;000000;4.1490000;4.5440000;4.0900000;4.3700000;1014400
20140319;000000;4.4000000;4.5900000;4.3000000;4.5240000;334700
20140320;000000;4.4900000;4.4980000;4.3020000;4.4840000;124700
20140321;000000;4.3040000;4.7700000;4.3010000;4.4400000;821900
20140324;000000;4.4070000;4.6020000;4.3970000;4.4150000;273400
20140325;000000;4.4400000;4.4890000;4.3510000;4.3990000;526100
20140326;000000;4.4000000;6.1500000;4.2150000;4.5400000;596600
20140327;000000;4.5310000;4.5310000;4.4160000;4.4810000;92000
20140328;000000;4.4990000;4.5500000;4.4410000;4.4640000;388400
20140331;000000;4.5990000;4.6010000;4.4310000;4.5700000;268900
20140401;000000;4.5900000;4.6430000;4.5000000;4.5300000;306200
20140402;000000;4.5100000;4.5400000;4.4500000;4.4760000;128600
20140403;000000;4.5000000;4.5000000;4.4200000;4.4300000;48700
20140404;000000;4.4810000;4.4810000;4.2040000;4.4490000;397300
20140407;000000;4.3810000;4.3810000;4.2500000;4.2900000;85100
20140408;000000;4.2970000;4.3280000;4.0200000;4.1210000;1276900
20140409;000000;4.1390000;4.2000000;4.0210000;4.0870000;438300
20140410;000000;4.1010000;4.1600000;4.0570000;4.0990000;434100
20140411;000000;4.0800000;4.1740000;4.0560000;4.0850000;182100
20140414;000000;4.0790000;4.1000000;3.9860000;4.0090000;569100
20140415;000000;3.9980000;4.0330000;3.8700000;3.8890000;276000
20140416;000000;3.8990000;3.9380000;3.8000000;3.9310000;361400
20140417;000000;3.9500000;4.1000000;3.8810000;3.9800000;318000
20140418;000000;3.9800000;4.1160000;3.9800000;4.0470000;262900
20140421;000000;4.0410000;4.1010000;4.0300000;4.0300000;134800
20140422;000000;4.0850000;4.0850000;3.9500000;4.0120000;151600
20140423;000000;4.0950000;4.0990000;3.9870000;4.0000000;34000
20140424;000000;4.0140000;4.0800000;3.9100000;3.9200000;245700
20140425;000000;3.9380000;3.9900000;3.7800000;3.8980000;290900
20140428;000000;3.8820000;4.0500000;3.8290000;4.0000000;279300
20140429;000000;4.0140000;4.0290000;3.9490000;3.9700000;420400
20140430;000000;3.9830000;3.9880000;3.8850000;3.9400000;69600
20140502;000000;3.9900000;4.0020000;3.9220000;3.9710000;178900
20140505;000000;3.9400000;3.9560000;3.9030000;3.9200000;40600
20140506;000000;3.9580000;3.9650000;3.9210000;3.9450000;33200
20140507;000000;4.0260000;4.0280000;3.9210000;3.9800000;117000
20140508;000000;4.0000000;4.0890000;3.9510000;3.9980000;444700
20140512;000000;3.9910000;4.0390000;3.9800000;4.0200000;178200
20140513;000000;4.0200000;4.0850000;4.0000000;4.0170000;216500
20140514;000000;4.0170000;4.0500000;3.9920000;4.0000000;650100
20140515;000000;4.0190000;4.0390000;3.9990000;4.0000000;239200
20140516;000000;3.9990000;4.0800000;3.9920000;4.0300000;178700
20140519;000000;4.0580000;4.0680000;3.9800000;4.0450000;1077200
20140520;000000;4.0640000;4.0810000;4.0000000;4.0490000;361400
20140521;000000;4.0620000;4.1030000;3.9910000;4.1030000;407500
20140522;000000;4.1230000;4.3480000;4.1230000;4.2290000;971800
20140523;000000;4.3010000;4.4090000;4.1980000;4.2680000;534700
20140526;000000;4.2800000;4.8500000;4.2530000;4.5300000;2482900
20140527;000000;4.5940000;4.5940000;4.2780000;4.3230000;947700
20140528;000000;4.1890000;4.4380000;4.1890000;4.3530000;1016500
20140529;000000;4.3500000;4.4220000;4.2810000;4.3410000;372200
20140530;000000;4.3490000;4.3600000;4.2130000;4.2790000;318700
20140602;000000;4.3290000;4.4530000;4.2840000;4.3810000;647900
20140603;000000;4.3990000;4.3990000;4.3000000;4.3470000;666800
20140604;000000;4.3490000;4.5900000;4.2620000;4.4350000;1315900
20140605;000000;4.4000000;4.5510000;4.3990000;4.4290000;1851300
20140606;000000;4.4020000;4.5000000;4.3980000;4.4620000;86900
20140609;000000;4.4890000;4.5450000;4.4200000;4.4270000;467200
20140610;000000;4.4280000;4.4280000;4.3900000;4.4000000;101700
20140611;000000;4.4230000;4.5390000;4.3500000;4.3860000;222100
20140616;000000;4.3760000;4.7500000;4.2820000;4.5200000;903500
20140617;000000;4.5210000;4.8770000;4.5000000;4.7400000;1004700
20140618;000000;4.7880000;4.8470000;4.7340000;4.8000000;304800
20140619;000000;4.8390000;4.8500000;4.6120000;4.6850000;139500
20140620;000000;4.6990000;4.7000000;4.4990000;4.5680000;466500
20140623;000000;4.6100000;5.2100000;4.6100000;4.6560000;392100
20140624;000000;4.6540000;4.7550000;4.6150000;4.7000000;292700
20140625;000000;4.6730000;4.6940000;4.6410000;4.6550000;50400
20140626;000000;4.6720000;4.6930000;4.6220000;4.6400000;48100
20140627;000000;4.6230000;4.6230000;4.3800000;4.5100000;859300
20140630;000000;4.5020000;4.5650000;4.4700000;4.5210000;155500
20140701;000000;4.5030000;4.5400000;4.4880000;4.5000000;82600
20140702;000000;4.5000000;4.5200000;4.4850000;4.5040000;28500
20140703;000000;4.5030000;4.6890000;4.5030000;4.5300000;217300
20140704;000000;4.5500000;4.5750000;4.4520000;4.5000000;63600
20140707;000000;4.4860000;4.5500000;4.4480000;4.5460000;440100
20140708;000000;4.5670000;4.6330000;4.5300000;4.5300000;137700
20140709;000000;4.5700000;4.5990000;4.4740000;4.5060000;37700
20140710;000000;4.4980000;4.5100000;4.3900000;4.4190000;91400
20140711;000000;4.3990000;4.4490000;4.3920000;4.4200000;207600
20140714;000000;4.4340000;4.6060000;4.4340000;4.4550000;191100
20140715;000000;4.4700000;4.5000000;4.4200000;4.4500000;108500
20140716;000000;4.4240000;4.4500000;4.3890000;4.4500000;236600
20140717;000000;4.4040000;4.4230000;4.1980000;4.3950000;428800
20140718;000000;4.3010000;4.3550000;4.2500000;4.3290000;251000
20140721;000000;4.3190000;4.3280000;4.0000000;4.0500000;447900
20140722;000000;4.0800000;4.1880000;4.0750000;4.1680000;91500
20140723;000000;4.1800000;4.3230000;4.1680000;4.2000000;76900
20140724;000000;4.1660000;4.1980000;4.1320000;4.1600000;20900
20140725;000000;4.1500000;4.1600000;4.1140000;4.1140000;23200
20140728;000000;4.1060000;4.1060000;3.9990000;4.0140000;83300
20140729;000000;4.0300000;4.0500000;4.0000000;4.0190000;379300
20140730;000000;4.0030000;4.0700000;3.9990000;4.0270000;305500
20140731;000000;4.0370000;4.1000000;4.0240000;4.0600000;92600
20140801;000000;4.0510000;4.1480000;4.0410000;4.0740000;235000
20140804;000000;4.1090000;4.1420000;4.0810000;4.0810000;45500
20140805;000000;4.0950000;4.0950000;4.0110000;4.0300000;29300
20140806;000000;3.9630000;4.0390000;3.9410000;3.9980000;218900
20140807;000000;3.9950000;4.0400000;3.9510000;4.0400000;132400
20140808;000000;4.0410000;4.1500000;4.0040000;4.1500000;258200
20140811;000000;4.1500000;4.3250000;4.1420000;4.2000000;779900
20140812;000000;4.2020000;4.3260000;3.7800000;4.2500000;787700
20140813;000000;4.2500000;4.4050000;4.2100000;4.4000000;462300
20140814;000000;4.4000000;4.4760000;4.3370000;4.4080000;263900
20140815;000000;4.3990000;4.5000000;4.3310000;4.3330000;128100
20140818;000000;4.3500000;4.4200000;4.1140000;4.3700000;1038800
20140819;000000;4.4170000;4.4180000;4.1410000;4.1820000;934100
20140820;000000;4.2000000;4.2160000;4.1510000;4.2100000;133700
20140821;000000;4.8000000;4.8000000;4.3800000;4.4490000;1691600
20140822;000000;4.5690000;4.5690000;4.2790000;4.3030000;379500
