<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;4150.0000000;4151.0000000;4150.0000000;4150.0000000;104
20140108;000000;4298.0000000;4298.0000000;4298.0000000;4298.0000000;1
20140109;000000;4160.0000000;4160.0000000;4160.0000000;4160.0000000;26
20140110;000000;4170.0000000;4200.0000000;4170.0000000;4199.0000000;19
20140113;000000;3950.0000000;4300.0000000;3950.0000000;4200.0000000;149
20140114;000000;4170.0000000;4250.0000000;4170.0000000;4250.0000000;29
20140117;000000;4210.0000000;4210.0000000;4200.0000000;4200.0000000;358
20140121;000000;4145.0000000;4195.0000000;4145.0000000;4191.0000000;4
20140122;000000;4299.0000000;4299.0000000;4201.0000000;4201.0000000;7
20140123;000000;4201.0000000;4201.0000000;4201.0000000;4201.0000000;2
20140124;000000;3948.0000000;4050.0000000;3720.0000000;4050.0000000;29
20140127;000000;4050.0000000;4050.0000000;4050.0000000;4050.0000000;6
20140128;000000;4079.0000000;4100.0000000;4051.0000000;4060.0000000;9
20140129;000000;4061.0000000;4075.0000000;4060.0000000;4075.0000000;13
20140130;000000;4079.0000000;4079.0000000;3950.0000000;3950.0000000;12
20140203;000000;4000.0000000;4000.0000000;4000.0000000;4000.0000000;1
20140205;000000;4170.0000000;4174.0000000;4170.0000000;4174.0000000;3
20140206;000000;4348.0000000;4348.0000000;4348.0000000;4348.0000000;1
20140212;000000;4299.0000000;4299.0000000;4299.0000000;4299.0000000;1
20140218;000000;4100.0000000;4295.0000000;4000.0000000;4000.0000000;17
20140220;000000;4059.0000000;4060.0000000;4059.0000000;4060.0000000;3
20140221;000000;4100.0000000;4100.0000000;4100.0000000;4100.0000000;4
20140225;000000;4000.0000000;4000.0000000;4000.0000000;4000.0000000;3
20140226;000000;4100.0000000;4100.0000000;4097.0000000;4097.0000000;10
20140227;000000;4000.0000000;4000.0000000;4000.0000000;4000.0000000;5
20140228;000000;4001.0000000;4001.0000000;4000.0000000;4000.0000000;11
20140303;000000;3900.0000000;3900.0000000;3500.0000000;3576.0000000;112
20140304;000000;3900.0000000;3950.0000000;3900.0000000;3950.0000000;26
20140305;000000;3851.0000000;3880.0000000;3726.0000000;3726.0000000;93
20140306;000000;4000.0000000;4025.0000000;3900.0000000;3900.0000000;112
20140307;000000;3855.0000000;3855.0000000;3850.0000000;3850.0000000;49
20140311;000000;3640.0000000;3850.0000000;3602.0000000;3602.0000000;99
20140312;000000;3700.0000000;3700.0000000;3700.0000000;3700.0000000;17
20140314;000000;3500.0000000;3500.0000000;3500.0000000;3500.0000000;5
20140318;000000;3705.0000000;3800.0000000;3705.0000000;3800.0000000;12
20140321;000000;3850.0000000;3850.0000000;3850.0000000;3850.0000000;1
20140327;000000;3832.0000000;3832.0000000;3832.0000000;3832.0000000;1
20140328;000000;3800.0000000;3800.0000000;3800.0000000;3800.0000000;1492
20140331;000000;3800.0000000;3901.0000000;3800.0000000;3900.0000000;341
20140401;000000;3900.0000000;3950.0000000;3900.0000000;3950.0000000;1096
20140402;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;194
20140403;000000;3960.0000000;3960.0000000;3900.0000000;3900.0000000;119
20140404;000000;3901.0000000;3950.0000000;3900.0000000;3950.0000000;51
20140407;000000;3901.0000000;3901.0000000;3900.0000000;3901.0000000;37
20140408;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;46
20140409;000000;3901.0000000;3949.0000000;3900.0000000;3900.0000000;48
20140410;000000;3901.0000000;3901.0000000;3901.0000000;3901.0000000;5
20140411;000000;3901.0000000;3901.0000000;3900.0000000;3900.0000000;28
20140414;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;22
20140415;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;59
20140416;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;81
20140417;000000;3900.0000000;3949.0000000;3900.0000000;3949.0000000;72
20140418;000000;3988.0000000;3988.0000000;3900.0000000;3900.0000000;39
20140421;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;99
20140422;000000;3900.0000000;3948.0000000;3900.0000000;3900.0000000;189
20140423;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;28
20140424;000000;3947.0000000;4025.0000000;3900.0000000;4000.0000000;73
20140425;000000;4050.0000000;4050.0000000;4050.0000000;4050.0000000;35
20140429;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;2
20140514;000000;3950.0000000;3950.0000000;3950.0000000;3950.0000000;3
20140515;000000;3901.0000000;4084.0000000;3881.0000000;4084.0000000;69
20140521;000000;3752.0000000;3752.0000000;3500.0000000;3500.0000000;3
20140522;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;2
20140526;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;10
20140527;000000;3966.0000000;3966.0000000;3852.0000000;3852.0000000;14
20140528;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;166
20140529;000000;3899.0000000;3910.0000000;3899.0000000;3910.0000000;30
20140530;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;1
20140603;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;20
20140604;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;24
20140610;000000;3920.0000000;4000.0000000;3920.0000000;4000.0000000;228
20140616;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;9
20140617;000000;3920.0000000;3920.0000000;3900.0000000;3900.0000000;30
20140618;000000;3911.0000000;3911.0000000;3910.0000000;3910.0000000;9
20140620;000000;4090.0000000;4090.0000000;4090.0000000;4090.0000000;1
20140623;000000;4099.0000000;4100.0000000;4099.0000000;4100.0000000;52
20140624;000000;4048.0000000;4048.0000000;3900.0000000;3900.0000000;112
20140702;000000;3900.0000000;4040.0000000;3890.0000000;4040.0000000;14
20140703;000000;4049.0000000;4049.0000000;3800.0000000;3900.0000000;49
20140704;000000;3905.0000000;3905.0000000;3900.0000000;3900.0000000;95
20140709;000000;3903.0000000;3903.0000000;3903.0000000;3903.0000000;2
20140710;000000;3880.0000000;3880.0000000;3880.0000000;3880.0000000;2
20140714;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;43
20140715;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;39
20140716;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;244
20140718;000000;3900.0000000;3901.0000000;3900.0000000;3901.0000000;99
20140721;000000;3767.0000000;3830.0000000;3401.0000000;3800.0000000;29
20140723;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;186
20140724;000000;3850.0000000;3850.0000000;3850.0000000;3850.0000000;5
20140728;000000;3800.0000000;3800.0000000;3800.0000000;3800.0000000;6
20140731;000000;3900.0000000;3900.0000000;3900.0000000;3900.0000000;802
20140805;000000;3501.0000000;3501.0000000;3501.0000000;3501.0000000;1
20140821;000000;3900.0000000;3900.0000000;3704.0000000;3704.0000000;54
20140827;000000;3670.0000000;3670.0000000;3660.0000000;3660.0000000;4
20140908;000000;3775.0000000;3775.0000000;3775.0000000;3775.0000000;1
20140909;000000;3960.0000000;4048.0000000;3960.0000000;4048.0000000;4
20140910;000000;3790.0000000;3999.0000000;3750.0000000;3999.0000000;112
20140916;000000;3950.0000000;3950.0000000;3760.0000000;3760.0000000;3
20140918;000000;3960.0000000;3960.0000000;3960.0000000;3960.0000000;1
20140925;000000;3998.0000000;3998.0000000;3998.0000000;3998.0000000;1
20140926;000000;3999.0000000;3999.0000000;3961.0000000;3961.0000000;2
20140929;000000;3999.0000000;4002.0000000;3999.0000000;4001.0000000;182
20140930;000000;4010.0000000;4010.0000000;4010.0000000;4010.0000000;88
20141001;000000;4000.0000000;4030.0000000;4000.0000000;4030.0000000;185
20141002;000000;4000.0000000;4000.0000000;3990.0000000;3990.0000000;14
