<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.9000000;0.9000000;0.8520000;0.8520000;5000
20140108;000000;1.0789000;1.0800000;0.9000000;1.0330000;73000
20140109;000000;1.0500000;1.0500000;0.9478000;1.0190000;162000
20140110;000000;1.0199000;1.0345000;0.9850000;1.0098000;96000
20140113;000000;0.9901000;1.0100000;0.9900000;1.0000000;19000
20140114;000000;0.9990000;1.0200000;0.9990000;1.0000000;63000
20140115;000000;0.9925000;1.0100000;0.9855000;0.9855000;14000
20140116;000000;0.9988000;0.9990000;0.9800000;0.9960000;19000
20140117;000000;0.9805000;1.0099000;0.9599000;1.0000000;119000
20140120;000000;0.9706000;0.9715000;0.9608000;0.9700000;4000
20140122;000000;0.9865000;1.0000000;0.9708000;0.9708000;11000
20140124;000000;0.9967000;0.9970000;0.9700000;0.9700000;4000
20140127;000000;0.9505000;0.9550000;0.9400000;0.9400000;36000
20140128;000000;0.9015000;0.9500000;0.8515000;0.9500000;11000
20140129;000000;0.9735000;0.9756000;0.9418000;0.9418000;7000
20140130;000000;0.9499000;0.9870000;0.9499000;0.9870000;6000
20140131;000000;0.9420000;0.9420000;0.9050000;0.9050000;10000
20140203;000000;0.8999000;0.9101000;0.8999000;0.9101000;13000
20140204;000000;0.9390000;1.0000000;0.9340000;0.9630000;53000
20140205;000000;0.9837000;0.9837000;0.9350000;0.9696000;17000
20140206;000000;0.9350000;0.9599000;0.9161000;0.9500000;32000
20140207;000000;0.9400000;0.9700000;0.9400000;0.9428000;16000
20140210;000000;0.9789000;0.9789000;0.9789000;0.9789000;1000
20140212;000000;0.9990000;1.0100000;0.9605000;0.9605000;46000
20140213;000000;0.9436000;0.9989000;0.9436000;0.9989000;2000
20140214;000000;0.9990000;0.9990000;0.9990000;0.9990000;1000
20140217;000000;1.0000000;1.0000000;1.0000000;1.0000000;4000
20140219;000000;0.9501000;0.9979000;0.9501000;0.9979000;3000
20140220;000000;0.9506000;0.9506000;0.9329000;0.9500000;8000
20140221;000000;0.9011000;1.0000000;0.9000000;0.9774000;32000
20140224;000000;1.1182000;1.1182000;0.9105000;0.9787000;9000
20140225;000000;0.9794000;1.0000000;0.9794000;1.0000000;8000
20140226;000000;0.9318000;0.9995000;0.9318000;0.9469000;9000
20140227;000000;0.9113000;1.0000000;0.9110000;0.9200000;49000
20140228;000000;0.9000000;1.0000000;0.8913000;0.9400000;41000
20140303;000000;0.8001000;0.8200000;0.8000000;0.8200000;13000
20140304;000000;0.8257000;0.9999000;0.8257000;0.9999000;31000
20140306;000000;0.8508000;0.8600000;0.8200000;0.8600000;211000
20140307;000000;0.8201000;0.8500000;0.8201000;0.8500000;64000
20140311;000000;0.8987000;0.8987000;0.8218000;0.8218000;5000
20140312;000000;0.8210000;0.8523000;0.8000000;0.8500000;105000
20140314;000000;0.8000000;1.0000000;0.8000000;0.9995000;31000
20140317;000000;1.0000000;1.0000000;1.0000000;1.0000000;2000
20140318;000000;0.9171000;0.9999000;0.9171000;0.9999000;3000
20140320;000000;0.9311000;0.9320000;0.9311000;0.9320000;2000
20140324;000000;0.9700000;1.0001000;0.9700000;1.0000000;6000
20140325;000000;0.8802000;0.9270000;0.8802000;0.9270000;3000
20140327;000000;0.9009000;0.9300000;0.9000000;0.9300000;10000
20140328;000000;0.9008000;0.9008000;0.8382000;0.8382000;8000
20140331;000000;0.9827000;1.0000000;0.9827000;1.0000000;553000
20140404;000000;0.8505000;0.9026000;0.8505000;0.9026000;3000
20140408;000000;0.8500000;0.9987000;0.8500000;0.9987000;3000
20140410;000000;0.8900000;0.9020000;0.8720000;0.8720000;10000
20140411;000000;0.8520000;0.9199000;0.8519000;0.9100000;4000
20140414;000000;0.9100000;0.9100000;0.9100000;0.9100000;1000
20140416;000000;0.9170000;1.0500000;0.9170000;1.0500000;10000
20140421;000000;0.9002000;0.9002000;0.8997000;0.8997000;8000
20140424;000000;0.8239000;0.8239000;0.8115000;0.8115000;6000
20140425;000000;0.8119000;0.9500000;0.7500000;0.9500000;8000
20140429;000000;0.8567000;0.8899000;0.8400000;0.8899000;6000
20140506;000000;0.7111000;0.8300000;0.7111000;0.8002000;33000
20140507;000000;0.7551000;0.8300000;0.7200000;0.8300000;8000
20140508;000000;0.7600000;0.7600000;0.7600000;0.7600000;1000
20140512;000000;0.8285000;0.8870000;0.8200000;0.8200000;13000
20140514;000000;0.7500000;0.8200000;0.7500000;0.8198000;6000
20140515;000000;0.7302000;0.7800000;0.7302000;0.7600000;22000
20140516;000000;0.8210000;0.8210000;0.7600000;0.7600000;9000
20140520;000000;0.7227000;0.7700000;0.7226000;0.7700000;6000
20140521;000000;0.8089000;0.8089000;0.8050000;0.8050000;2000
20140522;000000;0.7301000;0.7301000;0.7301000;0.7301000;1000
20140523;000000;0.8150000;0.8150000;0.8150000;0.8150000;1000
20140602;000000;0.8788000;0.8790000;0.7600000;0.8693000;17000
20140603;000000;0.7710000;0.7710000;0.7710000;0.7710000;1000
20140605;000000;0.8597000;0.8597000;0.8597000;0.8597000;1000
20140610;000000;0.8333000;0.8333000;0.8333000;0.8333000;1000
20140611;000000;0.7301000;0.7370000;0.7301000;0.7370000;5000
20140616;000000;0.8299000;1.0342000;0.7601000;0.7809000;2578000
20140617;000000;0.7609000;0.7609000;0.7607000;0.7607000;5000
20140618;000000;0.7939000;0.7939000;0.7700000;0.7700000;6000
20140619;000000;0.8000000;0.8000000;0.8000000;0.8000000;5000
20140624;000000;0.7330000;0.7330000;0.7301000;0.7301000;24000
20140625;000000;0.7800000;0.8400000;0.7300000;0.8400000;21000
20140627;000000;0.7561000;0.7770000;0.7555000;0.7700000;45000
20140701;000000;0.8296000;0.9999000;0.7560000;0.7560000;27000
20140702;000000;0.9200000;0.9777000;0.7641000;0.7641000;29000
20140708;000000;0.9400000;0.9700000;0.9400000;0.9700000;10000
20140710;000000;0.8245000;0.8245000;0.8245000;0.8245000;1000
20140715;000000;0.7876000;0.7876000;0.7870000;0.7870000;4000
20140716;000000;0.9000000;0.9000000;0.7800000;0.7840000;11000
20140717;000000;0.7713000;0.7713000;0.7500000;0.7500000;45000
20140731;000000;0.7320000;0.7320000;0.7302000;0.7302000;3000
20140801;000000;0.7310000;0.9000000;0.7310000;0.8500000;40000
20140804;000000;0.9499000;1.0700000;0.8059000;0.8059000;63000
20140805;000000;0.8013000;1.0000000;0.8005000;1.0000000;16000
20140811;000000;0.8990000;0.9595000;0.8230000;0.9595000;202000
20140814;000000;0.8700000;1.0100000;0.8700000;1.0100000;145000
20140819;000000;0.8080000;0.9999000;0.8080000;0.9999000;3000
20140827;000000;0.8109000;0.8109000;0.8109000;0.8109000;1000
20140828;000000;0.8110000;0.9978000;0.8000000;0.8350000;40000
20140901;000000;0.8215000;0.8215000;0.8215000;0.8215000;1000
20140903;000000;0.9800000;0.9940000;0.9800000;0.9940000;7000
20140910;000000;0.8465000;0.8465000;0.8465000;0.8465000;1000
20140911;000000;0.8280000;0.8280000;0.8279000;0.8279000;4000
20140912;000000;0.9984000;0.9984000;0.9984000;0.9984000;1000
20140915;000000;0.8315000;0.8315000;0.8315000;0.8315000;1000
20140918;000000;0.9848000;0.9848000;0.9848000;0.9848000;1000
20140924;000000;0.9875000;0.9875000;0.9875000;0.9875000;10000
20140929;000000;0.8050000;0.9400000;0.8050000;0.9400000;11000
20141014;000000;0.8240000;0.8240000;0.8140000;0.8140000;20000
20141017;000000;0.8070000;0.8070000;0.8070000;0.8070000;3000
20141020;000000;0.9000000;0.9000000;0.9000000;0.9000000;20000
20141021;000000;0.9000000;0.9000000;0.9000000;0.9000000;120000
20141022;000000;0.9500000;0.9550000;0.9490000;0.9500000;35000
20141023;000000;1.0000000;1.0000000;1.0000000;1.0000000;21000
20141024;000000;0.9700000;0.9700000;0.9700000;0.9700000;272000
20141028;000000;0.9700000;0.9700000;0.9700000;0.9700000;1000
20141030;000000;0.9800000;0.9800000;0.9800000;0.9800000;8000
20141031;000000;0.9700000;0.9700000;0.9700000;0.9700000;15000
20141103;000000;1.0070000;1.0070000;1.0070000;1.0070000;1000
20141107;000000;0.9750000;1.0330000;0.9750000;1.0330000;60000
20141110;000000;1.1000000;1.3500000;1.0000000;1.2000000;104000
20141111;000000;1.1810000;1.2000000;1.1800000;1.2000000;304000
20141112;000000;1.2340000;1.2800000;1.2340000;1.2800000;18000
20141113;000000;1.2810000;1.3500000;1.2800000;1.3500000;13000
20141114;000000;1.3500000;1.3500000;1.3500000;1.3500000;26000
20141117;000000;1.0390000;1.0390000;1.0390000;1.0390000;1000
20141118;000000;1.1500000;1.1900000;1.1500000;1.1900000;3325000
20141119;000000;1.1800000;1.3990000;1.1800000;1.3990000;75000
20141120;000000;1.3600000;1.4500000;1.3600000;1.4500000;1030000
20141121;000000;1.4500000;1.5500000;1.4500000;1.5500000;1380000
20141124;000000;1.1500000;1.5950000;1.1500000;1.2610000;55000
20141125;000000;1.2200000;1.2200000;1.2100000;1.2100000;2000
20141128;000000;1.2910000;1.2910000;1.2910000;1.2910000;1000
20141202;000000;1.0980000;1.3150000;1.0980000;1.3150000;2000
20141203;000000;1.3000000;1.3000000;1.3000000;1.3000000;1000
20141204;000000;1.1050000;1.1500000;1.0100000;1.1400000;43000
20141205;000000;1.1000000;1.1000000;1.1000000;1.1000000;1000
20141208;000000;1.0130000;1.0130000;1.0130000;1.0130000;1000
20141209;000000;0.9260000;0.9260000;0.9260000;0.9260000;10000
20141215;000000;0.9010000;0.9010000;0.9010000;0.9010000;1000
