<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140114;000000;22.1000000;26.9860000;22.1000000;26.9860000;1200700
20140115;000000;25.4900000;26.7500000;25.4900000;26.7500000;2400
20140117;000000;26.5000000;26.5000000;26.5000000;26.5000000;1200
20140122;000000;26.0000000;26.0000000;26.0000000;26.0000000;100
20140128;000000;26.8760000;26.8760000;26.0000000;26.0000000;13000
20140129;000000;26.5000000;26.5000000;26.5000000;26.5000000;19100
20140130;000000;27.5000000;28.0100000;27.4500000;28.0100000;19800
20140131;000000;28.0100000;28.0100000;28.0100000;28.0100000;30000
20140227;000000;27.0000000;28.0000000;27.0000000;28.0000000;20100
20140311;000000;28.0000000;28.0000000;28.0000000;28.0000000;2250000
20140314;000000;28.0000000;28.0000000;28.0000000;28.0000000;1400
20140321;000000;28.1000000;28.1000000;28.1000000;28.1000000;300
20140325;000000;28.1500000;28.1500000;28.1500000;28.1500000;2000
20140331;000000;28.4100000;29.0000000;28.4100000;28.4100000;17700
20140402;000000;28.4800000;28.4800000;28.4800000;28.4800000;70500
20140416;000000;28.4800000;28.5500000;28.4800000;28.5500000;900
20140417;000000;28.4500000;28.9000000;28.4500000;28.9000000;9100
20140428;000000;29.0000000;29.0000000;29.0000000;29.0000000;1000
20140430;000000;28.5000000;28.5000000;28.5000000;28.5000000;500
20140513;000000;29.0000000;29.0000000;29.0000000;29.0000000;200
20140514;000000;29.0000000;29.0000000;29.0000000;29.0000000;500
20140516;000000;28.7000000;28.7000000;28.7000000;28.7000000;1000
20140520;000000;28.9000000;28.9000000;28.9000000;28.9000000;500
20140527;000000;28.0000000;28.0000000;28.0000000;28.0000000;100
20140602;000000;28.5000000;28.5000000;28.5000000;28.5000000;500
20140604;000000;29.0000000;29.0000000;29.0000000;29.0000000;100
20140606;000000;29.0000000;29.0000000;28.8000000;28.8000000;200
20140626;000000;27.1500000;27.1500000;27.1500000;27.1500000;500
20140627;000000;28.1000000;28.1000000;28.1000000;28.1000000;1700
20140630;000000;28.7200000;28.7200000;28.7200000;28.7200000;17800
20140723;000000;23.0000000;28.0000000;23.0000000;28.0000000;500
20140725;000000;27.2500000;27.2500000;27.2500000;27.2500000;300
20140728;000000;28.8200000;28.8200000;28.8200000;28.8200000;200
20140812;000000;28.5000000;28.5000000;28.5000000;28.5000000;5784000
20140821;000000;27.6000000;28.0000000;27.6000000;28.0000000;600
20140825;000000;27.0000000;27.0000000;27.0000000;27.0000000;300
20140827;000000;26.4700000;28.1500000;26.4700000;28.1500000;13817000
20140828;000000;26.4700000;29.0000000;26.4700000;29.0000000;405000
20140829;000000;29.0000000;29.0000000;29.0000000;29.0000000;20000
20140905;000000;27.0000000;27.0000000;27.0000000;27.0000000;100
20140911;000000;27.0000000;27.0000000;27.0000000;27.0000000;1000
20140918;000000;28.0000000;29.0000000;28.0000000;29.0000000;2000
20140919;000000;27.5000000;27.5000000;27.5000000;27.5000000;1000
20140922;000000;28.0060000;30.0000000;28.0000000;30.0000000;2100
20140923;000000;28.0000000;28.0000000;28.0000000;28.0000000;600
20140924;000000;28.0000000;28.0000000;28.0000000;28.0000000;1000
20140925;000000;27.9790000;27.9790000;27.9790000;27.9790000;1000
20140926;000000;28.5000000;28.5000000;28.5000000;28.5000000;1000
20140929;000000;22.0070000;28.5000000;22.0070000;28.5000000;17800
20140930;000000;28.5000000;28.5000000;28.5000000;28.5000000;17600
20141001;000000;28.5000000;28.5000000;28.5000000;28.5000000;17600
20141002;000000;28.5000000;28.5000000;28.5000000;28.5000000;17600
20141013;000000;28.0000000;28.0000000;28.0000000;28.0000000;1000
20141014;000000;23.5000000;23.5000000;23.5000000;23.5000000;100
20141015;000000;27.9000000;27.9000000;27.9000000;27.9000000;100
20141017;000000;20.8000000;28.5000000;20.8000000;28.5000000;1000
20141020;000000;28.5000000;28.5000000;28.5000000;28.5000000;20800
20141021;000000;28.5000000;28.5000000;28.5000000;28.5000000;200
20141023;000000;28.0000000;28.0000000;28.0000000;28.0000000;200
20141112;000000;28.4000000;28.4000000;28.4000000;28.4000000;402300
20141113;000000;28.5000000;28.6000000;27.6000000;27.6000000;2100
20141114;000000;28.5000000;28.5000000;28.5000000;28.5000000;189000
20141118;000000;29.0000000;29.0000000;28.4000000;28.7000000;17421800
20141119;000000;28.4000000;28.4000000;28.4000000;28.4000000;1400000
20141120;000000;28.4000000;28.4000000;28.4000000;28.4000000;558000
20141205;000000;28.7000000;28.7000000;28.7000000;28.7000000;3135900
20141218;000000;28.3000000;29.0000000;28.3000000;29.0000000;890000
20141219;000000;29.7000000;29.7000000;29.7000000;29.7000000;4069000
20141222;000000;28.3000000;29.4000000;28.3000000;29.4000000;5587800
20141223;000000;28.3000000;28.3000000;28.2000000;28.3000000;1767800
20141225;000000;28.3000000;28.3000000;28.3000000;28.3000000;100000
20141226;000000;29.0000000;29.0000000;29.0000000;29.0000000;2422000
20141230;000000;29.0000000;29.0000000;28.9000000;29.0000000;19800
