<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;1005.1000000;1299.9000000;1005.1000000;1299.9000000;2
20140108;000000;1120.2000000;1298.9000000;1010.3000000;1298.9000000;5
20140109;000000;1296.8000000;1296.8000000;1200.0000000;1249.0000000;14
20140110;000000;1200.9000000;1200.9000000;1150.1000000;1200.8000000;7
20140113;000000;1153.1000000;1153.1000000;1153.0000000;1153.0000000;2
20140114;000000;1150.0000000;1242.9000000;1110.0000000;1110.0000000;8
20140116;000000;1111.2000000;1111.2000000;1090.0000000;1090.0000000;6
20140117;000000;1050.0000000;1050.0000000;1050.0000000;1050.0000000;2
20140122;000000;1037.0000000;1037.0000000;1037.0000000;1037.0000000;1
20140124;000000;1012.0000000;1012.0000000;1012.0000000;1012.0000000;1
20140127;000000;987.3000000;987.3000000;987.3000000;987.3000000;1
20140128;000000;972.0000000;972.0000000;850.0000000;899.8000000;192
20140130;000000;949.9000000;949.9000000;949.9000000;949.9000000;1
20140203;000000;855.0000000;855.0000000;855.0000000;855.0000000;1
20140205;000000;940.0000000;949.9000000;940.0000000;949.9000000;5
20140213;000000;850.0000000;949.8000000;850.0000000;949.8000000;5
20140214;000000;870.0000000;870.0000000;845.0000000;845.0000000;16
20140217;000000;948.0000000;948.0000000;948.0000000;948.0000000;1
20140221;000000;845.5000000;858.3000000;802.1000000;830.0000000;163
20140227;000000;803.6000000;803.6000000;780.0000000;780.0000000;9
20140303;000000;710.9000000;777.7000000;707.2000000;730.1000000;16
20140313;000000;800.0000000;800.0000000;800.0000000;800.0000000;10
20140314;000000;780.0000000;780.0000000;600.2000000;777.0000000;40
20140319;000000;780.0000000;780.0000000;780.0000000;780.0000000;1
20140331;000000;780.0000000;780.0000000;780.0000000;780.0000000;2
20140402;000000;800.0000000;800.0000000;800.0000000;800.0000000;10
20140403;000000;800.0000000;800.0000000;800.0000000;800.0000000;10
20140408;000000;789.9000000;810.0000000;789.9000000;810.0000000;6811
20140418;000000;611.3000000;863.0000000;611.3000000;863.0000000;12
20140423;000000;847.0000000;847.0000000;847.0000000;847.0000000;1
20140507;000000;651.1000000;690.0000000;651.1000000;690.0000000;3
20140508;000000;710.0000000;710.0000000;710.0000000;710.0000000;1
20140514;000000;800.0000000;807.9000000;800.0000000;807.9000000;2
20140520;000000;705.0000000;710.1000000;705.0000000;710.1000000;35
20140521;000000;789.0000000;790.0000000;780.0000000;780.0000000;12
20140523;000000;780.0000000;780.0000000;780.0000000;780.0000000;1
20140602;000000;780.0000000;780.0000000;780.0000000;780.0000000;10
20140604;000000;780.0000000;780.0000000;780.0000000;780.0000000;5
20140605;000000;722.1000000;722.1000000;722.0000000;722.0000000;5
20140618;000000;733.0000000;733.0000000;730.0000000;730.0000000;15
20140623;000000;776.9000000;777.0000000;776.9000000;777.0000000;13
20140703;000000;734.0000000;734.0000000;734.0000000;734.0000000;1
20140709;000000;830.0000000;830.0000000;830.0000000;830.0000000;1
20140710;000000;830.0000000;830.0000000;830.0000000;830.0000000;1
20140717;000000;830.0000000;830.0000000;830.0000000;830.0000000;1
20140721;000000;830.0000000;830.0000000;800.0000000;800.0000000;16
20140801;000000;830.0000000;830.0000000;800.0000000;800.0000000;16
20140806;000000;830.0000000;830.0000000;815.0000000;815.0000000;2
20140812;000000;900.0000000;900.0000000;900.0000000;900.0000000;1
20140814;000000;905.0000000;905.0000000;905.0000000;905.0000000;3
20140815;000000;910.0000000;969.9000000;908.3000000;969.9000000;4
20140819;000000;950.0000000;950.0000000;950.0000000;950.0000000;19
20140821;000000;992.9000000;993.0000000;950.0000000;955.0000000;16
20140822;000000;980.0000000;980.0000000;880.0000000;950.0000000;8
20140825;000000;1000.0000000;1000.0000000;920.0000000;920.0000000;10
20140826;000000;1041.9000000;1041.9000000;965.0000000;965.0000000;14
20140827;000000;1000.0000000;1000.0000000;965.0000000;1000.0000000;26
20140828;000000;1000.0000000;1003.0000000;975.0000000;1000.0000000;21
20140829;000000;1119.9000000;1123.0000000;1000.0000000;1123.0000000;472
20140903;000000;1000.0000000;1000.0000000;975.0000000;1000.0000000;10
20140904;000000;1050.0000000;1050.0000000;1000.0000000;1000.0000000;3
20140905;000000;1000.0000000;1000.0000000;1000.0000000;1000.0000000;1
20140910;000000;1000.0000000;1000.0000000;1000.0000000;1000.0000000;1
20140911;000000;1000.0000000;1000.0000000;1000.0000000;1000.0000000;1
20140912;000000;1000.0000000;1000.0000000;982.0000000;982.0000000;3
20140916;000000;1000.0000000;1000.0000000;1000.0000000;1000.0000000;1
20140917;000000;1000.0000000;1000.0000000;982.0000000;982.0000000;3
20140922;000000;1000.0000000;1000.0000000;1000.0000000;1000.0000000;2
20140924;000000;1110.0000000;1110.0000000;1000.0000000;1110.0000000;3
20140926;000000;1090.0000000;1090.0000000;1050.0000000;1050.0000000;3
20140929;000000;1100.0000000;1100.0000000;1100.0000000;1100.0000000;2
20140930;000000;1150.0000000;1150.0000000;1100.0000000;1123.0000000;4
20141002;000000;1187.0000000;1187.0000000;1120.0000000;1120.0000000;6
20141003;000000;1150.0000000;1200.0000000;1150.0000000;1200.0000000;4
20141006;000000;1150.0000000;1150.0000000;1150.0000000;1150.0000000;1
20141007;000000;1000.0000000;1000.0000000;982.0000000;982.0000000;4
20141008;000000;1000.0000000;1000.0000000;1000.0000000;1000.0000000;1
20141009;000000;1120.0000000;1120.0000000;1080.0000000;1080.0000000;2
20141013;000000;1180.0000000;1235.0000000;1180.0000000;1235.0000000;8
20141014;000000;1200.0000000;1200.0000000;1150.0000000;1150.0000000;2
20141016;000000;1200.0000000;1200.0000000;1150.0000000;1155.0000000;5
20141017;000000;1185.0000000;1235.0000000;1185.0000000;1235.0000000;2
20141020;000000;1200.0000000;1200.0000000;1200.0000000;1200.0000000;1
20141021;000000;1150.0000000;1150.0000000;1150.0000000;1150.0000000;1
20141022;000000;1200.0000000;1200.0000000;1200.0000000;1200.0000000;1
20141024;000000;1200.0000000;1200.0000000;1200.0000000;1200.0000000;1
20141027;000000;1210.0000000;1210.0000000;1210.0000000;1210.0000000;1
20141028;000000;1100.0000000;1100.0000000;951.0000000;1100.0000000;11
20141105;000000;1100.0000000;1200.0000000;1100.0000000;1200.0000000;4
20141112;000000;1100.0000000;1100.0000000;1000.0000000;1000.0000000;3
