<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.0999000;0.1000000;0.0998000;0.1000000;10000
20140108;000000;0.0974000;0.0998000;0.0974000;0.0979000;274000
20140109;000000;0.0980000;0.0980000;0.0980000;0.0980000;11000
20140110;000000;0.0980000;0.0980000;0.0976000;0.0979000;563000
20140113;000000;0.0978000;0.0978000;0.0965000;0.0973000;1087000
20140114;000000;0.0998000;0.1000000;0.0969000;0.0998000;6885000
20140115;000000;0.0980000;0.1000000;0.0980000;0.1000000;2949000
20140116;000000;0.1000000;0.1000000;0.0950000;0.0960000;399000
20140117;000000;0.0982000;0.0982000;0.0968000;0.0979000;33000
20140120;000000;0.0955000;0.0980000;0.0950000;0.0966000;157000
20140121;000000;0.0961000;0.0969000;0.0844000;0.0962000;7259000
20140122;000000;0.0921000;0.0973000;0.0915000;0.0915000;1195000
20140123;000000;0.0979000;0.0979000;0.0926000;0.0951000;229000
20140124;000000;0.0950000;0.0950000;0.0915000;0.0945000;399000
20140127;000000;0.0933000;0.0940000;0.0933000;0.0940000;5000
20140129;000000;0.0915000;0.0915000;0.0912000;0.0912000;108000
20140130;000000;0.0922000;0.0922000;0.0884000;0.0909000;849000
20140131;000000;0.0899000;0.0920000;0.0872000;0.0891000;442000
20140203;000000;0.0882000;0.0884000;0.0877000;0.0877000;5000
20140204;000000;0.0877000;0.0900000;0.0827000;0.0897000;694000
20140205;000000;0.0908000;0.1199000;0.0875000;0.0990000;19123000
20140206;000000;0.0927000;0.0990000;0.0927000;0.0983000;3427000
20140207;000000;0.0923000;0.0972000;0.0923000;0.0943000;304000
20140210;000000;0.0950000;0.0950000;0.0900000;0.0905000;3052000
20140211;000000;0.0905000;0.0919000;0.0892000;0.0909000;174000
20140212;000000;0.0902000;0.0913000;0.0901000;0.0903000;18000
20140213;000000;0.0901000;0.0910000;0.0871000;0.0909000;2345000
20140214;000000;0.0903000;0.0904000;0.0850000;0.0899000;4472000
20140217;000000;0.0900000;0.0920000;0.0900000;0.0920000;258000
20140218;000000;0.0989000;0.0989000;0.0881000;0.0905000;4823000
20140219;000000;0.0882000;0.0918000;0.0872000;0.0906000;2233000
20140220;000000;0.0900000;0.0900000;0.0873000;0.0893000;1142000
20140221;000000;0.0881000;0.0900000;0.0865000;0.0900000;731000
20140224;000000;0.0895000;0.0924000;0.0895000;0.0901000;75000
20140225;000000;0.0903000;0.0992000;0.0898000;0.0912000;359000
20140226;000000;0.0913000;0.0913000;0.0904000;0.0904000;29000
20140227;000000;0.0904000;0.0915000;0.0866000;0.0868000;319000
20140228;000000;0.0868000;0.0889000;0.0865000;0.0888000;607000
20140303;000000;0.0862000;0.0887000;0.0654000;0.0863000;83000
20140304;000000;0.0858000;0.0865000;0.0858000;0.0865000;104000
20140305;000000;0.0890000;0.0890000;0.0890000;0.0890000;1000
20140306;000000;0.0820000;0.0868000;0.0800000;0.0834000;197000
20140307;000000;0.0895000;0.0895000;0.0869000;0.0882000;4000
20140311;000000;0.0861000;0.0861000;0.0860000;0.0860000;63000
20140312;000000;0.0848000;0.0856000;0.0800000;0.0852000;304000
20140314;000000;0.0801000;0.0844000;0.0782000;0.0797000;31000
20140317;000000;0.0804000;0.0825000;0.0800000;0.0825000;278000
20140318;000000;0.0822000;0.0823000;0.0822000;0.0823000;3000
20140319;000000;0.0838000;0.0841000;0.0837000;0.0841000;23000
20140320;000000;0.0833000;0.0833000;0.0829000;0.0830000;146000
20140321;000000;0.0842000;0.0880000;0.0842000;0.0877000;1440000
20140324;000000;0.0885000;0.0894000;0.0821000;0.0868000;1027000
20140325;000000;0.0895000;0.0900000;0.0859000;0.0895000;228000
20140326;000000;0.0900000;0.0900000;0.0870000;0.0884000;1347000
20140327;000000;0.0894000;0.0900000;0.0844000;0.0881000;3433000
20140328;000000;0.0896000;0.0901000;0.0891000;0.0895000;361000
20140331;000000;0.0852000;0.0895000;0.0849000;0.0872000;1120000
20140401;000000;0.0855000;0.0889000;0.0855000;0.0889000;128000
20140402;000000;0.0861000;0.0896000;0.0861000;0.0895000;4000
20140403;000000;0.0870000;0.0870000;0.0870000;0.0870000;1101000
20140404;000000;0.0869000;0.0894000;0.0869000;0.0894000;19000
20140407;000000;0.0895000;0.0895000;0.0852000;0.0877000;50000
20140408;000000;0.0858000;0.0858000;0.0600000;0.0855000;381000
20140409;000000;0.0870000;0.0887000;0.0870000;0.0875000;9000
20140410;000000;0.0867000;0.0900000;0.0850000;0.0869000;2238000
20140411;000000;0.0859000;0.0860000;0.0850000;0.0851000;441000
20140414;000000;0.0868000;0.0868000;0.0840000;0.0840000;112000
20140415;000000;0.0841000;0.0849000;0.0825000;0.0830000;74000
20140416;000000;0.0812000;0.0867000;0.0810000;0.0845000;282000
20140417;000000;0.0876000;0.0876000;0.0820000;0.0838000;691000
20140418;000000;0.0849000;0.0850000;0.0842000;0.0843000;661000
20140421;000000;0.0841000;0.0841000;0.0841000;0.0841000;749000
20140422;000000;0.0849000;0.0849000;0.0820000;0.0842000;524000
20140423;000000;0.0823000;0.0847000;0.0820000;0.0846000;9000
20140424;000000;0.0849000;0.0850000;0.0826000;0.0826000;361000
20140425;000000;0.0811000;0.0834000;0.0810000;0.0820000;13000
20140428;000000;0.0811000;0.0825000;0.0802000;0.0824000;63000
20140429;000000;0.0821000;0.0822000;0.0821000;0.0822000;7000
20140502;000000;0.0825000;0.0825000;0.0822000;0.0822000;23000
20140505;000000;0.0824000;0.0824000;0.0822000;0.0822000;3000
20140508;000000;0.0830000;0.0847000;0.0830000;0.0847000;38000
20140512;000000;0.0846000;0.0854000;0.0846000;0.0854000;218000
20140513;000000;0.0858000;0.0859000;0.0854000;0.0859000;291000
20140514;000000;0.0859000;0.0874000;0.0858000;0.0874000;112000
20140515;000000;0.0859000;0.0879000;0.0859000;0.0879000;1409000
20140516;000000;0.0865000;0.0868000;0.0865000;0.0868000;2097000
20140519;000000;0.0864000;0.0869000;0.0862000;0.0862000;92000
20140520;000000;0.0877000;0.0877000;0.0863000;0.0870000;54000
20140521;000000;0.0870000;0.0870000;0.0867000;0.0867000;109000
20140522;000000;0.0877000;0.0888000;0.0871000;0.0888000;106000
20140523;000000;0.0878000;0.0900000;0.0871000;0.0900000;1119000
20140526;000000;0.0879000;0.1186000;0.0879000;0.0931000;3924000
20140527;000000;0.0908000;0.0999000;0.0900000;0.0944000;5091000
20140528;000000;0.0912000;0.0997000;0.0911000;0.0946000;1198000
20140529;000000;0.0975000;0.0978000;0.0944000;0.0957000;676000
20140530;000000;0.0951000;0.0959000;0.0947000;0.0948000;144000
20140602;000000;0.0957000;0.0957000;0.0956000;0.0956000;10000
20140603;000000;0.0988000;0.0989000;0.0967000;0.0988000;87000
20140604;000000;0.0990000;0.0990000;0.0959000;0.0969000;336000
20140605;000000;0.0958000;0.0961000;0.0950000;0.0961000;490000
20140606;000000;0.0950000;0.0951000;0.0940000;0.0940000;1166000
20140611;000000;0.0988000;0.0988000;0.0923000;0.0949000;783000
20140616;000000;0.0920000;0.0920000;0.0913000;0.0913000;582000
20140617;000000;0.0950000;0.0950000;0.0950000;0.0950000;5000
20140618;000000;0.0920000;0.0920000;0.0920000;0.0920000;1347000
20140619;000000;0.0921000;0.0921000;0.0920000;0.0920000;2000
20140623;000000;0.0903000;0.0933000;0.0900000;0.0933000;338000
20140624;000000;0.0941000;0.0941000;0.0902000;0.0929000;192000
20140625;000000;0.0911000;0.0931000;0.0908000;0.0931000;15000
20140626;000000;0.0945000;0.0949000;0.0945000;0.0949000;1508000
