<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140108;000000;257.7700000;349.9700000;257.7700000;257.7700000;60
20140110;000000;258.2300000;258.2300000;258.2300000;258.2300000;10
20140113;000000;244.3100000;283.2400000;209.5700000;229.5500000;90
20140117;000000;245.0000000;245.0000000;245.0000000;245.0000000;10
20140203;000000;226.0100000;240.7000000;226.0000000;227.6600000;80
20140206;000000;274.9100000;274.9100000;274.9100000;274.9100000;10
20140210;000000;226.9500000;267.0000000;226.0000000;267.0000000;200
20140303;000000;346.9400000;346.9400000;203.0000000;203.0000000;20
20140327;000000;204.9900000;204.9900000;204.9900000;204.9900000;10
20140328;000000;205.4700000;205.4700000;205.4700000;205.4700000;10
20140401;000000;239.9900000;240.0000000;239.9900000;240.0000000;20
20140404;000000;240.0000000;240.0000000;240.0000000;240.0000000;10
20140409;000000;220.0200000;220.0200000;205.1300000;208.0100000;220
20140414;000000;208.0200000;208.0200000;208.0100000;208.0100000;40
20140529;000000;259.8900000;259.8900000;259.8900000;259.8900000;20
20140711;000000;230.0000000;230.0000000;230.0000000;230.0000000;30
20140721;000000;203.0700000;214.0100000;203.0600000;210.0000000;110
20140814;000000;208.5300000;208.5300000;208.5300000;208.5300000;10
20140815;000000;204.0100000;204.0100000;204.0100000;204.0100000;10
20140818;000000;203.0100000;249.0000000;203.0100000;249.0000000;60
20140822;000000;290.0000000;290.5700000;277.0000000;290.5700000;50
20140826;000000;299.8700000;299.8700000;299.8700000;299.8700000;10
20140929;000000;230.0300000;230.0300000;230.0000000;230.0000000;120
20141002;000000;219.0000000;219.0000000;219.0000000;219.0000000;10
20141003;000000;209.0000000;245.0000000;208.0000000;215.0000000;250
20141007;000000;209.0000000;232.0000000;203.0000000;232.0000000;270
20141010;000000;196.0000000;196.0000000;190.0000000;194.0000000;270
20141017;000000;205.0000000;205.0000000;205.0000000;205.0000000;50
20141020;000000;174.0000000;174.0000000;174.0000000;174.0000000;100
20141023;000000;172.0000000;172.0000000;172.0000000;172.0000000;10
20141024;000000;197.0000000;197.0000000;197.0000000;197.0000000;100
20141030;000000;177.0000000;179.0000000;176.0000000;176.0000000;60
20141031;000000;179.0000000;180.0000000;179.0000000;180.0000000;20
20141103;000000;196.0000000;196.0000000;196.0000000;196.0000000;10
20141106;000000;172.0000000;172.0000000;172.0000000;172.0000000;10
20141107;000000;175.0000000;175.0000000;175.0000000;175.0000000;10
20141110;000000;177.0000000;177.0000000;175.0000000;175.0000000;40
20141117;000000;175.0000000;175.0000000;175.0000000;175.0000000;20
20141124;000000;153.0000000;175.0000000;153.0000000;175.0000000;190
20141126;000000;160.0000000;160.0000000;159.0000000;159.0000000;20
20141128;000000;190.0000000;190.0000000;190.0000000;190.0000000;10
20141202;000000;163.0000000;163.0000000;156.0000000;156.0000000;100
20141204;000000;183.0000000;183.0000000;181.0000000;182.0000000;140
20141216;000000;157.0000000;157.0000000;157.0000000;157.0000000;80
20141230;000000;145.0000000;180.0000000;145.0000000;180.0000000;180
