<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;155.0000000;155.0000000;154.9500000;154.9500000;30
20140108;000000;152.0200000;152.0200000;152.0100000;152.0100000;330
20140109;000000;151.9900000;153.0000000;151.9900000;152.0000000;550
20140110;000000;152.5100000;152.5100000;150.0100000;150.0100000;20
20140113;000000;154.9900000;154.9900000;152.0000000;152.0100000;600
20140114;000000;154.7400000;154.7500000;152.0000000;152.0000000;170
20140115;000000;149.9900000;199.0000000;149.9900000;160.0100000;2720
20140116;000000;160.0000000;183.9000000;160.0000000;165.0000000;570
20140117;000000;170.0000000;173.3600000;165.0000000;165.0000000;2040
20140120;000000;173.9900000;173.9900000;165.0000000;165.8500000;1350
20140121;000000;175.1000000;180.0000000;169.5200000;169.5200000;210
20140122;000000;167.8900000;170.9300000;165.0200000;169.9900000;870
20140123;000000;169.2200000;170.0000000;153.1700000;160.0000000;1780
20140124;000000;164.9700000;172.0000000;160.0000000;169.5000000;58840
20140127;000000;169.0000000;169.7800000;164.9900000;165.0000000;7700
20140128;000000;168.0000000;169.9900000;161.5100000;169.9900000;9950
20140129;000000;169.9000000;171.8900000;164.8400000;166.4800000;14100
20140130;000000;160.2500000;171.6400000;160.2500000;170.0000000;9030
20140131;000000;169.9800000;171.5000000;164.0000000;166.0000000;23180
20140203;000000;164.0000000;164.0000000;162.0000000;163.9700000;60
20140204;000000;164.9700000;164.9700000;161.5000000;164.0000000;240
20140205;000000;164.9900000;166.9900000;160.0600000;164.4500000;4280
20140206;000000;164.5000000;167.9800000;164.0000000;167.7100000;3320
20140207;000000;167.0000000;167.8800000;166.9900000;167.3900000;40
20140210;000000;167.8000000;167.8000000;165.0000000;165.4500000;290
20140211;000000;164.0700000;166.2000000;163.0000000;166.1900000;5340
20140212;000000;165.0000000;168.7900000;159.9900000;160.9800000;44070
20140213;000000;158.2800000;163.9600000;158.0100000;161.6500000;11670
20140214;000000;160.9700000;161.9100000;157.1000000;160.0000000;8370
20140217;000000;160.9800000;161.2700000;158.5600000;161.1200000;1430
20140218;000000;161.0700000;162.9200000;155.1300000;162.8700000;6740
20140219;000000;163.0000000;165.0000000;156.5000000;160.9900000;6770
20140220;000000;160.0900000;165.5000000;155.0100000;163.9900000;12220
20140221;000000;168.9900000;168.9900000;164.0100000;168.2300000;820
20140224;000000;165.6600000;168.6000000;160.2000000;168.0400000;1470
20140225;000000;164.2400000;168.8000000;164.2400000;168.7900000;820
20140226;000000;165.7600000;172.3900000;164.9900000;167.7600000;3790
20140227;000000;166.9900000;169.7500000;162.0100000;167.1900000;3100
20140228;000000;175.0000000;175.0000000;161.0000000;167.3600000;1020
20140303;000000;160.0000000;169.6600000;157.0000000;160.0000000;1550
20140304;000000;161.8600000;165.0000000;160.0200000;164.5000000;1700
20140305;000000;169.6000000;174.9000000;164.0000000;165.1700000;680
20140306;000000;172.9800000;172.9900000;162.1100000;172.5000000;1260
20140307;000000;165.5300000;169.5000000;163.0000000;165.0100000;3740
20140311;000000;166.9800000;169.5000000;155.0000000;168.5000000;4420
20140312;000000;168.7000000;172.0000000;165.1900000;172.0000000;3090
20140313;000000;169.0000000;169.0000000;166.5000000;166.5000000;390
20140314;000000;172.4900000;172.4900000;160.0300000;168.9900000;220
20140317;000000;169.3000000;174.8700000;169.3000000;169.3000000;580
20140318;000000;174.0000000;176.9900000;169.5100000;169.5100000;2560
20140319;000000;169.0100000;171.0100000;169.0100000;171.0100000;1750
20140320;000000;171.0000000;175.9900000;171.0000000;172.0000000;30
20140321;000000;175.0000000;176.5000000;174.9900000;176.5000000;1270
20140324;000000;172.5200000;175.0000000;172.5200000;175.0000000;240
20140325;000000;177.5000000;182.5000000;177.5000000;180.0000000;3850
20140326;000000;180.5000000;189.3600000;180.0000000;181.0000000;12110
20140327;000000;182.0100000;182.0100000;180.0000000;182.0000000;13850
20140328;000000;179.5000000;185.0000000;179.5000000;185.0000000;12760
20140331;000000;184.0600000;185.0000000;180.0000000;185.0000000;29790
20140401;000000;183.0000000;184.2500000;166.0100000;184.2500000;4920
20140402;000000;181.0000000;184.4000000;181.0000000;184.4000000;2550
20140403;000000;183.5000000;183.5000000;180.0000000;183.5000000;5820
20140404;000000;183.0000000;185.0000000;183.0000000;185.0000000;850
20140407;000000;179.5000000;184.5000000;178.7500000;183.0000000;1160
20140408;000000;184.0000000;186.3200000;184.0000000;185.0000000;14060
20140409;000000;180.1000000;187.2200000;166.0000000;187.0000000;17970
20140410;000000;184.5000000;185.2000000;183.0000000;184.5200000;15350
20140411;000000;183.0000000;185.2000000;182.0000000;184.4900000;10500
20140414;000000;183.9900000;184.5000000;183.0000000;184.5000000;13460
20140415;000000;184.5000000;184.5000000;184.0000000;184.0000000;1920
20140416;000000;186.7100000;186.7100000;185.2000000;185.2000000;20
20140417;000000;185.5000000;185.5000000;184.5300000;184.5300000;30
20140418;000000;185.0300000;186.5000000;184.5000000;186.5000000;800
20140421;000000;185.4900000;185.5000000;185.4800000;185.5000000;240
20140422;000000;194.2000000;194.2000000;184.8500000;184.9900000;640
20140423;000000;185.6500000;190.0000000;184.5000000;190.0000000;29690
20140424;000000;184.4900000;184.6300000;184.4000000;184.5000000;11110
20140425;000000;184.5000000;184.5000000;184.5000000;184.5000000;3000
20140428;000000;184.4900000;184.5100000;184.4900000;184.5000000;7400
20140429;000000;184.0000000;184.5000000;184.0000000;184.5000000;3010
20140430;000000;184.5100000;184.9400000;184.5000000;184.9400000;6410
20140502;000000;184.7700000;187.6600000;184.5000000;184.7500000;4030
20140505;000000;184.9700000;184.9700000;184.9700000;184.9700000;30
20140506;000000;184.9900000;185.0000000;184.9900000;185.0000000;1720
20140507;000000;184.5100000;184.5100000;184.5000000;184.5100000;40
20140508;000000;185.4100000;189.4300000;184.5100000;187.5000000;6010
20140512;000000;186.5600000;186.5600000;185.1600000;185.1600000;30
20140513;000000;187.0400000;187.0400000;185.1000000;185.9900000;80
20140515;000000;186.0100000;187.0000000;184.9900000;187.0000000;1810
20140516;000000;186.4900000;187.0500000;186.4900000;187.0500000;510
20140519;000000;187.4700000;187.4700000;187.0000000;187.0000000;50
20140520;000000;188.4900000;188.5200000;187.0000000;188.5000000;18990
20140521;000000;188.5000000;188.5200000;188.5000000;188.5000000;10650
20140522;000000;189.9800000;189.9900000;189.9800000;189.9800000;110
20140523;000000;187.5100000;188.9800000;187.4900000;188.9600000;4500
20140526;000000;190.0100000;190.0100000;188.6300000;190.0000000;1210
20140527;000000;190.0000000;190.4000000;189.5000000;190.3000000;52280
20140528;000000;190.0000000;191.0000000;190.0000000;190.5000000;11940
20140529;000000;192.5000000;192.5000000;192.4900000;192.5000000;1100
20140602;000000;190.5500000;197.5000000;190.5500000;197.5000000;4420
20140603;000000;194.9900000;198.0000000;194.9900000;198.0000000;6170
20140604;000000;202.5000000;202.5000000;190.5500000;200.1700000;3680
20140605;000000;201.4800000;205.7500000;200.0000000;200.0000000;2370
20140606;000000;203.0000000;206.0000000;203.0000000;203.0000000;8160
20140609;000000;203.0100000;206.4900000;202.9900000;206.4900000;16460
20140610;000000;203.0000000;206.4900000;202.0000000;205.8500000;15160
20140611;000000;203.3100000;205.0000000;203.3100000;205.0000000;1130
20140616;000000;203.0000000;204.0000000;203.0000000;204.0000000;1050
20140617;000000;202.9000000;202.9900000;200.0000000;202.9000000;2480
20140618;000000;203.0000000;204.0000000;200.7400000;204.0000000;1690
20140619;000000;203.0000000;205.0000000;203.0000000;205.0000000;6900
20140620;000000;203.0000000;203.5500000;203.0000000;203.5000000;1940
20140623;000000;201.0700000;205.0000000;201.0700000;205.0000000;6440
20140624;000000;204.2200000;205.9900000;204.2200000;205.2500000;5020
20140625;000000;205.3000000;205.3000000;205.3000000;205.3000000;22000
20140626;000000;203.9300000;205.3000000;203.8300000;205.3000000;5100
20140627;000000;204.0000000;205.3000000;204.0000000;205.3000000;5000
20140630;000000;203.0000000;206.0000000;203.0000000;206.0000000;3410
20140701;000000;203.3700000;206.0000000;203.3700000;206.0000000;1020
20140703;000000;207.0000000;207.0000000;206.0000000;206.0000000;210
20140708;000000;205.0000000;206.0000000;205.0000000;205.9900000;80
20140710;000000;205.0000000;205.0000000;203.0000000;203.0000000;1830
20140714;000000;205.9700000;205.9700000;205.9700000;205.9700000;20
20140715;000000;210.0000000;210.0000000;208.0000000;208.0000000;1990
20140716;000000;207.1500000;207.9800000;207.0000000;207.5000000;20330
20140717;000000;203.0000000;207.5000000;203.0000000;207.5000000;5000
20140718;000000;206.0000000;206.5000000;206.0000000;206.5000000;11010
20140721;000000;206.0000000;208.0000000;206.0000000;207.0000000;9090
20140722;000000;204.0100000;207.5000000;204.0100000;207.5000000;5070
20140723;000000;207.0000000;207.5000000;207.0000000;207.5000000;16530
20140724;000000;205.0100000;206.9900000;205.0000000;206.9900000;7500
20140725;000000;204.2100000;205.0000000;204.2100000;205.0000000;730
20140728;000000;203.0000000;204.9900000;202.4000000;204.9900000;6490
20140729;000000;203.0000000;205.0000000;203.0000000;205.0000000;3290
20140730;000000;202.0100000;202.0100000;202.0100000;202.0100000;10
20140731;000000;202.0200000;207.0000000;202.0200000;206.9900000;29160
20140801;000000;209.5600000;210.0000000;205.9900000;205.9900000;40
20140804;000000;204.0000000;204.0000000;204.0000000;204.0000000;1000
20140805;000000;205.0000000;205.0000000;204.0000000;205.0000000;820
20140806;000000;205.0000000;205.0000000;205.0000000;205.0000000;1020
20140807;000000;204.0200000;204.0200000;204.0200000;204.0200000;100
20140811;000000;206.9800000;206.9800000;204.7400000;206.8800000;20230
20140812;000000;205.0000000;205.0000000;205.0000000;205.0000000;10
20140813;000000;205.0000000;205.0000000;205.0000000;205.0000000;1010
20140814;000000;205.0000000;205.0000000;204.0100000;204.5100000;340
20140815;000000;207.0000000;207.0000000;206.7200000;206.7200000;820
20140818;000000;206.9900000;206.9900000;206.9200000;206.9200000;1340
20140819;000000;206.8000000;206.8000000;206.7700000;206.7700000;20000
20140820;000000;204.0000000;204.0000000;204.0000000;204.0000000;50
20140821;000000;204.9900000;204.9900000;204.9900000;204.9900000;20
20140822;000000;204.8600000;204.9000000;204.8600000;204.9000000;20300
20140825;000000;204.9000000;204.9000000;204.0000000;204.0000000;10510
20140826;000000;204.0000000;205.0000000;203.0000000;203.0000000;23020
20140827;000000;204.0000000;204.0000000;203.0000000;203.0000000;1310
20140828;000000;205.0000000;205.0000000;205.0000000;205.0000000;50
20140829;000000;205.0000000;205.0000000;204.9800000;205.0000000;90
20140901;000000;205.0000000;205.0000000;205.0000000;205.0000000;50
20140902;000000;203.0000000;203.0000000;203.0000000;203.0000000;10
20140903;000000;203.0000000;203.0000000;203.0000000;203.0000000;2000
20140904;000000;203.0000000;203.0000000;202.0000000;203.0000000;4180
20140905;000000;203.0000000;203.0000000;203.0000000;203.0000000;10
20140908;000000;203.0000000;203.0000000;203.0000000;203.0000000;3410
20140909;000000;203.0000000;203.0000000;202.0000000;202.0000000;70
20140911;000000;202.0000000;205.0000000;202.0000000;205.0000000;3850
20140912;000000;205.0000000;207.0000000;203.5000000;207.0000000;18170
20140915;000000;206.0000000;206.0000000;206.0000000;206.0000000;3810
20140916;000000;207.5000000;207.5000000;205.0000000;207.5000000;5000
20140918;000000;207.0000000;207.0000000;206.0000000;207.0000000;7920
20140919;000000;207.5000000;207.5000000;207.5000000;207.5000000;18920
20140922;000000;207.0000000;207.5000000;207.0000000;207.5000000;9750
20140923;000000;208.0000000;208.0000000;206.3000000;208.0000000;9670
20140924;000000;208.0000000;210.0000000;205.0000000;210.0000000;9620
20140925;000000;221.7500000;239.0000000;208.0000000;208.0500000;7650
20140926;000000;209.0000000;209.0000000;207.0000000;208.9900000;40
20140929;000000;208.5000000;208.5000000;208.4900000;208.5000000;7180
20140930;000000;207.0000000;210.0000000;207.0000000;207.0000000;610
20141001;000000;209.5000000;210.0000000;207.5000000;208.5000000;7260
20141002;000000;208.5000000;208.5000000;208.5000000;208.5000000;7180
20141003;000000;208.5000000;209.0000000;207.0000000;209.0000000;7470
20141006;000000;209.0000000;209.0000000;208.5000000;208.5000000;9510
20141007;000000;209.0000000;209.0000000;207.0000000;208.5000000;9520
20141008;000000;208.0000000;208.5000000;208.0000000;208.5000000;34510
20141009;000000;208.0000000;208.5000000;208.0000000;208.5000000;29410
20141010;000000;208.5000000;208.5000000;207.0000000;208.0000000;25100
20141013;000000;205.0000000;208.0000000;205.0000000;208.0000000;22220
20141014;000000;208.0000000;208.0000000;207.5000000;208.0000000;8030
20141015;000000;208.0000000;208.0000000;207.5000000;208.0000000;7220
20141016;000000;207.5000000;208.0000000;207.5000000;208.0000000;7010
20141017;000000;207.5000000;208.0000000;207.5000000;208.0000000;8050
20141020;000000;208.0000000;208.0000000;207.5000000;208.0000000;7560
20141021;000000;207.5000000;207.5000000;207.5000000;207.5000000;6200
20141022;000000;208.0000000;210.0000000;207.0000000;207.0000000;10020
20141023;000000;207.5000000;208.0000000;207.5000000;208.0000000;5810
20141024;000000;207.5000000;207.5000000;207.5000000;207.5000000;6900
20141027;000000;208.0000000;209.0000000;207.5000000;209.0000000;7020
20141028;000000;208.0000000;209.0000000;206.0000000;209.0000000;6050
20141029;000000;209.0000000;209.0000000;208.0000000;208.0000000;6020
20141030;000000;208.0000000;209.0000000;208.0000000;209.0000000;7800
20141031;000000;208.0000000;208.0000000;208.0000000;208.0000000;7700
20141103;000000;209.0000000;209.0000000;207.0000000;207.0000000;20
20141105;000000;207.0000000;207.5000000;207.0000000;207.5000000;7000
20141106;000000;206.0000000;208.0000000;206.0000000;208.0000000;7480
20141107;000000;205.0000000;209.5000000;205.0000000;209.5000000;7740
20141110;000000;207.0000000;207.5000000;207.0000000;207.5000000;6300
20141111;000000;208.5000000;209.5000000;208.0000000;209.5000000;4750
20141112;000000;208.5000000;209.0000000;208.5000000;209.0000000;8800
20141113;000000;208.5000000;209.0000000;206.5000000;209.0000000;8090
20141114;000000;208.5000000;208.5000000;208.5000000;208.5000000;8100
20141117;000000;206.0000000;209.0000000;206.0000000;209.0000000;7190
20141118;000000;209.0000000;209.5000000;209.0000000;209.5000000;8100
20141119;000000;209.5000000;210.0000000;209.5000000;210.0000000;6900
20141120;000000;209.5000000;209.5000000;209.5000000;209.5000000;7000
20141121;000000;207.0000000;208.5000000;207.0000000;208.5000000;2000
20141124;000000;207.0000000;209.5000000;207.0000000;209.5000000;9510
20141125;000000;209.5000000;210.0000000;207.5000000;210.0000000;8880
20141126;000000;209.0000000;209.5000000;209.0000000;209.5000000;5000
20141127;000000;209.5000000;209.5000000;209.5000000;209.5000000;5000
20141128;000000;209.5000000;210.0000000;209.5000000;210.0000000;8300
20141201;000000;208.5000000;209.0000000;208.5000000;209.0000000;7200
20141202;000000;209.5000000;210.0000000;207.0000000;210.0000000;7840
20141203;000000;210.0000000;210.0000000;209.5000000;209.5000000;3200
20141204;000000;209.5000000;210.0000000;209.5000000;210.0000000;8000
20141205;000000;208.0000000;210.0000000;207.0000000;210.0000000;6300
20141208;000000;209.5000000;209.5000000;209.5000000;209.5000000;7600
20141209;000000;207.0000000;209.5000000;207.0000000;209.5000000;6110
20141210;000000;209.5000000;210.0000000;209.5000000;210.0000000;7100
20141211;000000;209.5000000;209.5000000;209.0000000;209.5000000;7000
20141212;000000;209.5000000;209.5000000;207.0000000;209.5000000;7500
20141215;000000;208.5000000;209.0000000;208.5000000;209.0000000;6800
20141216;000000;210.0000000;210.0000000;206.0000000;209.0000000;6120
20141217;000000;211.0000000;211.0000000;206.0000000;209.0000000;7570
20141218;000000;208.5000000;208.5000000;206.0000000;206.0000000;5120
20141219;000000;208.5000000;209.0000000;208.5000000;209.0000000;7010
20141222;000000;178.0000000;210.0000000;178.0000000;209.0000000;4260
20141223;000000;180.5000000;209.5000000;180.5000000;209.0000000;2570
20141224;000000;208.5000000;214.0000000;203.0000000;213.5000000;5890
20141225;000000;232.5000000;232.5000000;207.0000000;214.0000000;6940
20141226;000000;208.5000000;212.5000000;208.5000000;212.5000000;6200
20141229;000000;212.0000000;212.0000000;208.0000000;210.0000000;6480
20141230;000000;210.0000000;212.5000000;208.0000000;210.0000000;11200
