<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140113;000000;0.0695200;0.0799900;0.0695200;0.0799900;50000
20140116;000000;0.0750000;0.0809000;0.0750000;0.0809000;290000
20140120;000000;0.0610200;0.0750000;0.0610000;0.0750000;30000
20140122;000000;0.0760000;0.0760000;0.0760000;0.0760000;20000
20140124;000000;0.0830000;0.0830000;0.0830000;0.0830000;10000
20140213;000000;0.0623000;0.0748000;0.0515000;0.0748000;2330000
20140214;000000;0.0618100;0.0739900;0.0530000;0.0739900;1450000
20140219;000000;0.0748000;0.0748000;0.0748000;0.0748000;30000
20140220;000000;0.0740000;0.0740000;0.0700000;0.0700000;70000
20140227;000000;0.0740600;0.0740600;0.0740600;0.0740600;10000
20140303;000000;0.0573400;0.0573400;0.0573400;0.0573400;10000
20140304;000000;0.0690000;0.0690000;0.0690000;0.0690000;10000
20140305;000000;0.0573000;0.0670000;0.0573000;0.0670000;60000
20140306;000000;0.0600000;0.0600000;0.0600000;0.0600000;160000
20140307;000000;0.0641200;0.0641200;0.0583000;0.0640000;190000
20140313;000000;0.0640000;0.0640000;0.0640000;0.0640000;10000
20140314;000000;0.0573000;0.0688000;0.0450000;0.0688000;200000
20140325;000000;0.0500100;0.0686000;0.0500100;0.0654300;190000
20140326;000000;0.0555500;0.0670000;0.0555500;0.0670000;20000
20140328;000000;0.0670000;0.0670000;0.0670000;0.0670000;10000
20140331;000000;0.0710000;0.0710000;0.0710000;0.0710000;10000
20140403;000000;0.0739000;0.0739000;0.0739000;0.0739000;10000
20140404;000000;0.0728900;0.0730000;0.0728900;0.0730000;20000
20140415;000000;0.0531000;0.0737800;0.0531000;0.0737800;20000
20140516;000000;0.0630000;0.0664700;0.0630000;0.0664700;210000
20140519;000000;0.0660000;0.0660000;0.0660000;0.0660000;10000
20140521;000000;0.0500100;0.0621000;0.0443600;0.0621000;450000
20140526;000000;0.0683000;0.0683000;0.0683000;0.0683000;70000
20140529;000000;0.0650300;0.0650300;0.0650300;0.0650300;20000
20140530;000000;0.0738800;0.0738800;0.0699900;0.0699900;30000
20140604;000000;0.0735000;0.0735000;0.0735000;0.0735000;20000
20140619;000000;0.0621000;0.0738900;0.0621000;0.0690000;3080000
20140627;000000;0.0630000;0.0673000;0.0629000;0.0673000;1880000
20140701;000000;0.0618100;0.0618100;0.0493600;0.0493600;180000
20140702;000000;0.0641300;0.0721000;0.0641300;0.0670000;310000
20140703;000000;0.0601100;0.0601100;0.0600000;0.0600000;160000
20140721;000000;0.0580000;0.0580000;0.0580000;0.0580000;70000
20140723;000000;0.0505000;0.0709700;0.0505000;0.0709700;40000
20140724;000000;0.0600000;0.0600000;0.0599900;0.0600000;390000
20140728;000000;0.0715000;0.0715000;0.0715000;0.0715000;10000
20140805;000000;0.0600000;0.0714900;0.0590000;0.0620000;140000
20140821;000000;0.0635000;0.0686200;0.0635000;0.0686200;30000
20140826;000000;0.0540000;0.0570000;0.0540000;0.0540100;2320000
20140905;000000;0.0510100;0.0589700;0.0496100;0.0579700;350000
20140908;000000;0.0516800;0.0516800;0.0516800;0.0516800;40000
20140915;000000;0.0574600;0.0574600;0.0553400;0.0574600;690000
20140919;000000;0.0582000;0.0582000;0.0582000;0.0582000;230000
20140922;000000;0.0500000;0.0511000;0.0500000;0.0510800;110000
20140923;000000;0.0498900;0.0550000;0.0490600;0.0550000;250000
20140926;000000;0.0592700;0.0620000;0.0592700;0.0620000;30000
20140929;000000;0.0620000;0.0620000;0.0597000;0.0597000;20000
20141001;000000;0.0648000;0.0648000;0.0648000;0.0648000;640000
20141006;000000;0.0600000;0.0645000;0.0600000;0.0645000;30000
20141007;000000;0.0648000;0.0648000;0.0648000;0.0648000;640000
20141008;000000;0.0600000;0.0600000;0.0500000;0.0550000;1070000
20141009;000000;0.0549000;0.0549000;0.0549000;0.0549000;10000
20141010;000000;0.0548000;0.0548000;0.0548000;0.0548000;10000
20141014;000000;0.0547000;0.0547000;0.0547000;0.0547000;10000
20141015;000000;0.0520000;0.0529000;0.0520000;0.0529000;220000
20141021;000000;0.0526000;0.0526000;0.0525000;0.0525000;100000
20141022;000000;0.0557000;0.0557000;0.0557000;0.0557000;10000
20141023;000000;0.0510000;0.0510000;0.0510000;0.0510000;10000
20141024;000000;0.0549000;0.0549000;0.0549000;0.0549000;10000
20141027;000000;0.0506000;0.0506000;0.0506000;0.0506000;10000
20141030;000000;0.0537000;0.0550000;0.0537000;0.0550000;400000
20141031;000000;0.0618000;0.0644000;0.0618000;0.0644000;120000
20141103;000000;0.0617000;0.0621000;0.0617000;0.0621000;90000
20141110;000000;0.0511000;0.0667000;0.0511000;0.0667000;20000
20141117;000000;0.0590000;0.0600000;0.0590000;0.0600000;550000
20141126;000000;0.0678000;0.0679000;0.0678000;0.0679000;90000
20141127;000000;0.0700000;0.0734000;0.0700000;0.0734000;900000
20141128;000000;0.0734000;0.0799000;0.0570000;0.0797000;310000
20141201;000000;0.0700000;0.0750000;0.0605000;0.0750000;130000
20141202;000000;0.0770000;0.0789000;0.0664000;0.0789000;40000
20141203;000000;0.0709000;0.0799000;0.0709000;0.0710000;190000
20141209;000000;0.0580000;0.0675000;0.0560000;0.0675000;90000
20141210;000000;0.0699000;0.0699000;0.0699000;0.0699000;10000
20141212;000000;0.0554000;0.0802000;0.0553000;0.0802000;260000
20141215;000000;0.0803000;0.0803000;0.0577000;0.0777000;90000
20141216;000000;0.0610000;0.0700000;0.0610000;0.0700000;160000
20141218;000000;0.0639000;0.0700000;0.0639000;0.0700000;80000
20141225;000000;0.0705000;0.0720000;0.0705000;0.0720000;390000
20141226;000000;0.0740000;0.0740000;0.0740000;0.0740000;150000
20141229;000000;0.0785000;0.0836000;0.0785000;0.0836000;70000
