<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.1143900;0.1143900;0.1130100;0.1138300;1080000
20140108;000000;0.1145400;0.1145400;0.1133000;0.1133000;90000
20140109;000000;0.1142500;0.1166300;0.1132900;0.1149900;2170000
20140110;000000;0.1143900;0.1149200;0.1135000;0.1149100;2450000
20140113;000000;0.1149400;0.1157700;0.1130400;0.1137600;12490000
20140114;000000;0.1127500;0.1140000;0.1127500;0.1140000;3570000
20140115;000000;0.1135000;0.1139900;0.1130000;0.1137500;5150000
20140116;000000;0.1135000;0.1140000;0.1111800;0.1130000;20330000
20140117;000000;0.1130000;0.1139900;0.1120000;0.1127000;13510000
20140120;000000;0.1130000;0.1130000;0.1125000;0.1129600;1570000
20140121;000000;0.1127000;0.1130000;0.1127000;0.1130000;2830000
20140122;000000;0.1130000;0.1130000;0.1120000;0.1120000;16350000
20140123;000000;0.1128900;0.1130000;0.1120000;0.1126000;11590000
20140124;000000;0.1127300;0.1130000;0.1127000;0.1128900;760000
20140127;000000;0.1129900;0.1130000;0.1112000;0.1125900;13690000
20140128;000000;0.1124400;0.1126500;0.1115000;0.1121000;27570000
20140129;000000;0.1123000;0.1127000;0.1120000;0.1124400;300000
20140130;000000;0.1124000;0.1124000;0.1080000;0.1098700;7910000
20140131;000000;0.1121500;0.1121500;0.1071200;0.1093000;4740000
20140203;000000;0.1099500;0.1099700;0.1071300;0.1073100;1320000
20140204;000000;0.1081000;0.1090100;0.1000000;0.1065000;7210000
20140205;000000;0.1083500;0.1132700;0.1020300;0.1058000;12290000
20140206;000000;0.1100000;0.1100000;0.1040000;0.1055900;7440000
20140207;000000;0.1040200;0.1099000;0.1020000;0.1099000;10540000
20140210;000000;0.1089300;0.1099000;0.1070000;0.1099000;2560000
20140211;000000;0.1100000;0.1124100;0.1089300;0.1120000;2760000
20140212;000000;0.1110900;0.1388800;0.1110900;0.1268000;80490000
20140213;000000;0.1295000;0.1379700;0.1234000;0.1289900;7560000
20140214;000000;0.1297700;0.1339000;0.1279700;0.1298000;7400000
20140217;000000;0.1339900;0.1350000;0.1212100;0.1276000;4680000
20140218;000000;0.1277700;0.1288800;0.1211100;0.1242900;2150000
20140219;000000;0.1211100;0.1240000;0.1198100;0.1220900;1980000
20140220;000000;0.1200200;0.1229700;0.1181400;0.1229700;910000
20140221;000000;0.1230000;0.1230000;0.1191000;0.1217600;2590000
20140224;000000;0.1214000;0.1224100;0.1190000;0.1224100;5570000
20140225;000000;0.1195000;0.1277400;0.1195000;0.1200000;3710000
20140226;000000;0.1247700;0.1300000;0.1191600;0.1215000;17760000
20140227;000000;0.1210400;0.1217000;0.1125500;0.1158800;7200000
20140228;000000;0.1125900;0.1140000;0.1082200;0.1127600;6920000
20140303;000000;0.1070000;0.1080000;0.0970000;0.1020000;43310000
20140304;000000;0.1029800;0.1160000;0.1010100;0.1116600;35880000
20140305;000000;0.1055500;0.1149900;0.1055500;0.1138800;8910000
20140306;000000;0.1149500;0.1216900;0.1100000;0.1160000;11000000
20140307;000000;0.1165500;0.1234900;0.1049000;0.1050000;74930000
20140311;000000;0.1067900;0.1085000;0.1032200;0.1047500;23660000
20140312;000000;0.1055400;0.1055400;0.1000000;0.1015500;15020000
20140313;000000;0.1010200;0.1046400;0.1000000;0.1000300;9470000
20140314;000000;0.0982000;0.1009600;0.0911100;0.0969300;5240000
20140317;000000;0.0941200;0.1196900;0.0931100;0.1088800;20040000
20140318;000000;0.1087400;0.1095700;0.1049900;0.1095700;4920000
20140319;000000;0.1073600;0.1150000;0.1030000;0.1051900;102840000
20140320;000000;0.1097000;0.1097000;0.1050600;0.1060000;1200000
20140321;000000;0.1032400;0.1059400;0.1032300;0.1059300;1540000
20140324;000000;0.1087900;0.1168900;0.1030000;0.1059700;17130000
20140325;000000;0.1040300;0.1079400;0.1031200;0.1045000;5230000
20140326;000000;0.1050000;0.1050000;0.1035000;0.1049600;110630000
20140327;000000;0.1023200;0.1059500;0.1015000;0.1019900;4040000
20140328;000000;0.1039300;0.1039300;0.1011700;0.1020000;6890000
20140331;000000;0.1020000;0.1067900;0.1012000;0.1060800;7800000
20140401;000000;0.1064900;0.1147000;0.1001400;0.1029700;11290000
20140402;000000;0.1020000;0.1020000;0.1008700;0.1011000;5030000
20140403;000000;0.1049700;0.1120000;0.1030200;0.1049000;13820000
20140404;000000;0.1054300;0.1069300;0.1040200;0.1044100;3150000
20140407;000000;0.1035500;0.1047900;0.1020000;0.1025000;6250000
20140408;000000;0.1020200;0.1040100;0.1001400;0.1020000;9150000
20140409;000000;0.1010200;0.1028000;0.1010200;0.1027700;1370000
20140410;000000;0.1029700;0.1057000;0.1011600;0.1025500;2140000
20140411;000000;0.1015800;0.1100000;0.1015800;0.1054400;2490000
20140414;000000;0.1058100;0.1094900;0.1035100;0.1044600;8620000
20140415;000000;0.1054000;0.1054000;0.1025000;0.1031900;1110000
20140416;000000;0.1029900;0.1037200;0.1028000;0.1037200;520000
20140417;000000;0.1077000;0.1095000;0.1030000;0.1039900;9570000
20140418;000000;0.1033300;0.1119600;0.1033300;0.1053000;11750000
20140421;000000;0.1038900;0.1049800;0.1038900;0.1049800;680000
20140422;000000;0.1037200;0.1044300;0.1031300;0.1044300;1000000
20140423;000000;0.1044200;0.1066000;0.1035100;0.1066000;1310000
20140424;000000;0.1040300;0.1058000;0.1036000;0.1036000;230000
20140425;000000;0.1062900;0.1062900;0.1025000;0.1038800;1030000
20140428;000000;0.1028200;0.1032600;0.1017700;0.1032600;3260000
20140429;000000;0.1031000;0.1037700;0.1021900;0.1030700;1580000
20140430;000000;0.1069600;0.1077000;0.1054000;0.1057000;3180000
20140502;000000;0.1069000;0.1149700;0.1028000;0.1050300;580000
20140505;000000;0.1035300;0.1049900;0.1030300;0.1039700;6060000
20140506;000000;0.1047700;0.1049400;0.1035000;0.1048300;1070000
20140507;000000;0.1044900;0.1054700;0.1040000;0.1040000;2020000
20140508;000000;0.1049000;0.1052000;0.1037500;0.1045100;1580000
20140512;000000;0.1048500;0.1054900;0.1040000;0.1054800;880000
20140513;000000;0.1048100;0.1050000;0.1040200;0.1044000;1430000
20140514;000000;0.1050000;0.1050000;0.1046000;0.1047900;680000
20140515;000000;0.1054800;0.1089000;0.1044600;0.1044600;550000
20140516;000000;0.1059400;0.1074400;0.1001900;0.1044000;4090000
20140519;000000;0.1049400;0.1100000;0.1049400;0.1062500;7130000
20140520;000000;0.1061900;0.1094100;0.1055000;0.1062100;2410000
20140521;000000;0.1066600;0.1074000;0.1050300;0.1074000;5210000
20140522;000000;0.1087300;0.1119900;0.1044400;0.1064100;3720000
20140523;000000;0.1068000;0.1068000;0.1052100;0.1062000;610000
