<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;170.9900000;172.3100000;166.6300000;167.0000000;3244950
20140108;000000;167.0300000;168.9000000;165.0000000;165.0000000;2542480
20140109;000000;165.9800000;166.8700000;165.2900000;165.5200000;1468630
20140110;000000;165.6500000;167.9900000;165.1000000;167.3800000;2142440
20140113;000000;167.0100000;169.8000000;166.7900000;169.0000000;1505440
20140114;000000;167.8700000;169.0000000;166.0000000;167.6500000;2589810
20140115;000000;169.3000000;179.5000000;169.2300000;179.3500000;17295180
20140116;000000;180.1300000;183.3000000;178.4400000;180.7000000;11363670
20140117;000000;180.8500000;187.9000000;180.0000000;183.0000000;12922640
20140120;000000;182.4500000;187.4800000;180.9200000;185.7000000;5962380
20140121;000000;187.0000000;187.8000000;184.2300000;184.7000000;4029150
20140122;000000;184.5500000;184.6400000;182.5000000;183.2400000;3531560
20140123;000000;182.7600000;184.6200000;182.0000000;183.3500000;3579690
20140124;000000;182.3700000;183.8000000;181.0000000;182.6500000;5121510
20140127;000000;181.3200000;182.7500000;176.9400000;177.1600000;7734320
20140128;000000;177.1600000;178.6400000;175.0000000;175.2100000;7323770
20140129;000000;176.3900000;177.3100000;172.2200000;172.5000000;6441830
20140130;000000;172.5000000;174.4100000;170.0000000;170.8200000;7386320
20140131;000000;171.6200000;172.4800000;168.8900000;171.0600000;4536460
20140203;000000;169.9300000;173.8400000;169.8800000;172.5000000;5031000
20140204;000000;170.2400000;172.9700000;168.0500000;172.6500000;4202680
20140205;000000;172.9000000;176.8800000;172.0600000;176.2000000;3630180
20140206;000000;176.2200000;177.1900000;174.7700000;176.0100000;2142030
20140207;000000;177.0800000;178.2900000;176.0500000;178.0800000;1911240
20140210;000000;178.4700000;178.8300000;176.2800000;177.0000000;2390130
20140211;000000;176.8400000;177.7000000;174.7700000;175.3700000;1536180
20140212;000000;176.0000000;176.8600000;174.8800000;175.5200000;1957350
20140213;000000;175.5000000;175.5000000;170.7200000;171.6200000;4005890
20140214;000000;172.0000000;172.7900000;170.8200000;171.7300000;2703240
20140217;000000;172.4000000;174.3800000;171.6200000;172.7500000;2272530
20140218;000000;172.9700000;174.0000000;171.5000000;172.2900000;1353970
20140219;000000;171.0100000;172.2300000;169.0000000;170.4700000;2429070
20140220;000000;169.6900000;170.2900000;167.0600000;168.4200000;2831820
20140221;000000;169.2500000;170.9400000;169.1500000;170.3000000;1967540
20140224;000000;170.0000000;171.6900000;168.8200000;171.2100000;1660930
20140225;000000;171.1100000;171.9900000;169.3400000;171.2100000;1798140
20140226;000000;171.3900000;171.9800000;168.3700000;168.6400000;2260240
