<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140110;000000;6.9990000;7.0000000;6.9990000;7.0000000;2000
20140113;000000;6.5000000;6.5000000;6.5000000;6.5000000;100
20140114;000000;7.0000000;8.0000000;7.0000000;8.0000000;1600
20140116;000000;6.0640000;6.0640000;6.0640000;6.0640000;100
20140123;000000;7.9890000;7.9900000;7.9890000;7.9900000;700
20140203;000000;6.1010000;6.1010000;6.1010000;6.1010000;100
20140206;000000;7.9990000;8.0000000;7.0000000;7.0000000;3700
20140210;000000;7.4000000;7.4000000;7.0000000;7.0000000;1200
20140211;000000;6.2140000;7.5000000;6.0320000;7.0000000;1400
20140214;000000;7.9090000;7.9090000;7.9090000;7.9090000;1500
20140220;000000;7.0000000;7.0000000;7.0000000;7.0000000;1000
20140224;000000;7.5000000;7.5000000;7.0000000;7.0000000;4000
20140226;000000;7.3000000;7.3000000;7.3000000;7.3000000;3000
20140304;000000;5.5650000;5.5650000;5.5650000;5.5650000;100
20140307;000000;6.0000000;6.0000000;6.0000000;6.0000000;4300
20140313;000000;6.0010000;6.0010000;6.0000000;6.0000000;1100
20140314;000000;5.9990000;6.0000000;5.9990000;6.0000000;500
20140317;000000;5.0220000;6.0000000;5.0210000;5.9990000;10600
20140324;000000;6.4500000;6.4570000;6.4500000;6.4570000;800
20140325;000000;6.4000000;6.4000000;6.4000000;6.4000000;1600
20140402;000000;6.4990000;6.5000000;6.4990000;6.4990000;1000
20140407;000000;5.6670000;5.6670000;5.6670000;5.6670000;100
20140414;000000;6.4070000;6.4070000;6.4070000;6.4070000;100
20140428;000000;5.6990000;5.7000000;5.6990000;5.7000000;300
20140505;000000;5.3000000;5.3000000;5.3000000;5.3000000;100
20140516;000000;6.0000000;6.0000000;6.0000000;6.0000000;10000
20140526;000000;6.0000000;6.0000000;6.0000000;6.0000000;100
20140529;000000;6.9820000;6.9820000;6.3740000;6.3740000;500
20140530;000000;6.8220000;6.8220000;6.8220000;6.8220000;500
20140602;000000;6.0000000;6.0000000;6.0000000;6.0000000;2000
20140609;000000;5.6000000;5.6000000;5.6000000;5.6000000;1000
20140616;000000;5.6200000;5.6200000;5.6000000;5.6200000;3400
20140619;000000;5.6200000;5.6200000;5.6200000;5.6200000;7000
20140623;000000;5.6190000;5.6190000;5.6190000;5.6190000;100
20140624;000000;5.6190000;5.6190000;5.6190000;5.6190000;100
20140625;000000;5.9990000;6.0000000;5.9990000;6.0000000;500
20140703;000000;7.4980000;7.4980000;7.4980000;7.4980000;200
20140709;000000;6.0000000;6.0000000;6.0000000;6.0000000;200
20140714;000000;6.0000000;6.0000000;6.0000000;6.0000000;100
20140718;000000;6.9900000;8.3850000;6.9900000;8.3850000;1000
20140721;000000;6.0010000;7.4790000;6.0000000;7.4770000;4200
20140722;000000;7.0000000;7.0000000;7.0000000;7.0000000;300
20140724;000000;6.0010000;6.0010000;4.5100000;5.9890000;3100
20140731;000000;5.9890000;5.9890000;5.9890000;5.9890000;800
20140801;000000;5.5060000;5.5060000;5.5060000;5.5060000;100
20140814;000000;4.6810000;6.9890000;4.6810000;6.9890000;400
20140815;000000;5.0060000;5.0060000;5.0060000;5.0060000;100
20140825;000000;6.4990000;6.4990000;6.4990000;6.4990000;100
20140902;000000;5.9990000;5.9990000;5.9990000;5.9990000;400
20140904;000000;6.0000000;6.0000000;5.9000000;6.0000000;21000
20140905;000000;6.0000000;6.0000000;6.0000000;6.0000000;10000
20140909;000000;4.6910000;5.9980000;4.6910000;5.9980000;500
20140911;000000;5.4990000;5.5000000;5.4990000;5.5000000;1100
20140912;000000;5.9910000;5.9910000;5.9910000;5.9910000;100
20140916;000000;5.9890000;5.9990000;5.9890000;5.9990000;10800
20140917;000000;5.9990000;5.9990000;5.9990000;5.9990000;10000
20140918;000000;5.9990000;5.9990000;5.9990000;5.9990000;12400
20140923;000000;5.9990000;5.9990000;5.9990000;5.9990000;14500
20140924;000000;6.4980000;6.4990000;6.4980000;6.4990000;500
20141030;000000;6.9900000;6.9900000;6.9900000;6.9900000;300
20141103;000000;8.7200000;8.7200000;6.4600000;6.4600000;300
20141107;000000;7.9900000;8.7400000;7.9900000;8.7400000;200
20141113;000000;8.7300000;8.7300000;8.7300000;8.7300000;100
20141120;000000;7.0100000;7.0100000;7.0000000;7.0000000;1000
20141212;000000;7.0000000;7.0000000;7.0000000;7.0000000;800
20141229;000000;7.4900000;7.5000000;7.4900000;7.5000000;8200
