<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;180.0100000;180.0100000;180.0000000;180.0100000;110
20140114;000000;176.5200000;179.9500000;175.0000000;179.9500000;110
20140116;000000;181.0000000;181.0000000;181.0000000;181.0000000;70
20140117;000000;181.0000000;181.0000000;179.0500000;179.0500000;120
20140121;000000;178.0200000;185.0000000;178.0200000;185.0000000;1210
20140122;000000;184.9900000;184.9900000;179.5000000;179.5000000;410
20140127;000000;178.5500000;178.5500000;177.0100000;177.0100000;500
20140131;000000;177.0300000;177.0300000;177.0300000;177.0300000;100
20140204;000000;177.0400000;179.7900000;175.0100000;179.7900000;310
20140205;000000;179.8000000;179.8000000;179.0000000;179.0000000;20
20140206;000000;176.5100000;179.8000000;175.0000000;179.8000000;150
20140210;000000;179.0000000;179.0000000;175.0000000;178.0000000;540
20140211;000000;177.0100000;177.0100000;177.0100000;177.0100000;10
20140212;000000;179.0000000;180.0000000;177.0000000;177.0000000;360
20140214;000000;179.0000000;179.7900000;176.5000000;179.7900000;540
20140217;000000;175.1100000;175.2300000;175.0000000;175.0000000;370
20140218;000000;174.3000000;178.1400000;174.1000000;178.1400000;200
20140219;000000;175.0100000;176.9900000;171.8000000;176.9900000;600
20140220;000000;171.5000000;173.0000000;171.5000000;173.0000000;60
20140224;000000;171.1100000;171.1100000;171.0000000;171.0000000;200
20140225;000000;175.6100000;176.0000000;175.6100000;176.0000000;30
20140227;000000;172.0000000;172.0000000;171.0000000;171.0000000;200
20140228;000000;171.0100000;171.0100000;171.0000000;171.0000000;180
20140303;000000;170.0000000;170.0000000;160.0000000;160.0000000;390
20140304;000000;167.9800000;168.2200000;166.0000000;166.0000000;380
20140305;000000;169.2200000;169.2200000;169.2200000;169.2200000;10
20140306;000000;169.7700000;169.7700000;160.2900000;160.2900000;400
20140307;000000;174.9600000;174.9600000;174.9600000;174.9600000;10
20140313;000000;163.0000000;163.0000000;155.1500000;160.0000000;870
20140314;000000;164.7700000;164.7700000;150.0000000;159.0000000;3330
20140317;000000;156.0100000;166.9900000;156.0100000;166.9900000;20
20140318;000000;168.5100000;168.5100000;166.4500000;166.4500000;340
20140319;000000;166.4500000;166.4500000;155.0000000;163.7700000;2840
20140320;000000;159.0000000;159.0000000;158.5500000;158.5500000;200
20140321;000000;156.0100000;158.9900000;155.3500000;157.7600000;270
20140324;000000;157.7700000;160.0000000;157.7700000;160.0000000;170
20140325;000000;160.0000000;169.9800000;160.0000000;169.9800000;50
20140327;000000;170.7400000;174.0000000;156.0700000;169.7300000;360
20140331;000000;158.6900000;169.2800000;155.3600000;169.2800000;190
20140402;000000;171.5900000;184.0000000;167.4300000;167.4300000;50
20140404;000000;160.0000000;165.8700000;160.0000000;165.8700000;40
20140407;000000;158.5000000;167.2300000;158.5000000;167.2300000;30
20140408;000000;169.1000000;175.0000000;167.4800000;167.4800000;120
